model,cls,axis,n_blocks,z_nominal,z_honest_perm,z_honest_emp,max_z,hits_nominal,hits_honest_perm,hits_honest_emp
binomial,nonsnp,bio10,41908,4.71762147723684,6.624461829627677,7.175606790096399,5.6669010183026085,9,0,0
binomial,nonsnp,bio11,41908,4.71762147723684,6.624461829627677,5.632472517244672,5.033420001109797,4,0,0
binomial,nonsnp,bio12,41908,4.71762147723684,6.624461829627677,6.564446789088432,5.678111128055154,5,0,0
binomial,nonsnp,bio13,41908,4.71762147723684,6.624461829627677,6.2198689026336975,5.630656028257847,5,0,0
binomial,nonsnp,bio14,41908,4.71762147723684,6.624461829627677,6.92965985713559,5.701696058217079,6,0,0
binomial,nonsnp,bio15,41908,4.71762147723684,6.624461829627677,7.352870541607963,5.732053483310002,8,0,0
binomial,nonsnp,bio16,41908,4.71762147723684,6.624461829627677,6.538563648448747,5.622836232461024,8,0,0
binomial,nonsnp,bio17,41908,4.71762147723684,6.624461829627677,6.792196058250392,5.621865010975642,6,0,0
binomial,nonsnp,bio18,41908,4.71762147723684,6.624461829627677,6.552724277286227,5.356563011022754,6,0,0
binomial,nonsnp,bio19,41908,4.71762147723684,6.624461829627677,7.161255100625693,5.954955686948365,6,0,0
binomial,nonsnp,bio1,41908,4.71762147723684,6.624461829627677,6.997713342952743,5.8013041128846154,5,0,0
binomial,nonsnp,bio2,41908,4.71762147723684,6.624461829627677,6.455687496073722,5.617695650545821,5,0,0
binomial,nonsnp,bio3,41908,4.71762147723684,6.624461829627677,6.705241368226053,5.67410851338628,10,0,0
binomial,nonsnp,bio4,41908,4.71762147723684,6.624461829627677,6.339311118641003,5.540504874065688,6,0,0
binomial,nonsnp,bio5,41908,4.71762147723684,6.624461829627677,7.129098385605433,5.741384470540626,7,0,0
binomial,nonsnp,bio6,41908,4.71762147723684,6.624461829627677,6.227571483963409,5.609273323738771,4,0,0
binomial,nonsnp,bio7,41908,4.71762147723684,6.624461829627677,6.121239691260769,5.826873370629392,5,0,0
binomial,nonsnp,bio8,41908,4.71762147723684,6.624461829627677,6.392411828189614,5.794774770335939,7,0,0
binomial,nonsnp,bio9,41908,4.71762147723684,6.624461829627677,5.760872953488885,5.421878099466545,2,0,0
binomial,smallindel,bio10,41731,4.716760060233092,6.465106948736625,7.485842675115004,5.627353553036928,9,0,0
binomial,smallindel,bio11,41731,4.716760060233092,6.465106948736625,5.527143082846326,4.978629828528447,4,0,0
binomial,smallindel,bio12,41731,4.716760060233092,6.465106948736625,6.886373712060406,5.357664933668216,8,0,0
binomial,smallindel,bio13,41731,4.716760060233092,6.465106948736625,6.277222969780443,5.459926830969504,6,0,0
binomial,smallindel,bio14,41731,4.716760060233092,6.465106948736625,6.960438070656187,5.740657035019167,7,0,0
binomial,smallindel,bio15,41731,4.716760060233092,6.465106948736625,7.676126928067859,5.6813925114902935,8,0,0
binomial,smallindel,bio16,41731,4.716760060233092,6.465106948736625,6.512538745154346,5.477515785435743,9,0,0
binomial,smallindel,bio17,41731,4.716760060233092,6.465106948736625,6.8676985856832715,5.710532621454695,6,0,0
binomial,smallindel,bio18,41731,4.716760060233092,6.465106948736625,6.894013415607436,5.345715191960555,6,0,0
binomial,smallindel,bio19,41731,4.716760060233092,6.465106948736625,7.38908914131876,5.9887899168954934,8,0,0
binomial,smallindel,bio1,41731,4.716760060233092,6.465106948736625,6.819482787474726,5.769159814315397,4,0,0
binomial,smallindel,bio2,41731,4.716760060233092,6.465106948736625,6.421367182073116,5.61728302382229,5,0,0
binomial,smallindel,bio3,41731,4.716760060233092,6.465106948736625,6.645717254894812,5.6043490734806936,7,0,0
binomial,smallindel,bio4,41731,4.716760060233092,6.465106948736625,6.363954396679699,5.610926848962941,5,0,0
binomial,smallindel,bio5,41731,4.716760060233092,6.465106948736625,7.382314506133834,5.996585046894469,8,0,0
binomial,smallindel,bio6,41731,4.716760060233092,6.465106948736625,6.232846725655318,5.647558506624755,4,0,0
binomial,smallindel,bio7,41731,4.716760060233092,6.465106948736625,6.13861356716691,5.873457017642185,5,0,0
binomial,smallindel,bio8,41731,4.716760060233092,6.465106948736625,6.783328326109259,6.060477236214457,8,0,0
binomial,smallindel,bio9,41731,4.716760060233092,6.465106948736625,5.757913645571845,5.205239198146193,2,0,0
binomial,snp,bio10,56846,4.779291636472057,6.477023275768772,5.509218660441725,4.961908648768487,3,0,0
binomial,snp,bio11,56846,4.779291636472057,6.477023275768772,5.703094313481042,5.776652575411085,1,0,1
binomial,snp,bio12,56846,4.779291636472057,6.477023275768772,6.868107785322131,5.135315795198416,6,0,0
binomial,snp,bio13,56846,4.779291636472057,6.477023275768772,6.090544846473382,5.5758379020058255,6,0,0
binomial,snp,bio14,56846,4.779291636472057,6.477023275768772,6.141866048031346,6.083363121598797,2,0,0
binomial,snp,bio15,56846,4.779291636472057,6.477023275768772,5.671052018439374,5.078457612779345,1,0,0
binomial,snp,bio16,56846,4.779291636472057,6.477023275768772,6.550623302490988,5.461822371300454,8,0,0
