blockdef,model,cls,axis,missing,npts,rho,p,ci_lo,ci_hi,ambiguous,direction
clq0.9 tile,kendall,snp,bio1,False,56807,-0.10798898196246531,6.291321611934277e-147,-0.11615076541679223,-0.09981261543002369,False,decreasing
clq0.9 tile,kendall,snp,bio2,False,56807,-0.11756031276177636,6.156066886268906e-174,-0.1257036249482037,-0.1094011596373533,False,decreasing
clq0.9 tile,kendall,snp,bio3,False,56807,0.0648282755050546,5.772580422318418e-54,0.05659314300365643,0.07305458738296339,False,increasing
clq0.9 tile,kendall,snp,bio4,False,56807,-0.011807146816792352,0.004890223303319055,-0.020070645199996053,-0.003542035382332809,False,decreasing
clq0.9 tile,kendall,snp,bio5,False,56807,0.014731360303642013,0.00044605854569166833,0.006466690590230741,0.022994017626133546,False,increasing
clq0.9 tile,kendall,snp,bio6,False,56807,-0.02475397182158582,3.619841743741759e-09,-0.03301267443979601,-0.016491889002891953,False,decreasing
clq0.9 tile,kendall,snp,bio7,False,56807,-0.024544624065916627,4.892963157171972e-09,-0.032803426258479096,-0.016282470225083032,False,decreasing
clq0.9 tile,kendall,snp,bio8,False,56807,0.006857994393134362,0.10214705405153217,-0.0014075424995336143,0.015122594283950033,True,increasing
clq0.9 tile,kendall,snp,bio9,False,56807,-0.09282111728475004,6.605913486405733e-109,-0.10100907932058098,-0.08462058184675833,False,decreasing
clq0.9 tile,kendall,snp,bio10,False,56807,-0.014118039928736385,0.0007653860651731405,-0.02238088536414853,-0.005853265851464412,False,decreasing
clq0.9 tile,kendall,snp,bio11,False,56807,-0.056794773100684384,8.22792931689777e-42,-0.0650297030044829,-0.04855210804103304,False,decreasing
clq0.9 tile,kendall,snp,bio12,False,56807,-0.007293679233966684,0.08214452002429634,-0.015558198405635609,0.0009718364606541575,True,decreasing
clq0.9 tile,kendall,snp,bio13,False,56807,0.011160421515081472,0.007813517246403648,0.0028952314816786226,0.019424086827936598,False,increasing
clq0.9 tile,kendall,snp,bio14,False,56807,0.03445925482231475,2.1154064289920325e-16,0.026201260397527397,0.04271254647795491,False,increasing
clq0.9 tile,kendall,snp,bio15,False,56807,0.027986346903315366,2.5322422216229935e-11,0.019725452687159275,0.0362434201840576,False,increasing
clq0.9 tile,kendall,snp,bio16,False,56807,0.024789550550840415,3.4382785416500383e-09,0.01652747987445148,0.033048236174374565,False,increasing
clq0.9 tile,kendall,snp,bio17,False,56807,0.04887943834900718,2.1199621946717552e-31,0.040630396365170386,0.05712181761888319,False,increasing
clq0.9 tile,kendall,snp,bio18,False,56807,-0.02336298599126208,2.5617197433509577e-08,-0.03162233664283963,-0.015100444867239724,False,decreasing
clq0.9 tile,kendall,snp,bio19,False,56807,0.06061978660410278,2.1294396262512524e-47,0.052380574797107074,0.0688507460277516,False,increasing
clq0.9 tile,kendall,snp,pc1,False,56807,-0.005238683979181182,0.2118185448986018,-0.013503556380483808,0.0030269041930103806,True,decreasing
clq0.9 tile,kendall,sv,bio1,False,4481,-0.05859277573760559,8.691228909142312e-05,-0.08787182274950228,-0.02921257560114546,False,decreasing
clq0.9 tile,kendall,sv,bio2,False,4481,-0.1728657167576655,2.1309627479267756e-31,-0.2012723112022842,-0.14416860507142307,False,decreasing
clq0.9 tile,kendall,sv,bio3,False,4481,0.05198496311503528,0.0004990410773572312,0.022588948157389235,0.08129116676896563,False,increasing
clq0.9 tile,kendall,sv,bio4,False,4481,-0.1965170993766021,2.986242421291678e-40,-0.2246483952597406,-0.16805850959669422,False,decreasing
clq0.9 tile,kendall,sv,bio5,False,4481,-0.07689765163993142,2.553340709182078e-07,-0.10608813397733696,-0.047574745189351585,False,decreasing
clq0.9 tile,kendall,sv,bio6,False,4481,-0.1889389879785018,2.771072993228026e-37,-0.2171620154198946,-0.16040033248626331,False,decreasing
clq0.9 tile,kendall,sv,bio7,False,4481,-0.20553432367811922,6.04245970055316e-44,-0.2335521431879697,-0.1771754821232628,False,decreasing
clq0.9 tile,kendall,sv,bio8,False,4481,-0.09361046986879021,3.42180955158612e-10,-0.1227029967519259,-0.06435719973485357,False,decreasing
clq0.9 tile,kendall,sv,bio9,False,4481,-0.18230107747477295,8.715345086052214e-35,-0.21060172657839688,-0.15369511154864612,False,decreasing
