,gene,SNPs,hits,Z,top_candidate_p
2,1_1006,2,0,2.182830331662711,1.0
3,1_1009,2,0,1.5321606874613607,1.0
4,1_1010,8,0,2.2921514258835067,1.0
5,1_1013,2,0,0.6502097075305059,1.0
6,1_1014,2,0,-1.496250110374528,1.0
7,1_1020,1,0,1.6433441136375913,1.0
8,1_1024,1,0,-2.344707726320691,1.0
9,1_1026,13,0,0.6190173274559053,1.0
10,1_1032,3,0,0.16287950368282308,1.0
11,1_1037,23,4,4.9953082932125055,7.60525098813713e-05
12,1_1040,1,0,1.3022303004339304,1.0
13,1_1041,7,0,0.036021251305389565,1.0
14,1_1042,9,0,2.2448647961792823,1.0
15,1_1044,3,0,0.8912458865587638,1.0
16,1_1046,2,0,1.5959752947559802,1.0
17,1_1048,1,0,-1.4799132469206768,1.0
18,1_1050,8,0,-0.03929759272172051,1.0
19,1_1054,3,0,2.3987580117895257,1.0
20,1_1055,1,0,-1.5483064178850658,1.0
21,1_1058,19,1,0.31749163311571366,0.1738313761644134
22,1_1059,6,0,1.8073441100267158,1.0
23,1_106,19,2,1.6306523352246054,0.015273761488896639
24,1_1062,1,0,2.3202632659263283,1.0
26,1_1066,12,0,-0.7115045954166073,1.0
27,1_1067,33,0,1.9196511297616679,1.0
28,1_1068,1,0,-1.1553659486195866,1.0
29,1_1070,2,0,-1.553760565349958,1.0
30,1_1071,6,1,2.7873571490613798,0.058519850599000056
31,1_1072,1,0,-1.2454700990119005,1.0
33,1_1074,3,0,1.7591609767149325,1.0
34,1_1077,25,1,1.5604102434145268,0.2221786406008534
37,1_1080,12,1,-0.342959173816504,0.11361512828387083
38,1_1081,2,0,-0.42326004995819116,1.0
39,1_1082,19,0,0.9286836335554907,1.0
40,1_1086,5,3,3.142259606571331,9.850600000000027e-06
41,1_1087,3,0,0.9363407866887536,1.0
42,1_1089,8,0,0.49343197628459246,1.0
43,1_109,5,0,-1.345100510206874,1.0
44,1_1092,1,0,1.6434823799949367,1.0
45,1_1095,1,0,1.1743252131905884,1.0
46,1_1096,1,0,1.6144853130557624,1.0
48,1_110,3,0,1.2444960014248203,1.0
49,1_1109,1,0,-1.6409393771290406,1.0
50,1_1119,2,0,2.3509066114865913,1.0
51,1_112,1,0,-0.7619872732100536,1.0
52,1_1122,34,3,3.7206418356348885,0.004746994797058528
53,1_1123,19,0,-0.09796414868382732,1.0
54,1_1126,17,0,1.3827126907987997,1.0
55,1_1127,8,0,2.315025070794772,1.0
56,1_1128,2,0,0.75030227334805,1.0
57,1_1130,1,0,1.7610438350907545,1.0
58,1_1132,5,0,0.30722065643596147,1.0
59,1_1136,11,0,2.32193330845594,1.0
60,1_1141,1,0,0.18902995412237722,1.0
61,1_1142,1,0,1.2932688797962926,1.0
62,1_1143,2,0,0.3396391425049269,1.0
63,1_1145,1,0,0.6722868180414334,1.0
64,1_1147,3,0,0.9842287297400251,1.0
