gene,SNPs,hits,Z,top_candidate_p,Z_pVal
1_0,47,3,1.6569889317680442,0.01168584739977607,0.6021232505234702
1_100,45,2,3.561155478400992,0.07463929299800556,0.13019586664633054
1_1006,2,0,1.9839499800250382,1.0,0.16604277425619773
1_1009,2,0,0.34649713743235777,1.0,0.6458976045735378
1_1010,8,0,2.8281121808726066,1.0,0.06874208981537211
1_1013,2,0,-1.0505471860836146,1.0,0.9358833782964222
1_1014,2,0,1.33419641848109,1.0,0.33122356483355164
1_1020,1,0,1.3722706463345338,1.0,0.31068210568950094
1_1024,1,0,-0.5069563016529567,1.0,0.8542242404742273
1_1026,13,1,1.710977463240983,0.12247897700103212,0.32079233442228283
1_1032,3,0,0.8603568853433965,1.0,0.4906910250295069
1_1037,23,5,5.229141338892817,2.8952782407299077e-06,0.0017813197723449692
1_1040,1,0,-0.7131279265671309,1.0,0.8896420997143568
1_1041,7,0,-0.23500123128926267,1.0,0.8297515706228964
1_1042,9,0,0.7836745325503383,1.0,0.5705625023310401
1_1044,3,0,-0.282430943640454,1.0,0.8189002708757978
1_1046,2,0,0.24713044179306606,1.0,0.6757469808228701
1_1048,1,0,-1.0047463571072848,1.0,0.9285320684847572
1_1050,8,0,-1.7081458151369995,1.0,0.9844178142627336
1_1054,3,0,1.713597206679817,1.0,0.23543131917676363
1_1055,1,0,-0.021893386901872657,1.0,0.7437633056371478
1_1058,19,1,-1.143186510335496,0.1738313761644134,0.9696389939223418
1_1059,6,0,-0.40452901655128004,1.0,0.8577778159504833
1_106,19,1,1.0134412109911008,0.1738313761644134,0.5839529705966836
1_1062,1,0,2.0931641027537693,1.0,0.1382986550953953
1_1064,56,2,3.8586734021171596,0.10820013753576062,0.13363381103527927
1_1066,12,2,1.14762437152522,0.006174537772824754,0.48240023432005963
1_1067,33,2,2.1829629093015765,0.04302595653563324,0.35184288449145185
1_1068,1,0,0.21523385107595341,1.0,0.6770905484565328
1_1070,2,0,0.38213750082806835,1.0,0.6349569185441715
1_1071,6,1,0.9570936820668876,0.058519850599000056,0.4878461732464394
1_1072,1,0,0.12522452742816828,1.0,0.7032440052412583
1_1073,42,4,3.196288928971945,0.0008264843165214276,0.1765208941617098
1_1074,3,0,1.5643549434587902,1.0,0.2745754842199958
1_1077,25,1,2.407750782546772,0.2221786406008534,0.23524418349593268
1_1078,139,17,6.045717785172613,8.620418463001281e-14,0.10876254500472216
1_1079,149,13,3.634335108630266,4.720924421421236e-09,0.5866970545679966
1_1080,12,2,-0.17816206033500176,0.006174537772824754,0.8423723290909065
1_1081,2,0,0.45998585825524685,1.0,0.610685056372257
1_1082,19,2,0.2044816591060401,0.015273761488896639,0.7984228682087232
1_1086,5,1,3.0903020704354986,0.049009950100000046,0.03709865097298415
1_1087,3,0,0.7933708870593204,1.0,0.5125413775412713
1_1089,8,1,1.455355307996666,0.07725530557207996,0.3506246864920768
1_109,5,0,0.14945609027777265,1.0,0.7261600776115766
1_1092,1,0,1.4204531112377183,1.0,0.29680076116332843
1_1095,1,0,0.7967644244628888,1.0,0.492160479476206
1_1096,1,0,1.0761122001729,1.0,0.4013484961073688
1_11,63,4,5.153582205492093,0.0037262424020537014,0.03220178496269066
1_110,3,0,0.3940863973985206,1.0,0.639812585679894
1_1109,1,0,1.0042026605229528,1.0,0.4244200122556503
