gene,SNPs,hits,Z,top_candidate_p,Z_pVal
1_0,46,6,0.6596896281198165,6.6464182114075335e-06,0.2817417350607796
1_100,42,2,-3.0942637325723883,0.06618232221258309,0.9346280968633202
1_1006,2,0,2.326453377017932,1.0,0.08347925395036504
1_1009,2,1,2.0110062758516385,0.01990000000000002,0.11844745176695648
1_1010,8,1,3.0374753424333707,0.07725530557207996,0.03280823330338922
1_1013,2,0,0.31470035310827804,1.0,0.4556997350457832
1_1014,2,0,-0.5216246665123213,1.0,0.6616645219350245
1_1020,1,0,1.5908005018033162,1.0,0.18085993046656612
1_1024,1,0,-0.1680871987316156,1.0,0.580498757895627
1_1026,13,3,1.56778146345997,0.00026530529471721815,0.16942415799807964
1_1032,3,0,-1.3307791716209465,1.0,0.820167907101136
1_1037,22,5,-4.8869052131740185,2.2848314242291675e-06,0.9974625348505116
1_1040,1,0,-0.2619387034674461,1.0,0.603600708123279
1_1041,7,2,-0.18735657940219394,0.0020310416349400033,0.5635437730999542
1_1042,9,2,3.352236406895543,0.0034357300178462975,0.020861245708993392
1_1044,3,0,0.8207065552192613,1.0,0.33072335350881876
1_1046,2,0,0.30389489464855207,1.0,0.4584069220885477
1_1048,1,0,-0.220100763759647,1.0,0.5933418458991995
1_1050,8,0,0.25921313506190863,1.0,0.45035866877424846
1_1054,3,1,-0.9538761018891386,0.029701000000000026,0.7513745128167939
1_1055,1,0,0.6972328882570261,1.0,0.36485695372243754
1_1058,19,4,-0.06996903570619747,3.437030184053091e-05,0.496373580084309
1_1059,4,1,1.7806748833227999,0.039403990000000035,0.14762306028812233
1_106,14,4,-0.17937858853046804,9.238553999224518e-06,0.5380181204569126
1_1062,1,0,-2.6180185389592436,1.0,0.9605073162166283
1_1064,55,4,-4.1029182703667955,0.002272285419051054,0.9724706359866108
1_1066,12,2,0.8728579426988482,0.006174537772824754,0.2984818465367143
1_1067,31,1,0.6427231265455604,0.2676966303456026,0.30886676950001424
1_1068,1,0,1.3664579199234144,1.0,0.22069641304414378
1_1070,2,0,0.6976820736190422,1.0,0.3619720286943713
1_1071,3,0,-0.5516357221098411,1.0,0.6648342713491102
1_1072,1,0,-0.7163099245425522,1.0,0.7091086310309139
1_1073,40,3,-2.598683260853422,0.007497363395395961,0.8957041830420029
1_1074,3,0,-2.3695318537187378,1.0,0.9417561766854529
1_1077,22,2,0.34030485152479123,0.020229279452277163,0.3926872504500687
