gene,SNPs,hits,Z,top_candidate_p,Z_pVal
1_0,46,12,4.126038289961029,2.839624512541157e-14,0.15689561603260116
1_100,42,11,8.549458717107333,3.2184137998363965e-13,6.253756282681433e-05
1_1006,2,0,1.8117785513663947,1.0,0.33254491399442765
1_1009,2,1,2.4875922064898193,0.01990000000000002,0.18192652613161564
1_1010,8,0,1.8200453681250712,1.0,0.38236320289182624
1_1013,2,0,0.5529485609395065,1.0,0.6744236068016229
1_1014,2,1,1.5592278746169765,0.01990000000000002,0.39923280376461157
1_1020,1,1,2.476386328416501,0.010000000000000009,0.17725065715706945
1_1024,1,0,-1.674426542350092,1.0,0.9773948929731553
1_1026,13,3,1.3221166934716226,0.00026530529471721815,0.5587517504614925
1_1032,3,0,2.007672780889497,1.0,0.29242457710984715
1_1037,22,7,5.587257743236421,1.4950000972233536e-09,0.0064470219533758755
1_1040,1,0,1.0151702064798853,1.0,0.5418362034692006
1_1041,7,2,-0.4800167006076472,0.0020310416349400033,0.8975479020789707
1_1042,9,3,2.709246806410779,8.029476538112821e-05,0.18745426751340677
1_1044,3,0,1.9516848727006433,1.0,0.3060465115058524
1_1046,2,0,-0.41586462415098163,1.0,0.8714588588149348
1_1048,1,0,2.0119675857957997,1.0,0.27484489673661816
1_1050,8,1,1.6154217269505016,0.07725530557207996,0.43709617550234303
1_1054,3,1,-0.15915360304691378,0.029701000000000026,0.8344369453859701
1_1055,1,0,0.7068388637623203,1.0,0.6265018574417547
1_1058,19,4,3.2617453380933603,3.437030184053091e-05,0.15305332628155988
1_1059,4,2,3.176873065649288,0.000592030000000001,0.09034681982497572
1_106,14,2,2.233010916151718,0.008401244011166185,0.32737393166880946
1_1062,1,1,3.173356444824131,0.010000000000000009,0.07814830136303663
1_1064,55,9,6.924725404893064,4.1987311992265485e-09,0.005788103792322752
1_1066,12,4,2.8645340970287836,4.642283320235311e-06,0.1785164221795008
1_1067,31,6,2.14242006151739,5.939976718832596e-07,0.4823207561837124
1_1068,1,0,0.7726229807338248,1.0,0.6087984856684971
1_1070,2,0,-1.5025212312310048,1.0,0.9711071854011449
1_1071,3,0,0.9857495210268865,1.0,0.5673707134133403
1_1072,1,0,0.5379939867865251,1.0,0.6706577892069369
1_1073,40,9,3.3672092229530453,2.0668740272086435e-10,0.2574780279665523
