method,regime,n_records,MAE,RMSE,R2,slope,|err|>0.10 frac
global,n231_g0,2048651.0,0.004707589335929255,0.007564652104438612,0.9986266037629918,1.0007806569884987,0.0
global,n231_g1,2048651.0,0.007011238723690419,0.012499584697047377,0.9961354514852155,0.9977682612452654,0.0008844844729531774
global,n50_g0,2045541.0,0.004763009904387151,0.007958797550058787,0.9985619313969274,1.0029318023479918,8.31075984299508e-06
global,n50_g1,2045201.0,0.011510576069190263,0.019600050263544253,0.9912151049598059,0.992160959721895,0.001386171823698502
global,n50_g3,2040234.0,0.0269985819860869,0.04877583002722292,0.9488733641172546,0.9540701820592716,0.07057768863767587
global,n50_g3_dom500,2036004.0,0.04608847843149034,0.08692617599875581,0.8573103995458604,0.9856776051423595,0.16910281119290532
star2,n231_g0,2048651.0,0.008612375561556071,0.015093962398639452,0.9944591813830534,0.9950244728823378,0.0012515552917505227
star2,n231_g1,2048651.0,0.009410168664918579,0.01732595004265707,0.9926521561636834,0.9931874327111412,0.0026568703014813165
star2,n50_g0,2045541.0,0.008499556194255704,0.016113094496929277,0.9940206701990263,0.9990967214699017,0.0014837150660876512
star2,n50_g1,2045201.0,0.011241368034442575,0.020353881573836403,0.9906286587764712,0.9918685756301944,0.002607567666943249
star2,n50_g3,2040234.0,0.018320617891679086,0.03315587644758635,0.9764398327169421,0.9728864727105339,0.017711203714868
star2,n50_g3_dom500,2035929.0,0.04466148511622063,0.08732833698705282,0.8610072687194532,1.0066155989344687,0.1575585396150848
