founder	side	K_f	max_jacc_other	mean_jacc_to_cactus	mean_jacc_to_PG	nn_founder	nn_side	h_filt2	h_hf	err	accession_name
10002	cactus	2245446	0.6795287342826717	0.5860473616329762	0.6127438464224226	9920	PG	0.01296903921256304	0.006943	0.00602603921256304	TueWa1-2
10006	cactus	2118324	0.6450939173120206	0.586449299765748	0.611717306995684	9719	PG	0.0018359547318836514	0.003456	-0.0016200452681163484	Kastel-1
159	cactus	2233855	0.6527708988069458	0.5858617103824594	0.6123267045295665	6958	cactus	0.004996305053129875	0.003859	0.001137305053129875	MAR2-3
5784	cactus	2232220	0.6616379214205738	0.5723295242537639	0.5913361711762676	9427	PG	0.0028624154176675335	0.003236	-0.0003735845823324667	Ty-1
5811	cactus	2268600	0.6473224300130843	0.5783772186784918	0.6072257559638164	5768	PG	0.005732117969772352	0.003145	0.002587117969772352	UKID107
6150	cactus	2236625	0.7859655188596187	0.585243901708834	0.6074827822876792	6040	PG	0.0032672774590704126	0.002833	0.0004342774590704126	T980
6184	cactus	2274493	0.7541742827416082	0.5702947437656343	0.5913079384133372	8376	PG	0.012696638499764445	0.004632	0.008064638499764444	TBÖ 01
6244	cactus	2258986	0.7908964947028047	0.5728274463068391	0.5946071543061845	9427	PG	0.009392989164112305	0.005027	0.004365989164112304	TRÄ 01
6898	cactus	2253101	0.6591845469615613	0.5892706610896641	0.6119110928093917	7143	cactus	0.00280199352943762	0.003124	-0.00032200647056238	An-1
6911	cactus	2103355	0.6562447094410496	0.5607316509180411	0.5730476781144579	9940	cactus	0.0022831522583387485	0.004329	-0.002045847741661252	Cvi-0
6915	cactus	2300817	0.95718754690618	0.5886089789159328	0.6123246614840644	8387	cactus	0.0035938913973439647	0.002337	0.0012568913973439646	Ei-2
6929	cactus	2261910	0.8245792940226911	0.5850776444301404	0.5921008209507057	768	cactus	0.002166694313286524	0.004302	-0.002135305686713476	Kondara
6932	cactus	2279634	0.9792885446810873	0.5815364994794656	0.6065520145212551	7209	PG	0.009868551403852259	0.00848	0.001388551403852259	Ler-1
6938	cactus	2275290	0.7262677828830002	0.5837565905681359	0.6016511171404005	8354	cactus	0.010762919215573584	0.005317	0.005445919215573585	Ms-0
6939	cactus	2271375	0.6520818172748506	0.5867175855734846	0.6124494105604742	7282	PG	0.00489675550445985	0.002887	0.00200975550445985	Mt-0
