founder	side	K_f	K_priv_f	cov_pg_shortread	cov_cactus_loo_shortread	cov_cactus_ont_text
10002	cactus	2268353	22907		23.30542917777778	
10006	cactus	2344752	226428		11.86896865925926	
159	cactus	2267081	33226		30.709826666666668	
5784	cactus	2291241	59021		29.633573333333334	
5811	cactus	2298494	29894		35.60337481481481	
6150	cactus	2252023	15398		34.70010026666667	
6184	cactus	2291064	16571		43.9829936	
6244	cactus	2273002	14016		21.2674752	
6898	cactus	2279825	26724		13.075858014814814	
6911	cactus	2398003	294648		55.14074201481481	
6915	cactus	2304703	3886		17.955377496296297	
6929	cactus	2282083	20173		17.526298074074074	
6932	cactus	2282611	2977		39.946555555555555	
6938	cactus	2318716	43426		24.189929437037037	
6939	cactus	2304256	32881		74.89511481481482	
6945	cactus	2298040	32603		30.494561911111113	
6958	cactus	2273670	42614		21.460596711111112	
6963	cactus	2308410	39069		13.20188357037037	
6979	cactus	2287985	48379		21.44541828148148	
7000	cactus	2307029	20472		13.5433728	
7002	cactus	2273910	27443		76.98606642962963	
7003	cactus	2300694	26377		15.782472474074074	
7025	cactus	2304313	61707		15.495578607407408	
7063	cactus	2333480	141105		23.36829217777778	
7092	cactus	2269806	26024		16.877215214814814	
7127	cactus	2275996	27421		15.589929066666667	
7143	cactus	2290058	23162		28.993184192592594	
7164	cactus	2465172	379422		14.558546992592593	
7186	cactus	2285061	56498		21.7984676	
7217	cactus	2290089	40610		17.05241056296296	
7255	cactus	2295245	28987		13.579797140740741	
7288	cactus	2304818	36455		25.213260622222222	
7298	cactus	2306376	18422		14.248919896296297	
7316	cactus	2302865	32434		14.39008797037037	
7323	cactus	2289400	68623		24.325460962962964	
7346	cactus	2275261	37360		17.81691111111111	
7347	cactus	2285236	17386		19.766903022222223	
7372	cactus	2270320	35424		25.243688622222223	
7378	cactus	2304337	27811		13.397002103703704	
7411	cactus	2286994	26854		14.286023555555555	
763	cactus	2306095	19618		28.308100444444445	
765	cactus	2330199	43076		12.430960296296297	
766	cactus	2308016	33939		15.253067881481481	
768	cactus	2288064	10709		14.152081096296296	
772	cactus	2312384	25619		20.485448444444444	
8214	cactus	2271471	23977		14.219139111111112	
8230	cactus	2336649	117037		31.674893807407408	
8231	cactus	2281256	37761		25.400334933333333	
8247	cactus	2260069	21402		22.185413333333333	
8249	cactus	2283353	45762		25.008726637037036	
8351	cactus	2295843	39229		51.77632444444444	
8354	cactus	2331490	47182		16.6252868	
8387	cactus	2305637	3601		23.673987614814816	
9416	cactus	2280683	36460		30.962723140740742	15.0
9470	cactus	2318015	51646		50.27102642962963	
9506	cactus	2288545	67235		37.01732740740741	
9518	cactus	2340434	136945		26.449445925925925	11.0
9537	cactus	2302665	27000		25.709266666666668	
9542	cactus	2368743	178582		28.463614814814814	14.0
9549	cactus	2362705	139220		34.28702666666667	
9555	cactus	2371367	206531		31.229112592592593	
9557	cactus	2318871	53141		25.44953925925926	
9559	cactus	2298242	66860		24.317165925925927	
9564	cactus	2332313	55909		24.77149777777778	9.0
9565	cactus	2288459	59523		23.648214814814814	
9594	cactus	2311188	46965		29.16973037037037	
9600	cactus	2389182	239364		34.48967259259259	
9606	cactus	2498623	360393		17.377823703703704	
9637	cactus	2316917	19969		16.508835555555557	
9653	cactus	2304077	87042		17.398216296296297	
9758	cactus	2328729	64930		13.921311807407408	
9759	cactus	2316740	99795		13.041157407407407	
9764	cactus	2470064	317391		115.90075145185185	
9837	cactus	2376832	201654		28.155351111111113	
9879	cactus	2382297	225004		28.973325925925927	
9910	cactus	2277002	27165		23.990847407407408	
9940	cactus	2340112	168287			
9992	cactus	2320551	136042			
100001	PG	2124665	4221	0.0		
100002	PG	2127660	5290	0.0		
10011	PG	2226921	28381	19.365843777777776		
10013	PG	1929951	6588	6.5495656222222225		
10014	PG	2173728	25257	15.641853014814815		
265	PG	2277639	49812	40.825108148148146		
5151	PG	2222906	2917	19.26070074074074		
5165	PG	2228357	2599	19.718305185185184		
5768	PG	2212158	1204	38.94725925925926		
6013	PG	2217867	150	37.218975585185184		
6025	PG	2214191	1617	29.086542103703703		
6040	PG	2217381	1360	22.863227496296297		
6073	PG	2218477	1528	46.52825724444445		
6074	PG	2191782	2343	25.173800888888888		
6108	PG	2199759	2683	35.280297777777776		
6177	PG	2226773	874	36.66531727407408		
6180	PG	2254858	4570	33.122626251851855		
6188	PG	2182925	827	28.85213108148148		
6195	PG	2210215	953	37.10135911111111		
6209	PG	2230984	253	45.492622696296294		
6216	PG	2221663	326	83.63016468148147		
6243	PG	2183239	4215	25.10877528888889		
6940	PG	2254428	4658	15.255515822222222		
6961	PG	2214921	24720	19.79430768888889		
6987	PG	2229499	3354	12.754877022222223		
7008	PG	2249866	990	14.593856592592592		
7013	PG	2242190	2301	15.820586133333334		
7028	PG	2205510	2517	17.022821303703704		
7031	PG	2221553	3076	12.694971303703703		
7036	PG	2258031	3217	23.82414634074074		
7062	PG	2262021	2240	26.17747177777778		
7067	PG	2292691	4335	19.179340311111112		
7071	PG	2225915	2237	18.229491496296298		
7077	PG	2156507	7846	14.827916237037037		
7103	PG	2218369	4077	13.343047155555556		
7106	PG	2230206	3975	14.375120518518518		
7125	PG	2239761	1615	23.39695225185185		
7126	PG	2213257	1320	18.23134091851852		
7165	PG	2239849	2084	16.71507205925926		
7203	PG	2243483	3770	26.369986755555555		
7209	PG	2283782	0	30.050724518518518		
7218	PG	2217241	1881	13.481129866666667		
7244	PG	2227509	2617	12.584008962962963		
7268	PG	2218927	3699	13.314376622222222		
7273	PG	2274667	37246	23.461884355555554		
7276	PG	2219997	3252	15.823866014814815		
7282	PG	2235061	2253	29.41143491851852		
7287	PG	2236810	1225	82.33635813333333		
7296	PG	2229575	1894	17.147671111111112		
7333	PG	2152535	3005	11.823449037037037		
7353	PG	2219692	1498	14.119946637037037		
7384	PG	2255286	2246	15.42321322962963		
7394	PG	2197862	2425	17.263952444444445		
7404	PG	2219875	1319	13.98585754074074		
7521	PG	2235194	5729	65.82456391111111		
8240	PG	2204778	3060	28.65127828148148		
8311	PG	2194086	3732	12.967925674074074		
8312	PG	2225032	3378	15.8538892		
8357	PG	2244757	7777	106.00766528888889		
8376	PG	2239215	293	35.779514222222225		
9057	PG	2212610	5303	41.16346228148148		
9058	PG	2201376	2026	70.41729851851852		
9323	PG	2227633	210	41.71326204444444		
9371	PG	2221914	926	48.274375822222225		
9394	PG	2223086	2971	42.34450791111111		
9427	PG	2238341	642	46.34937688888889		
9481	PG	2220728	2550	30.226331555555557		
9507	PG	1912650	260	23.53051111111111		
9510	PG	2133731	895	26.453798518518518		
9512	PG	2242805	1053	32.31555703703704		
9517	PG	2191456	8476	18.58758074074074		
9521	PG	2214896	5172	26.46344296296296		
9522	PG	2241900	2083	24.86389925925926		
9523	PG	2219572	3483	28.761263703703705		
9524	PG	2232207	1482	26.045715555555557		
9526	PG	2212845	8744	28.384254814814813		
9527	PG	2162756	1928	29.571857777777776		
9528	PG	2197874	6836	17.543506666666666		
9529	PG	2205613	3308	27.899936296296296		
9534	PG	2229134	3184	34.07563259259259		
9535	PG	2194432	4977	27.455202962962964		
9539	PG	2194795	2309	21.846263703703702		
9544	PG	2248502	1238	27.714539259259258		
9547	PG	2225479	6154	24.187831111111112		
9548	PG	2228397	3344	36.72422334814815		
9560	PG	2250374	1552	24.33442962962963		
9562	PG	2217015	3824	20.856503703703705		
9574	PG	2193715	13811	26.460183703703702		
9577	PG	2225011	5613	28.164094814814813		
9579	PG	2226550	3104	23.98942962962963		
9584	PG	2204443	2532	25.276245925925927		
9586	PG	2217753	1306	25.717674074074075		
9587	PG	2213247	6789	25.484284444444445		
9591	PG	2202877	2925	27.137672592592594		
9595	PG	2205487	5263	24.653672592592592		
9596	PG	2205419	8463	20.095997037037037		
9597	PG	2202267	2596	28.81259851851852		
9598	PG	2205616	12618	22.974638518518518		
9602	PG	2210809	2412	36.58608148148148		
9612	PG	2237539	8078	17.982124444444445		
9619	PG	2281427	1253	16.920244444444446		
9625	PG	2261886	8895	20.392792592592592		
9629	PG	2253555	1758	18.12409037037037		
9632	PG	2273627	673	14.514937777777778		
9634	PG	2198142	121	18.473208888888887		
9640	PG	2263728	1784	18.50470074074074		
9643	PG	2283996	361	17.725927407407408		
9649	PG	2153320	2956	19.11261777777778		
9657	PG	2180162	3656	15.309754074074075		
9659	PG	2166490	3991	20.652517037037036		
9697	PG	2151393	3608	32.21489481481481		
9698	PG	2160639	2193	21.23226222222222		
9699	PG	2158267	4770	16.762447407407407		
9713	PG	2153091	2683	17.740462222222224		
9716	PG	2110057	7901	16.337574814814815		
9719	PG	2116937	3910	14.408303703703703		
9723	PG	2172776	4080	13.089712592592592		
9726	PG	2128685	5219	16.54036		
9736	PG	2135788	6396	15.20285925925926		
