founder	side	K_f	lev_total	lev_c_only	lev_p_only	lev_mixed
10002	cactus	2245446	52158.95941513744	4378.590476190476	0.0	47780.368938946965
10006	cactus	2118324	52644.42260903882	7256.582509157508	0.0	45387.840099881265
159	cactus	2233855	46074.988539927326	4765.398611111111	0.0	41309.5899288162
5784	cactus	2232220	55631.145012238405	6909.2845473367215	0.0	48721.86046490166
5811	cactus	2268600	50270.80943391689	5184.712942612942	0.0	45086.09649130394
6150	cactus	2236625	50515.33554022541	2736.0446428571427	0.0	47779.29089736827
6184	cactus	2274493	55687.878942900716	2215.7000000000003	0.0	53472.17894290073
6244	cactus	2258986	54031.789312489025	2004.6163003663003	0.0	52027.1730121228
6898	cactus	2253101	47480.231480993236	4841.333333333334	0.0	42638.89814765995
6911	cactus	2103355	69485.65584077586	30410.652687590187	0.0	39075.00315318568
6915	cactus	2300817	50046.777325214025	11371.368528693529	0.0	38675.408796520496
6929	cactus	2261910	45864.51496255194	5045.886291486291	0.0	40818.62867106566
6932	cactus	2279634	63974.73647231584	386.032967032967	0.0	63588.70350528291
6938	cactus	2275290	57739.29621553158	13248.130182257357	0.0	44491.16603327426
6939	cactus	2271375	50636.409322148225	3188.3586080586083	0.0	47448.05071408958
6945	cactus	2265437	52447.64289712325	4771.453052503052	0.0	47676.189844620225
6958	cactus	2231056	49586.44677418082	5709.617063492064	0.0	43876.829710688726
6963	cactus	2269341	53590.96102052661	9430.009475186649	0.0	44160.95154534
6979	cactus	2239606	55152.84129642875	5782.9663003663	0.0	49369.8749960624
7000	cactus	2286557	52913.85541352187	5881.003846153846	0.0	47032.85156736803
7002	cactus	2246467	48174.41453937838	3601.182967032967	0.0	44573.23157234535
7003	cactus	2274317	50373.731906839326	7830.597893772893	0.0	42543.134013066396
7025	cactus	2242606	52472.694654298095	3248.139957264957	0.0	49224.55469703313
7063	cactus	2192375	64070.31351418295	11023.13849206349	0.0	53047.17502211945
7092	cactus	2243782	50519.29845011925	5377.392063492063	0.0	45141.906386627175
7127	cactus	2248575	61632.45680144931	3020.921681036355	0.0	58611.53512041299
7143	cactus	2266896	50655.85607817626	3815.444841269841	0.0	46840.41123690644
7164	cactus	2085750	91442.84133107055	36640.85518225736	0.0	54801.98614881321
7186	cactus	2228563	58464.29840302658	6529.6536254808	0.0	51934.644777545764
7217	cactus	2249479	50614.981011996984	5415.319047619048	0.0	45199.66196437792
7255	cactus	2266258	53865.373692297275	3221.0333333333333	0.0	50644.340358963906
7288	cactus	2268363	51215.99693248596	5844.201465201465	0.0	45371.79546728452
7298	cactus	2287954	59072.539922924145	3037.116941391941	0.0	56035.42298153229
7316	cactus	2270431	47724.85886161683	4665.51336996337	0.0	43059.345491653476
7323	cactus	2220777	53033.0908886913	5178.420021645022	0.0	47854.67086704631
7346	cactus	2237901	50201.84928896516	3167.64246031746	0.0	47034.20682864768
7347	cactus	2267850	59933.99358736724	2829.9726495726495	0.0	57104.02093779465
7372	cactus	2234896	52117.00320956965	4776.6413003663	0.0	47340.361909203275
7378	cactus	2276526	52300.387188086264	5454.968131868131	0.0	46845.41905621811
7411	cactus	2260140	52033.50561793009	4613.978571428571	0.0	47419.52704650152
763	cactus	2286477	58043.8479055531	11445.85	0.0	46597.99790555313
765	cactus	2287123	58215.00391926746	13871.293434343434	0.0	44343.71048492403
766	cactus	2274077	54784.79660871163	12790.18353723571	0.0	41994.61307147594
768	cactus	2277355	52652.03318337509	9573.610101010101	0.0	43078.42308236503
772	cactus	2286765	50609.05428284809	7016.075974025974	0.0	43592.97830882216
8214	cactus	2247494	46761.89992147802	3589.625228937729	0.0	43172.27469254035
8230	cactus	2219612	55903.71298509214	8626.763324175823	0.0	47276.949660916325
8231	cactus	2243495	53270.658765975415	4692.323015873016	0.0	48578.335750102415
8247	cactus	2238667	47076.15697283626	3700.2023809523807	0.0	43375.95459188392
8249	cactus	2237591	54122.16275632629	5685.598778998779	0.0	48436.56397732754
8351	cactus	2256614	48145.63840434989	3765.4662698412694	0.0	44380.172134508684
8354	cactus	2284308	64071.785858494135	14150.948833051007	0.0	49920.83702544316
8387	cactus	2302036	49477.03064717886	11478.618528693529	0.0	37998.41211848533
9416	cactus	2244223	51807.06232824401	3727.244871794872	0.0	48079.81745644912
9470	cactus	2266369	57121.94985255885	6098.380036630037	0.0	51023.56981592884
9506	cactus	2221310	56760.97770212176	7292.255753968253	0.0	49468.72194815349
9518	cactus	2203489	83582.33706934689	25200.631270058442	0.0	58381.70579928842
9537	cactus	2275665	60448.645628781145	3628.7839285714285	0.0	56819.86170020975
9542	cactus	2190161	100966.88967375172	37529.986657726324	0.0	63436.9030160253
9549	cactus	2223485	109946.68473350607	24868.305746970418	0.0	85078.37898653565
9555	cactus	2164836	93474.51753807138	24219.113791703465	0.0	69255.40374636794
9557	cactus	2265730	65684.04513045835	7004.515499717674	0.0	58679.52963074067
9559	cactus	2231382	55516.569828907406	6496.375366300366	0.0	49020.194462607
9564	cactus	2276404	66268.14367579178	7304.821452098626	0.0	58963.322223693125
9565	cactus	2228936	56663.62611616294	6446.56134004884	0.0	50217.06477611405
9594	cactus	2264223	66765.88211492714	8139.308753685927	0.0	58626.573361241244
9600	cactus	2149818	88790.27766261516	26984.10269862987	0.0	61806.1749639853
9606	cactus	2138230	100021.24407483275	64248.91183810151	0.0	35772.332236731294
9637	cactus	2296948	59924.01629184394	3640.65496580714	0.0	56283.36132603679
9653	cactus	2217035	60791.53074504264	4305.856715506715	0.0	56485.67402953586
9758	cactus	2263799	71160.60044843912	22106.092880670054	0.0	49054.507567769055
9759	cactus	2216945	63862.20356064259	5767.530921855921	0.0	58094.672638786615
9764	cactus	2152673	110476.49713830685	32326.254015368686	0.0	78150.24312293812
9837	cactus	2175178	89216.80265596588	29700.456053608224	0.0	59516.34660235766
9879	cactus	2157293	88773.33387052258	28549.766792929287	0.0	60223.56707759339
9910	cactus	2249837	47901.598834828415	4252.111904761904	0.0	43649.48693006656
9940	cactus	2171825	98099.85619908443	61519.75054661521	0.0	36580.10565246925
9992	cactus	2184509	55999.661791233644	7083.422642574817	0.0	48916.23914865883
100001	PG	2120444	67233.83041105246	0.0	4842.300190966258	62391.53022008626
100002	PG	2122370	69258.81116062433	0.0	4902.85464787571	64355.95651274856
10011	PG	2198540	42448.41633101003	0.0	4269.474343904948	38178.94198710505
10013	PG	1923363	30360.237679086862	0.0	3878.8278844590386	26481.40979462781
10014	PG	2148471	54980.471463816335	0.0	5464.221977545173	49516.249486271125
265	PG	2227827	49294.03070090066	0.0	9994.88061275215	39299.1500881485
5151	PG	2219989	39499.585451779676	0.0	2962.2129331936594	36537.372518585995
5165	PG	2225758	40614.26612769835	0.0	2051.6833972622617	38562.58273043605
5768	PG	2210954	37832.649492832956	0.0	3209.384606660943	34623.264886171964
6013	PG	2217717	40908.98649748381	0.0	2528.160764809755	38380.82573267407
6025	PG	2212574	39533.41418305101	0.0	2164.9602172430677	37368.45396580794
6040	PG	2216021	41362.913054261146	0.0	1858.343072512067	39504.569981749075
6073	PG	2216949	40942.082254419765	0.0	1784.0834938612911	39157.99876055847
6074	PG	2189439	39930.19874612396	0.0	2863.8002746513175	37066.39847147265
6108	PG	2197076	37934.58776339457	0.0	3004.70453503099	34929.88322836359
6177	PG	2225899	43322.41251822468	0.0	1373.360921050841	41949.051597173864
6180	PG	2250288	57991.44930876495	0.0	1806.9330936681135	56184.51621509687
6188	PG	2182098	36804.43748620216	0.0	3522.3838665509284	33282.05361965121
6195	PG	2209262	36441.58902788207	0.0	2698.43121439283	33743.157813489255
6209	PG	2230731	40568.700260048194	0.0	2089.370233838004	38479.33002621021
6216	PG	2221337	40506.310511892836	0.0	1842.3995078598969	38663.91100403294
6243	PG	2179024	35737.78087464243	0.0	4058.676074741078	31679.104799901375
6940	PG	2249770	43729.84096719675	0.0	3943.4608596905027	39786.38010750622
6961	PG	2190201	45096.07735580385	0.0	9811.523805983687	35284.55354982018
6987	PG	2226145	43535.92241917113	0.0	3314.060079699626	40221.86233947148
7008	PG	2248876	39485.031635586194	0.0	2594.073236540169	36890.95839904601
7013	PG	2239889	41221.06984419644	0.0	2642.934763560137	38578.13508063625
7028	PG	2202993	40390.44617431376	0.0	4616.262183499995	35774.18399081376
7031	PG	2218477	37276.15260096519	0.0	3391.227594120031	33884.92500684515
7036	PG	2254814	40001.51557112601	0.0	2013.3657552101197	37988.14981591587
7062	PG	2259781	40279.256857561224	0.0	1941.9195991550553	38337.33725840617
7067	PG	2288356	64796.65559182043	0.0	1176.525713392139	63620.129878428284
7071	PG	2223678	38861.93298116344	0.0	2336.988919382348	36524.944061781076
7077	PG	2148661	36240.807328511546	0.0	4361.5558809104095	31879.25144760111
7103	PG	2214292	42312.07271970285	0.0	4239.579112782609	38072.49360692026
7106	PG	2226231	36869.376977708045	0.0	3732.879016322256	33136.4979613858
7125	PG	2238146	37652.605031455656	0.0	2056.412152125421	35596.19287933029
7126	PG	2211937	41619.36423098287	0.0	2613.658306263454	39005.7059247194
7165	PG	2237765	39944.418136547974	0.0	2367.2900976382084	37577.12803890983
7203	PG	2239713	41205.784799798115	0.0	4248.444274652338	36957.340525145795
7209	PG	2283782	61598.50647759858	0.0	18.1594577600399	61580.34701983856
7218	PG	2215360	41632.32090823291	0.0	4311.351371562108	37320.9695366708
7244	PG	2224892	37400.10574352095	0.0	1827.9897967642778	35572.1159467567
7268	PG	2215228	42068.05175390535	0.0	2504.782209556684	39563.269544348645
7273	PG	2237421	51705.577636092785	0.0	15465.491890426396	36240.08574566638
7276	PG	2216745	37744.59149073962	0.0	4339.985060363093	33404.606430376516
7282	PG	2232808	37633.9062591161	0.0	2690.0522341726282	34943.85402494348
7287	PG	2235585	39425.29293642191	0.0	2042.1158718404236	37383.177064581505
7296	PG	2227681	41252.61520418228	0.0	6748.624470609506	34503.990733572755
7333	PG	2149530	41013.97308120459	0.0	2585.620183795847	38428.35289740877
7353	PG	2218194	42082.06710223957	0.0	1539.873251502991	40542.193850736556
7384	PG	2253040	39416.795918746335	0.0	2092.589126396041	37324.20679235025
7394	PG	2195437	42694.05503154368	0.0	3378.438382378836	39315.61664916485
7404	PG	2218556	37768.708114262816	0.0	2599.9623377153353	35168.74577654747
7521	PG	2229465	41220.3189958955	0.0	3886.4986106719457	37333.82038522358
8240	PG	2201718	41193.189117340415	0.0	3582.771470682441	37610.41764665797
8311	PG	2190354	41406.286446408456	0.0	2145.3796905438867	39260.90675586458
8312	PG	2221654	38279.45380620253	0.0	3951.9302199048893	34327.52358629767
8357	PG	2236980	44875.49112670069	0.0	6255.612726413644	38619.87840028705
8376	PG	2238922	43334.6230977765	0.0	1536.3897861281375	41798.23331164841
9057	PG	2207307	42681.97783187641	0.0	3660.752179507409	39021.22565236899
9058	PG	2199350	40199.79603479482	0.0	3077.025927113037	37122.77010768179
9323	PG	2227423	40235.467982552225	0.0	838.7576819352921	39396.710300616935
9371	PG	2220988	41491.92171662931	0.0	2674.83664008772	38817.08507654156
9394	PG	2220115	43456.4734377257	0.0	2480.1228460407556	40976.35059168497
9427	PG	2237699	43256.89803603266	0.0	528.6728081003911	42728.225227932286
9481	PG	2218178	40208.208898132405	0.0	2635.2380166872613	37572.97088144513
9507	PG	1912390	22949.619574316894	0.0	364.91197645246257	22584.707597864446
9510	PG	2132836	38172.38918944581	0.0	1137.3757046456958	37035.013484800074
9512	PG	2241752	44208.77530871752	0.0	1000.2327382139227	43208.542570503596
9517	PG	2182980	43963.9826151036	0.0	5296.419138457717	38667.56347664591
9521	PG	2209724	41697.19045627319	0.0	4456.356571087823	37240.83388518533
9522	PG	2239817	45897.45701636512	0.0	2137.633183844355	43759.82383252074
9523	PG	2216089	39371.89944034389	0.0	3172.844652494528	36199.05478784937
9524	PG	2230725	50407.00818244919	0.0	3708.610184889596	46698.397997559565
9526	PG	2204101	40416.890728354745	0.0	5844.1931586528835	34572.69756970189
9527	PG	2160828	40496.75957502494	0.0	2396.2845253322344	38100.47504969271
9528	PG	2191038	56754.07499799166	0.0	3159.72365344365	53594.35134454806
9529	PG	2202305	41707.49476819862	0.0	4045.341789797355	37662.15297840128
9534	PG	2225950	45156.84610449772	0.0	3709.6891318607377	41447.15697263702
9535	PG	2189455	45112.86111016462	0.0	4234.084694235023	40878.77641592955
9539	PG	2192486	40436.89952028703	0.0	2904.318381102913	37532.58113918413
9544	PG	2247264	45879.88718065482	0.0	1731.9888989986362	44147.89828165612
9547	PG	2219325	43946.91863536307	0.0	4732.4470536066365	39214.47158175641
9548	PG	2225053	42800.37029527576	0.0	2430.2029105648344	40370.16738471094
9560	PG	2248822	44995.07352686151	0.0	1631.7392340171818	43363.3342928443
9562	PG	2213191	44874.117829630144	0.0	3355.1375415559974	41518.98028807417
9574	PG	2179904	55737.23310017646	0.0	4843.75977010568	50893.47333007076
9577	PG	2219398	51119.08160135312	0.0	2761.8587066013206	48357.2228947518
9579	PG	2223446	47921.340125092494	0.0	2995.364665074927	44925.97546001759
9584	PG	2201911	39322.473127270474	0.0	3772.148065740266	35550.32506153023
9586	PG	2216447	41729.51281640032	0.0	2976.3513890921417	38753.161427308194
9587	PG	2206458	38327.30824698783	0.0	3313.8971544971737	35013.41109249069
9591	PG	2199952	39105.09090205269	0.0	4091.2651069653343	35013.825795087374
9595	PG	2200224	45118.74405039108	0.0	3771.13261382804	41347.61143656307
9596	PG	2196956	51396.33604589811	0.0	6517.4182494481865	44878.91779644991
9597	PG	2199671	39486.84697210959	0.0	3576.5277295462415	35910.319242563375
9598	PG	2192998	96533.39560329088	0.0	1718.0456336089649	94815.34996968193
9602	PG	2208397	41027.72386751206	0.0	3409.3992899204195	37618.32457759162
9612	PG	2229461	43246.77571725093	0.0	3207.25786568127	40039.517851569675
9619	PG	2280174	46476.4220670302	0.0	3056.1121429587774	43420.30992407142
9625	PG	2252991	46221.98668953287	0.0	3942.4500947840206	42279.53659474884
9629	PG	2251797	45672.61563251208	0.0	3758.167469593912	41914.448162918154
9632	PG	2272954	48826.69471324353	0.0	3718.7265905506174	45107.96812269286
9634	PG	2198021	41202.28648967575	0.0	3042.8776299733577	38159.40885970243
9640	PG	2261944	48522.43065035999	0.0	3831.843941412502	44690.58670894751
9643	PG	2283635	47280.85340416131	0.0	3779.3111045052638	43501.54229965606
9649	PG	2150364	35656.756979394275	0.0	3263.227683148746	32393.529296245513
9657	PG	2176506	43683.85000906348	0.0	2673.6525815622135	41010.19742750124
9659	PG	2162499	36695.63247353707	0.0	2997.556605545606	33698.075867991436
9697	PG	2147785	32131.696663009876	0.0	2649.2526780894477	29482.44398492045
9698	PG	2158446	32788.753145522955	0.0	2497.806613954763	30290.946531568203
9699	PG	2153497	32951.205926028946	0.0	2609.203402779025	30342.002523249925
9713	PG	2150408	34694.253553707735	0.0	3219.9153596648293	31474.338194042895
9716	PG	2102156	34483.29622373612	0.0	3224.500568596446	31258.79565513966
9719	PG	2113027	31679.07410632488	0.0	3129.8852020254467	28549.18890429943
9723	PG	2168696	36063.69532405636	0.0	3451.664446478036	32612.030877578312
9726	PG	2123466	34292.24007886225	0.0	3457.3409140566246	30834.89916480562
9736	PG	2129392	34226.36375403884	0.0	3199.094778475159	31027.268975563675
9737	PG	2273766	47758.42683106068	0.0	2401.264533761329	45357.16229729935
9739	PG	2143998	36310.80941316551	0.0	2938.4420541355366	33372.36735903
9741	PG	2141993	37618.46585620025	0.0	2839.430876353326	34779.03497984696
9743	PG	2076449	29323.249706738916	0.0	2347.0021288637736	26976.247577875143
9748	PG	2070494	29669.622262919547	0.0	2340.3801915163453	27329.242071403205
9749	PG	2148046	34188.64302915995	0.0	4039.8997205130177	30148.74330864693
9761	PG	2214050	39987.79881676878	0.0	4706.944442552094	35280.85437421666
9766	PG	2270137	48631.74623807876	0.0	167.66155404727328	48464.084684031455
9769	PG	2252398	38599.30048472254	0.0	3639.8918571263193	34959.40862759629
9774	PG	2232003	38070.856963910745	0.0	3596.9877184740253	34473.86924543674
9775	PG	2133878	31345.790659143688	0.0	2047.7602185035043	29298.0304406402
9779	PG	2251603	40951.70468730033	0.0	3345.249116011935	37606.45557128836
9781	PG	2215331	39265.4304891679	0.0	3390.147016248092	35875.283472919786
9782	PG	2233882	42501.57116172803	0.0	5474.822746794793	37026.74841493323
9784	PG	2258724	40501.22158241661	0.0	4678.55307239291	35822.6685100237
9803	PG	2238608	38961.676549102325	0.0	4035.0955887045184	34926.58096039781
9804	PG	2227932	37964.630317089795	0.0	2021.4316847091104	35943.198632380656
9813	PG	2214824	39067.48548333111	0.0	5095.794438911125	33971.691044419975
9814	PG	2212868	40054.08503967652	0.0	3790.7086520760145	36263.37638760049
9820	PG	2203011	43845.23402629066	0.0	3866.9668441884737	39978.267182102194
9857	PG	2152652	37122.45477328993	0.0	2947.4799070953654	34174.97486619457
9920	PG	2232055	44147.43138352504	0.0	5712.565731849743	38434.8656516753
9921	PG	2225359	42579.91512696105	0.0	4066.8841242194267	38513.03100274162
9925	PG	2172729	33237.411670124	0.0	1381.6161870896747	31855.79548303432
9933	PG	2245205	47683.29059431607	0.0	7527.701256853394	40155.58933746268
9941	PG	1991978	25693.369072445857	0.0	1058.4029856578454	24634.96608678802
9944	PG	2089089	67382.19555921048	0.0	4280.142224043109	63102.05333516738
9965	PG	2145573	36200.196846231316	0.0	3748.1579127036016	32452.038933527725
9966	PG	2057571	29145.302140019954	0.0	1929.4500367961332	27215.852103223828
9977	PG	1674144	12675.016942672888	0.0	514.4695504292464	12160.547392243632
9978	PG	2071079	37372.86314370387	0.0	2444.928795999527	34927.934347704315
9985	PG	1885206	20737.65422587608	0.0	1353.582195440622	19384.072030435476
5772	cactus	2242879	41297.091368275556	4461.083333333333	0.0	36836.00803494223
9947	cactus	2130269	90340.48414065895	36079.28445165945	0.0	54261.1996889995
