ecotype	source	coverage	base_count	read_count	instrument	panel	GC	nRD
100001	PG (151 short-read founders)	0.0	0.0	0.0	Illumina (xwu lab)	main	0.951644	0.264097
100002	PG (151 short-read founders)	0.0	0.0	0.0	Illumina (xwu lab)	main	0.952333	0.259787
10011	PG (151 short-read founders)	19.365843777777776	2614388910.0	56978496.0	Illumina Genome Analyzer II	main	0.983113	0.115429
10013	PG (151 short-read founders)	6.5495656222222225	884191359.0	23391786.0	Illumina Genome Analyzer II	main	0.923232	0.447119
10014	PG (151 short-read founders)	15.641853014814815	2111650157.0	54599208.0	Illumina Genome Analyzer II	main	0.969729	0.201294
265	PG (151 short-read founders)	40.825108148148146	5511389600.0	27556948.0	Illumina HiSeq 2000	main	0.992293	0.05386
5151	PG (151 short-read founders)	19.26070074074074	2600194600.0	13000973.0	Illumina HiSeq 2000	main	0.985888	0.107331
5165	PG (151 short-read founders)	19.718305185185184	2661971200.0	13309856.0	Illumina HiSeq 2000	main	0.985524	0.111532
5768	PG (151 short-read founders)	38.94725925925926	5257880000.0	26289400.0	Illumina HiSeq 2000	main	0.983615	0.12532
6013	PG (151 short-read founders)	37.218975585185184	5024561704.0	33056327.0	Illumina Genome Analyzer IIx	main	0.985059	0.097825
6025	PG (151 short-read founders)	29.086542103703703	3926683184.0	25833442.0	Illumina Genome Analyzer IIx	main	0.984962	0.099523
6040	PG (151 short-read founders)	22.863227496296297	3086535712.0	20306156.0	Illumina Genome Analyzer IIx	main	0.987956	0.088395
6073	PG (151 short-read founders)	46.52825724444445	6281314728.0	41324439.0	Illumina Genome Analyzer IIx	main	0.983711	0.121408
6074	PG (151 short-read founders)	25.173800888888888	3398463120.0	22358310.0	Illumina Genome Analyzer IIx	main	0.98152	0.133636
6108	PG (151 short-read founders)	35.280297777777776	4762840200.0	31334475.0	Illumina Genome Analyzer IIx	main	0.983473	0.126892
6177	PG (151 short-read founders)	36.66531727407408	4949817832.0	32564591.0	Illumina Genome Analyzer IIx	main	0.987877	0.08074
6180	PG (151 short-read founders)	33.122626251851855	4471554544.0	29418122.0	Illumina Genome Analyzer IIx	main	0.993225	0.145026
6188	PG (151 short-read founders)	28.85213108148148	3895037696.0	25625248.0	Illumina Genome Analyzer IIx	main	0.98065	0.144645
6195	PG (151 short-read founders)	37.10135911111111	5008683480.0	32951865.0	Illumina Genome Analyzer IIx	main	0.984657	0.113403
6209	PG (151 short-read founders)	45.492622696296294	6141504064.0	40404632.0	Illumina Genome Analyzer IIx	main	0.987655	0.082531
6216	PG (151 short-read founders)	83.63016468148147	11290072232.0	74276791.0	Illumina HiSeq 2000	main	0.986021	0.092894
6243	PG (151 short-read founders)	25.10877528888889	3389684664.0	22300557.0	Illumina Genome Analyzer IIx	main	0.979492	0.160469
6940	PG (151 short-read founders)	15.255515822222222	2059494636.0	10195518.0	Illumina HiSeq 2000	main	0.988513	0.104876
6961	PG (151 short-read founders)	19.79430768888889	2672231538.0	13228869.0	Illumina HiSeq 2000	main	0.974165	0.175476
6987	PG (151 short-read founders)	12.754877022222223	1721908398.0	8524299.0	Illumina HiSeq 2000	main	0.987937	0.09649
7008	PG (151 short-read founders)	14.593856592592592	1970170640.0	9753320.0	Illumina HiSeq 2000	main	0.988902	0.088248
7013	PG (151 short-read founders)	15.820586133333334	2135779128.0	10573164.0	Illumina HiSeq 2000	main	0.985802	0.10783
7028	PG (151 short-read founders)	17.022821303703704	2298080876.0	11376638.0	Illumina HiSeq 2000	main	0.983073	0.131158
7031	PG (151 short-read founders)	12.694971303703703	1713821126.0	8484263.0	Illumina HiSeq 2000	main	0.987388	0.106806
7036	PG (151 short-read founders)	23.82414634074074	3216259756.0	15922078.0	Illumina HiSeq 2000	main	0.990258	0.084461
7062	PG (151 short-read founders)	26.17747177777778	3533958690.0	17494845.0	Illumina HiSeq 2000	main	0.990618	0.083053
7067	PG (151 short-read founders)	19.179340311111112	2589210942.0	25384421.0	Illumina Genome Analyzer II	main	0.996824	0.023981
