panel	ecotype	gn_n_overlap	gn_n_concordant	gn_nonref_either	gn_nonref_disc	gn_GC	gn_nRD	cactus_n_matched	cactus_n_concordant	cactus_GC	cactus_nRD
main	100001	1655459	1575404	303116	80052	0.951644	0.264097				
main	100002	1655459	1576542	303753	78911	0.952333	0.259787				
loo	10002	1655459	1644429	209796	11030	0.993337	0.052575	7334253.0	7253076.0	0.9889317971441672	0.045477845957851606
loo	10006	1655459	1625850	241515	29609	0.982114	0.122597	7337407.0	7170916.0	0.9773092865095258	0.08179189445180257
main	10011	1655459	1627504	242184	27955	0.983113	0.115429				
main	10013	1655459	1528372	284235	127087	0.923232	0.447119				
main	10014	1655459	1605347	248949	50112	0.969729	0.201294				
loo	159	1655459	1645532	208755	9923	0.994006	0.047534	7376002.0	7302507.0	0.9900359300336415	0.04176587921736215
main	265	1655459	1642699	236872	12758	0.992293	0.05386				
main	5151	1655459	1632097	217653	23361	0.985888	0.107331				
main	5165	1655459	1631491	214863	23964	0.985524	0.111532				
main	5768	1655459	1628334	216438	27124	0.983615	0.12532				
loo	5772	1655459	1633317	208254	22133	0.98663	0.106279	7298868.0	6299272.0	0.8630478041252424	0.44858425685545483
loo	5784	1655459	1638961	244742	16469	0.990052	0.067291	7292165.0	7205925.0	0.9881736082494019	0.04522919569756227
loo	5811	1655459	1642626	208097	12832	0.992249	0.061664	7356238.0	7237312.0	0.9838333126252848	0.0660523860303919
main	6013	1655459	1630720	252840	24734	0.985059	0.097825				
main	6025	1655459	1630562	250134	24894	0.984962	0.099523				
main	6040	1655459	1635517	225567	19939	0.987956	0.088395				
main	6073	1655459	1628491	222110	26966	0.983711	0.121408				
main	6074	1655459	1624863	228920	30592	0.98152	0.133636				
main	6108	1655459	1628099	215609	27359	0.983473	0.126892				
loo	6150	1655459	1645117	219374	10342	0.993753	0.047143	7310803.0	7231222.0	0.9891146020485028	0.043943926090315284
main	6177	1655459	1635388	248563	20069	0.987877	0.08074				
main	6180	1655459	1644243	77331	11215	0.993225	0.145026				
loo	6184	1655459	1645446	247420	10012	0.993952	0.040466	7348581.0	7269562.0	0.9892470396665697	0.04102019161686594
main	6188	1655459	1623416	221459	32033	0.98065	0.144645				
main	6195	1655459	1630060	223972	25399	0.984657	0.113403				
main	6209	1655459	1635022	247615	20436	0.987655	0.082531				
main	6216	1655459	1632318	249113	23141	0.986021	0.092894				
main	6243	1655459	1621497	211568	33950	0.979492	0.160469				
loo	6244	1655459	1642664	251352	12794	0.992272	0.050901	7307453.0	7215366.0	0.9873982083771186	0.04794429970615002
loo	6898	1655459	1646333	204474	9124	0.994489	0.044622	7355759.0	7275207.0	0.9890491246382597	0.046274120971508376
loo	6911	1655459	1642779	276018	12680	0.99234	0.045939	7313769.0	7257413.0	0.9922945337759506	0.026093217180334246
loo	6915	1655459	1648933	192806	6521	0.996061	0.033822	7356777.0	7303805.0	0.9927995642657104	0.03206809293765815
loo	6929	1655459	1646331	242087	9126	0.994487	0.037697	7278442.0	7214345.0	0.9911935823628188	0.03343377845981473
loo	6932	1655459	1651667	219777	3792	0.997709	0.017254	7257908.0	7225126.0	0.9954832714881479	0.018224493381098827
loo	6938	1655459	1631320	240293	24134	0.985422	0.100436	7342469.0	7197519.0	0.9802586841020371	0.0749892004169803
loo	6939	1655459	1610755	197495	44701	0.972998	0.22634	7393037.0	6310417.0	0.853562209955124	0.49928355563016436
main	6940	1655459	1636441	181329	19017	0.988513	0.104876				
loo	6945	1655459	1645118	215408	10340	0.993754	0.048002	7343183.0	7270240.0	0.9900665692248171	0.040705957591426985
loo	6958	1655459	1644961	211130	10496	0.99366	0.049713	7395029.0	7312155.0	0.9887932826226915	0.046287127192137324
main	6961	1655459	1612690	243725	42768	0.974165	0.175476				
loo	6963	1655459	1646283	240703	9175	0.994458	0.038118	7290543.0	7227020.0	0.9912869315769758	0.033109935221844855
loo	6979	1655459	1636125	213972	19331	0.988323	0.090344	7389822.0	7223879.0	0.9775443846955989	0.08979113684324441
main	6987	1655459	1635488	206964	19970	0.987937	0.09649				
loo	7000	1655459	1648825	197091	6634	0.995993	0.03366	7369737.0	7315941.0	0.9927004179389305	0.03208764754406862
loo	7002	1655459	1650377	206993	5082	0.99693	0.024552	7350661.0	7307223.0	0.9940905994712584	0.025161772040300078
loo	7003	1655459	1648360	206998	7098	0.995712	0.03429	7382178.0	7325082.0	0.992265697196681	0.03240009601541694
main	7008	1655459	1637084	208187	18372	0.988902	0.088248				
main	7013	1655459	1631952	217981	23505	0.985802	0.10783				
loo	7025	1655459	1647645	210428	7814	0.99528	0.037134	7388995.0	7334996.0	0.9926919696115643	0.03002179400220164
main	7028	1655459	1627431	213650	28022	0.983073	0.131158				
main	7031	1655459	1634575	195486	20879	0.987388	0.106806				
main	7036	1655459	1639322	190941	16127	0.990258	0.084461				
main	7062	1655459	1639927	187000	15531	0.990618	0.083053				
loo	7063	1655459	1643463	258411	11994	0.992755	0.046414	7307591.0	7245607.0	0.9915178613581411	0.030427643286150132
main	7067	1655459	1650201	219211	5257	0.996824	0.023981				
main	7071	1655459	1634249	213338	21209	0.987188	0.099415				
main	7077	1655459	1611093	235463	44363	0.973202	0.188408				
loo	7092	1655459	1647475	214682	7983	0.995178	0.037185	7367779.0	7304567.0	0.9914204809889113	0.03508960861974693
main	7103	1655459	1626426	221340	29029	0.982465	0.131151				
main	7106	1655459	1633124	211433	22324	0.986515	0.105584				
main	7125	1655459	1634127	207104	21331	0.987115	0.102997				
main	7126	1655459	1628304	236749	27149	0.9836	0.114674				
loo	7127	1655459	1646874	216964	8584	0.994815	0.039564	7289749.0	7223403.0	0.990898726417055	0.036692995777977126
loo	7143	1655459	1645651	206102	9807	0.994076	0.047583	7385610.0	7304126.0	0.9889671943143491	0.04627671869418372
loo	7164	1655459	1631987	222314	23471	0.985822	0.105576	7229745.0	5834949.0	0.8070753532800949	0.5231023795450932
main	7165	1655459	1636883	209184	18574	0.98878	0.088793				
loo	7186	1655459	1645664	222394	9793	0.994084	0.044034	7311886.0	7243518.0	0.990649744812761	0.03709777016181982
main	7203	1655459	1634841	211537	20615	0.987547	0.097453				
main	7209	1655459	1645743	213331	9712	0.994133	0.045525				
loo	7217	1655459	1645452	218434	9993	0.993964	0.045748	7366371.0	7265242.0	0.9862715304455885	0.05446847335957412
main	7218	1655459	1632042	205625	23417	0.985855	0.113882				
main	7244	1655459	1636179	215452	19279	0.988354	0.089482				
loo	7255	1655459	1647053	169337	8405	0.994923	0.049635	7359573.0	7287137.0	0.9901575811531457	0.048034100524399014
main	7268	1655459	1632893	213812	22566	0.986369	0.105541				
main	7273	1655459	1648791	207485	6667	0.995973	0.032132				
main	7276	1655459	1634886	185869	20571	0.987574	0.110675				
main	7282	1655459	1636850	183935	18609	0.988759	0.101172				
main	7287	1655459	1638548	206333	16895	0.989794	0.081882				
loo	7288	1655459	1650007	206851	5446	0.99671	0.026328	7329018.0	7283893.0	0.9938429677754919	0.02579311322447925
main	7296	1655459	1631014	215169	24443	0.985235	0.113599				
loo	7298	1655459	1641403	212649	14054	0.991511	0.06609	7382892.0	7244318.0	0.9812303904757106	0.07637860027867435
loo	7316	1655459	1646370	210922	9085	0.994512	0.043073	7341332.0	7259126.0	0.9888023045409198	0.04626421240364436
loo	7323	1655459	1647277	236446	8182	0.995058	0.034604	7241766.0	7179679.0	0.9914265387752104	0.03288433202227493
main	7333	1655459	1616040	238290	39412	0.976193	0.165395				
loo	7346	1655459	1644609	209845	10848	0.993447	0.051695	7324757.0	7250917.0	0.9899191195011657	0.041439099563834396
loo	7347	1655459	1646489	226350	8970	0.994582	0.039629	7370912.0	7263018.0	0.9853621912729388	0.0574128409708897
main	7353	1655459	1631911	233176	23547	0.985776	0.100984				
loo	7372	1655459	1648166	213820	7293	0.995595	0.034108	7342336.0	7283993.0	0.9920538912956313	0.032281731880637876
loo	7378	1655459	1646161	208456	9294	0.994386	0.044585	7408072.0	7336853.0	0.9903862975413846	0.040385785500947846
main	7384	1655459	1636585	218324	18874	0.988599	0.086449				
main	7394	1655459	1628446	226600	27013	0.983682	0.11921				
main	7404	1655459	1633434	211173	22022	0.986697	0.104284				
loo	7411	1655459	1646175	202995	9281	0.994394	0.04572	7385658.0	7270348.0	0.9843873084835502	0.06548393142104277
main	7521	1655459	1632129	218605	23325	0.98591	0.106699				
loo	763	1655459	1647154	243638	8293	0.99499	0.034038	7273409.0	7215560.0	0.9920465080404526	0.030043937096204582
loo	765	1655459	1644314	246004	11132	0.993276	0.045251	7282591.0	7209437.0	0.989954948726353	0.03753103901167683
loo	766	1655459	1643493	242698	11965	0.992772	0.0493	7263173.0	7160958.0	0.9859269495577209	0.052822460410931506
loo	768	1655459	1646733	243795	8725	0.99473	0.035788	7249898.0	7190182.0	0.9917631944614945	0.03116195648827356
loo	772	1655459	1644481	246806	10973	0.993372	0.04446	7272787.0	7159675.0	0.9844472277271423	0.057756291244646235
loo	8214	1655459	1648009	215050	7448	0.995501	0.034634	7299129.0	7238840.0	0.9917402473637608	0.033559030696251504
loo	8230	1655459	1638431	232600	17026	0.989715	0.073199	7237128.0	7068276.0	0.9766686453521342	0.08843521025700114
loo	8231	1655459	1590802	253202	64657	0.960943	0.255357	7316981.0	6990990.0	0.9554473354516022	0.16558188910786484
main	8240	1655459	1625331	225220	30125	0.981803	0.133758				
