panel	ecotype	reads_in	reads_out	dup_count	dup_pct	log
loo	159	38014762	37137874	876888	2.307	loo_prep_58440_3.err,loo_prep_58440_3.out
loo	763	36269868	35832706	437162	1.205	loo_prep_58440_42.err,loo_prep_58440_42.out
loo	765	15637548	15494806	142742	0.913	loo_prep_58440_43.err,loo_prep_58440_43.out
loo	766	19352158	19327492	24666	0.127	loo_prep_58440_44.err,loo_prep_58440_44.out
loo	768	18289658	18210426	79232	0.433	loo_prep_58440_45.err,loo_prep_58440_45.out
loo	772	25900780	25851892	48888	0.189	loo_prep_58440_46.err,loo_prep_58440_46.out
loo	5772	50754858	48717330	2037528	4.014	loo_prep_58440_4.err,loo_prep_58440_4.out
loo	5784	36834528	35732350	1102178	2.992	loo_prep_58440_5.err,loo_prep_58440_5.out
loo	5811	44704364	42918690	1785674	3.994	loo_prep_58440_6.err,loo_prep_58440_6.out
loo	6150	58447264	54633002	3814262	6.526	loo_prep_58440_7.err,loo_prep_58440_7.out
loo	6184	74337988	64486364	9851624	13.252	loo_prep_58440_8.err,loo_prep_58440_8.out
loo	6244	37161516	34036496	3125020	8.409	loo_prep_58440_9.err,loo_prep_58440_9.out
loo	6898	16763376	16703196	60180	0.359	loo_prep_58440_10.err,loo_prep_58440_10.out
loo	6911	52911498	50898898	2012600	3.804	loo_prep_58440_11.err,loo_prep_58440_11.out
loo	6915	22900694	22723860	176834	0.772	loo_prep_58440_12.err,loo_prep_58440_12.out
loo	6929	22179678	22131932	47746	0.215	loo_prep_58440_13.err,loo_prep_58440_13.out
loo	6932	53877968	53593006	284962	0.529	loo_prep_58440_14.err,loo_prep_58440_14.out
loo	6938	30824168	30484222	339946	1.103	loo_prep_58440_15.err,loo_prep_58440_15.out
loo	6939	40441328	40428718	12610	0.031	loo_prep_58440_16.err,loo_prep_58440_16.out
loo	6945	38181972	37656258	525714	1.377	loo_prep_58440_17.err,loo_prep_58440_17.out
loo	6958	27608352	27297574	310778	1.126	loo_prep_58440_18.err,loo_prep_58440_18.out
loo	6963	17112926	17053504	59422	0.347	loo_prep_58440_19.err,loo_prep_58440_19.out
loo	6979	27602206	27279560	322646	1.169	loo_prep_58440_20.err,loo_prep_58440_20.out
loo	7000	17368212	17219240	148972	0.858	loo_prep_58440_21.err,loo_prep_58440_21.out
loo	7002	96896888	90457942	6438946	6.645	loo_prep_58440_22.err,loo_prep_58440_22.out
loo	7003	20283088	20224950	58138	0.287	loo_prep_58440_23.err,loo_prep_58440_23.out
loo	7025	19866516	19814438	52078	0.262	loo_prep_58440_24.err,loo_prep_58440_24.out
loo	7063	55480090	52233896	3246194	5.851	loo_prep_58440_25.err,loo_prep_58440_25.out
loo	7092	21410184	21374606	35578	0.166	loo_prep_58440_26.err,loo_prep_58440_26.out
loo	7127	20064428	20010268	54160	0.27	loo_prep_58440_27.err,loo_prep_58440_27.out
loo	7143	36402686	36013330	389356	1.07	loo_prep_58440_28.err,loo_prep_58440_28.out
loo	7164	18722440	18665960	56480	0.302	loo_prep_58440_29.err,loo_prep_58440_29.out
loo	7186	53694886	52293636	1401250	2.61	loo_prep_58440_30.err,loo_prep_58440_30.out
loo	7217	21607388	21568114	39274	0.182	loo_prep_58440_31.err,loo_prep_58440_31.out
loo	7255	17528664	17430452	98212	0.56	loo_prep_58440_32.err,loo_prep_58440_32.out
loo	7288	61904970	58839872	3065098	4.951	loo_prep_58440_33.err,loo_prep_58440_33.out
loo	7298	17815698	17734118	81580	0.458	loo_prep_58440_34.err,loo_prep_58440_34.out
loo	7316	18563390	18519638	43752	0.236	loo_prep_58440_35.err,loo_prep_58440_35.out
loo	7323	30609144	30346606	262538	0.858	loo_prep_58440_36.err,loo_prep_58440_36.out
loo	7346	23666024	22341330	1324694	5.597	loo_prep_58440_37.err,loo_prep_58440_37.out
loo	7347	25015452	24963958	51494	0.206	loo_prep_58440_38.err,loo_prep_58440_38.out
loo	7372	32356034	32149672	206362	0.638	loo_prep_58440_39.err,loo_prep_58440_39.out
loo	7378	16910188	16691504	218684	1.293	loo_prep_58440_40.err,loo_prep_58440_40.out
