panel	ecotype	reads_in	reads_out	dup_count	dup_pct	log
main	265	39323406	37879854	1443552	3.671	prep_58045_1.err,prep_58045_1.out
main	5151	24090714	21864268	2226446	9.242	prep_58045_2.err,prep_58045_2.out
main	5165	24882098	23230942	1651156	6.636	prep_58045_3.err,prep_58045_3.out
main	5768	40772766	39130108	1642658	4.029	prep_58045_4.err,prep_58045_4.out
main	6013	56350178	47540700	8809478	15.633	prep_58045_5.err,prep_58045_5.out
main	6025	49024486	43872298	5152188	10.509	prep_58045_6.err,prep_58045_6.out
main	6040	34838332	29375894	5462438	15.679	prep_58045_7.err,prep_58045_7.out
main	6073	73504686	62403252	11101434	15.103	prep_58045_8.err,prep_58045_8.out
main	6074	37070682	31040680	6030002	16.266	prep_58045_9.err,prep_58045_9.out
main	6108	53487294	45329586	8157708	15.252	prep_58045_10.err,prep_58045_10.out
main	6177	60249828	51697440	8552388	14.195	prep_58045_11.err,prep_58045_11.out
main	6180	52809506	48059344	4750162	8.995	prep_58045_12.err,prep_58045_12.out
main	6188	41134298	38698058	2436240	5.923	prep_58045_13.err,prep_58045_13.out
main	6195	54203254	53106590	1096664	2.023	prep_58045_14.err,prep_58045_14.out
main	6209	73164014	64349584	8814430	12.047	prep_58045_15.err,prep_58045_15.out
main	6216	136257636	94376352	41881284	30.737	prep_58045_16.err,prep_58045_16.out
main	6243	37252068	31013178	6238890	16.748	prep_58045_17.err,prep_58045_17.out
main	6940	16904906	16838610	66296	0.392	prep_58045_18.err,prep_58045_18.out
main	6961	23325488	23137204	188284	0.807	prep_58045_19.err,prep_58045_19.out
main	6987	14214312	14162018	52294	0.368	prep_58045_20.err,prep_58045_20.out
main	7008	17187182	17155290	31892	0.186	prep_58045_21.err,prep_58045_21.out
main	7013	17585442	17526272	59170	0.336	prep_58045_22.err,prep_58045_22.out
main	7028	19926118	19786642	139476	0.7	prep_58045_23.err,prep_58045_23.out
main	7031	14982262	14945362	36900	0.246	prep_58045_24.err,prep_58045_24.out
main	7036	27813364	27519976	293388	1.055	prep_58045_25.err,prep_58045_25.out
main	7062	30530296	30162958	367338	1.203	prep_58045_26.err,prep_58045_26.out
main	7067	46775714	43497702	3278012	7.008	prep_58045_27.err,prep_58045_27.out
main	7071	20747396	20721878	25518	0.123	prep_58045_28.err,prep_58045_28.out
main	7077	17399574	17367578	31996	0.184	prep_58045_29.err,prep_58045_29.out
main	7103	15044336	15002970	41366	0.275	prep_58045_30.err,prep_58045_30.out
main	7106	16014086	15957086	57000	0.356	prep_58045_31.err,prep_58045_31.out
main	7125	27375728	27230654	145074	0.53	prep_58045_32.err,prep_58045_32.out
main	7126	20659350	20638670	20680	0.1	prep_58045_33.err,prep_58045_33.out
main	7165	19886480	19826564	59916	0.301	prep_58045_34.err,prep_58045_34.out
main	7203	30803524	30546790	256734	0.833	prep_58045_35.err,prep_58045_35.out
main	7209	34038740	33806434	232306	0.682	prep_58045_36.err,prep_58045_36.out
main	7218	15676936	15615514	61422	0.392	prep_58045_37.err,prep_58045_37.out
main	7244	14411832	14351392	60440	0.419	prep_58045_38.err,prep_58045_38.out
main	7268	14645386	14606280	39106	0.267	prep_58045_39.err,prep_58045_39.out
main	7273	55639740	53118094	2521646	4.532	prep_58045_40.err,prep_58045_40.out
main	7276	17187820	17128962	58858	0.342	prep_58045_41.err,prep_58045_41.out
main	7282	23592260	23527990	64270	0.272	prep_58045_42.err,prep_58045_42.out
main	7287	103929346	100627820	3301526	3.177	prep_58516_43.err,prep_58516_43.out
main	7296	21864152	20708546	1155606	5.285	prep_58045_44.err,prep_58045_44.out
main	7333	12972874	12828466	144408	1.113	prep_58045_45.err,prep_58045_45.out
main	7353	17118600	17075386	43214	0.252	prep_58045_46.err,prep_58045_46.out
main	7384	18735430	18684344	51086	0.273	prep_58045_47.err,prep_58045_47.out
main	7394	19488298	19463382	24916	0.128	prep_58045_48.err,prep_58045_48.out
main	7404	15885968	15867924	18044	0.114	prep_58045_49.err,prep_58045_49.out
