sample	n_records	n_called	n_missing	hom_ref	het	hom_alt	compound_het	median_gq	mean_gq	gq_ge30_pct	gq_ge100_pct	gq_max_n	SNP_hom_ref	SNP_het	SNP_hom_alt	SNP_compound_het	SNP_missing	small_indel_hom_ref	small_indel_het	small_indel_hom_alt	small_indel_compound_het	small_indel_missing	small_sv_hom_ref	small_sv_het	small_sv_hom_alt	small_sv_compound_het	small_sv_missing	medium_sv_hom_ref	medium_sv_het	medium_sv_hom_alt	medium_sv_compound_het	medium_sv_missing	large_sv_hom_ref	large_sv_het	large_sv_hom_alt	large_sv_compound_het	large_sv_missing
9528	5214599	5214303	296	4467741	64762	674916	6884	10000	6894.4	96.78	90.18	3573675	3341081	37423	409351	152	58	1096707	25802	243751	4110	165	17543	1060	12648	1202	27	10024	369	6337	890	25	2386	108	2829	530	21
9643	5214599	5214465	134	4550715	33171	626606	3973	10000	7263.0	98.2	94.1	3766383	3395463	19335	373155	82	30	1124720	13064	230387	2313	51	18082	518	13148	710	22	10040	197	6883	505	20	2410	57	3033	363	11
6040	5214599	5214510	89	4588610	47422	573581	4897	10000	7098.4	97.87	93.11	3679816	3419206	27229	341493	117	20	1137741	19027	210908	2833	26	18858	816	11954	844	8	10312	279	6338	700	16	2493	71	2888	403	19
9921	5214599	5214479	120	4615399	38918	555735	4427	10000	7180.8	98.02	93.51	3723289	3435670	22144	330123	74	54	1147643	15804	204557	2503	28	19117	678	11886	791	8	10472	215	6298	639	21	2497	77	2871	420	9
7394	5214599	5214306	293	4595633	45396	568629	4648	10000	7106.1	97.44	92.27	3684432	3423627	25860	338410	116	52	1140385	18355	208872	2742	181	18821	834	12000	802	23	10335	258	6397	636	19	2465	89	2950	352	18
9521	5214599	5213983	616	4571108	47336	590271	5268	10000	7130.3	97.41	92.2	3697120	3408230	26846	352582	103	304	1131579	19328	216259	3137	232	18518	804	12258	868	32	10298	274	6331	710	32	2483	84	2841	450	16
9985	5214599	5214588	11	4522608	253023	419958	18999	192	4563.0	91.49	75.09	2348343	3379244	152871	255463	487	0	1113019	94368	152107	11037	4	17882	3873	7407	3316	2	10087	1435	3528	2593	2	2376	476	1453	1566	3
7103	5214599	5214349	250	4606523	53506	548511	5809	10000	6980.5	97.26	91.67	3618386	3430683	30405	326781	127	69	1143975	21638	201476	3315	131	18904	1011	11501	1048	16	10476	351	5985	815	18	2485	101	2768	504	16
9526	5214599	5213988	611	4586329	41653	581325	4681	10000	7173.9	97.53	92.4	3719984	3417575	23401	346697	98	294	1137190	17226	213128	2769	222	18739	707	12182	817	35	10349	240	6389	626	41	2476	79	2929	371	19
9769	5214599	5214440	159	4635513	35166	539895	3866	10000	7307.1	97.92	93.59	3790119	3448196	19438	320322	63	46	1154795	14736	198643	2308	53	19336	642	11815	666	21	10608	256	6246	515	20	2578	94	2869	314	19
7268	5214599	5214502	97	4619251	41684	549026	4541	10000	7018.4	97.78	92.66	3637851	3438258	23692	325994	92	29	1148697	16896	202357	2554	31	19290	757	11562	858	13	10489	252	6247	643	14	2517	87	2866	394	10
9966	5214599	5214581	18	4571080	150774	479558	13169	10000	5256.7	94.06	82.67	2711069	3408921	88537	290267	340	0	1130928	58503	173436	7663	5	18530	2522	9107	2319	2	10264	906	4605	1864	6	2437	306	2143	983	5
6180	5214599	5214512	87	4997061	37055	179191	1205	10000	7340.8	98.59	95.2	3806774	3662518	19973	105510	30	34	1287623	15272	66923	695	22	27484	996	3786	203	11	14960	526	1987	161	11	4476	288	985	116	9
7067	5214599	5214527	72	4610154	15111	587868	1394	10000	7630.7	99.17	96.94	3959073	3430983	9219	347792	42	29	1147139	5510	217078	781	27	19121	260	12827	266	6	10438	102	6911	191	3	2473	20	3260	114	7
9784	5214599	5214384	215	4642695	35014	532448	4227	10000	7331.2	98.05	93.86	3802669	3452551	19368	315970	86	90	1157412	14702	195811	2539	71	19515	634	11597	715	19	10657	219	6197	551	21	2560	91	2873	336	14
7282	5214599	5214445	154	4707853	36695	466537	3360	10000	7250.8	98.03	93.72	3760170	3491390	21218	275360	69	28	1180908	14373	173267	1916	71	21135	740	9943	637	25	11509	263	5394	462	17	2911	101	2573	276	13
9058	5214599	5214408	191	4593192	39361	577515	4340	10000	7278.9	97.73	93.03	3775448	3421241	22092	344562	96	74	1140050	16253	211527	2646	59	19007	703	12003	748	19	10410	234	6424	558	19	2484	79	2999	292	20
9743	5214599	5214205	394	4549481	145220	507202	12302	10000	6701.8	95.32	87.65	3473264	3396328	86140	305244	311	42	1122334	56010	184681	7290	220	18177	2164	9992	2101	46	10222	701	5055	1625	42	2420	205	2230	975	44
7071	5214599	5214492	107	4629720	41753	538463	4556	10000	7122.4	97.77	92.96	3692804	3443804	23757	320369	109	26	1153161	16929	197791	2620	34	19512	725	11425	798	20	10655	249	6082	646	13	2588	93	2796	383	14
9577	5214599	5214410	189	4517338	41773	650517	4782	10000	7162.2	97.47	92.21	3714294	3373077	23775	391046	104	63	1113680	16973	236953	2858	71	18022	729	12874	834	21	10147	221	6622	637	18	2412	75	3022	349	16
9736	5214599	5214468	131	4594027	74589	538119	7733	10000	6805.4	96.31	89.31	3527198	3425146	42171	320573	165	10	1137320	30463	198106	4607	39	18712	1320	11140	1275	33	10365	481	5704	1060	35	2484	154	2596	626	14
9579	5214599	5214403	196	4570261	43039	596179	4924	10000	7154.4	97.51	92.34	3710060	3408076	24024	355790	107	68	1130825	17917	218792	2957	44	18621	763	12243	820	33	10289	259	6449	625	23	2450	76	2905	415	28
9612	5214599	5214496	103	4549909	50509	608530	5548	10000	7117.5	97.44	92.18	3690701	3394833	29261	363836	120	15	1124300	20065	222881	3257	32	18195	832	12488	949	16	10149	277	6444	754	21	2432	74	2881	468	19
9977	5214599	5214591	8	4495019	294304	406130	19138	192	4521.6	90.22	73.21	2327783	3359855	183456	244212	542	0	1104994	105508	148501	11530	2	17770	3740	7730	3239	1	10027	1230	3938	2446	4	2373	370	1749	1381	1
7036	5214599	5214196	403	4684539	27042	499849	2766	10000	7394.2	98.27	94.42	3835597	3477835	15044	294974	67	145	1172153	11187	185490	1521	184	20540	537	10818	552	33	11227	194	5798	398	28	2784	80	2769	228	13
10011	5214599	5214561	38	4559454	63924	584865	6318	10000	6569.7	97.12	90.86	3401375	3400724	37988	349194	158	1	1127856	24360	214780	3535	4	18329	1062	11953	1128	8	10142	408	6136	946	13	2403	106	2802	551	12
7031	5214599	5214380	219	4674897	39815	495717	3951	10000	7096.6	97.95	93.26	3678810	3470608	22779	294549	85	44	1169993	15878	182291	2238	135	20346	745	10694	679	16	11179	293	5585	573	15	2771	120	2598	376	9
9814	5214599	5214461	138	4616469	54260	538145	5587	10000	7046.1	97.44	92.16	3652794	3436519	31405	319970	122	49	1147716	21545	197997	3240	37	19168	919	11412	961	20	10545	305	5991	790	14	2521	86	2775	474	18
9629	5214599	5214372	227	4560027	42063	607536	4746	10000	7192.0	97.79	93.24	3729429	3400990	24304	362615	109	47	1128203	16780	222660	2763	129	18293	684	12664	821	18	10151	219	6625	634	16	2390	76	2972	419	17
7353	5214599	5214492	107	4584513	41709	583742	4528	10000	7081.4	97.64	92.61	3671264	3415839	24028	348072	94	32	1136923	16590	214389	2599	34	18848	737	12080	800	15	10407	269	6303	654	12	2496	85	2898	381	14
6961	5214599	5214423	176	4553569	97067	555608	8179	10000	6968.4	96.72	90.48	3612712	3396998	56941	333917	189	20	1125612	37907	202117	4843	56	18290	1534	11166	1454	36	10269	492	5797	1057	30	2400	193	2611	636	34
9813	5214599	5214449	150	4629464	47382	532349	5254	10000	7073.4	97.67	92.53	3666974	3444913	27176	315816	106	54	1151899	18876	196649	3062	49	19431	870	11241	922	16	10632	343	5918	734	18	2589	117	2725	430	13
9539	5214599	5214423	176	4584487	54196	570039	5701	10000	6993.9	97.06	91.14	3625885	3417129	30569	340198	117	52	1135734	22213	209244	3298	46	18723	963	11798	966	30	10435	340	6024	819	27	2466	111	2775	501	21
9782	5214599	5214423	176	4645592	34688	530273	3870	10000	7296.3	97.92	93.61	3784396	3455003	19330	313592	74	66	1157630	14382	196172	2291	60	19738	671	11374	681	16	10682	239	6186	520	18	2539	66	2949	304	16
9560	5214599	5214384	215	4585946	43054	581035	4349	10000	7246.3	97.75	92.97	3758296	3418183	24621	345142	81	38	1136191	17383	214274	2562	125	18748	741	12235	740	16	10372	227	6444	580	22	2452	82	2940	386	14
6073	5214599	5214073	526	4611626	41705	556143	4599	10000	7220.8	97.57	92.53	3744770	3433716	23276	330738	105	230	1145593	17360	204678	2687	217	19166	743	11749	796	26	10611	251	6112	637	34	2540	75	2866	374	19
6074	5214599	5214385	214	4595198	61585	551182	6420	10000	6948.3	97.14	91.24	3601620	3423892	35237	328754	144	38	1139425	24853	202349	3793	115	18987	1029	11316	1134	14	10405	339	6031	844	26	2489	127	2732	505	21
9726	5214599	5214166	433	4566595	114448	522645	10478	10000	6740.3	95.51	87.69	3493584	3406001	66748	314969	278	69	1129508	45117	189535	6153	222	18438	1787	10393	1821	41	10208	620	5350	1406	61	2440	176	2398	820	40
100002	5214599	5214161	438	4450163	100314	653925	9759	10000	6612.5	94.76	85.85	3426924	3330553	57363	399845	236	68	1089955	40526	233715	6144	195	17269	1720	11835	1596	60	10024	538	5854	1172	57	2362	167	2676	611	58
9602	5214599	5214400	199	4577501	50586	581004	5309	10000	7188.3	97.28	92.0	3728197	3411196	28325	348380	99	65	1134641	21026	211603	3213	52	18759	857	11901	930	33	10420	275	6224	699	27	2485	103	2896	368	22
9512	5214599	5214378	221	4573724	44363	591605	4686	10000	7196.8	97.49	92.16	3732443	3409843	25096	352948	83	95	1132488	18165	216956	2866	60	18656	745	12278	781	20	10291	269	6469	590	26	2446	88	2954	366	20
6188	5214599	5214229	370	4611110	59230	537998	5891	10000	7037.4	97.15	91.51	3648463	3432392	33859	321601	117	96	1146629	23829	196413	3466	198	19043	1064	11310	1031	32	10503	364	5973	778	27	2543	114	2701	499	17
7013	5214599	5214056	543	4623310	42262	544040	4444	10000	7099.9	97.73	92.71	3680725	3440407	23761	323513	82	302	1150460	17325	200038	2523	189	19362	796	11496	809	17	10531	296	6152	642	24	2550	84	2841	388	11
9057	5214599	5214261	338	4621640	52409	534955	5257	10000	7155.8	97.36	92.36	3710635	3438961	29662	319248	108	86	1150282	21474	195445	3159	175	19320	889	11367	875	29	10525	297	6110	686	27	2552	87	2785	429	21
9527	5214599	5214412	187	4555655	93354	557374	8029	10000	6943.3	96.36	89.76	3599851	3398696	54569	334568	197	35	1125794	36626	203329	4734	52	18398	1516	11124	1408	34	10336	478	5700	1092	39	2431	165	2653	598	27
9713	5214599	5214405	194	4599953	67399	539738	7315	10000	6840.9	96.2	89.06	3546055	3428001	37841	322043	149	31	1140195	27818	198124	4333	65	18890	1181	11095	1279	35	10415	423	5788	980	39	2452	136	2688	574	24
8312	5214599	5213978	621	4665907	35553	508888	3630	10000	7184.1	98.06	93.67	3724596	3465613	20626	301427	70	329	1166295	13971	187976	2049	244	20210	643	10951	649	27	11036	246	5810	537	16	2753	67	2724	325	5
9920	5214599	5214299	300	4628022	43913	538290	4074	10000	7345.3	98.21	94.32	3809636	3444281	25352	318249	98	85	1150942	17489	199573	2370	161	19575	716	11461	713	15	10670	269	6146	537	23	2554	87	2861	356	16
9804	5214599	5214359	240	4635237	38522	536310	4290	10000	7253.4	97.77	92.98	3761955	3447870	21152	318869	77	97	1154606	16299	196981	2580	69	19549	744	11445	713	29	10653	239	6156	570	27	2559	88	2859	350	18
9761	5214599	5214363	236	4619678	40941	549566	4178	10000	7181.1	97.66	92.7	3723879	3438154	22988	326788	90	45	1149066	16829	202146	2371	123	19285	762	11586	823	24	10617	255	6167	581	25	2556	107	2879	313	19
9529	5214599	5214103	496	4581902	45144	582011	5046	10000	7171.4	97.47	92.3	3718825	3414339	25254	348137	89	246	1135739	18739	212842	3027	188	18896	773	11923	863	25	10441	287	6201	696	20	2487	91	2908	371	17
9803	5214599	5214116	483	4645851	34279	529878	4108	10000	7317.5	97.94	93.56	3795372	3455360	18897	313508	77	223	1157353	14473	196050	2464	195	19746	621	11344	743	26	10806	218	6082	519	20	2586	70	2894	305	19
9766	5214599	5214085	514	4548461	26708	635558	3358	10000	7208.4	98.51	94.53	3737116	3393041	15741	378940	65	278	1124893	10348	233266	1832	196	18131	408	13327	598	16	10039	162	6927	503	14	2357	49	3098	360	10
9584	5214599	5214503	96	4598368	67720	541796	6619	10000	6979.8	97.02	90.97	3618442	3425337	39183	323361	173	11	1141225	26891	198509	3887	23	18906	1126	11277	1147	24	10425	386	5930	880	24	2475	134	2719	532	14
6209	5214599	5214239	360	4560792	33840	615802	3805	10000	7301.4	97.92	93.41	3787035	3400602	19105	368212	60	86	1128943	13904	225151	2318	219	18536	544	12750	637	13	10281	214	6628	494	28	2430	73	3061	296	14
7028	5214599	5214443	156	4634107	54395	521102	4839	10000	7212.3	97.92	93.29	3740126	3446195	31906	309797	120	47	1154901	21141	191577	2860	56	19692	927	11009	830	22	10738	331	5928	634	14	2581	90	2791	395	17
9544	5214599	5214117	482	4588718	40201	580916	4282	10000	7303.7	97.81	93.07	3788375	3420029	22756	344957	97	226	1137194	16475	214113	2564	189	18739	673	12311	730	27	10324	224	6506	567	24	2432	73	3029	324	16
7276	5214599	5214492	107	4705972	39157	465339	4024	10000	7092.3	97.94	93.12	3676684	3491154	22091	274700	95	25	1179719	15936	172572	2275	33	20954	748	10036	730	12	11378	277	5407	560	23	2767	105	2624	364	14
9595	5214599	5213983	616	4577576	53983	576615	5809	10000	6996.6	96.99	90.8	3627118	3412764	30368	344497	107	329	1133144	22177	211618	3380	216	18821	950	11626	1057	26	10381	384	6067	789	24	2466	104	2807	476	21
6108	5214599	5214062	537	4618526	51832	538336	5368	10000	7116.4	97.4	92.17	3689780	3437520	29230	320971	99	245	1148696	21251	197243	3145	200	19228	936	11333	937	46	10539	316	6021	738	31	2543	99	2768	449	15
7384	5214599	5214173	426	4622027	36480	551801	3865	10000	7202.3	97.97	93.44	3734556	3438280	20698	328806	78	203	1150990	14849	202268	2261	167	19517	624	11640	681	18	10654	234	6229	504	24	2586	75	2858	341	14
7203	5214599	5214259	340	4635923	32280	542497	3559	10000	7317.6	97.92	93.45	3795589	3447150	17844	322864	68	139	1156089	13500	198702	2076	168	19428	633	11772	633	14	10667	225	6237	506	10	2589	78	2922	276	9
9779	5214599	5214067	532	4650710	34912	524576	3869	10000	7294.3	98.01	93.62	3782948	3457976	19257	310516	65	251	1159729	14674	193571	2354	207	19770	639	11373	663	35	10665	251	6216	490	23	2570	91	2900	297	16
6025	5214599	5214422	177	4549328	46487	613455	5152	10000	7168.5	97.55	92.48	3717380	3393529	26423	367942	124	47	1124955	18904	223496	3136	44	18316	795	12486	848	35	10128	282	6522	679	34	2400	83	3009	365	17
8376	5214599	5214464	135	4566428	35578	608776	3682	10000	7299.2	98.22	94.18	3785512	3404338	20886	362726	75	40	1130926	13853	223506	2208	42	18554	574	12723	614	15	10215	192	6744	472	22	2395	73	3077	313	16
9944	5214599	5214521	78	4353571	132671	716446	11833	10000	5964.9	94.12	83.4	3085736	3268365	77895	441542	262	1	1056909	51964	254382	7261	19	16344	1943	12139	2033	21	9657	689	5812	1469	18	2296	180	2571	808	19
6216	5214599	5214128	471	4557757	40973	611087	4311	10000	7289.0	97.79	93.26	3780511	3398672	23491	365613	76	213	1127875	16497	223419	2550	194	18561	663	12502	737	17	10240	247	6526	605	27	2409	75	3027	343	20
7126	5214599	5214312	287	4577892	43967	587566	4887	10000	7080.7	97.56	92.34	3670967	3412298	25203	350412	89	63	1134062	17718	215765	2834	156	18752	721	12085	899	23	10324	250	6374	671	26	2456	75	2930	394	19
9427	5214599	5214406	193	4547997	35693	626969	3747	10000	7349.4	98.0	93.69	3812484	3391862	20439	375631	80	53	1125138	14382	228686	2242	87	18369	590	12852	653	16	10221	222	6682	497	23	2407	60	3118	275	14
