panel	ecotype	n_pg_snp	n_truth_snp	n_overlap	n_no_truth_record	n_truth_missing	n_pg_missing	n_matched	n_concordant	n_nonref_either	n_nonref_disc	GC	nRD
loo	10002	3901027	3235480	1655459	2245568	0	0	1655459	1644429	209796	11030	0.993337	0.052575
loo	10006	3901027	3235480	1655459	2245568	0	0	1655459	1625850	241515	29609	0.982114	0.122597
loo	159	3901027	3235480	1655459	2245568	0	4	1655455	1645532	208755	9923	0.994006	0.047534
loo	5772	3901027	3235480	1655459	2245568	0	9	1655450	1633317	208254	22133	0.98663	0.106279
loo	5784	3901027	3235480	1655459	2245568	0	29	1655430	1638961	244742	16469	0.990052	0.067291
loo	5811	3901027	3235480	1655459	2245568	0	1	1655458	1642626	208097	12832	0.992249	0.061664
loo	6150	3901027	3235480	1655459	2245568	0	0	1655459	1645117	219374	10342	0.993753	0.047143
loo	6184	3901027	3235480	1655459	2245568	0	1	1655458	1645446	247420	10012	0.993952	0.040466
loo	6244	3901027	3235480	1655459	2245568	0	1	1655458	1642664	251352	12794	0.992272	0.050901
loo	6898	3901027	3235480	1655459	2245568	0	2	1655457	1646333	204474	9124	0.994489	0.044622
loo	6911	3901027	3235480	1655459	2245568	0	0	1655459	1642779	276018	12680	0.99234	0.045939
loo	6915	3901027	3235480	1655459	2245568	0	5	1655454	1648933	192806	6521	0.996061	0.033822
loo	6929	3901027	3235480	1655459	2245568	0	2	1655457	1646331	242087	9126	0.994487	0.037697
loo	6932	3901027	3235480	1655459	2245568	0	0	1655459	1651667	219777	3792	0.997709	0.017254
loo	6938	3901027	3235480	1655459	2245568	0	5	1655454	1631320	240293	24134	0.985422	0.100436
loo	6939	3901027	3235480	1655459	2245568	0	3	1655456	1610755	197495	44701	0.972998	0.22634
loo	6945	3901027	3235480	1655459	2245568	0	1	1655458	1645118	215408	10340	0.993754	0.048002
loo	6958	3901027	3235480	1655459	2245568	0	2	1655457	1644961	211130	10496	0.99366	0.049713
loo	6963	3901027	3235480	1655459	2245568	0	1	1655458	1646283	240703	9175	0.994458	0.038118
loo	6979	3901027	3235480	1655459	2245568	0	3	1655456	1636125	213972	19331	0.988323	0.090344
loo	7000	3901027	3235480	1655459	2245568	0	0	1655459	1648825	197091	6634	0.995993	0.03366
loo	7002	3901027	3235480	1655459	2245568	0	0	1655459	1650377	206993	5082	0.99693	0.024552
loo	7003	3901027	3235480	1655459	2245568	0	1	1655458	1648360	206998	7098	0.995712	0.03429
loo	7025	3901027	3235480	1655459	2245568	0	0	1655459	1647645	210428	7814	0.99528	0.037134
loo	7063	3901027	3235480	1655459	2245568	0	2	1655457	1643463	258411	11994	0.992755	0.046414
loo	7092	3901027	3235480	1655459	2245568	0	1	1655458	1647475	214682	7983	0.995178	0.037185
loo	7127	3901027	3235480	1655459	2245568	0	1	1655458	1646874	216964	8584	0.994815	0.039564
loo	7143	3901027	3235480	1655459	2245568	0	1	1655458	1645651	206102	9807	0.994076	0.047583
loo	7164	3901027	3235480	1655459	2245568	0	1	1655458	1631987	222314	23471	0.985822	0.105576
