panel	ecotype	run	source	layout	status	files
loo	10002	SRR1946537	ENA	SE	OK	10002_dedup.fq.gz
loo	10006	SRR1946540	ENA	SE	OK	10006_dedup.fq.gz
loo	159	SRR1945438	ENA	PE	OK	159_1P_dedup.fq.gz;159_2P_dedup.fq.gz
loo	5772	SRR1945578	ENA	PE	OK	5772_1P_dedup.fq.gz;5772_2P_dedup.fq.gz
loo	5784	SRR1945581	ENA	PE	OK	5784_1P_dedup.fq.gz;5784_2P_dedup.fq.gz
loo	5811	SRR1945584	ENA	PE	OK	5811_1P_dedup.fq.gz;5811_2P_dedup.fq.gz
loo	6150	SRR1945685	ENA	PE	OK	6150_1P_dedup.fq.gz;6150_2P_dedup.fq.gz
loo	6184	SRR1945697	ENA	PE	OK	6184_1P_dedup.fq.gz;6184_2P_dedup.fq.gz
loo	6244	SRR1945725	ENA	PE	OK	6244_1P_dedup.fq.gz;6244_2P_dedup.fq.gz
loo	6898	SRR1945750	ENA	PE	OK	6898_1P_dedup.fq.gz;6898_2P_dedup.fq.gz
loo	6911	SRR1945758	ENA	PE	OK	6911_1P_dedup.fq.gz;6911_2P_dedup.fq.gz
loo	6915	SRR1945760	ENA	PE	OK	6915_1P_dedup.fq.gz;6915_2P_dedup.fq.gz
loo	6929	SRR1945770	ENA	PE	OK	6929_1P_dedup.fq.gz;6929_2P_dedup.fq.gz
loo	6932	SRR1945772	ENA	PE	OK	6932_1P_dedup.fq.gz;6932_2P_dedup.fq.gz
loo	6938	SRR1945774	ENA	PE	OK	6938_1P_dedup.fq.gz;6938_2P_dedup.fq.gz
loo	6939	ERR2178778	ENA	PE	OK	6939_1P_dedup.fq.gz;6939_2P_dedup.fq.gz
loo	6945	SRR1945778	ENA	PE	OK	6945_1P_dedup.fq.gz;6945_2P_dedup.fq.gz
loo	6958	SRR1945782	ENA	PE	OK	6958_1P_dedup.fq.gz;6958_2P_dedup.fq.gz
loo	6963	SRR1945786	ENA	PE	OK	6963_1P_dedup.fq.gz;6963_2P_dedup.fq.gz
loo	6979	SRR1945797	ENA	PE	OK	6979_1P_dedup.fq.gz;6979_2P_dedup.fq.gz
loo	7000	SRR1945807	ENA	PE	OK	7000_1P_dedup.fq.gz;7000_2P_dedup.fq.gz
loo	7002	SRR1945808	ENA	PE	OK	7002_1P_dedup.fq.gz;7002_2P_dedup.fq.gz
loo	7003	SRR1945809	ENA	PE	OK	7003_1P_dedup.fq.gz;7003_2P_dedup.fq.gz
loo	7025	SRR1945813	ENA	PE	OK	7025_1P_dedup.fq.gz;7025_2P_dedup.fq.gz
loo	7063	SRR1945822	ENA	PE	OK	7063_1P_dedup.fq.gz;7063_2P_dedup.fq.gz
loo	7092	SRR1945830	ENA	PE	OK	7092_1P_dedup.fq.gz;7092_2P_dedup.fq.gz
loo	7127	SRR1945844	ENA	PE	OK	7127_1P_dedup.fq.gz;7127_2P_dedup.fq.gz
loo	7143	SRR1945848	ENA	PE	OK	7143_1P_dedup.fq.gz;7143_2P_dedup.fq.gz
loo	7164	SRR1945855	ENA	PE	OK	7164_1P_dedup.fq.gz;7164_2P_dedup.fq.gz
loo	7186	SRR1945861	ENA	PE	OK	7186_1P_dedup.fq.gz;7186_2P_dedup.fq.gz
loo	7217	SRR1945870	ENA	PE	OK	7217_1P_dedup.fq.gz;7217_2P_dedup.fq.gz
loo	7255	SRR1945878	ENA	PE	OK	7255_1P_dedup.fq.gz;7255_2P_dedup.fq.gz
loo	7288	SRR1945886	ENA	PE	OK	7288_1P_dedup.fq.gz;7288_2P_dedup.fq.gz
loo	7298	SRR1945888	ENA	PE	OK	7298_1P_dedup.fq.gz;7298_2P_dedup.fq.gz
loo	7316	SRR1945893	ENA	PE	OK	7316_1P_dedup.fq.gz;7316_2P_dedup.fq.gz
loo	7323	SRR1945897	ENA	PE	OK	7323_1P_dedup.fq.gz;7323_2P_dedup.fq.gz
loo	7346	SRR1945906	ENA	PE	OK	7346_1P_dedup.fq.gz;7346_2P_dedup.fq.gz
loo	7347	SRR1945907	ENA	PE	OK	7347_1P_dedup.fq.gz;7347_2P_dedup.fq.gz
loo	7372	SRR1945915	ENA	PE	OK	7372_1P_dedup.fq.gz;7372_2P_dedup.fq.gz
loo	7378	SRR1945918	ENA	PE	OK	7378_1P_dedup.fq.gz;7378_2P_dedup.fq.gz
loo	7411	SRR1945926	ENA	PE	OK	7411_1P_dedup.fq.gz;7411_2P_dedup.fq.gz
loo	763	SRR1945463	ENA	PE	OK	763_1P_dedup.fq.gz;763_2P_dedup.fq.gz
loo	765	SRR1945464	ENA	PE	OK	765_1P_dedup.fq.gz;765_2P_dedup.fq.gz
loo	766	SRR1945465	ENA	PE	OK	766_1P_dedup.fq.gz;766_2P_dedup.fq.gz
loo	768	SRR1945466	ENA	PE	OK	768_1P_dedup.fq.gz;768_2P_dedup.fq.gz
loo	772	SRR1945467	ENA	PE	OK	772_1P_dedup.fq.gz;772_2P_dedup.fq.gz
loo	8214	SRR1945963	ENA	PE	OK	8214_1P_dedup.fq.gz;8214_2P_dedup.fq.gz
loo	8230	SRR1945966	ENA	PE	OK	8230_1P_dedup.fq.gz;8230_2P_dedup.fq.gz
loo	8231	SRR1945967	ENA	PE	OK	8231_1P_dedup.fq.gz;8231_2P_dedup.fq.gz
loo	8247	SRR1945981	ENA	PE	OK	8247_1P_dedup.fq.gz;8247_2P_dedup.fq.gz
loo	8249	SRR1945982	ENA	PE	OK	8249_1P_dedup.fq.gz;8249_2P_dedup.fq.gz
loo	8351	SRR1946001	ENA	PE	MISSING_OUTPUT	8351_1P_dedup.fq.gz;8351_2P_dedup.fq.gz
loo	8354	SRR1946002	ENA	PE	OK	8354_1P_dedup.fq.gz;8354_2P_dedup.fq.gz
