panel	ecotype	run	source	layout	status	files
main	265	SRR1945439	ENA	PE	OK	265_1.dedup.fq.gz;265_2.dedup.fq.gz
main	5151	SRR1945555	ENA	PE	OK	5151_1.dedup.fq.gz;5151_2.dedup.fq.gz
main	5165	SRR1945556	ENA	PE	OK	5165_1.dedup.fq.gz;5165_2.dedup.fq.gz
main	5768	SRR1945577	ENA	PE	OK	5768_1.dedup.fq.gz;5768_2.dedup.fq.gz
main	6013	SRR1945608	ENA	PE	OK	6013_1.dedup.fq.gz;6013_2.dedup.fq.gz
main	6025	SRR1945617	ENA	PE	OK	6025_1.dedup.fq.gz;6025_2.dedup.fq.gz
main	6040	SRR1945624	ENA	PE	OK	6040_1.dedup.fq.gz;6040_2.dedup.fq.gz
main	6073	SRR1945633	ENA	PE	OK	6073_1.dedup.fq.gz;6073_2.dedup.fq.gz
main	6074	SRR1945634	ENA	PE	OK	6074_1.dedup.fq.gz;6074_2.dedup.fq.gz
main	6108	SRR1945657	ENA	PE	OK	6108_1.dedup.fq.gz;6108_2.dedup.fq.gz
main	6177	SRR1945695	ENA	PE	OK	6177_1.dedup.fq.gz;6177_2.dedup.fq.gz
main	6180	SRR1945696	ENA	PE	OK	6180_1.dedup.fq.gz;6180_2.dedup.fq.gz
main	6188	SRR1945698	ENA	PE	OK	6188_1.dedup.fq.gz;6188_2.dedup.fq.gz
main	6195	SRR1945704	ENA	PE	OK	6195_1.dedup.fq.gz;6195_2.dedup.fq.gz
main	6209	SRR1945709	ENA	PE	OK	6209_1.dedup.fq.gz;6209_2.dedup.fq.gz
main	6216	SRR1945712	ENA	PE	OK	6216_1.dedup.fq.gz;6216_2.dedup.fq.gz
main	6243	SRR1945724	ENA	PE	OK	6243_1.dedup.fq.gz;6243_2.dedup.fq.gz
main	6940	SRR1945775	ENA	PE	OK	6940_1.dedup.fq.gz;6940_2.dedup.fq.gz
main	6961	SRR1945785	ENA	PE	OK	6961_1.dedup.fq.gz;6961_2.dedup.fq.gz
main	6987	SRR1945802	ENA	PE	OK	6987_1.dedup.fq.gz;6987_2.dedup.fq.gz
main	7008	SRR1945810	ENA	PE	OK	7008_1.dedup.fq.gz;7008_2.dedup.fq.gz
main	7013	SRR1945811	ENA	PE	OK	7013_1.dedup.fq.gz;7013_2.dedup.fq.gz
main	7028	SRR1945815	ENA	PE	OK	7028_1.dedup.fq.gz;7028_2.dedup.fq.gz
main	7031	SRR1945816	ENA	PE	OK	7031_1.dedup.fq.gz;7031_2.dedup.fq.gz
main	7036	SRR1945818	ENA	PE	OK	7036_1.dedup.fq.gz;7036_2.dedup.fq.gz
main	7062	SRR1945821	ENA	PE	OK	7062_1.dedup.fq.gz;7062_2.dedup.fq.gz
main	7067	SRR1945824	ENA	PE	OK	7067_1.dedup.fq.gz;7067_2.dedup.fq.gz
main	7071	SRR1945826	ENA	PE	OK	7071_1.dedup.fq.gz;7071_2.dedup.fq.gz
main	7077	SRR1945828	ENA	PE	OK	7077_1.dedup.fq.gz;7077_2.dedup.fq.gz
main	7103	SRR1945834	ENA	PE	OK	7103_1.dedup.fq.gz;7103_2.dedup.fq.gz
main	7106	SRR1945835	ENA	PE	OK	7106_1.dedup.fq.gz;7106_2.dedup.fq.gz
main	7125	SRR1945842	ENA	PE	OK	7125_1.dedup.fq.gz;7125_2.dedup.fq.gz
main	7126	SRR1945843	ENA	PE	OK	7126_1.dedup.fq.gz;7126_2.dedup.fq.gz
main	7165	SRR1945856	ENA	PE	OK	7165_1.dedup.fq.gz;7165_2.dedup.fq.gz
main	7203	SRR1945865	ENA	PE	OK	7203_1.dedup.fq.gz;7203_2.dedup.fq.gz
main	7209	SRR1945868	ENA	PE	OK	7209_1.dedup.fq.gz;7209_2.dedup.fq.gz
main	7218	SRR1945871	ENA	PE	OK	7218_1.dedup.fq.gz;7218_2.dedup.fq.gz
main	7244	SRR1945875	ENA	PE	OK	7244_1.dedup.fq.gz;7244_2.dedup.fq.gz
