panel	ecotype	layout	gz_r1	gz_r2	n_r1	n_r2	pair_ok	bases_total	cov_est	lmin_r1	lmax_r1	lmean_r1	lmin_r2	lmax_r2	lmean_r2
main	9813	PE	OK	OK	9645252	9645252	yes	1877455064	15.68	36	100	97.6	36.0	100.0	97.0
main	7353	PE	OK	OK	8537693	8537693	yes	1619911108	13.53	36	101	93.7	36.0	101.0	96.0
main	6961	PE	OK	OK	11568602	11568602	yes	2244571310	18.75	36	101	96.8	36.0	101.0	97.3
loo	7316	PE	OK	OK	9259819	9259819	yes	1790968853	14.96	36	101	96.3	36.0	101.0	97.2
main	9539	PE	OK	OK	11353268	11353268	yes	2167074987	18.1	36	100	94.7	36.0	100.0	96.2
loo	6958	PE	OK	OK	13648787	13648787	yes	2676126551	22.36	36	101	97.9	36.0	101.0	98.1
loo	7298	PE	OK	OK	8867059	8867059	yes	1695221620	14.16	36	101	95.1	36.0	101.0	96.0
main	9814	PE	OK	OK	9403879	9403879	yes	1833437704	15.32	36	100	98.2	36.0	100.0	96.7
main	9629	PE	OK	OK	11195023	11195023	yes	2114264020	17.66	36	100	96.1	36.0	100.0	92.8
main	7031	PE	OK	OK	7472681	7472681	yes	1401519207	11.71	36	101	92.8	36.0	101.0	94.7
loo	7186	PE	OK	OK	26146818	26146818	yes	2650734005	22.14	36	51	50.7	36.0	51.0	50.7
main	7036	PE	OK	OK	13759988	13759988	yes	2669956726	22.31	36	101	97.5	36.0	101.0	96.6
loo	6963	PE	OK	OK	8526752	8526752	yes	1660400190	13.87	36	101	96.8	36.0	101.0	97.9
main	9736	PE	OK	OK	8971755	8971755	yes	1757518440	14.68	36	100	97.7	36.0	100.0	98.2
main	9579	PE	OK	OK	13376124	13376124	yes	2500859750	20.89	36	100	94.0	36.0	100.0	93.0
main	9612	PE	OK	OK	10541524	10541524	yes	2063421979	17.24	36	100	97.7	36.0	100.0	98.0
main	9977	PE	OK	OK	1974523	1974523	yes	149795482	1.25	36	42	39.0	36.0	42.0	36.8
main	9577	PE	OK	OK	15713000	15713000	yes	2953543566	24.67	36	100	93.6	36.0	100.0	94.3
main	7071	PE	OK	OK	10360939	10360939	yes	1898482401	15.86	36	101	94.4	36.0	101.0	88.8
main	9743	PE	OK	OK	9581658	9581658	yes	1875215318	15.67	36	100	98.0	36.0	100.0	97.7
loo	6898	PE	OK	OK	8351598	8351598	yes	1608778512	13.44	36	101	97.0	36.0	101.0	95.6
loo	7323	PE	OK	OK	15173303	15173303	yes	2916721521	24.37	36	101	95.7	36.0	101.0	96.5
loo	6911	PE	OK	OK	25449449	25449449	yes	4806970097	40.16	36	101	96.2	36.0	101.0	92.7
loo	7025	PE	OK	OK	9907219	9907219	yes	1891615263	15.8	36	101	96.4	36.0	101.0	94.5
main	7282	PE	OK	OK	11763995	11763995	yes	2078896481	17.37	36	101	87.2	36.0	101.0	89.5
main	9058	PE	OK	OK	30948985	30948985	yes	5954496868	49.75	36	110	95.1	36.0	110.0	97.3
loo	8247	PE	OK	OK	16769701	16769701	yes	2441762092	20.4	36	76	72.4	36.0	76.0	73.2
main	6180	PE	OK	OK	24029672	24029672	yes	3516560209	29.38	36	76	73.0	36.0	76.0	73.3
main	7067	PE	OK	OK	21748851	21748851	yes	2210545241	18.47	36	51	50.8	36.0	51.0	50.9
main	9784	PE	OK	OK	18514085	18514085	yes	3583508027	29.94	36	100	96.6	36.0	100.0	97.0
loo	7347	PE	OK	OK	12481979	12481979	yes	2340825067	19.56	36	101	95.7	36.0	101.0	91.8
loo	8249	PE	OK	OK	20248611	20248611	yes	2916134154	24.36	36	76	70.4	36.0	76.0	73.7
main	9966	SE	OK		21357751	0		862719710	7.21	36	42	40.4			
main	9985	SE	OK		15441738	0		588528692	4.92	36	42	38.1			
main	7103	PE	OK	OK	7501485	7501485	yes	1419822397	11.86	36	101	95.4	36.0	101.0	93.8
main	9526	PE	OK	OK	15261639	15261639	yes	2921946677	24.41	36	100	95.3	36.0	100.0	96.1
loo	10002	SE	OK		52329045	0		2738101405	22.87	36	64	52.3			
main	9769	PE	OK	OK	21164327	21164327	yes	4028129842	33.65	36	100	94.4	36.0	100.0	95.9
main	7268	PE	OK	OK	7303140	7303140	yes	1363825251	11.39	36	101	92.8	36.0	101.0	93.9
loo	6244	PE	OK	OK	17018248	17018248	yes	2539620189	21.22	36	76	75.4	36.0	76.0	73.8
loo	7372	PE	OK	OK	16074836	16074836	yes	3120371469	26.07	36	101	97.1	36.0	101.0	97.0
main	9521	PE	OK	OK	13965517	13965517	yes	2663381096	22.25	36	100	94.7	36.0	100.0	96.0
main	6040	PE	OK	OK	14687947	14687947	yes	2146080012	17.93	36	76	74.0	36.0	76.0	72.1
main	9921	PE	OK	OK	10856823	10856823	yes	2123201152	17.74	36	100	98.3	36.0	100.0	97.3
loo	6932	PE	OK	OK	26796503	26796503	yes	5357032160	44.75	36	100	100.0	36.0	100.0	99.9
main	7394	PE	OK	OK	9731691	9731691	yes	1787977161	14.94	36	101	94.2	36.0	101.0	89.5
main	9528	PE	OK	OK	9483246	9483246	yes	1817951451	15.19	36	100	95.3	36.0	100.0	96.4
main	9643	PE	OK	OK	10534369	10534369	yes	2063158041	17.24	36	100	98.0	36.0	100.0	97.8
main	9323	PE	OK	OK	30058003	30058003	yes	4381701391	36.61	36	76	74.5	36.0	76.0	71.3
main	9739	PE	OK	OK	13784999	13784999	yes	2756891427	23.03	45	100	100.0	51.0	100.0	100.0
main	7244	PE	OK	OK	7175696	7175696	yes	1361454707	11.37	36	101	95.5	36.0	101.0	94.3
main	9820	PE	OK	OK	10882123	10882123	yes	2097358020	17.52	36	100	95.6	36.0	100.0	97.1
main	7077	PE	OK	OK	8683789	8683789	yes	1610548377	13.45	36	101	93.4	36.0	101.0	92.0
main	9978	SE	OK		27689351	0		1380183753	11.53	36	63	49.8			
main	9737	PE	OK	OK	9092446	9092446	yes	1787859311	14.94	36	100	98.4	36.0	100.0	98.2
loo	7164	PE	OK	OK	9332980	9332980	yes	1783550582	14.9	36	101	96.4	36.0	101.0	94.7
main	7126	PE	OK	OK	10319335	10319335	yes	1887684625	15.77	36	101	94.2	36.0	101.0	88.7
main	9427	PE	OK	OK	33332738	33332738	yes	4882641858	40.79	36	76	73.3	36.0	76.0	73.2
main	9779	PE	OK	OK	16916454	16916454	yes	3273147135	27.34	36	100	96.5	36.0	100.0	97.0
main	6025	PE	OK	OK	21936149	21936149	yes	3268587213	27.31	36	76	73.7	36.0	76.0	75.3
main	8376	PE	OK	OK	15164607	15164607	yes	2882013029	24.08	36	110	93.4	36.0	110.0	96.6
main	9944	SE	OK		28649273	0		1528618507	12.77	36	64	53.4			
main	6216	PE	OK	OK	47188176	47188176	yes	6911009930	57.74	36	76	73.0	36.0	76.0	73.4
main	10013	SE	OK		15964730	0		612531366	5.12	36	42	38.4			
main	10014	SE	OK		36298792	0		1436722910	12.0	36	42	39.6			
main	7203	PE	OK	OK	15273395	15273395	yes	2965570616	24.78	36	101	97.5	36.0	101.0	96.6
main	6108	PE	OK	OK	22664793	22664793	yes	3344340447	27.94	36	76	73.9	36.0	76.0	73.7
loo	159	PE	OK	OK	18568937	18568937	yes	3379968124	28.24	36	100	95.5	36.0	91.0	86.5
main	7384	PE	OK	OK	9342172	9342172	yes	1775929294	14.84	36	101	94.0	36.0	101.0	96.1
loo	5784	PE	OK	OK	17866175	17866175	yes	3263222191	27.26	36	100	96.4	36.0	91.0	86.3
loo	7000	PE	OK	OK	8609620	8609620	yes	1684039407	14.07	36	101	98.1	36.0	101.0	97.5
main	7276	PE	OK	OK	8564481	8564481	yes	1591777169	13.3	36	101	92.4	36.0	101.0	93.5
main	9544	PE	OK	OK	14651423	14651423	yes	2800234657	23.39	36	100	96.3	36.0	100.0	94.8
main	9595	PE	OK	OK	12747989	12747989	yes	2311365385	19.31	36	100	89.0	36.0	100.0	92.3
main	9529	PE	OK	OK	15217414	15217414	yes	2917919092	24.38	36	100	96.2	36.0	100.0	95.5
main	9803	PE	OK	OK	16206758	16206758	yes	3140881095	26.24	36	100	96.3	36.0	100.0	97.5
main	9766	PE	OK	OK	7997975	7997975	yes	1518674202	12.69	36	101	93.8	36.0	101.0	96.1
main	9584	PE	OK	OK	13570097	13570097	yes	2516707277	21.03	36	100	91.8	36.0	100.0	93.7
main	6209	PE	OK	OK	32174792	32174792	yes	4750308760	39.69	36	76	73.9	36.0	76.0	73.7
main	7028	PE	OK	OK	9893321	9893321	yes	1918107548	16.02	36	101	96.5	36.0	101.0	97.4
loo	766	PE	OK	OK	9663746	9663746	yes	1807456345	15.1	36	101	96.0	36.0	101.0	91.1
main	8312	PE	OK	OK	9325533	9325533	yes	1722283473	14.39	36	101	92.8	36.0	101.0	91.9
main	9920	PE	OK	OK	17891225	17891225	yes	3501522726	29.25	36	100	97.6	36.0	100.0	98.1
main	100002	PE	OK	OK	6749187	6749187	yes	1896561397	15.84	36	150	145.1	36.0	150.0	135.9
main	9804	PE	OK	OK	16800786	16800786	yes	3251600285	27.16	36	100	97.3	36.0	100.0	96.3
loo	7288	PE	OK	OK	29419936	29419936	yes	2986846525	24.95	36	51	50.8	36.0	51.0	50.8
main	9761	PE	OK	OK	12941056	12941056	yes	2495874024	20.85	36	101	96.0	36.0	101.0	96.9
loo	768	PE	OK	OK	9105213	9105213	yes	1767564285	14.77	36	101	96.4	36.0	101.0	97.7
main	9713	PE	OK	OK	10983224	10983224	yes	2118591557	17.7	36	100	97.5	36.0	100.0	95.4
loo	9565	PE	OK	OK	15018682	15018682	yes	2823521862	23.59	36	100	95.3	36.0	100.0	92.7
main	9527	PE	OK	OK	15920230	15920230	yes	3045258061	25.44	36	100	94.9	36.0	100.0	96.3
loo	6184	PE	OK	OK	32243182	32243182	yes	4798922897	40.09	36	76	74.4	36.0	76.0	74.4
loo	7063	PE	OK	OK	26116948	26116948	yes	2647814256	22.12	36	51	50.6	36.0	51.0	50.7
main	9512	PE	OK	OK	16673320	16673320	yes	3024639843	25.27	36	100	88.8	36.0	100.0	92.6
main	6188	PE	OK	OK	19349029	19349029	yes	2863892528	23.93	36	76	73.8	36.0	76.0	74.2
main	7013	PE	OK	OK	8763136	8763136	yes	1653305949	13.81	36	101	94.9	36.0	101.0	93.7
main	9057	PE	OK	OK	26799818	26799818	yes	3844029382	32.11	36	76	71.1	36.0	76.0	72.3
loo	7346	PE	OK	OK	11170665	11170665	yes	2204717297	18.42	36	100	98.5	36.0	100.0	98.9
main	9726	PE	OK	OK	10061461	10061461	yes	1975764427	16.51	36	100	98.1	36.0	100.0	98.3
main	9602	PE	OK	OK	19881760	19881760	yes	3820324008	31.92	36	100	96.5	36.0	100.0	95.7
main	6074	PE	OK	OK	15520340	15520340	yes	2252442139	18.82	36	76	74.6	36.0	76.0	70.6
main	9782	PE	OK	OK	18441332	18441332	yes	3570250129	29.83	36	100	96.6	36.0	100.0	97.0
main	9560	PE	OK	OK	13909217	13909217	yes	2558816936	21.38	36	100	90.6	36.0	100.0	93.4
main	6073	PE	OK	OK	31201626	31201626	yes	4566653893	38.15	36	76	73.3	36.0	76.0	73.0
loo	7217	PE	OK	OK	10784057	10784057	yes	2022435643	16.9	36	101	95.7	36.0	101.0	91.9
loo	765	PE	OK	OK	7747403	7747403	yes	1487752743	12.43	36	101	95.5	36.0	101.0	96.5
main	8311	PE	OK	OK	7705227	7705227	yes	1433329010	11.97	36	101	93.4	36.0	101.0	92.7
main	9697	PE	OK	OK	18149004	18149004	yes	3546681472	29.63	36	100	97.4	36.0	100.0	98.0
loo	8354	PE	OK	OK	10440047	10440047	yes	2008790354	16.78	36	101	95.8	36.0	101.0	96.6
main	100001	PE	OK	OK	6263401	6263401	yes	1736023860	14.5	36	150	137.7	36.0	150.0	139.5
main	7218	PE	OK	OK	7807757	7807757	yes	1487695075	12.43	36	101	95.7	36.0	101.0	94.8
main	9587	PE	OK	OK	14159013	14159013	yes	2636162355	22.02	36	100	94.5	36.0	100.0	91.7
main	9719	PE	OK	OK	8598170	8598170	yes	1676326246	14.0	36	100	98.3	36.0	100.0	96.7
main	9524	PE	OK	OK	13859743	13859743	yes	2656976291	22.2	36	100	96.4	36.0	100.0	95.3
loo	6939	PE	OK	OK	20214359	20214359	yes	10031607445	83.81	36	250	248.1	36.0	250.0	248.1
loo	6945	PE	OK	OK	18828129	18828129	yes	3629174736	30.32	36	101	96.3	36.0	101.0	96.5
main	8240	PE	OK	OK	19128831	19128831	yes	2792122441	23.33	36	76	72.5	36.0	76.0	73.5
main	9699	PE	OK	OK	10281414	10281414	yes	1985363181	16.59	36	100	95.7	36.0	100.0	97.4
main	9371	PE	OK	OK	35884372	35884372	yes	5269020247	44.02	36	76	73.3	36.0	76.0	73.5
main	9634	PE	OK	OK	10882342	10882342	yes	2132841409	17.82	36	100	98.2	36.0	100.0	97.8
main	7106	PE	OK	OK	7978543	7978543	yes	1509137933	12.61	36	101	95.2	36.0	101.0	94.0
main	9523	PE	OK	OK	15117917	15117917	yes	2880701619	24.07	36	100	94.5	36.0	100.0	96.1
loo	7143	PE	OK	OK	18006665	18006665	yes	3480729814	29.08	36	101	96.7	36.0	101.0	96.6
loo	8230	PE	OK	OK	22249979	22249979	yes	3274975568	27.36	36	76	74.0	36.0	76.0	73.1
loo	5772	PE	OK	OK	24358665	24358665	yes	4446476800	37.15	36	100	96.4	36.0	91.0	86.1
main	6243	PE	OK	OK	15506589	15506589	yes	2235025279	18.67	36	76	74.4	36.0	76.0	69.7
main	7062	PE	OK	OK	15081479	15081479	yes	2921065287	24.4	36	101	96.4	36.0	101.0	97.3
main	9781	PE	OK	OK	16406237	16406237	yes	3175366609	26.53	36	100	97.1	36.0	100.0	96.5
main	5165	PE	OK	OK	11615471	11615471	yes	2284720365	19.09	36	100	98.1	36.0	100.0	98.6
loo	6979	PE	OK	OK	13639780	13639780	yes	2674326435	22.34	36	101	97.9	36.0	101.0	98.1
main	7287	PE	OK	OK	50313910	50313910	yes	9728839522	81.28	36	101	96.9	36.0	101.0	96.5
main	7404	PE	OK	OK	7933962	7933962	yes	1452946910	12.14	36	101	94.0	36.0	101.0	89.1
main	6940	PE	OK	OK	8419305	8419305	yes	1577429522	13.18	36	101	93.2	36.0	101.0	94.2
main	7008	PE	OK	OK	8577645	8577645	yes	1602889454	13.39	36	101	94.2	36.0	101.0	92.7
main	7296	PE	OK	OK	10354273	10354273	yes	2032617004	16.98	36	100	98.0	36.0	100.0	98.3
main	6987	PE	OK	OK	7081009	7081009	yes	1339056487	11.19	36	101	95.2	36.0	101.0	93.9
main	9741	PE	OK	OK	11057017	11057017	yes	2165099492	18.09	36	100	97.9	36.0	100.0	97.9
main	9619	PE	OK	OK	10505820	10505820	yes	1998731354	16.7	36	100	93.4	36.0	100.0	96.8
main	7125	PE	OK	OK	13615327	13615327	yes	2623461578	21.92	36	101	96.8	36.0	101.0	95.8
main	6013	PE	OK	OK	23770350	23770350	yes	3510578026	29.33	36	76	73.9	36.0	76.0	73.8
loo	7092	PE	OK	OK	10687303	10687303	yes	2001500930	16.72	36	101	96.0	36.0	101.0	91.3
main	9748	PE	OK	OK	9585270	9585270	yes	1811546644	15.13	36	100	92.6	36.0	100.0	96.4
main	9507	PE	OK	OK	13051415	13051415	yes	2502892974	20.91	36	100	95.3	36.0	100.0	96.5
main	9659	PE	OK	OK	12285832	12285832	yes	2406597404	20.11	36	100	98.0	36.0	100.0	97.9
main	9625	PE	OK	OK	12146467	12146467	yes	2379470934	19.88	36	100	97.7	36.0	100.0	98.2
main	9535	PE	OK	OK	14468607	14468607	yes	2763332800	23.09	36	100	96.3	36.0	100.0	94.7
main	265	PE	OK	OK	18939927	18939927	yes	3413111599	28.51	36	91	85.3	36.0	100.0	94.9
loo	8214	PE	OK	OK	9107764	9107764	yes	1744425516	14.57	36	101	96.7	36.0	101.0	94.9
main	9598	PE	OK	OK	11857686	11857686	yes	2146464719	17.93	36	100	91.8	36.0	100.0	89.2
main	9774	PE	OK	OK	18280589	18280589	yes	3476905916	29.05	36	100	95.6	36.0	100.0	94.6
main	7209	PE	OK	OK	16903217	16903217	yes	3240387854	27.07	36	101	95.8	36.0	101.0	95.9
loo	7003	PE	OK	OK	10112475	10112475	yes	1935652854	16.17	36	101	96.6	36.0	101.0	94.8
loo	7127	PE	OK	OK	10005134	10005134	yes	1932119791	16.14	36	101	96.1	36.0	101.0	97.0
main	9547	PE	OK	OK	14178288	14178288	yes	2713372825	22.67	36	100	96.1	36.0	100.0	95.3
main	9596	PE	OK	OK	10872333	10872333	yes	1976345964	16.51	36	100	93.2	36.0	100.0	88.6
main	5768	PE	OK	OK	19565054	19565054	yes	3526841673	29.46	36	91	84.9	36.0	100.0	95.3
main	7165	PE	OK	OK	9913282	9913282	yes	1841309718	15.38	36	101	93.3	36.0	101.0	92.5
main	9657	PE	OK	OK	9243828	9243828	yes	1815538576	15.17	36	100	98.4	36.0	100.0	98.0
main	9591	PE	OK	OK	15048329	15048329	yes	2814789061	23.52	36	100	92.3	36.0	100.0	94.7
main	6177	PE	OK	OK	25848720	25848720	yes	3787946094	31.65	36	76	73.2	36.0	76.0	73.3
main	7521	PE	OK	OK	18857470	18857470	yes	3425208360	28.61	36	101	93.8	36.0	101.0	87.9
loo	5811	PE	OK	OK	21459345	21459345	yes	3928462755	32.82	36	100	96.5	36.0	91.0	86.6
main	9562	PE	OK	OK	11945881	11945881	yes	2182700942	18.23	36	100	93.1	36.0	100.0	89.6
main	9510	PE	OK	OK	14726563	14726563	yes	2771097005	23.15	36	100	94.3	36.0	100.0	93.9
loo	8231	PE	OK	OK	20098219	20098219	yes	2876465031	24.03	36	76	70.8	36.0	76.0	72.3
main	9723	PE	OK	OK	7823804	7823804	yes	1531292116	12.79	36	100	98.2	36.0	100.0	97.5
main	9394	PE	OK	OK	33038772	33038772	yes	4908345133	41.01	36	76	74.3	36.0	76.0	74.2
main	8357	PE	OK	OK	64477414	64477414	yes	12433778457	103.87	36	101	96.2	36.0	101.0	96.6
main	9965	SE	OK		57156905	0		2852065374	23.83	36	64	49.9			
main	9517	PE	OK	OK	9595958	9595958	yes	1827039507	15.26	36	100	94.5	36.0	100.0	95.9
main	9649	PE	OK	OK	11418494	11418494	yes	2235738707	18.68	36	100	97.7	36.0	100.0	98.1
main	9698	PE	OK	OK	12484222	12484222	yes	2439215872	20.38	36	100	97.4	36.0	100.0	98.0
loo	6150	PE	OK	OK	27316501	27316501	yes	3968214172	33.15	36	76	71.4	36.0	76.0	73.9
main	9522	PE	OK	OK	13000101	13000101	yes	2476166549	20.69	36	100	94.5	36.0	100.0	95.9
loo	7255	PE	OK	OK	8715226	8715226	yes	1680459648	14.04	36	101	97.2	36.0	101.0	95.6
loo	10006	SE	OK		28974004	0		1183115489	9.88	36	64	40.8			
