panel	ecotype	layout	file_r1	file_r2
loo	10002	SE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/10002_dedup.fq.gz	
loo	10006	SE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/10006_dedup.fq.gz	
loo	159	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/159_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/159_2P_dedup.fq.gz
loo	5772	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/5772_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/5772_2P_dedup.fq.gz
loo	5784	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/5784_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/5784_2P_dedup.fq.gz
loo	5811	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/5811_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/5811_2P_dedup.fq.gz
loo	6150	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6150_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6150_2P_dedup.fq.gz
loo	6184	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6184_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6184_2P_dedup.fq.gz
loo	6244	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6244_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6244_2P_dedup.fq.gz
loo	6898	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6898_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6898_2P_dedup.fq.gz
loo	6911	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6911_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6911_2P_dedup.fq.gz
loo	6915	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6915_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6915_2P_dedup.fq.gz
loo	6929	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6929_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6929_2P_dedup.fq.gz
loo	6932	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6932_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6932_2P_dedup.fq.gz
loo	6938	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6938_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6938_2P_dedup.fq.gz
loo	6939	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6939_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6939_2P_dedup.fq.gz
loo	6945	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6945_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6945_2P_dedup.fq.gz
loo	6958	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6958_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6958_2P_dedup.fq.gz
loo	6963	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6963_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6963_2P_dedup.fq.gz
loo	6979	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6979_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/6979_2P_dedup.fq.gz
loo	7000	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7000_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7000_2P_dedup.fq.gz
loo	7002	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7002_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7002_2P_dedup.fq.gz
loo	7003	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7003_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7003_2P_dedup.fq.gz
loo	7025	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7025_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7025_2P_dedup.fq.gz
loo	7063	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7063_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7063_2P_dedup.fq.gz
loo	7092	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7092_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7092_2P_dedup.fq.gz
loo	7127	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7127_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7127_2P_dedup.fq.gz
loo	7143	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7143_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7143_2P_dedup.fq.gz
loo	7164	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7164_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7164_2P_dedup.fq.gz
loo	7186	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7186_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7186_2P_dedup.fq.gz
loo	7217	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7217_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7217_2P_dedup.fq.gz
loo	7255	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7255_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7255_2P_dedup.fq.gz
loo	7288	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7288_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7288_2P_dedup.fq.gz
loo	7298	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7298_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7298_2P_dedup.fq.gz
loo	7316	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7316_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7316_2P_dedup.fq.gz
loo	7323	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7323_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7323_2P_dedup.fq.gz
loo	7346	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7346_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7346_2P_dedup.fq.gz
loo	7347	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7347_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7347_2P_dedup.fq.gz
