panel	ecotype	layout	trim_in	trim_both_surv	trim_fwd_only	trim_rev_only	trim_surv	trim_dropped	trim_drop_pct
loo	159	PE	20729133	19007381	517845	696299		507608	2.45
loo	763	PE	18918780	18134934	345011	230099		208736	1.1
loo	765	PE	8307820	7818774	275406	148343		65297	0.79
loo	766	PE	10193882	9676079	377333	96881		43589	0.43
loo	768	PE	9458074	9144829	124079	168444		20722	0.22
loo	772	PE	13690770	12950390	514741	154729		70910	0.52
loo	5772	PE	27488659	25377429	761871	718923		630436	2.29
loo	5784	PE	20002662	18417264	540963	563876		480559	2.4
loo	5811	PE	24032278	22352182	571833	625641		482622	2.01
loo	6150	PE	30819168	29223632	837427	579176		178933	0.58
loo	6184	PE	39063843	37168994	1261430	494497		138922	0.36
loo	6244	PE	18888876	18580758	196029	82991		29098	0.15
loo	6898	PE	8738816	8381688	221340	103099		32689	0.37
loo	6911	PE	36851486	26455749	7044875	1401400		1949462	5.29
loo	6915	PE	11999881	11450347	240080	166598		142856	1.19
loo	6929	PE	11713120	11089839	451054	116982		55245	0.47
loo	6932	PE	26963925	26938984	23380	575		986	0.0
loo	6938	PE	16166537	15412084	320475	219160		214818	1.33
loo	6939	PE	20221681	20220664	30	231		756	0.0
loo	6945	PE	20380029	19090986	562347	328170		398526	1.96
loo	6958	PE	14342478	13804176	221252	185052		131998	0.92
loo	6963	PE	8823041	8556463	109061	141499		16018	0.18
loo	6979	PE	14332334	13801103	211626	189249		130356	0.91
loo	7000	PE	9051264	8684106	112717	159411		95030	1.05
loo	7002	PE	51451084	48448444	1287772	824180		890688	1.73
loo	7003	PE	10547692	10141544	258416	115180		32552	0.31
loo	7025	PE	10355956	9933258	268680	118688		35330	0.34
loo	7063	PE	30928622	27740045	1621440	1080284		486853	1.57
loo	7092	PE	11279327	10705092	416983	109043		48209	0.43
loo	7127	PE	10419012	10032214	157817	201406		27575	0.26
loo	7143	PE	19376633	18201343	286283	525549		363458	1.88
loo	7164	PE	9729722	9361220	237510	103899		27093	0.28
loo	7186	PE	28850913	26847443	1244447	591355		167668	0.58
loo	7217	PE	11396413	10803694	411092	126732		54895	0.48
loo	7255	PE	9075607	8764332	203274	84997		23004	0.25
loo	7288	PE	33370492	30952485	1141494	802647		473866	1.42
loo	7298	PE	9522793	8907849	340650	183659		90635	0.95
loo	7316	PE	9617138	9281695	136406	177364		21673	0.23
loo	7323	PE	16257115	15304572	542824	279746		129973	0.8
loo	7346	PE	12026415	11833012	72778	81837		38788	0.32
loo	7347	PE	13210554	12507726	488653	147406		66769	0.51
loo	7372	PE	16870782	16178017	225565	289770		177430	1.05
loo	7378	PE	8953442	8455094	298753	138260		61335	0.69
loo	7411	PE	9547590	9239441	125173	162815		20161	0.21
loo	8214	PE	9502890	9136234	232203	104528		29925	0.31
loo	8230	PE	28132307	24232048	2644180	474939		781140	2.78
loo	8231	PE	22559508	20394361	1124075	831601		209471	0.93
loo	8247	PE	19704150	17300207	979752	735618		688573	3.49
loo	8249	PE	22211698	20449384	711841	875746		174727	0.79
loo	8351	PE	34949019	34915519	15	31647		1838	0.01
loo	8354	PE	11110959	10495049	348240	187367		80303	0.72
loo	8387	PE	21026239	19397480	781958	678075		168726	0.8
loo	9416	PE	27499787	27162307	202711	92537		42232	0.15
loo	9470	PE	44648609	42163677	1194214	1011727		278991	0.62
loo	9506	PE	24986696	23642943	524997	388303		430453	1.72
loo	9518	PE	17853376	16862185	286371	401109		303711	1.7
loo	9537	PE	17353755	16588771	235977	305803		223204	1.29
loo	9542	PE	19212940	18267189	253771	403556		288424	1.5
loo	9549	PE	23143743	21174989	436705	817434		714615	3.09
loo	9555	PE	21079651	19632823	619574	350350		476904	2.26
loo	9557	PE	17178439	15796830	517006	383695		480908	2.8
loo	9559	PE	16414087	15614769	375186	227982		196150	1.2
loo	9564	PE	16720761	15727438	448515	265383		279425	1.67
loo	9565	PE	15962545	15254452	215652	328220		164221	1.03
loo	9594	PE	19689568	18378862	487201	465945		357560	1.82
loo	9600	PE	23280529	21591434	576436	612589		500070	2.15
loo	9606	PE	11730031	11587923	57349	60162		24597	0.21
loo	9637	PE	11143464	10992530	63500	62587		24847	0.22
loo	9653	PE	11743796	11517042	82017	97206		47531	0.4
loo	9758	PE	9303847	8903432	254325	110274		35816	0.38
loo	9759	PE	8715625	8715442	4	89		90	0.0
loo	9879	PE	19556995	19025687	164401	223853		143054	0.73
loo	9947	SE	35730958				31932659	3798299	10.63
loo	10002	SE	60710932				58723876	1987056	3.27
loo	10006	SE	40226132				32033175	8192957	20.37
