panel	ecotype	layout	trim_in	trim_both_surv	trim_fwd_only	trim_rev_only	trim_surv	trim_dropped	trim_drop_pct
main	265	PE	27556948	19661703	2215784	2228450		3451011	12.52
main	5151	PE	13000973	12045357	162614	491493		301509	2.32
main	5165	PE	13309856	12441049	199971	382873		285963	2.15
main	5768	PE	26289400	20386383	896527	2368247		2638243	10.04
main	6013	PE	33056327	28175089	3065930	843604		971704	2.94
main	6025	PE	25833442	24512243	921440	247561		152198	0.59
main	6040	PE	20306156	17419166	1646263	715981		524746	2.58
main	6073	PE	41324439	36752343	1909967	1779640		882489	2.14
main	6074	PE	22358310	18535341	2151304	894480		777185	3.48
main	6108	PE	31334475	26743647	2342325	1175358		1073145	3.42
main	6177	PE	32564591	30124914	1268187	908713		262777	0.81
main	6180	PE	29418122	26404753	1369590	1314676		329103	1.12
main	6188	PE	25625248	20567149	2790055	840326		1427718	5.57
main	6195	PE	32951865	27101627	1674329	3373663		802246	2.43
main	6209	PE	40404632	36582007	2116398	1166277		539950	1.34
main	6216	PE	74276791	68128818	3087771	1728337		1331865	1.79
main	6243	PE	22300557	18626034	2101235	842183		731105	3.28
main	6940	PE	10195518	8452453	734136	421591		587338	5.76
main	6961	PE	13228869	11662744	267631	612648		685846	5.18
main	6987	PE	8524299	7107156	751891	296958		368294	4.32
main	7008	PE	9753320	8593591	579754	297135		282840	2.9
main	7013	PE	10573164	8792721	952066	367744		460633	4.36
main	7028	PE	11376638	9963059	301444	466742		645393	5.67
main	7031	PE	8484263	7491131	395850	374474		222808	2.63
main	7036	PE	15922078	13906682	651545	421213		942638	5.92
main	7062	PE	17494845	15265148	467462	724532		1037703	5.93
main	7067	PE	25384421	23387857	736151	778242		482171	1.9
main	7071	PE	12183076	10373698	1096881	270491		442006	3.63
main	7077	PE	9909746	8699787	590798	322197		296964	3.0
main	7103	PE	8917383	7522168	804692	257414		333109	3.74
main	7106	PE	9607135	8007043	843987	334138		421967	4.39
main	7125	PE	15636577	13687864	685026	373049		890638	5.7
main	7126	PE	12184312	10329675	1123390	276742		454505	3.73
main	7165	PE	11170964	9943240	626599	321516		279609	2.5
main	7203	PE	17623506	15401762	704415	459326		1058003	6.0
main	7209	PE	20083405	17019370	1042571	560197		1461267	7.28
main	7218	PE	9009666	7838468	637490	262304		271404	3.01
main	7244	PE	8410105	7205916	677441	249491		277257	3.3
main	7268	PE	8898222	7322693	656954	384868		533707	6.0
main	7273	PE	31052494	27819870	1653847	1216386		362391	1.17
main	7276	PE	10575356	8593910	839873	462508		679065	6.42
main	7282	PE	19656157	11796130	774831	3363542		3721654	18.93
main	7287	PE	55026774	51964673	818064	1384653		859384	1.56
main	7296	PE	11574678	10932076	197556	281290		163756	1.41
main	7333	PE	7901810	6486437	603552	323510		488311	6.18
main	7353	PE	9436598	8559300	337879	359319		180100	1.91
main	7384	PE	10307593	9367715	367273	377794		194811	1.89
main	7394	PE	11537790	9744149	1032199	288397		473045	4.1
main	7404	PE	9346984	7942984	854823	209476		339701	3.63
main	7521	PE	43991664	19280712	13515765	1204878		9990309	22.71
main	8240	PE	25446859	20928677	2282745	1100646		1134791	4.46
main	8311	PE	8666683	7720823	476273	253668		215919	2.49
main	8312	PE	10595421	9348488	638843	320899		287191	2.71
main	8357	PE	70846707	66447085	1932473	1116230		1350919	1.91
main	8376	PE	21955611	15582989	1941180	2721803		1709639	7.79
main	9057	PE	36559654	28978971	2803525	2764030		2013128	5.51
main	9058	PE	43210615	31920485	4266206	4057787		2966137	6.86
main	9323	PE	37047963	34436314	1200412	1029559		381678	1.03
main	9371	PE	42875268	38174465	2716525	1255667		728611	1.7
main	9394	PE	37608609	34822932	1555235	844020		386422	1.03
main	9427	PE	41165565	36218027	2458815	1558973		929750	2.26
main	9481	PE	26845755	24997258	1125796	479114		243587	0.91
main	9507	PE	15883095	13527829	353838	908114		1093314	6.88
main	9510	PE	17856314	15059332	429911	1138534		1228537	6.88
main	9512	PE	21813001	17037456	1877882	707207		2190456	10.04
main	9517	PE	12546617	10248095	362283	847583		1088656	8.68
