label	n	MAE	RMSE	R2	slope	intercept	sample	n_svs_in_bin
1.untagged_<0.2	177	0.01920593220338983	0.033094242070065456	0.9817806679310175	0.9582186655501359	-0.0012872148263365388	MLFH040120180306	177
2.weak_0.2-0.5	3850	0.0135982987012987	0.027143752031796125	0.9695544847038206	0.9428787624486312	0.001172262174898341	MLFH040120180306	3906
3.medium_0.5-0.8	5130	0.01255502923976608	0.02382303663152493	0.9669655356968024	0.9437678002768691	0.0012818948835098627	MLFH040120180306	5161
4.strong_>=0.8	7699	0.011462474347317834	0.02263393223375304	0.9521412575398196	0.9211823117320015	0.0011534368904402518	MLFH040120180306	7730
SV_all	16856	0.012364130873279543	0.02421782411634033	0.9641621917405833	0.9374819194730074	0.0010567149425409865	MLFH040120180306	16974
1.untagged_<0.2	200	0.012563999999999999	0.02164229682820195	0.9900484222172595	0.9769763293794731	-0.0008346659099532048	MLFH040120180321	200
2.weak_0.2-0.5	4195	0.011396183551847437	0.021059471627852835	0.977279592043848	0.958753545131318	0.00018963837618210655	MLFH040120180321	4253
3.medium_0.5-0.8	5640	0.010771760638297873	0.01928390532890168	0.9724234921497391	0.9509820140984894	3.571202865455254e-05	MLFH040120180321	5678
4.strong_>=0.8	8445	0.010180264061574896	0.0181801979239549	0.9583912120961308	0.937978311729405	9.511931433229139e-05	MLFH040120180321	8490
SV_all	18480	0.010662600108225107	0.019242619776714712	0.9709748233178592	0.9513104556485114	-3.171229207127046e-05	MLFH040120180321	18621
1.untagged_<0.2	167	0.019983473053892212	0.043072732653078705	0.9759733183590742	0.9112651331626825	0.0013428716935870028	MLFH040120190208	167
2.weak_0.2-0.5	3586	0.016308324037925263	0.035634146941504644	0.9533204710348498	0.9252066248159104	0.0019946248260376237	MLFH040120190208	3622
3.medium_0.5-0.8	4716	0.015788844359626804	0.033932359859772436	0.9447441827970843	0.9211782821610035	0.0023192659522416974	MLFH040120190208	4744
4.strong_>=0.8	7044	0.013972372231686542	0.03194059012961311	0.9273061611574605	0.8945238234547991	0.0022935779989194972	MLFH040120190208	7075
SV_all	15513	0.015129276735641075	0.03356743833787068	0.9431913471027982	0.9137448867480134	0.00211917808466815	MLFH040120190208	15608
1.untagged_<0.2	189	0.0165721164021164	0.028744477555646925	0.9868036107259524	0.938342372780951	0.003396727225862524	MLFH040120190221	189
2.weak_0.2-0.5	4112	0.015215946011673153	0.028022417751144345	0.9637697291352936	0.934461619424209	0.000997072263307488	MLFH040120190221	4171
3.medium_0.5-0.8	5560	0.014060940647482015	0.025107318617237525	0.9573289755959078	0.9249139746854735	0.0012048777294794322	MLFH040120190221	5596
4.strong_>=0.8	8336	0.012832218090211133	0.023458461516788452	0.938736034824114	0.9044198527839448	0.0012633003186936114	MLFH040120190221	8379
SV_all	18197	0.013785145903170854	0.025114265547475582	0.9556012825277445	0.9232075868759981	0.001068417891407673	MLFH040120190221	18335
1.untagged_<0.2	166	0.02053710843373494	0.04349003694241949	0.9706235992348293	0.9305829866910456	0.001847258715919022	MLFH040120200206	166
2.weak_0.2-0.5	3483	0.016874740166523114	0.03478585828639589	0.9555708273455467	0.9327799483640693	0.0013644120121234435	MLFH040120200206	3527
3.medium_0.5-0.8	4610	0.016391809110629065	0.033568998128599516	0.9455779440979659	0.93103139221805	0.0014325815797342596	MLFH040120200206	4644
4.strong_>=0.8	6955	0.014236923076923076	0.03123231598079277	0.9275852611128632	0.9036358605050265	0.001550768437714401	MLFH040120200206	6990
