label	n	MAE	RMSE	R2	slope	intercept	sample	h_sum
all_poly	2493037	0.018726766109466553	0.03150280565023422	0.9807036907142076	0.981987416286361	-0.0010141733818225286	MLFH040120180306	1.0000029802322388
SNP	2381578	0.019048098474740982	0.031856704503297806	0.98078024886863	0.9822177876156231	-0.0010259746142985949	MLFH040120180306	1.0000029802322388
INS	73831	0.010997602716088295	0.021415436640381813	0.9180669316812086	0.917475150943892	0.0006674849080966253	MLFH040120180306	1.0000029802322388
DEL	37628	0.013553856872022152	0.024911509826779366	0.972705597757802	0.9719598794656469	-0.0004712235599829966	MLFH040120180306	1.0000029802322388
SV_all	111459	0.011860580183565617	0.022656092420220375	0.9559973606893557	0.9552284873592244	-0.00022489268101719942	MLFH040120180306	1.0000029802322388
SV_med_50-500bp	50977	0.01350666768848896	0.025415096431970596	0.96166111854438	0.9607818464743733	-1.5014674716180161e-05	MLFH040120180306	1.0000029802322388
SV_big_500-5kb	48756	0.010493340902030468	0.020102109760046005	0.9458757267430139	0.945174252150061	-0.00019352015645608212	MLFH040120180306	1.0000029802322388
SV_huge_>=5kb	11726	0.010389375500380993	0.019768133759498596	0.9130409879344844	0.9166997277852356	-0.00017649276288202566	MLFH040120180306	1.0000029802322388
all_poly	2793745	0.015934113413095474	0.02700049988925457	0.9830521037394966	0.9882744931467444	-0.0015940812423505622	MLFH040120180321	0.9999930262565613
SNP	2662390	0.016241082921624184	0.027358194813132286	0.9831174284378241	0.9884768111340166	-0.001618238454865136	MLFH040120180321	0.9999930262565613
INS	87641	0.008962639607489109	0.01701207086443901	0.9252509394626178	0.9358528873286928	-0.00018370034284657924	MLFH040120180321	0.9999930262565613
DEL	43714	0.011215206235647202	0.020643755793571472	0.975563829946139	0.9795643655939452	-0.0010410406979686224	MLFH040120180321	0.9999930262565613
SV_all	131355	0.00971227791160345	0.018300853669643402	0.960930925777481	0.9667048885889271	-0.0008122214675009171	MLFH040120180321	0.9999930262565613
SV_med_50-500bp	57550	0.011190533638000488	0.02101164497435093	0.9657747477742685	0.9725736170631286	-0.0008398900699275497	MLFH040120180321	0.9999930262565613
SV_big_500-5kb	58789	0.008688467554748058	0.016158152371644974	0.9518681717610002	0.9552989160946217	-0.0006337525603178846	MLFH040120180321	0.9999930262565613
SV_huge_>=5kb	15016	0.008055057376623154	0.014682095497846603	0.9260322835618896	0.940063143095409	-0.0007365097941697518	MLFH040120180321	0.9999930262565613
all_poly	2149494	0.02443242445588112	0.04275858774781227	0.9697726850645148	0.9767379120780936	0.001177829193108468	MLFH040120190208	0.9999989867210388
SNP	2064830	0.0247935950756073	0.04314138740301132	0.9698678055766949	0.9768137469126053	0.001276279800254778	MLFH040120190208	0.9999989867210388
INS	54985	0.01439991220831871	0.03047102689743042	0.9035967883592161	0.9223006108943941	0.0007370594804317786	MLFH040120190208	0.9999989867210388
DEL	29679	0.01789116859436035	0.03475181385874748	0.9605041343600872	0.9681129133787401	0.00013412369784477512	MLFH040120190208	0.9999989867210388
SV_all	84664	0.015623773448169231	0.03203683719038963	0.9410388523387823	0.9526758504360584	3.0417605546771614e-05	MLFH040120190208	0.9999989867210388
SV_med_50-500bp	40478	0.01773928478360176	0.03512325510382652	0.9469411046327472	0.9557349068608683	0.0007974880694515693	MLFH040120190208	0.9999989867210388
SV_big_500-5kb	35828	0.013665683567523956	0.02874598279595375	0.9322656409078783	0.9464906400039166	-0.0004221584572855021	MLFH040120190208	0.9999989867210388
SV_huge_>=5kb	8358	0.013771995902061462	0.029663586989045143	0.8926043198142573	0.927250991740043	-0.0005917717065245661	MLFH040120190208	0.9999989867210388
all_poly	2646579	0.02314917929470539	0.03805508464574814	0.9687674751324429	0.9791176675371542	-0.0006394440014309041	MLFH040120190221	0.9999950528144836
SNP	2529996	0.023540087044239044	0.03849896416068077	0.9688828649121749	0.9793458824148459	-0.0006033723233382079	MLFH040120190221	0.9999950528144836
INS	77134	0.013536209240555763	0.025015011429786682	0.8660266077858269	0.8846489876082957	0.0007700236943270787	MLFH040120190221	0.9999950528144836
DEL	39449	0.01687530241906643	0.029614241793751717	0.957140571506131	0.9657385577395706	-0.0007240844780313525	MLFH040120190221	0.9999950528144836
SV_all	116583	0.01466608140617609	0.02666025049984455	0.9307789029090716	0.9422739491561896	-0.00048004614509893155	MLFH040120190221	0.9999950528144836
SV_med_50-500bp	52780	0.01684476248919964	0.03025021031498909	0.939100034584247	0.9483260550468398	-0.00011775769156987886	MLFH040120190221	0.9999950528144836
SV_big_500-5kb	51240	0.012940587475895882	0.02338988520205021	0.9154784420058429	0.9318219650895266	-0.0005832448249434105	MLFH040120190221	0.9999950528144836
SV_huge_>=5kb	12563	0.012550626881420612	0.02280423976480961	0.8665466053938513	0.8910812283528567	-0.00034559750534840695	MLFH040120190221	0.9999950528144836
all_poly	2179238	0.025200853124260902	0.04512740299105644	0.9656164606490526	0.9769811219115385	4.278333624727304e-05	MLFH040120200206	0.9999960660934448
