regime	family	method	n	MAE	RMSE	R2	slope
equal_n50_g3	hapfire	hapfire_global	410795	0.045875	0.065725	0.923216	0.936102
equal_n50_g3	hapfire	hapfire_win10kb	408678	0.093521	0.126672	0.729550	0.876569
equal_n50_g3	hapfire	hapfire_win100kb	410858	0.086444	0.116958	0.764729	0.881505
equal_n50_g3	cactus_em	cactus_em_global	411092	0.043208	0.061790	0.929330	0.959496
equal_n50_g3	cactus_em	cactus_em_win10kb	411092	0.054571	0.078964	0.882846	0.945501
equal_n50_g3	cactus_em	cactus_em_win100kb	411092	0.034573	0.055315	0.942065	0.975165
equal_n50_g3	cactus_em	cactus_em_win200kb	411092	0.030452	0.050837	0.951216	0.980240
skewed_n50_g3	hapfire	hapfire_global	410795	0.089317	0.120710	0.759932	0.922257
skewed_n50_g3	hapfire	hapfire_win10kb	408678	0.122210	0.174374	0.573832	0.862317
skewed_n50_g3	hapfire	hapfire_win100kb	410858	0.116347	0.165618	0.603474	0.879116
skewed_n50_g3	cactus_em	cactus_em_global	411092	0.076800	0.104114	0.815836	0.951760
skewed_n50_g3	cactus_em	cactus_em_win10kb	411092	0.108530	0.165774	0.634013	0.961270
skewed_n50_g3	cactus_em	cactus_em_win100kb	411092	0.110619	0.165190	0.646566	0.984459
skewed_n50_g3	cactus_em	cactus_em_win200kb	411092	0.111305	0.165286	0.647250	0.986456
