ecotype_id	run_accession	study_accession	fastq_ftp	fastq_md5	base_count	read_count	library_strategy	library_layout	instrument_model
10002	SRR1946537	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1946537/SRR1946537.fastq.gz	4f9aad48941d4f56ee42e6974ebccd54	3146232939	60710932	WGS	PAIRED	Illumina Genome Analyzer II
10006	SRR1946540	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1946540/SRR1946540.fastq.gz	3b864efef68cc9960f53e45012c2a1a2	1602310769	40226132	WGS	PAIRED	Illumina Genome Analyzer II
159	SRR1945438	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945438/SRR1945438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945438/SRR1945438_2.fastq.gz	b0ab070c27661bb3a9b310b0bac4eb0a;7ca19d84374172c2fbed466512b3c28e	4145826600	20729133	WGS	PAIRED	Illumina HiSeq 2000
5772	SRR1945578	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945578/SRR1945578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945578/SRR1945578_2.fastq.gz	a6fd9866848263cf7929b753a5f388da;e5992fd1d4daea82ab891ba92eea1e2d	5497731800	27488659	WGS	PAIRED	Illumina HiSeq 2000
5784	SRR1945581	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945581/SRR1945581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/001/SRR1945581/SRR1945581_2.fastq.gz	e53c67b8e74683f7261d0a4946c2f6ea;9092c8172c51dfec81508f43deabf991	4000532400	20002662	WGS	PAIRED	Illumina HiSeq 2000
5811	SRR1945584	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945584/SRR1945584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945584/SRR1945584_2.fastq.gz	d7e4ccf53579c1d07a274f8b55751b65;8af18c37aa44ff84f95b818265a778dd	4806455600	24032278	WGS	PAIRED	Illumina HiSeq 2000
6150	SRR1945685	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945685/SRR1945685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945685/SRR1945685_2.fastq.gz	10d0fc864b7f4948513e89be6a5c6982;2c462b7615264fae7dd716a9863e0d9b	4684513536	30819168	WGS	PAIRED	Illumina Genome Analyzer IIx
6184	SRR1945697	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945697/SRR1945697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945697/SRR1945697_2.fastq.gz	9b164a238fbe39decda2aab4eaa39336;bee06ad980715037ed3cf555a2a5f03a	5937704136	39063843	WGS	PAIRED	Illumina Genome Analyzer IIx
6244	SRR1945725	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945725/SRR1945725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945725/SRR1945725_2.fastq.gz	7c44f33ff51d1143fed1e0b796694fd5;38a230eedd10dfcb644ceb8153b68392	2871109152	18888876	WGS	PAIRED	Illumina Genome Analyzer IIx
6898	SRR1945750	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945750/SRR1945750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/000/SRR1945750/SRR1945750_2.fastq.gz	137e0905348fe5d135301240c2e5ebdb;4017e24879047b390a8a8a81b63a1575	1765240832	8738816	WGS	PAIRED	Illumina HiSeq 2000
