blockdef,model,cls,slope_full,sign_agree,trend_real,mean_fit,sd_fit,n_past_support,empirical_tail,pred_chosen,pred_const,rmse_deg2_clamp,rmse_deg5_clamp,rmse_isotonic_auto,rmse_const
clq0.9,kendall,snp,-0.74,0.95,True,deg2_clamp,isotonic,10,-10.53,-8.54,-0.18,0.911,0.938,0.936,0.92
clq0.9,kendall,sv,0.1,0.78,False,const,isotonic,8,-2.24,-0.09,-0.09,0.21,0.212,0.22,0.185
clq0.9,kendall,smallindel,0.13,0.85,False,const,isotonic,12,-4.87,-0.13,-0.13,0.627,0.63,0.633,0.606
clq0.9,kendall,nonsnp,0.02,0.62,False,const,isotonic,12,-5.03,-0.13,-0.13,0.636,0.664,0.623,0.615
clq0.9,lfmm,snp,0.3,0.78,False,const,isotonic,10,3.82,-0.01,-0.01,0.892,0.917,0.901,0.862
clq0.9,lfmm,sv,0.71,0.88,False,const,isotonic,8,0.52,-0.02,-0.02,0.224,0.244,0.236,0.248
clq0.9,lfmm,smallindel,0.1,0.65,False,const,isotonic,14,-0.3,0.0,0.0,0.631,0.652,0.636,0.629
clq0.9,lfmm,nonsnp,0.16,0.68,False,const,isotonic,14,-0.17,0.0,0.0,0.631,0.651,0.625,0.615
clq0.9,binomial,snp,1.0,0.95,True,isotonic_auto,isotonic,10,0.98,-0.19,-0.17,0.953,0.978,0.938,0.925
clq0.9,binomial,sv,1.04,0.97,True,deg2_clamp,isotonic,8,0.8,0.81,-0.07,0.251,0.264,0.258,0.334
clq0.9,binomial,smallindel,0.65,0.97,True,deg2_clamp,isotonic,14,1.93,2.99,-0.1,0.61,0.62,0.615,0.606
clq0.9,binomial,nonsnp,0.79,0.97,True,deg2_clamp,isotonic,14,2.05,3.6,-0.1,0.627,0.637,0.648,0.633
clq0.5,kendall,snp,-1.07,0.93,True,deg2_clamp,isotonic,12,-8.67,-8.23,-0.24,1.188,1.229,1.233,1.164
clq0.5,kendall,sv,0.47,0.88,False,const,isotonic,11,-1.64,-0.1,-0.1,0.273,0.284,0.279,0.239
clq0.5,kendall,smallindel,-0.29,0.72,False,const,isotonic,15,-5.12,-0.18,-0.18,0.702,0.741,0.707,0.637
clq0.5,kendall,nonsnp,-0.27,0.75,False,const,isotonic,15,-5.56,-0.19,-0.19,0.668,0.71,0.68,0.634
clq0.5,lfmm,snp,0.44,0.6,False,const,isotonic,12,4.52,0.03,0.03,1.1,1.138,1.127,1.014
clq0.5,lfmm,sv,0.3,0.8,False,const,isotonic,11,0.64,-0.03,-0.03,0.231,0.263,0.246,0.267
clq0.5,lfmm,smallindel,0.01,0.5,False,const,isotonic,15,0.1,0.02,0.02,0.739,0.765,0.738,0.686
clq0.5,lfmm,nonsnp,0.05,0.6,False,const,isotonic,15,-0.31,0.02,0.02,0.73,0.762,0.751,0.687
clq0.5,binomial,snp,0.52,0.8,False,const,isotonic,12,4.11,-0.18,-0.18,1.146,1.171,1.151,1.091
clq0.5,binomial,sv,-0.28,0.53,False,const,isotonic,11,0.66,-0.08,-0.08,0.21,0.219,0.211,0.279
clq0.5,binomial,smallindel,0.0,0.53,False,const,isotonic,15,0.6,-0.1,-0.1,0.694,0.716,0.71,0.652
clq0.5,binomial,nonsnp,0.09,0.57,False,const,isotonic,15,0.98,-0.11,-0.11,0.705,0.74,0.701,0.654
