sampleid,site,plot,date,year,generation,weighted_mean_coverage,hot_cold
MLFH041020190208,4,10,20190208,2019,2,5.776230063,hot
MLFH040220190208,4,2,20190208,2019,2,2.80343875,hot
MLFH040520200206,4,5,20200206,2020,3,4.953881,hot
MLFH040220190221,4,2,20190221,2019,2,2.80343875,hot
MLFH541220180427,54,12,20180427,2018,1,7.364946851,cold
MLFH541120180115,54,11,20180115,2018,1,7.761428614,cold
MLFH041020180306,4,10,20180306,2018,1,3.576653,hot
MLFH040520190221,4,5,20190221,2019,2,5.5527064,hot
MLFH040320180306,4,3,20180306,2018,1,10.246284,hot
MLFH040820190221,4,8,20190221,2019,2,5.944418,hot
MLFH541220180412,54,12,20180412,2018,1,7.364946851,cold
MLFH541220190418,54,12,20190418,2019,2,8.390106241,cold
MLFH540920180328,54,9,20180328,2018,1,7.907460406,cold
MLFH040120180321,4,1,20180321,2018,1,16.631347,hot
MLFH040720190221,4,7,20190221,2019,2,3.739606368,hot
MLFH541120180427,54,11,20180427,2018,1,7.761428614,cold
MLFH540320180427,54,3,20180427,2018,1,7.432505333,cold
MLFH541020190418,54,10,20190418,2019,2,7.969692115,cold
MLFH041120180306,4,11,20180306,2018,1,5.3725805,hot
MLFH540320180328,54,3,20180328,2018,1,7.432505333,cold
MLFH540820180328,54,8,20180328,2018,1,8.070455781,cold
MLFH540220180328,54,2,20180328,2018,1,8.420418154,cold
MLFH541020180412,54,10,20180412,2018,1,7.22656778,cold
MLFH040820180306,4,8,20180306,2018,1,4.078594,hot
MLFH041220190208,4,12,20190208,2019,2,4.935250154,hot
MLFH540620190330,54,6,20190330,2019,2,7.49556712,cold
MLFH540920200325,54,9,20200325,2020,3,5.283853062,cold
MLFH540320190524,54,3,20190524,2019,2,6.972774397,cold
MLFH541120180412,54,11,20180412,2018,1,7.761428614,cold
MLFH540720200325,54,7,20200325,2020,3,4.463180778,cold
MLFH041020200206,4,10,20200206,2020,3,3.78768,hot
MLFH041120200212,4,11,20200212,2020,3,4.639991,hot
MLFH541120180314,54,11,20180314,2018,1,7.761428614,cold
MLFH540820190418,54,8,20190418,2019,2,6.155532378,cold
MLFH540320200325,54,3,20200325,2020,3,7.500000353,cold
MLFH540420180427,54,4,20180427,2018,1,8.816785564,cold
MLFH540520180427,54,5,20180427,2018,1,7.869532856,cold
MLFH040720200212,4,7,20200212,2020,3,3.326344,hot
MLFH540520190418,54,5,20190418,2019,2,8.35435248,cold
MLFH540520200408,54,5,20200408,2020,3,9.261333946,cold
MLFH041220180306,4,12,20180306,2018,1,5.939087,hot
MLFH540920200408,54,9,20200408,2020,3,5.283853062,cold
MLFH041220180321,4,12,20180321,2018,1,5.939087,hot
MLFH540520180328,54,5,20180328,2018,1,7.869532856,cold
MLFH040820190208,4,8,20190208,2019,2,5.944418,hot
MLFH041020180321,4,10,20180321,2018,1,3.576653,hot
MLFH540920190524,54,9,20190524,2019,2,7.912588655,cold
MLFH541120200325,54,11,20200325,2020,3,11.02584867,cold
MLFH040520180306,4,5,20180306,2018,1,3.876411,hot
MLFH540420190524,54,4,20190524,2019,2,8.20878331,cold
MLFH040620200206,4,6,20200206,2020,3,3.336538,hot
MLFH041020190221,4,10,20190221,2019,2,5.776230063,hot
MLFH540220190330,54,2,20190330,2019,2,8.023262805,cold
MLFH540120180115,54,1,20180115,2018,1,7.090012789,cold
MLFH040720190208,4,7,20190208,2019,2,3.739606368,hot
MLFH041220200212,4,12,20200212,2020,3,3.721006,hot
MLFH541020200325,54,10,20200325,2020,3,4.213992536,cold
MLFH540720180314,54,7,20180314,2018,1,4.852478962,cold
MLFH040920190208,4,9,20190208,2019,2,6.02164325,hot
MLFH540720190418,54,7,20190418,2019,2,8.272298,cold
MLFH541020180314,54,10,20180314,2018,1,7.22656778,cold
MLFH040920190221,4,9,20190221,2019,2,6.02164325,hot
MLFH540920190418,54,9,20190418,2019,2,7.912588655,cold
MLFH540720180328,54,7,20180328,2018,1,4.852478962,cold
MLFH540820180427,54,8,20180427,2018,1,8.070455781,cold
MLFH540420190418,54,4,20190418,2019,2,8.20878331,cold
MLFH540520180314,54,5,20180314,2018,1,7.869532856,cold
MLFH540520190524,54,5,20190524,2019,2,8.35435248,cold
MLFH540420180328,54,4,20180328,2018,1,8.816785564,cold
MLFH540120180412,54,1,20180412,2018,1,7.090012789,cold
MLFH540420180314,54,4,20180314,2018,1,8.816785564,cold
MLFH540120200325,54,1,20200325,2020,3,5.574098273,cold
MLFH540120190330,54,1,20190330,2019,2,9.030321858,cold
MLFH040120200206,4,1,20200206,2020,3,5.276738,hot
MLFH540820180115,54,8,20180115,2018,1,8.070455781,cold
MLFH040320190208,4,3,20190208,2019,2,7.886553737,hot
MLFH540720180427,54,7,20180427,2018,1,4.852478962,cold
MLFH540520200325,54,5,20200325,2020,3,9.261333946,cold
MLFH540420180412,54,4,20180412,2018,1,8.816785564,cold
MLFH040320180321,4,3,20180321,2018,1,10.246284,hot
MLFH041120190221,4,11,20190221,2019,2,5.145800966,hot
MLFH540320190330,54,3,20190330,2019,2,6.972774397,cold
MLFH540120180314,54,1,20180314,2018,1,7.090012789,cold
MLFH040120190208,4,1,20190208,2019,2,9.314159313,hot
MLFH540420200408,54,4,20200408,2020,3,7.591945833,cold
MLFH540820200325,54,8,20200325,2020,3,4.541720252,cold
MLFH540620180412,54,6,20180412,2018,1,4.291134355,cold
MLFH540220180115,54,2,20180115,2018,1,8.420418154,cold
MLFH040420180321,4,4,20180321,2018,1,7.809219,hot
MLFH540120190418,54,1,20190418,2019,2,9.030321858,cold
MLFH540720190330,54,7,20190330,2019,2,8.272298,cold
MLFH540620180328,54,6,20180328,2018,1,4.291134355,cold
MLFH540620180427,54,6,20180427,2018,1,4.291134355,cold
MLFH040620190221,4,6,20190221,2019,2,5.254861667,hot
MLFH040720180321,4,7,20180321,2018,1,5.1301785,hot
MLFH541220190524,54,12,20190524,2019,2,8.390106241,cold
MLFH541220200408,54,12,20200408,2020,3,13.04118465,cold
