rep	sv_freq_pct	n_sv	truth	hapfire_proj	freqk	hapfire_panel_sum	hapfire_done
rep9	10	23	0.09956709956709957		0.13577092		False
rep9	30	69	0.2987012987012987		0.1080784		False
rep9	50	116	0.5021645021645021		0.47892362		False
rep9	70	162	0.7012987012987013		0.683294		False
rep9	90	208	0.9004329004329005		0.92698157		False
rep1	10	23	0.09956709956709957				False
rep1	30	69	0.2987012987012987				False
rep1	50	116	0.5021645021645021				False
rep1	70	162	0.7012987012987013				False
rep1	90	208	0.9004329004329005				False
rep11	10	23	0.09956709956709957		0.07448527		False
rep11	30	69	0.2987012987012987		0.2721972		False
rep11	50	116	0.5021645021645021				False
rep11	70	162	0.7012987012987013				False
rep11	90	208	0.9004329004329005		0.9096378		False
