block,SNPs,hits,Z,top_candidate_p,Z_pVal,chrom,mid_pos,n_up,n_dn,lead_pos,lead_ref,mean_beta,dir
1_4566,111,29,10.281030815604772,1.8919300117648224e-32,2.0285156918653517e-06,Chr1,25596261.0,90,21,25630674,1,0.08595477,up-in-warm
4_2781,22,5,7.500117652579743,2.2848314242291675e-06,3.311980702269679e-05,Chr4,15468585.5,16,6,15466381,68,0.065765366,up-in-warm
1_1773,10,6,7.085638589276171,2.0289394126000107e-10,5.425661082014699e-05,Chr1,11359394.0,10,0,11359394,1,0.14959365,up-in-warm
1_3727,32,6,7.070970864728867,7.248364728301593e-07,0.0001273046448478,Chr1,22987313.0,28,4,22987274,7,0.10308312,up-in-warm
1_1219,5,3,6.418456761037089,9.850600000000027e-06,0.0002122375880185,Chr1,8884787.0,4,1,8884940,90,0.110804476,up-in-warm
3_3018,3,3,6.375870785150416,1.0000000000000027e-06,0.0002178236117925,Chr3,19740321.0,3,0,19740321,56,0.12006658,up-in-warm
5_2346,19,11,6.620267256500759,7.021510410113566e-18,0.0002183930638557,Chr5,20263428.0,17,2,20262863,1,0.09210986,up-in-warm
5_2001,7,3,6.226624241323466,3.396253015000008e-05,0.0003465629122086,Chr5,17985873.0,6,1,17985699,578,0.1128808,up-in-warm
4_1830,5,3,6.179852122925778,9.850600000000027e-06,0.0003597496988039,Chr4,9770082.0,5,0,9769626,794,0.09864701,up-in-warm
1_211,21,7,6.391185069815357,1.0282980316608016e-09,0.0003765336613947,Chr1,1588433.0,19,2,1588433,1,0.087441355,up-in-warm
1_1966,143,30,7.899383376343029,2.171703986944717e-30,0.0004258977380636,Chr1,11982281.0,94,49,11982294,1,0.047509328,up-in-warm
4_955,10,4,6.15041842144506,2.001276156940847e-06,0.000447571961583,Chr4,7863626.0,10,0,7863539,1,0.22546999,up-in-warm
4_866,9,6,6.05019120585068,8.185884400000042e-11,0.0005358839384609,Chr4,7641047.0,9,0,7641109,1,0.11104343,up-in-warm
1_1267,7,4,6.005023742366487,3.416698000000012e-07,0.0005552421461662,Chr1,8979822.0,7,0,8979822,1,0.10690268,up-in-warm
1_749,5,3,5.8437851352317125,9.850600000000027e-06,0.0007324302617962,Chr1,6986313.0,5,0,6986313,1,0.12148444,up-in-warm
1_2697,7,5,5.8571693651652765,2.0651500000000087e-09,0.0007536224032288,Chr1,19426042.0,7,0,19426042,5,0.21584947,up-in-warm
3_2652,4,2,5.781250876429972,0.00059203,0.0008098683190963,Chr3,17749570.0,4,0,17749183,1,0.20987792,up-in-warm
4_2797,13,5,5.825210825052072,1.2037294519127428e-07,0.0009436926515151,Chr4,15548627.0,12,1,15548627,1,0.10489225,up-in-warm
1_5066,24,10,5.937131066491359,1.7259790711798775e-14,0.0010019531070604,Chr1,28753340.0,19,5,28748211,172,0.09545205,up-in-warm
2_1268,70,14,6.440638530051265,1.143775463314196e-14,0.0011234860198702,Chr2,11595646.5,48,22,11625991,66,0.07029659,up-in-warm
3_2640,2,2,5.555018231344296,0.0001,0.0012130877000301,Chr3,17712962.0,2,0,17712893,2,0.091488324,up-in-warm
5_1657,13,4,5.66085519335916,6.652021264699332e-06,0.0012985810763195,Chr5,17202806.0,11,2,17202809,22,0.09681925,up-in-warm
1_4540,4,3,5.545670648794513,3.97000000000001e-06,0.0013004897197942,Chr1,25453120.0,4,0,25453604,1,0.050893813,up-in-warm
3_1100,19,6,5.701903561184673,2.4262383546679593e-08,0.0013853762187087,Chr3,9594269.0,16,3,9594269,1,0.09388727,up-in-warm
1_1800,4,3,5.502796825774281,3.97000000000001e-06,0.0014147411032622,Chr1,11388259.0,4,0,11388259,1,0.09519133,up-in-warm
5_534,6,5,5.481154952173532,5.950000000000025e-10,0.0015492957707976,Chr5,6612191.0,6,0,6612407,56,0.087207235,up-in-warm
3_175,6,2,5.4784688374540185,0.001460447605,0.0015573423790138,Chr3,1849045.5,6,0,1849887,1,0.25620213,up-in-warm
3_569,7,4,5.410882746497474,3.416698000000012e-07,0.0018144241440021,Chr3,5994009.0,6,1,5994009,1,0.073793255,up-in-warm
5_1137,2,2,5.33968645101309,0.0001,0.0018498666434588,Chr5,15377767.5,2,0,15378886,1,0.055972986,up-in-warm
5_3057,8,5,5.364611463498567,5.461196500000024e-09,0.0020252385123894,Chr5,26276700.0,7,1,26276700,73,0.111402765,up-in-warm
1_5114,5,3,5.321190514141155,9.850600000000027e-06,0.0020536607022292,Chr1,29133516.0,5,0,29132970,408,0.23907912,up-in-warm
3_340,39,9,5.646765622260364,1.6163335474669602e-10,0.002328823310408,Chr3,3290191.0,33,6,3275935,1,0.09748384,up-in-warm
1_4598,17,6,5.357727785478564,1.1258833835444952e-08,0.0024880240623382,Chr1,25882200.0,14,3,25882200,1,0.080600284,up-in-warm
2_1913,13,3,5.263694516546262,0.0002653052947172,0.0027118710615092,Chr2,17741766.0,13,0,17741766,1,0.06716332,up-in-warm
1_1932,195,23,7.082213193132977,8.986414553105463e-18,0.0028099033984807,Chr1,11802530.0,133,62,11778989,117,0.051165827,up-in-warm
4_132,16,4,5.25651704384954,1.653063641103466e-05,0.0029178563435793,Chr4,1143262.0,12,4,1143262,1,0.08237762,up-in-warm
5_2925,12,6,5.205650027529305,8.775072628580664e-10,0.002947885150572,Chr5,24422668.0,10,2,24422668,1,0.08864833,up-in-warm
3_630,47,9,5.581822989345047,9.670333021826483e-10,0.0029991693979448,Chr3,7011193.0,36,11,7007715,1,0.057995506,up-in-warm
1_417,61,9,5.698621301400538,1.0849606991729784e-08,0.0031566105336563,Chr1,3500882.0,40,21,3482989,1,0.07261344,up-in-warm
1_17,5,2,5.083040921152367,0.0009801496,0.0031885889547286,Chr1,159160.0,5,0,159162,32,0.073730454,up-in-warm
3_1541,17,3,5.206162351563882,0.0006121919068227,0.0032496591044147,Chr3,13303680.0,12,5,13312946,1,0.037001494,up-in-warm
1_1042,9,4,5.113503949609472,1.2104328314440042e-06,0.0032716609639946,Chr1,7885348.0,9,0,7885348,391,0.13021155,up-in-warm
1_2855,256,42,7.434687911715646,3.467536467420326e-37,0.0033936714218029,Chr1,20462439.0,192,64,20510909,62,0.073736526,up-in-warm
1_1760,2,2,5.012781412449758,0.0001,0.0034073111323421,Chr1,11347056.0,2,0,11347056,1,0.11386568,up-in-warm
2_968,8,5,5.06907006952942,5.461196500000024e-09,0.0034714470114306,Chr2,9540355.5,6,2,9540086,1,0.10790006,up-in-warm
5_122,3,3,5.006179413021248,1.0000000000000027e-06,0.0035183334813173,Chr5,804658.0,3,0,804658,1,0.065940626,up-in-warm
1_2524,9,5,5.025145430014209,1.2185368570000051e-08,0.0038244425411457,Chr1,18707581.0,9,0,18707423,1,0.089602135,up-in-warm
5_2872,10,3,5.01950147240558,0.0001138491179057,0.0039362086626861,Chr5,23910614.0,7,3,23909044,1,0.03654227,up-in-warm
3_654,79,8,5.735443414153956,1.3875924813050924e-06,0.0039393900743204,Chr3,7279037.0,44,35,7256323,1,0.039554667,up-in-warm
4_1343,22,5,5.137520415489143,2.2848314242291675e-06,0.0040082168361996,Chr4,8725040.0,18,4,8725040,1251,0.09503624,up-in-warm
