block,stat,MAF
1_0,0.978931,0.0069925
1_0,0.98991394,0.01301
1_0,0.16372764,0.07780625
1_0,0.2889921,0.00383
1_0,0.024038812,0.00058625
1_0,0.8923042,0.00649375
1_0,0.9835395,0.00604625
1_0,0.99995357,0.00527375
1_0,0.7159528,0.00092
1_0,0.91422224,0.00979875
1_0,0.9959319,0.01764
1_0,0.4376703,0.010405
1_0,0.20605461,0.0077875
1_0,0.07190559,0.00499125
1_0,0.99992293,0.0065175
1_0,0.017243586,0.00203375
1_0,0.97915137,0.00178875
1_0,0.7164809,0.00091
1_0,0.99995553,0.0052125
1_0,0.2071963,0.00769125
1_0,0.4342763,0.01028375
1_0,0.9999227,0.00644125
1_0,0.9448949,0.0081725
1_0,0.9998604,0.00925125
1_0,0.08342853,0.0
1_0,0.1378246,0.002395
1_0,0.9988446,0.01239625
1_0,0.048769575,0.0088925
1_0,0.93903506,0.003045
1_0,0.83710736,0.0072875
1_0,0.97347,0.0020275
1_0,0.024551464,0.00057875
1_0,0.61474496,0.05027875
1_0,0.9954941,0.01147125
1_0,0.43880472,0.02424625
1_0,0.86694974,0.04438625
1_0,0.03177386,0.0063225
1_0,0.0020620166,0.00400125
1_0,0.020597313,0.2090325
1_0,0.26120633,0.0099275
1_0,0.9809689,0.00177375
1_0,0.9996212,0.0008475
1_0,0.000561421,0.02167875
1_0,0.9926517,0.170545
1_0,0.99934137,0.0041375
1_0,0.021010645,0.003625
1_0,0.024747506,0.0005875
1_4,0.93572116,0.00368875
1_4,0.29468492,0.00344
1_4,0.99834174,0.00771625
1_4,0.01407835,0.0
1_4,0.025213107,0.0005725
1_4,0.4637994,0.0009025
1_7,0.012972255,0.0005375
1_8,0.012207216,0.12449875
1_8,0.2618116,0.04590125
1_8,0.5192823,0.0415125
1_8,0.013272341,0.00053625
1_8,0.7861465,0.01465875
1_8,0.2502175,0.0395375
1_8,0.72980577,0.0031125
1_8,0.067313455,0.00245125
1_8,0.7861465,0.01465875
1_11,0.43736714,0.04216125
1_11,0.013608958,0.000475
1_11,0.25564662,0.04052
1_11,0.033789475,0.0086175
1_11,0.48003608,0.00695875
1_11,0.8257865,0.0009725
1_11,0.69946903,0.0029575
1_11,0.0024131332,0.0043375
1_11,0.99827904,0.008375
1_11,0.0143782655,0.0006225
1_11,0.9438229,0.00396875
1_11,0.94046694,0.0
1_11,0.0010228025,0.005525
1_11,0.7852996,0.00664625
1_11,0.035685204,0.013945
1_11,0.078279465,0.00232625
1_11,0.3882918,0.00098
1_11,0.06510903,0.00530875
1_11,0.10961115,0.002575
1_11,0.9990706,0.01594875
1_11,0.999634,0.0836875
1_11,0.19974336,0.008255
1_11,0.99936116,0.010185
1_11,0.9385184,0.027875
1_11,0.99986655,0.00568375
1_11,0.010886279,0.00218625
1_11,0.99547577,0.01046875
