block,SNPs,hits,Z,top_candidate_p,Z_pVal,chrom,mid_pos,n_up,n_dn,lead_pos,lead_ref,mean_beta,dir
5_775,740,82,10.11591139904036,5.486815809688401e-57,0.0,Chr5,9181108.0,389,351,9153081,1,0.015090019,up-in-warm
2_729,918,52,9.613949138284282,6.60501327917224e-23,0.0,Chr2,6685325.0,502,416,6697841,1,0.016537512,up-in-warm
5_918,857,100,6.567560306670325,2.7955631487495018e-71,0.0,Chr5,13176529.0,481,376,13224734,519,0.027801882,up-in-warm
5_602,553,82,12.432865734070242,2.8158336857053562e-67,2.13859920883408e-08,Chr5,7557565.0,335,218,7645894,1,0.02251475,up-in-warm
4_2781,22,6,8.212926662184024,6.502481877192564e-08,8.206966526369541e-07,Chr4,15468585.5,16,6,15466381,68,0.065765366,up-in-warm
1_4566,118,22,10.505177591452352,1.6717500045828448e-21,7.086839162839809e-06,Chr1,25596261.0,96,22,25630674,1,0.084153935,up-in-warm
5_2001,9,4,6.313308595945915,1.2104328314440042e-06,8.097185492017545e-05,Chr5,17985699.0,8,1,17985699,578,0.11279753,up-in-warm
3_3018,3,3,6.094066170038549,1.0000000000000027e-06,8.137670866825708e-05,Chr3,19740321.0,3,0,19740321,56,0.12006658,up-in-warm
5_891,611,59,7.2242432508467775,4.0771744169141285e-38,0.0001197178377045,Chr5,10645429.0,327,284,10741436,548,0.019145584,up-in-warm
2_779,103,14,8.924644566830944,2.9916263954488904e-12,0.0001531456363096,Chr2,7079554.0,48,55,7077399,1,0.0023904133,up-in-warm
3_1389,447,29,10.844505461900807,5.626672747756287e-15,0.0001556687633417,Chr3,11087581.0,158,289,11077261,4092,-0.011640877,down-in-warm
3_589,101,23,8.77512161496982,1.5199718124625621e-24,0.0001935099224974,Chr3,6379685.0,71,30,6365763,584,0.071066596,up-in-warm
1_2134,571,54,8.137510359957846,1.437415334626116e-34,0.0002095399734176,Chr1,14232768.0,358,213,14232768,8232,0.0358508,up-in-warm
1_1773,12,6,5.806517832193194,8.775072628580664e-10,0.0004380433079121,Chr1,11359406.5,12,0,11359394,1,0.13609211,up-in-warm
3_2640,2,2,5.381847550913758,0.0001,0.0005369621983626,Chr3,17712962.0,2,0,17712893,2,0.091488324,up-in-warm
5_2346,19,9,5.951509666327352,8.439591779845457e-14,0.0005527537402834,Chr5,20263428.0,17,2,20262863,1,0.09210986,up-in-warm
2_591,642,41,5.373102485588546,2.89736671798727e-20,0.0006016044292409,Chr2,3026435.0,344,298,2962675,1,0.013312068,up-in-warm
1_749,6,3,5.470506430556071,1.955359000000005e-05,0.0006124155940487,Chr1,6986313.0,6,0,6986313,1,0.111606084,up-in-warm
4_866,9,5,5.523407455285735,1.2185368570000051e-08,0.0006958090659483,Chr4,7641047.0,9,0,7641109,1,0.11104343,up-in-warm
1_2265,9,2,5.352378455539492,0.0034357300178462,0.001064033601752,Chr1,16874531.0,3,6,16874205,78,-0.007895443,down-in-warm
5_3057,9,4,5.327093659481665,1.2104328314440042e-06,0.0011315993399668,Chr5,26276700.0,8,1,26276700,73,0.10538173,up-in-warm
1_3727,34,4,6.082672223553556,0.0003648914330466,0.0012762143111049,Chr1,22987313.0,30,4,22987274,7,0.10021931,up-in-warm
2_195,72,5,7.166866479835944,0.0008023757705554,0.0013067780560287,Chr2,602461.5,14,58,601208,1,-0.039659873,down-in-warm
1_5066,26,8,5.814835886330753,1.3305371697933226e-10,0.0013287262152198,Chr1,28753340.0,20,6,28748211,172,0.08805093,up-in-warm
1_2697,7,3,5.174755661819495,3.396253015000008e-05,0.0013891292996273,Chr1,19426042.0,7,0,19426042,5,0.21584947,up-in-warm
1_3507,5,2,5.079103879303719,0.0009801496,0.0014859339693971,Chr1,22592596.0,4,1,22592596,707,0.112397335,up-in-warm
5_2560,2,2,4.963077536941424,0.0001,0.0015369367894175,Chr5,22192366.0,2,0,22192366,1,0.060200073,up-in-warm
1_5114,5,3,5.050911826237855,9.850600000000027e-06,0.0015893899094497,Chr1,29133516.0,5,0,29132970,408,0.23907912,up-in-warm
1_211,22,7,5.5549026951357785,1.4950000972233536e-09,0.0018005995699237,Chr1,1590273.0,20,2,1588433,1,0.08547793,up-in-warm
1_694,7,2,5.056612899496121,0.00203104163494,0.0018375855018707,Chr1,5926720.0,6,1,5927112,103,0.17459086,up-in-warm
5_1657,13,3,5.170251637543136,0.0002653052947172,0.0022316485880772,Chr5,17202806.0,11,2,17202809,22,0.09681925,up-in-warm
4_955,10,2,5.053353612088246,0.0042662002428314,0.0023284444309177,Chr4,7863626.0,10,0,7863539,1,0.22546999,up-in-warm
1_5062,24,5,5.4997459988303525,3.626850557136325e-06,0.0023456590685728,Chr1,28707865.5,11,13,28713814,65,0.04756424,up-in-warm
2_653,513,32,8.130430159512837,6.984116904134465e-16,0.0024176885509956,Chr2,5731207.0,229,284,5758051,1,0.002261091,up-in-warm
3_630,48,9,6.202582774035814,1.17952136624888e-09,0.002443738073802,Chr3,7009454.0,37,11,7007715,1,0.058197025,up-in-warm
1_1924,19,4,5.3119539513698815,3.437030184053091e-05,0.0025048750467383,Chr1,11686009.0,3,16,11685900,75,-0.031950466,down-in-warm
3_1100,20,6,5.317774680858097,3.436415985755732e-08,0.0026522125024773,Chr3,9594269.0,17,3,9594269,1,0.09037193,up-in-warm
1_17,6,2,4.842195140258167,0.001460447605,0.0027855914203798,Chr1,159160.0,6,0,159162,32,0.07048762,up-in-warm
2_1318,15,2,5.09275827445154,0.0096297734433647,0.003062719306347,Chr2,12316868.0,13,2,12316829,1,0.12763458,up-in-warm
2_968,8,4,4.864925297621225,6.778784035000024e-07,0.0030682451602248,Chr2,9540355.5,6,2,9540086,1,0.10790006,up-in-warm
1_417,61,6,6.452833428202964,3.4665967600851515e-05,0.0030822049532102,Chr1,3500882.0,40,21,3482989,1,0.07261344,up-in-warm
4_132,17,3,5.147187379743,0.0006121919068227,0.0031265954715191,Chr4,1143262.0,12,5,1143262,1,0.06793615,up-in-warm
4_2804,7,3,4.783428040622763,3.396253015000008e-05,0.0034174204007524,Chr4,15939220.0,5,2,15939220,1,0.0734938,up-in-warm
2_777,12,3,4.934459724529439,0.0002056160777666,0.0035049021412009,Chr2,7071685.0,3,9,7071423,1,-0.034968406,down-in-warm
4_506,13,5,4.954551011601699,1.2037294519127428e-07,0.0035979210958383,Chr4,5809393.0,10,3,5810466,1,0.056823783,up-in-warm
5_2714,4,3,4.64277394730899,3.97000000000001e-06,0.0037479533536411,Chr5,22966982.0,4,0,22966982,1,0.04657057,up-in-warm
2_827,6,3,4.668301219448231,1.955359000000005e-05,0.0040916551076563,Chr2,7565687.0,1,5,7555089,61,-0.09311199,down-in-warm
5_2619,5,2,4.631355595130347,0.0009801496,0.0041290223840925,Chr5,22529221.0,5,0,22529221,1,0.078542806,up-in-warm
4_600,27,3,5.3046068700939895,0.0024441065705942,0.0043302002272569,Chr4,6360377.0,19,8,6360282,1,0.040556002,up-in-warm
4_2811,83,9,6.837148557021763,1.6875291344295673e-07,0.0043998055508265,Chr4,16256396.0,38,45,16232535,269,0.004511482,up-in-warm
4_459,376,43,9.522311066032444,2.806941071273649e-31,0.0045731751419756,Chr4,5664439.0,212,164,5645631,89,0.014672692,up-in-warm
5_122,3,3,4.504097789422052,1.0000000000000027e-06,0.0047167175775013,Chr5,804658.0,3,0,804658,1,0.065940626,up-in-warm
5_1720,7,2,4.6169752162372415,0.00203104163494,0.0048982358969195,Chr5,17347022.0,4,3,17347022,327,-0.0028673268,down-in-warm
1_3879,3,3,4.482110503516739,1.0000000000000027e-06,0.0049444944174714,Chr1,23448013.0,3,0,23448013,1,0.07192794,up-in-warm
3_175,6,2,4.569540891680999,0.001460447605,0.0050564389336632,Chr3,1849045.5,6,0,1849887,1,0.25620213,up-in-warm
1_4506,4,3,4.483563690269611,3.97000000000001e-06,0.0052849551285154,Chr1,25332119.0,4,0,25332443,418,0.19042577,up-in-warm
5_2872,11,3,4.707899324572938,0.000155372629155,0.0053024936834261,Chr5,23910621.0,8,3,23909044,1,0.036866136,up-in-warm
5_3104,43,7,5.63898182729586,2.3502846612660985e-07,0.0056934208134347,Chr5,26730318.0,18,25,26740045,1,0.007576625,up-in-warm
3_2855,18,1,4.887950865670724,0.1654862385499125,0.0057627354906842,Chr3,18862026.0,13,5,18862026,1,0.06610873,up-in-warm
1_4527,26,5,5.118873096406683,5.520264222327041e-06,0.0059315224942778,Chr1,25425185.0,21,5,25425185,1,0.103979714,up-in-warm
1_923,2,1,4.347504205340465,0.0199,0.0061340616146754,Chr1,7670864.0,2,0,7670864,2,0.074713625,up-in-warm
1_1286,10,2,4.605199454907096,0.0042662002428314,0.0061395687867469,Chr1,9032024.5,7,3,9031837,97,0.108739555,up-in-warm
2_296,7,3,4.500252458847361,3.396253015000008e-05,0.0062539224788729,Chr2,835185.0,5,2,835185,1,0.0709907,up-in-warm
3_542,3,3,4.365189096700839,1.0000000000000027e-06,0.0063281973911327,Chr3,5508812.0,3,0,5508812,1,0.111676835,up-in-warm
5_3107,74,13,6.39171199775629,5.929051346210576e-13,0.0065935391840961,Chr5,26758650.0,42,32,26758650,1,0.017149702,up-in-warm
2_1913,13,3,4.661667246793557,0.0002653052947172,0.0066407436946906,Chr2,17741766.0,13,0,17741766,1,0.06716332,up-in-warm
3_2768,6,2,4.435726408518872,0.001460447605,0.0066850011913324,Chr3,18526006.0,5,1,18526006,1,0.085116096,up-in-warm
1_847,8,4,4.496076857025011,6.778784035000024e-07,0.006736874706095,Chr1,7436926.0,6,2,7437797,1,0.049247704,up-in-warm
5_2465,36,9,5.347905369737248,7.377452605756882e-11,0.0067672635165388,Chr5,21785348.0,26,10,21785348,1,0.058690004,up-in-warm
2_1001,9,2,4.521322277585808,0.0034357300178462,0.0068288172870172,Chr2,9969156.0,7,2,9969185,1488,0.11457601,up-in-warm
5_2002,6,1,4.4166849437146745,0.058519850599,0.0069509791547714,Chr5,17986590.5,3,3,17987117,1,0.020701332,up-in-warm
1_4673,22,6,4.917450105468033,6.502481877192564e-08,0.00695126425559,Chr1,26155819.0,17,5,26155631,107,0.061439812,up-in-warm
1_4540,4,3,4.346783722645533,3.97000000000001e-06,0.0070290577772833,Chr1,25453120.0,4,0,25453604,1,0.050893813,up-in-warm
2_959,9,1,4.5052061275771225,0.0864827525163591,0.0070559950577772,Chr2,9519134.0,9,0,9519134,1,0.13172305,up-in-warm
3_207,14,2,4.661432317561813,0.0084012440111661,0.0070769212189958,Chr3,1999116.0,11,3,2002508,1,0.12987454,up-in-warm
1_1059,6,3,4.407553044406869,1.955359000000005e-05,0.0070818197612848,Chr1,7918238.0,6,0,7918238,1,0.09218968,up-in-warm
1_1575,4,2,4.341865631681092,0.00059203,0.0071002824503092,Chr1,10628241.0,4,0,10628241,1,0.13659951,up-in-warm
3_989,3,1,4.309186070868299,0.029701,0.0071049373949024,Chr3,9072774.0,3,0,9073072,1,0.16131951,up-in-warm
2_914,10,2,4.513913765535128,0.0042662002428314,0.0073915697046728,Chr2,8473511.0,6,4,8473511,1,0.04823587,up-in-warm
3_1541,17,2,4.726729362031457,0.0123089855299442,0.0074822152326795,Chr3,13303680.0,12,5,13312946,1,0.037001494,up-in-warm
1_4136,10,1,4.506179779485686,0.0956179249911955,0.0075073266811843,Chr1,24105378.0,5,5,24105378,1,0.00658529,up-in-warm
1_214,3,2,4.278979157749329,0.000298,0.0075578750230546,Chr1,1598199.0,0,3,1598199,331,-0.113118716,down-in-warm
5_557,7,3,4.399196018074085,3.396253015000008e-05,0.0076858100582939,Chr5,7351842.0,5,2,7351662,249,0.011852614,up-in-warm
4_2532,20,2,4.803060829927806,0.0168593376356518,0.0077195305870753,Chr4,12214470.0,11,9,12214470,1,0.03567378,up-in-warm
3_1769,20,2,4.7835621453164325,0.0168593376356518,0.008019067634061,Chr3,15800688.0,10,10,15800688,1,0.0064290552,up-in-warm
4_2752,11,2,4.488408367852824,0.005179717490315,0.0082823716847642,Chr4,15243239.0,7,4,15243312,1,3.6436937e-05,up-in-warm
1_170,64,12,5.99936211258799,2.0291090142616e-12,0.0084209310186094,Chr1,1187649.5,39,25,1197094,2,0.04025078,up-in-warm
2_938,7,3,4.347403654177857,3.396253015000008e-05,0.0085259265377359,Chr2,9171839.0,7,0,9171839,1,0.073403835,up-in-warm
1_1219,5,3,4.28064516339682,9.850600000000027e-06,0.0085767540211545,Chr1,8884787.0,4,1,8884940,90,0.110804476,up-in-warm
1_4700,19,6,4.713744427774078,2.4262383546679593e-08,0.0086544928929004,Chr1,26280986.0,12,7,26279753,1,0.049664013,up-in-warm
1_5098,4,1,4.237958565218529,0.03940399,0.0087613564225668,Chr1,29011840.0,3,1,29011840,1,0.095408954,up-in-warm
