block,chrom,mid_pos,SNPs,Z,Z_pVal,top_candidate_p,dir,n_up,n_dn,gene,gene_name,flower_locus
1_4566,Chr1,25596261.0,111,8.323250561069694,3.3288154556387894e-05,5.827587454061583e-25,up-in-warm,65,46,AT1G68330,AT1G68330,
4_955,Chr4,7863626.0,10,7.350822119522419,5.349669643006649e-05,4.420360000000032e-15,up-in-warm,10,0,AT4G13520,AT4G13520,
1_2192,Chr1,16559724.0,148,7.073237107202598,0.0005213751318248,3.9157340339931884e-27,down-in-warm,85,63,AT1G43780,AT1G43780,
1_4289,Chr1,24533330.0,10,6.053927770050841,0.0007530676354059,2.001276156940847e-06,up-in-warm,9,1,,,
5_2346,Chr5,20263428.0,19,5.910121058158429,0.001047996118496,4.5348315067146266e-10,up-in-warm,14,5,AT5G49850,AT5G49850,
2_1218,Chr2,10947844.0,36,5.904946866907907,0.0012002426515941,3.088917716581155e-19,up-in-warm,22,14,AT2G25697,AT2G25697,
1_2697,Chr1,19426042.0,7,5.680076343505832,0.0014536775701757,6.940000000000036e-12,up-in-warm,7,0,AT1G52160,AT1G52160,
4_3052,Chr4,18424481.0,36,5.742846037652403,0.0015819546682492,2.3575807495915422e-09,down-in-warm,20,16,AT4G39730,AT4G39730,
4_1770,Chr4,9668905.0,6,5.6077021414491695,0.0016412519280198,1.955359000000005e-05,up-in-warm,5,1,AT4G17240,AT4G17240,
2_1926,Chr2,17992729.0,10,5.580439046989939,0.0017631644795088,2.001276156940847e-06,up-in-warm,9,1,AT2G43280,AT2G43280,
4_1785,Chr4,9727175.5,2,5.528793518692115,0.0018406544908506,0.0001,up-in-warm,2,0,AT4G17430,AT4G17430,
2_1268,Chr2,11595646.5,70,5.799705238656587,0.0018444958467658,1.4144806858779303e-20,up-in-warm,44,26,AT2G27120,AT2G27120,
4_2181,Chr4,10711987.0,99,5.872672037024596,0.002062916895151,2.014686559508801e-20,up-in-warm,67,32,AT4G19700,AT4G19700,
4_2781,Chr4,15468585.5,22,5.482688768377495,0.0022353780704627,6.502481877192564e-08,up-in-warm,14,8,AT4G31970,AT4G31970,
1_417,Chr1,3500882.0,61,5.57276266494553,0.0024715065370286,1.1065843929454794e-12,up-in-warm,37,24,AT1G10560,AT1G10560,
5_1139,Chr5,15382483.0,2,5.338947408909485,0.0025517775592841,0.0001,up-in-warm,2,0,AT5G38420,AT5G38420,
5_1140,Chr5,15383088.0,2,5.338947408909485,0.0025517775592841,0.0001,up-in-warm,2,0,AT5G38420,AT5G38420,
2_1459,Chr2,13947826.0,121,5.78481123587557,0.0027916408914436,7.753421908452544e-27,up-in-warm,75,46,AT2G32900,AT2G32900,
1_2625,Chr1,19047844.0,7,5.195308626300332,0.0033211234058068,0.00203104163494,up-in-warm,5,2,AT1G51360,AT1G51360,
2_865,Chr2,7962064.0,3,5.176737242657857,0.0033619295827529,1.0000000000000027e-06,up-in-warm,3,0,,,
4_132,Chr4,1143262.0,16,5.212280573572694,0.0033720724691724,3.9843174580105195e-07,up-in-warm,12,4,AT4G02600,AT4G02600,
1_2451,Chr1,17899956.0,11,5.041053506856986,0.0043344082832941,3.11975457442924e-06,down-in-warm,6,5,AT1G48430,AT1G48430,
3_1541,Chr3,13303680.0,17,5.015405393572991,0.0046293022545987,0.1570568066160732,up-in-warm,12,5,,,
3_340,Chr3,3290191.0,39,5.056168291073472,0.0048062150696555,4.336845939780712e-05,up-in-warm,32,7,AT3G10580,AT3G10580,
4_2412,Chr4,11695575.0,12,4.924578430373647,0.0052236027304639,0.0002056160777666,up-in-warm,10,2,AT4G22070,AT4G22070,
1_3727,Chr1,22987313.0,32,4.957339359807838,0.0053985915315171,8.491875520731233e-10,up-in-warm,22,10,AT1G62210,AT1G62210,
5_1137,Chr5,15377767.5,2,4.852287621917284,0.005634184319703,0.0001,up-in-warm,2,0,AT5G38396,AT5G38396,
4_1343,Chr4,8725040.0,22,4.889930324893597,0.005729876756662,2.2848314242291675e-06,up-in-warm,16,6,AT4G15290,AT4G15290,
3_1497,Chr3,11919983.0,4,4.840416296775962,0.0057791471716088,0.00059203,up-in-warm,4,0,AT3G30290,AT3G30290,
5_2001,Chr5,17985873.0,7,4.840271151259164,0.0058415043300619,3.396253015000008e-05,up-in-warm,6,1,AT5G44585,AT5G44585,
5_1657,Chr5,17202806.0,13,4.849414447182498,0.0058863811318531,6.652021264699332e-06,up-in-warm,11,2,AT5G42905,AT5G42905,
3_207,Chr3,1999116.0,14,4.817786456119728,0.0061992464614556,2.803275440129146e-09,up-in-warm,8,6,AT3G06455,AT3G06455,
1_2789,Chr1,19768399.0,21,4.829078722429433,0.0062550273124327,1.0282980316608016e-09,up-in-warm,12,9,AT1G53040,AT1G53040,
5_2925,Chr5,24422668.0,12,4.806460247744992,0.0062616797139019,4.642283320235311e-06,up-in-warm,9,3,AT5G60720,AT5G60720,
2_887,Chr2,8128292.5,2,4.775094577724093,0.0063504676865799,0.0001,up-in-warm,2,0,AT2G18760,AT2G18760,
1_1966,Chr1,11982281.0,143,5.291051686881905,0.0063592157135593,3.5397464457073004e-22,up-in-warm,78,65,AT1G33060,AT1G33060,
3_795,Chr3,8273218.0,7,4.779064128111378,0.0064167244434941,3.396253015000008e-05,up-in-warm,4,3,AT3G23175,AT3G23175,
3_1426,Chr3,11272429.0,21,4.807232539230789,0.0064628239571797,4.7698504587915924e-08,up-in-warm,14,7,,,
3_1351,Chr3,10762557.0,61,4.913624703905119,0.0065687542160297,5.66523111834658e-10,down-in-warm,35,26,AT3G28700,AT3G28700,
1_4411,Chr1,24922284.0,23,4.797503237789139,0.0066064178634198,7.60525098813713e-05,down-in-warm,10,13,,,
1_4193,Chr1,24361331.5,38,4.814664169583029,0.0068327128799708,2.127763494761814e-15,up-in-warm,26,12,AT1G65540,AT1G65540,
5_1837,Chr5,17545523.0,8,4.735826482636377,0.006874985964504,0.0026900777395207,down-in-warm,5,3,AT5G43680,AT5G43680,
1_4690,Chr1,26235171.0,124,5.13409386665305,0.0068860240013038,4.0003854073650166e-25,up-in-warm,70,54,AT1G69770,AT1G69770,
3_1100,Chr3,9594269.0,19,4.750132001864445,0.0069852335251425,3.437030184053091e-05,up-in-warm,16,3,AT3G26210,AT3G26210,
5_1037,Chr5,15056198.0,147,5.166574390507824,0.0076288905579265,7.005137614846747e-22,up-in-warm,88,59,AT5G37870,AT5G37870,
5_2151,Chr5,18837217.0,8,4.6484118295071,0.0078382924965887,5.461196500000024e-09,up-in-warm,6,2,AT5G46450,AT5G46450,
3_2854,Chr3,18858657.0,14,4.612098652507236,0.0084209710841498,0.0003351416785493,up-in-warm,11,3,AT3G50750,AT3G50750,
2_655,Chr2,5772966.0,2,4.554208178647198,0.0088642213552773,0.0001,up-in-warm,2,0,AT2G13810,AT2G13810,
1_3013,Chr1,21608827.0,119,4.871645336695362,0.0093345192843352,6.201680080557171e-15,down-in-warm,60,59,AT1G58260,AT1G58260,
5_1031,Chr5,14999875.0,43,4.604863243451826,0.0093726296577144,4.438223103469513e-06,up-in-warm,27,16,AT5G37740,AT5G37740,
2_1925,Chr2,17987318.0,7,4.518943556619243,0.0094580093302117,0.00203104163494,up-in-warm,5,2,AT2G43261,AT2G43261,
1_4506,Chr1,25332119.0,4,4.512032145566503,0.0094802872345245,0.00059203,up-in-warm,4,0,AT1G67580,AT1G67580,
3_175,Chr3,1849045.5,6,4.50292156693635,0.0096561812117216,1.476100000000005e-07,up-in-warm,6,0,AT3G06120,AT3G06120,
3_1255,Chr3,10468742.0,162,5.008207501285903,0.0101375245087663,8.811120099967141e-14,down-in-warm,89,73,AT3G28150,AT3G28150,
2_1687,Chr2,16348393.0,34,4.516713895579151,0.0102679920348587,4.2451067784965674e-08,up-in-warm,22,12,AT2G39180,AT2G39180,
1_1219,Chr1,8884787.0,5,4.4369493721607824,0.0105978125025711,9.850600000000027e-06,up-in-warm,5,0,AT1G25340,AT1G25340,
1_1911,Chr1,11577982.0,5,4.4338591465277455,0.0106450696075701,9.850600000000027e-06,up-in-warm,5,0,AT1G32170,AT1G32170,
1_5066,Chr1,28753340.0,24,4.465306822653512,0.0106988396193169,6.376403936613107e-11,up-in-warm,16,8,,,
3_728,Chr3,7999635.0,90,4.646800883518343,0.0107373378013495,3.40518775295255e-07,up-in-warm,56,34,AT3G22420,AT3G22420,
1_1773,Chr1,11359394.0,10,4.42338650710126,0.0109360390545213,2.001276156940847e-06,up-in-warm,7,3,AT1G31730,AT1G31730,
1_2375,Chr1,17324957.0,7,4.398554920414543,0.0112493067023495,0.00203104163494,up-in-warm,7,0,AT1G47260,AT1G47260,
