sample,n_records,n_sv,n_snp,finite_af_frac,af_mean,sv_af_mean,median_n_called,frac_ncalled_lt50,eff_n_founders_mean,site,plot,generation,coverage,climate
MLFH040120180306,10325364,2743030,7582334,1.0,0.08472921780190994,0.07669445004611689,218.0,0.0051778319873275165,32.18008324470387,4,1,1,15.312985,hot
MLFH040120180321,10325364,2743030,7582334,1.0,0.07959562429179254,0.07147216142732671,218.0,0.0051778319873275165,48.40124458558846,4,1,1,17.949709,hot
MLFH040120190208,10325364,2743030,7582334,1.0,0.08814675446986663,0.07936723787927949,218.0,0.0051778319873275165,12.017620054137357,4,1,2,16.600813,hot
MLFH040120190221,10325364,2743030,7582334,1.0,0.08256716315570087,0.07427039158886341,218.0,0.0051778319873275165,39.776505273664974,4,1,2,6.002044,hot
MLFH040120200206,10325364,2743030,7582334,1.0,0.08904373203404742,0.0800580026321258,218.0,0.0051778319873275165,14.442381527962599,4,1,3,5.276738,hot
MLFH040220180306,10325364,2743030,7582334,1.0,0.08516235509953934,0.07707204799072558,218.0,0.0051778319873275165,39.35309891664307,4,2,1,19.525576,hot
MLFH040220180321,10325364,2743030,7582334,1.0,0.07950419752853265,0.07140234445850027,218.0,0.0051778319873275165,51.787611441086234,4,2,1,22.801773,hot
MLFH040220190208,10325364,2743030,7582334,1.0,0.08539260829255026,0.07685428503151624,218.0,0.0051778319873275165,20.170550559669387,4,2,2,3.694208,hot
MLFH040220190221,10325364,2743030,7582334,1.0,0.08352721282562048,0.07508854660357342,218.0,0.0051778319873275165,28.543337635330243,4,2,2,2.167175,hot
MLFH040220200212,10325364,2743030,7582334,1.0,0.08666630813305952,0.07793613351294007,218.0,0.0051778319873275165,22.543837798147457,4,2,3,7.741156,hot
MLFH040320180306,10325364,2743030,7582334,1.0,0.08529158325168971,0.07691217848875148,218.0,0.0051778319873275165,26.903893291174562,4,3,1,10.002842,hot
MLFH040320180321,10325364,2743030,7582334,1.0,0.0806320352328499,0.07237146169017473,218.0,0.0051778319873275165,45.98224086873509,4,3,1,10.489726,hot
MLFH040320190208,10325364,2743030,7582334,1.0,0.08770553118127361,0.07933341504467688,218.0,0.0051778319873275165,17.76471279431734,4,3,2,8.678838,hot
MLFH040320190221,10325364,2743030,7582334,1.0,0.08370990206156413,0.07551546407804507,218.0,0.0051778319873275165,21.709657547842703,4,3,2,7.310347,hot
MLFH040320200206,10325364,2743030,7582334,1.0,0.09758490954507754,0.08800153159462346,218.0,0.0051778319873275165,5.93863849868354,4,3,3,5.792649,hot
MLFH040420180306,10325364,2743030,7582334,1.0,0.08428748589589674,0.07614364985435813,218.0,0.0051778319873275165,43.4771093239383,4,4,1,8.383157,hot
MLFH040420180321,10325364,2743030,7582334,1.0,0.0797088865980899,0.07176376357896196,218.0,0.0051778319873275165,61.389029811856766,4,4,1,7.235281,hot
MLFH040520180306,10325364,2743030,7582334,1.0,0.08452456749224531,0.07655410093582644,218.0,0.0051778319873275165,44.7748859574361,4,5,1,3.432701,hot
MLFH040520180321,10325364,2743030,7582334,1.0,0.07963540283809849,0.07160391478401622,218.0,0.0051778319873275165,53.184262572324585,4,5,1,4.320121,hot
MLFH040520190208,10325364,2743030,7582334,1.0,0.08882076230339192,0.08100350631600821,218.0,0.0051778319873275165,19.525904566811576,4,5,2,5.723665,hot
MLFH040520190221,10325364,2743030,7582334,1.0,0.0871213732988009,0.07840836521656708,218.0,0.0051778319873275165,22.040755621048966,4,5,2,5.438734,hot
