block,SNPs,hits,Z,top_candidate_p,Z_pVal,chrom,mid_pos,n_up,n_dn,lead_pos,lead_ref,mean_beta,dir
2_729,918,58,8.855514039844044,9.773307661570238e-28,7.771561172376097e-16,Chr2,6685325.0,458,460,6671533,1,0.0004435899,up-in-warm
5_918,857,126,10.740756708319006,6.52470859419938e-102,8.160139230994899e-14,Chr5,13176529.0,462,395,13061178,1,0.0013046507,up-in-warm
3_589,101,23,10.173909981765348,1.5199718124625621e-24,7.38040968140119e-06,Chr3,6379685.0,58,43,6365763,584,0.008544884,up-in-warm
1_211,22,7,7.090417815157644,1.4950000972233536e-09,1.1723101332017372e-05,Chr1,1590273.0,18,4,1592113,1,0.011304287,up-in-warm
2_195,72,11,8.957651608355128,1.725280666895401e-10,1.3936729534980152e-05,Chr2,602461.5,12,60,603560,81,-0.005797552,down-in-warm
5_602,553,87,11.913464900474017,1.5091556710646827e-73,5.451219929009099e-05,Chr5,7557565.0,311,242,7487556,1,1.6187925e-05,up-in-warm
2_1198,8,4,5.794562508678996,6.778784035000024e-07,0.000111666182465,Chr2,10873481.0,1,7,10873067,544,-0.011958206,down-in-warm
4_2519,137,28,10.04271570783293,3.957670528690201e-28,0.000139821466899,Chr4,12152602.0,59,78,12157435,1,-0.003504841,down-in-warm
4_2781,22,5,6.254372088313126,2.2848314242291675e-06,0.0001498071941944,Chr4,15468585.5,14,8,15466381,68,0.01573238,up-in-warm
3_3018,3,3,5.41797547497182,1.0000000000000027e-06,0.0001861298505626,Chr3,19740321.0,3,0,19739759,588,0.0011854942,up-in-warm
2_591,642,48,8.6644582734367,2.2336642705885984e-26,0.0002255596421509,Chr2,3026435.0,325,317,2962302,5005,0.0012461266,up-in-warm
5_2560,2,2,5.218359737434169,0.0001,0.0002954669612083,Chr5,22192366.0,2,0,22192366,1,0.00048335548,up-in-warm
3_1328,9,3,5.497341888578086,8.029476538112821e-05,0.00029788392644,Chr3,10713087.0,3,6,10712427,113,-0.008514556,down-in-warm
3_2941,11,5,5.564977392085657,4.39389263361612e-08,0.0003079255341742,Chr3,19053286.0,4,7,19056721,68,-0.02235283,down-in-warm
