cat	vtype	n_records	pg_present	n_pg_carrier	mean_ac_pg	frac_pg_carrier
V1a	DEL<50	14027	10041	2097	0.756184501318885	0.14949739787552577
V1a	DEL>=50	11	8	2	0.2727272727272727	0.18181818181818182
V1a	INS<50	10082	6987	1483	0.9657805990874826	0.1470938305891688
V1a	INS>=50	701	480	102	0.6747503566333809	0.14550641940085593
V1a	MNP/other	4389	2919	628	1.4012303485987696	0.14308498519024834
V1a	SNP	200809	131153	29921	1.0024749886708264	0.14900228575412455
V1b	DEL<50	36346	23361	6589	0.7810763220161778	0.18128542343036372
V1b	DEL>=50	9154	6441	2075	1.0938387590124536	0.22667686257373826
V1b	INS<50	35052	22966	6952	0.8638308798356727	0.19833390391418465
V1b	INS>=50	18597	13003	3974	0.9954293703285476	0.21369038016884442
V1b	MNP/other	111475	60319	15345	0.6478134110787171	0.13765418255214174
V1b	SNP	15762	8214	1961	0.6233980459332572	0.12441314553990611
cactus_only	DEL<50	100983	65103	21839	1.21396670726756	0.21626412366437917
cactus_only	DEL>=50	13793	9681	4235	1.7484956137171028	0.307039802798521
cactus_only	INS<50	67739	43772	19162	1.6505705723438493	0.28287987717563
cactus_only	INS>=50	29117	20204	8464	1.586392828931552	0.29068928804478483
cactus_only	MNP/other	171994	90340	38157	1.3413374885170413	0.22185076223589195
cactus_only	SNP	303558	185978	75481	1.592664334328201	0.24865429341344983
empty	DEL<50	151	0	0	0.0	0.0
empty	DEL>=50	11	0	0	0.0	0.0
empty	INS<50	72	0	0	0.0	0.0
empty	INS>=50	15	0	0	0.0	0.0
empty	MNP/other	278	0	0	0.0	0.0
empty	SNP	449	0	0	0.0	0.0
shared	DEL<50	94084	63400	54422	26.372348114450915	0.5784405424939416
shared	DEL>=50	6049	4159	3386	20.51843279880972	0.5597619441229955
shared	INS<50	86727	59299	51880	28.862119063267496	0.5981989461182792
shared	INS>=50	8329	5615	4389	11.735262336414936	0.5269540160883659
shared	MNP/other	236054	130405	108875	23.514068814762723	0.4612292102654477
shared	SNP	472123	307948	263959	32.46967209816086	0.5590894745648909
