"K","gif","n_p_lt_1e5","n_p_lt_1e3","frac_top_decile","secs"
1,3.81864594300577,0,3,0.0964257231929239,3.4
2,3.94290912126024,0,9,0.100739505546292,2.8
3,3.81093595316698,0,7,0.0981657362430218,2.5
5,2.56791956855607,0,12,0.0996882476618575,3
8,2.58693450589903,0,20,0.0989632422243167,3.3
12,2.56391163132338,0,17,0.0987819908649315,4.3
16,2.55141296450746,0,26,0.0980569854273907,5.2
20,2.23706722091975,0,39,0.105198288987167,6.1
25,2.2461542064369,1,56,0.100195751468136,5.9
30,2.27726620171409,6,64,0.102515768868267,7.1
40,2.07037133620503,1,61,0.100993257449431,8.8
60,2.09722867369666,3,57,0.101899514246357,12
