block,stat,MAF
1_0,0.9807096,0.0069925
1_0,0.89578146,0.01301
1_0,0.21110284,0.07780625
1_0,0.114817016,0.00383
1_0,6.9516755e-05,0.00058625
1_0,0.6086068,0.00649375
1_0,0.61214364,0.00604625
1_0,0.7613197,0.00527375
1_0,0.008164873,0.00092
1_0,0.84579384,0.00979875
1_0,0.8285058,0.01764
1_0,0.9346833,0.010405
1_0,0.29455927,0.0077875
1_0,0.05922906,0.00499125
1_0,0.83817726,0.0065175
1_0,0.5332393,0.00203375
1_0,0.9959914,0.00178875
1_0,0.008197265,0.00091
1_0,0.76089257,0.0052125
1_0,0.29415116,0.00769125
1_0,0.9334396,0.01028375
1_0,0.8377816,0.00644125
1_0,0.49047333,0.0081725
1_0,0.90474397,0.00925125
1_0,0.058350135,0.0
1_0,0.33759803,0.002395
1_0,0.6206867,0.01239625
1_0,0.88642246,0.0088925
1_0,0.9893729,0.003045
1_0,0.8506874,0.0072875
1_0,0.99431866,0.0020275
1_0,6.9354785e-05,0.00057875
1_0,0.5230721,0.05027875
1_0,0.98780864,0.01147125
1_0,0.20038052,0.02424625
1_0,0.75310445,0.04438625
1_0,0.110451505,0.0063225
1_0,0.00016154148,0.00400125
1_0,0.048046805,0.2090325
1_0,0.33561888,0.0099275
1_0,0.9963037,0.00177375
1_0,0.73193806,0.0008475
1_0,0.081392504,0.02167875
1_0,0.6507676,0.170545
1_0,0.97005916,0.0041375
1_0,0.025608893,0.003625
1_0,7.5743905e-05,0.0005875
1_4,0.6622983,0.00368875
1_4,0.121718295,0.00344
1_4,0.80322635,0.00771625
1_4,0.026019618,0.0
1_4,8.055961e-05,0.0005725
1_4,0.30048212,0.0009025
1_7,0.077308856,0.0005375
1_8,0.113988124,0.12449875
1_8,0.31962442,0.04590125
1_8,0.8297734,0.0415125
1_8,0.07838622,0.00053625
1_8,0.75930876,0.01465875
1_8,0.4563211,0.0395375
1_8,0.53880125,0.0031125
1_8,0.1603179,0.00245125
1_8,0.75930876,0.01465875
1_11,0.5753218,0.04216125
1_11,0.08643816,0.000475
1_11,0.2971891,0.04052
1_11,0.06573735,0.0086175
1_11,0.31391603,0.00695875
1_11,0.008036819,0.0009725
1_11,0.47831032,0.0029575
1_11,0.00014009788,0.0043375
1_11,0.73740125,0.008375
1_11,8.2590006e-05,0.0006225
1_11,0.65104735,0.00396875
1_11,0.5972438,0.0
1_11,2.9698274e-05,0.005525
1_11,0.7178752,0.00664625
1_11,0.25005683,0.013945
1_11,0.15272108,0.00232625
1_11,0.23989482,0.00098
1_11,0.054398853,0.00530875
1_11,0.312337,0.002575
1_11,0.92081094,0.01594875
1_11,0.9930728,0.0836875
1_11,0.22812319,0.008255
1_11,0.9874984,0.010185
1_11,0.987021,0.027875
1_11,0.6874835,0.00568375
1_11,0.5196802,0.00218625
1_11,0.5605867,0.01046875
1_11,0.80717796,0.0
1_11,0.011663447,0.0177775
1_11,0.87414956,0.0138725
1_11,0.71675444,0.00091875
1_11,0.9372885,0.010715
1_11,0.055285033,0.0066525
1_11,0.50228196,0.0447975
1_11,0.05806418,0.00751875
1_11,0.08649741,0.000475
1_11,0.5045936,0.0512375
1_11,0.99971116,0.292285
1_11,0.3042603,0.0065575
1_11,0.60854554,0.04231
1_11,0.026437908,0.00624125
1_11,0.00719725,0.002275
1_11,0.069993444,0.001935
1_11,0.00838377,0.000945
1_11,0.05701316,0.0061325
1_11,0.08648806,0.00047375
1_11,0.000152127,0.00063625
1_11,0.76035166,0.00033
1_11,0.8091585,0.04160625
1_11,0.36670727,0.0020175
1_11,0.984199,0.0161325
1_11,0.19657086,0.00593375
1_11,0.117068425,0.00352625
1_11,0.606764,0.005215
1_11,6.1496365e-05,0.08498
1_11,0.31605923,0.000925
1_11,0.34877115,0.00243375
1_11,0.024347162,0.005145
1_11,0.058180857,0.00629
1_11,0.014097835,0.0
1_11,0.6240993,0.00228875
1_11,0.32063648,0.01016125
1_11,0.0062011923,0.168755
1_13,6.2569416e-05,0.00059375
1_14,0.42013326,0.00589375
1_14,0.7548742,0.012865
1_14,0.11941222,0.00359375
1_14,0.077341594,0.02957375
1_14,0.0033325467,0.0
1_14,0.08648806,0.00047375
1_14,0.40373626,0.4395275
1_14,0.8874635,0.00881125
1_14,8.374983e-05,0.0005725
1_14,0.16631222,0.03205125
1_14,0.6212733,0.03464375
1_14,5.3556967e-05,0.00921875
1_14,0.008401855,0.0022325
1_14,0.453502,0.01193125
1_15,0.24066901,0.01395125
1_16,0.110443175,0.00624875
1_16,0.7348781,0.00086375
1_16,0.18794698,0.06855625
1_16,0.12511101,0.03053375
1_17,0.5988351,0.0051025
1_17,0.28920037,0.000905
1_17,0.0007569936,0.00233375
1_17,0.011834155,0.0
1_17,0.00016945486,0.0040175
1_17,0.68498284,0.00366625
1_20,8.055961e-05,0.0005725
1_20,0.1411709,0.00703
1_33,0.76448965,0.00529125
1_34,0.00012924302,0.00432
1_35,0.00045571578,0.02397
1_35,0.007571732,0.00427375
1_35,0.53618234,0.002025
1_35,0.20185043,0.0496125
1_39,8.055961e-05,0.0005725
1_39,0.45081612,0.02544625
1_39,0.98846257,0.01318625
1_39,0.08277298,0.0004875
1_39,0.39783975,0.0659075
1_39,0.7634363,0.01307
1_39,0.99855995,0.00180625
1_39,0.9943576,0.00204375
1_39,0.008401855,0.0022325
1_39,0.3911375,0.00342
1_39,0.47162008,0.0
1_39,0.6326938,0.0165775
1_39,0.14582409,0.02850875
1_39,0.047176994,0.006935
1_39,0.37884507,0.030055
1_39,0.60265553,0.03463125
1_41,0.46305808,0.009355
1_42,0.07654599,0.0070025
1_42,0.5945802,0.00567125
1_42,0.3278329,0.00100625
1_42,0.82177293,0.0
1_42,0.0047990363,0.00861125
1_42,0.24140471,0.018825
1_42,0.53111446,0.00500625
1_42,0.68430054,0.00407625
1_42,0.00011127308,0.00064125
1_42,0.009669606,0.00100625
1_42,0.12933984,0.0024
1_42,0.47161677,0.00305
1_42,2.2158012e-05,0.006845
1_42,0.007542974,0.00248875
1_42,0.971534,0.04745125
1_42,0.10671374,0.0
1_42,0.7237695,0.01042125
1_42,0.9907984,0.0024325
1_42,0.9913344,0.0127425
1_42,0.8769897,0.02029875
1_42,0.07654599,0.0070025
1_42,0.31940684,0.00283
1_42,0.53620327,0.0147275
1_42,0.8496858,0.00470625
1_42,0.95700574,0.053545
1_42,0.20987798,0.0174625
1_42,0.1258078,0.0241775
1_42,0.41097847,0.02467875
1_42,0.122360125,0.00954375
1_42,0.066445336,0.00310125
1_42,0.11025339,0.00384125
1_42,0.083936326,0.0005275
1_42,0.00016072007,0.00400625
1_42,0.0039588423,0.0033825
1_42,0.0039576883,0.00337625
1_42,0.9943173,0.0020125
1_42,0.30048212,0.0009025
1_42,0.99001515,0.00301875
1_43,0.8290007,0.0082375
1_43,0.9756998,0.00606625
1_43,0.00012145691,0.0043775
1_43,0.3480895,0.0025875
1_43,0.9399571,0.01937125
1_43,0.9999522,0.107405
1_43,0.84914017,0.179545
1_43,0.13721539,0.0
1_43,0.008477027,0.000955
1_43,0.010506511,0.0
1_43,0.9316783,0.43567124
1_43,0.0055730687,0.2182875
1_43,0.68701524,0.00385625
1_43,0.83379245,0.00869875
1_43,0.0036573794,0.0
1_43,0.90161157,0.0056375
1_45,0.9999499,0.10774625
1_45,0.5831367,0.01203625
1_45,0.087121546,0.0005025
1_45,0.67865676,0.01016625
1_45,0.08905354,0.00058125
1_45,0.107493795,0.084355
1_45,0.11277382,0.42000124
1_45,0.7796689,0.15004875
1_45,0.21352255,0.0869175
1_45,0.107493795,0.084355
1_45,0.6543383,0.01421
1_45,0.0011018991,0.13392125
1_45,0.60331565,0.00508125
1_45,0.00052718195,0.11444375
1_45,0.80322635,0.00771625
1_45,0.3548398,0.002535
1_45,0.8289964,0.00823
1_45,0.72806364,0.00219375
1_45,0.058405466,0.00668625
1_45,0.014175737,0.09177
1_45,0.8289964,0.00823
1_45,0.9293366,0.003285
1_45,3.2223263e-05,0.00644625
1_45,0.021630308,0.02220125
1_45,0.9840013,0.04543375
1_45,0.6522567,0.00871375
1_45,0.5597027,0.00936375
1_45,0.8403203,0.03329625
1_45,0.14610563,0.0031575
1_45,0.76884866,0.02040125
1_45,0.0126269525,0.01187875
1_45,0.057470504,0.00617
1_46,0.14817344,0.01308625
1_46,0.17104675,0.0022675
1_46,0.34542102,0.0174975
1_46,0.00029812232,0.00422
1_46,7.362095e-05,0.00060375
1_46,0.61582404,0.0
1_46,0.71083003,0.00536625
1_46,0.3003626,0.00385875
1_46,0.010479189,0.00235375
1_46,0.8439351,0.00815
1_46,0.5388253,0.02837875
1_46,0.9741013,0.00433875
1_46,0.76884866,0.02040125
1_47,0.08983743,0.20388877
1_47,0.9668348,0.0419475
1_47,0.81812197,0.0
1_47,0.46254426,0.06869375
1_47,0.46128982,0.00947375
1_47,0.9247835,0.01846125
1_47,0.09465938,0.0347275
1_47,0.59924585,0.0053675
1_47,0.252078,0.17366125
1_47,0.8085278,0.00832375
1_47,0.010532931,3.75e-05
1_47,0.75432914,0.0023
1_47,0.99783635,0.13016625
1_47,0.62864405,0.0436225
1_47,0.748827,0.0008975
1_47,0.9891207,0.0
1_47,0.7492804,0.0184625
1_47,0.9346457,0.0
1_47,0.11693909,0.0036325
1_49,0.366847,0.00200375
1_51,0.51733786,0.01742375
1_51,0.011011301,0.0025025
1_51,0.96997464,0.00416875
1_51,0.50114703,0.017025
1_51,0.0032853934,0.0874025
1_59,0.7362232,0.0008475
1_59,0.9630722,0.46713626
1_59,0.8627349,0.03218125
1_59,0.9072123,0.4574175
1_59,0.80322635,0.00771625
1_62,0.7608804,0.01144375
1_62,0.42238483,0.01749875
1_62,0.27093577,0.04314125
1_62,0.52090526,0.00766
1_62,0.0075900145,0.0010125
1_62,0.7252053,0.00094875
1_62,0.5026614,0.0129375
1_62,0.9604325,0.009865
1_62,0.9963502,0.00198375
1_62,0.18280445,0.02743
1_62,0.9347454,0.0
1_62,0.4522195,0.0527925
1_62,0.78097266,0.00732
1_62,0.077084474,0.03676625
1_62,0.5125657,0.00305875
1_62,0.057983425,0.00686125
1_62,0.7749171,0.013645
1_62,0.8530326,0.00470375
1_62,0.17425881,0.09750875
1_62,0.292642,0.00405125
1_62,0.5794415,0.007125
1_62,0.08229776,0.00292
1_62,0.5885774,0.0198725
1_62,0.5319654,0.02938125
1_62,0.6534578,0.04627125
1_62,0.0076916213,0.00477
1_62,0.5254556,0.01884125
1_62,0.7925772,0.0057825
1_62,0.9612091,0.00461125
1_62,0.7608804,0.01144375
1_62,0.73901355,0.02509875
1_62,0.864519,0.0
1_62,0.0075804237,0.00102875
1_62,0.00051492435,0.00265625
1_62,0.036978003,0.0
1_62,0.00059702556,0.00456875
1_62,0.5014827,0.014185
1_62,0.16156697,0.00245625
1_62,0.0049899668,0.0025475
1_62,0.0998115,0.052055
1_62,0.49422067,0.0051175
1_62,0.27474838,0.39902627
1_62,0.00059702556,0.00456875
1_62,0.16156697,0.00245625
1_62,0.0143789975,0.000655
1_62,0.73901355,0.02509875
1_62,0.00051492435,0.00265625
1_62,0.73901355,0.02509875
1_62,0.92099077,0.019415
1_62,0.06514161,0.01158625
1_62,0.9385407,0.0020475
1_62,0.82709116,0.141475
1_62,0.5733075,0.010755
1_62,0.6036219,0.01932
1_62,0.12865531,0.07760125
1_62,0.643686,0.01954125
1_62,0.13392231,0.00341
1_62,0.121706784,0.003445
1_62,0.5715178,0.00459875
1_62,0.33020598,0.02252875
1_62,0.1793193,0.0590125
1_62,0.6981142,0.0
1_62,0.08251384,0.0269575
1_62,0.5044744,0.0040475
1_62,0.28127018,0.123765
1_62,0.82844836,0.00089875
1_62,0.00035669166,0.00471875
1_62,0.48211953,0.0
1_62,0.04414365,0.00998375
1_62,0.12794188,0.00906625
1_62,0.28477785,0.0
1_62,0.3404928,0.00808875
1_62,0.59665805,0.00597375
1_62,0.81754863,0.0090925
1_62,0.00784787,0.00107
1_62,0.0020679203,0.00848875
1_62,0.29032284,0.0
1_62,0.8701725,0.012475
1_62,0.78143036,0.00772
1_62,0.10838884,0.059475
1_62,0.25948521,0.00299375
1_62,0.08471564,0.00308375
1_62,0.4355264,0.021875
1_62,0.0053962152,0.00262875
1_62,0.9959312,0.01199125
1_62,0.71332324,0.00430125
1_62,0.121105835,0.00405875
1_62,0.0013359422,0.00274
1_62,0.3334569,0.00106
1_62,0.00982887,0.000675
1_62,0.4773564,0.0032275
1_62,0.7071682,0.00054625
1_62,0.017245054,0.00752375
1_62,0.39278337,0.10710625
1_62,0.8944344,0.13951625
1_62,0.66692203,0.09728125
1_62,0.9254142,0.01163625
1_62,0.14526053,0.00305625
1_62,0.915948,0.0
1_62,0.04388279,0.17459124
1_62,0.9930405,0.3933
1_62,0.040899105,0.12466125
1_62,0.12780692,0.003725
1_62,0.0005681053,0.0025125
1_62,0.0061612492,0.0
1_62,0.8036135,0.008345
1_62,0.59767413,0.0054875
1_62,0.001910509,0.00779
1_62,0.30463797,0.000975
1_62,0.7081982,0.00050375
1_62,0.7004135,0.00394625
1_62,0.06977668,0.0067425
1_62,0.3560772,0.0
1_62,0.104197904,0.00215875
1_62,0.10420787,0.015235
1_62,0.23363523,0.00738125
1_62,0.3090668,0.0
1_62,0.006498325,0.0
1_62,0.0082251895,0.0009025
1_62,0.16490829,0.00215375
1_62,0.3121499,0.0668175
1_62,0.0076073655,0.01716875
1_62,0.03478863,0.1678975
1_63,0.10341822,0.00383125
1_63,0.5863119,0.00564875
1_63,0.26865247,0.00100375
1_63,0.0070533226,0.00100875
1_64,0.2909424,0.04831375
1_64,0.036090326,0.0165875
1_64,0.55078024,0.0291975
1_70,0.00011260933,0.003825
1_70,0.12176644,0.00346
1_70,0.013293101,0.0
1_70,0.61115026,0.002245
1_70,0.034191202,0.01630625
1_70,0.69087386,0.003675
1_70,0.0008851867,0.00233875
1_71,0.9194612,0.0098375
1_79,0.9293363,0.0032975
1_79,0.7643211,0.005215
1_80,0.00034687514,0.00397625
1_80,0.0010866682,0.00243
1_80,0.7739218,0.00543625
1_80,0.9348708,0.003435
1_80,0.11805967,0.00359625
1_80,0.6100601,0.00532125
1_80,0.81781983,0.00807125
1_80,0.3855445,0.00209375
1_80,0.4700283,0.0
1_80,0.18110023,0.02789625
1_80,0.40297458,0.00715125
1_80,0.24690703,0.01299375
1_80,0.9914351,0.022305
1_80,0.008146401,0.00447
1_80,0.6912978,0.00382125
1_80,0.0004021241,0.00418375
1_80,0.36435863,0.20116626
1_81,0.08648806,0.00047375
1_83,0.7241423,0.023735
1_83,0.008098721,0.0009025
1_83,0.39941123,0.00589875
1_83,0.012734662,0.00955625
1_83,0.5369819,0.018635
1_83,0.85917664,0.30237
1_83,0.9290691,0.01665625
1_83,0.49683723,0.008275
1_89,0.75198007,0.0025125
1_93,0.037353214,0.004345
1_93,0.8526708,0.03026
1_93,0.5329672,0.0189175
1_94,0.8526708,0.03026
1_95,0.8532303,0.03010625
1_96,0.8368778,0.02799875
1_96,0.8368778,0.02799875
1_96,0.5191135,0.28739125
1_96,0.087586604,0.00050125
1_96,0.72761786,0.00089625
1_96,0.9651636,0.01644875
1_96,0.78115594,0.22001125
1_96,0.73661804,0.0023475
1_96,0.6684245,0.0
1_96,0.04706161,0.00389
1_96,0.33942184,0.00525125
1_96,0.56201404,0.02985
1_96,0.00021390972,0.00420625
1_96,0.00012810635,0.00442
1_96,0.29532343,0.00099125
1_96,0.68348676,0.004035
1_96,0.102623925,0.00554875
1_96,0.7745335,0.00852
1_96,0.2067603,0.02593875
1_96,0.8823571,0.00445625
1_96,0.08489469,0.00052875
1_96,0.036894493,0.005405
1_96,0.008397395,0.00246
1_96,0.008446316,0.00100125
1_96,0.0001569109,0.00063625
1_96,0.5864275,0.02384875
1_96,0.066820286,0.00990125
1_96,0.76727706,0.017825
1_96,0.0940173,0.0363575
1_96,0.60307086,0.00559125
1_96,0.7347777,0.01292
1_96,0.53404945,0.00222875
1_96,0.33088225,0.00401
1_96,0.86627865,0.0028225
1_96,0.93002665,0.00434125
1_96,0.25604677,0.0974725
1_96,0.9805796,0.01070875
1_96,0.8842954,0.06909625
1_96,0.0036823256,0.00580625
1_96,0.98788935,0.01124125
1_96,0.85148543,0.030665
1_96,0.5259711,0.00302875
1_96,0.8740513,0.00365875
1_96,0.0029538241,0.00256
1_96,0.13872944,0.0023825
1_96,0.906089,0.00975625
1_96,0.84658986,0.01085375
1_96,0.9375276,0.004285
1_96,0.8396103,0.01487875
1_96,0.99425423,0.00221875
1_96,0.93753487,0.00420125
1_96,0.044912193,0.14632875
1_96,0.044912193,0.14632875
1_96,0.83304274,0.3934175
1_99,0.8234317,0.02239625
1_99,0.2240418,0.25281876
1_99,0.62302995,0.00928
1_99,0.59782356,0.0058275
1_99,0.889658,0.00892
1_99,0.11088322,0.35719624
1_99,0.98182756,0.02900625
1_99,0.29875597,0.00104
1_99,7.328544e-05,0.00702875
1_99,0.69760704,0.00419
1_99,0.30704868,0.0129375
1_99,0.9490533,0.05155125
1_99,0.000730957,0.00458125
1_99,0.011460121,0.0059725
1_99,0.04839487,0.03463875
1_99,0.5486665,0.0031275
1_99,0.2490165,0.0
1_99,0.61146176,0.03083625
1_99,0.62302995,0.00928
1_99,0.9455472,0.0016025
1_99,0.4602883,0.04303625
1_99,0.063144185,0.00709875
1_99,0.5440833,0.0
1_99,0.3152546,0.10877125
1_99,0.42611563,0.0189275
1_99,0.037758425,0.0053175
1_99,0.072086304,0.02634375
1_99,0.9146525,0.0202125
1_99,0.5050611,0.01504
1_99,0.11721174,0.0023325
1_99,0.9369642,0.00420375
1_99,0.98306894,0.02587375
1_99,0.008727625,0.00241875
1_99,0.00029193566,0.0043425
1_99,0.5986547,0.00551625
1_99,0.69605464,0.0226575
1_99,0.44167647,0.00877875
1_99,0.49236727,0.00296875
1_99,0.6729401,0.0039675
1_99,0.5627218,0.02927375
1_99,0.06907701,0.0
1_99,0.10154043,0.03923375
1_99,0.8875792,0.0034575
1_99,0.73983634,0.018815
1_99,0.99279195,0.0281425
1_99,0.0043371106,0.005355
1_99,0.79807824,0.00683625
1_99,0.8631471,0.00359
1_99,0.5485729,0.01411625
1_99,0.13751736,0.02930875
1_99,0.96559393,0.0111525
1_99,0.93466485,0.0210375
1_99,0.97956043,0.0291875
1_99,0.5546448,0.00880625
1_99,0.007831705,0.00098375
1_99,0.8493399,0.01064125
1_99,0.94616675,0.00957
1_99,0.10154043,0.03923375
1_99,0.97550684,0.00611625
1_99,0.31607825,0.00697
1_99,0.2962375,0.010005
1_99,0.51142514,0.0189275
1_99,0.5627218,0.02927375
1_99,0.23208897,0.01351
1_99,0.008727625,0.00241875
1_99,0.00029193566,0.0043425
1_99,0.16133061,0.01588875
1_99,0.886166,0.0236975
1_99,0.76869226,0.00700875
1_99,0.15427686,0.02451625
1_99,0.037758425,0.0053175
1_99,0.01431694,0.01039
1_99,0.2697085,0.0009775
1_99,0.15762776,0.02832
1_99,0.030579582,0.0
1_99,0.79807824,0.00683625
1_99,0.3426496,0.00393
1_99,0.002089465,0.002525
1_99,0.00037206142,0.00413375
1_99,0.5986547,0.00551625
1_99,0.7736021,0.0
1_99,0.9995038,0.00993375
1_99,0.41171575,0.013345
1_99,0.5677541,0.00486375
1_99,0.6906746,0.0169325
1_99,0.99440426,0.004105
1_99,0.9369642,0.00420375
1_99,0.07987361,0.00283
1_99,0.054178637,0.00732625
1_99,0.8875792,0.0034575
