panel	chrom	size_class	n_alts
pang_82	Chr1	SNP	843344
pang_82	Chr1	small_indel	564339
pang_82	Chr1	small_sv	65289
pang_82	Chr1	medium_sv	69848
pang_82	Chr1	large_sv	20235
pang_82	Chr2	SNP	541993
pang_82	Chr2	small_indel	363537
pang_82	Chr2	small_sv	45350
pang_82	Chr2	medium_sv	51753
pang_82	Chr2	large_sv	15215
pang_82	Chr3	SNP	639393
pang_82	Chr3	small_indel	417074
pang_82	Chr3	small_sv	50615
pang_82	Chr3	medium_sv	51296
pang_82	Chr3	large_sv	14099
pang_82	Chr4	SNP	542220
pang_82	Chr4	small_indel	362023
pang_82	Chr4	small_sv	41982
pang_82	Chr4	medium_sv	44939
pang_82	Chr4	large_sv	12195
pang_82	Chr5	SNP	763828
pang_82	Chr5	small_indel	499567
pang_82	Chr5	small_sv	54240
pang_82	Chr5	medium_sv	61924
pang_82	Chr5	large_sv	19772
