panel	chrom	size_class	n_alts
pang_135_raw	Chr1	SNP	1446842
pang_135_raw	Chr1	small_indel	1148857
pang_135_raw	Chr1	small_sv	161511
pang_135_raw	Chr1	medium_sv	160568
pang_135_raw	Chr1	large_sv	41360
pang_135_raw	Chr2	SNP	992701
pang_135_raw	Chr2	small_indel	787848
pang_135_raw	Chr2	small_sv	118147
pang_135_raw	Chr2	medium_sv	120069
pang_135_raw	Chr2	large_sv	29166
pang_135_raw	Chr3	SNP	1137431
pang_135_raw	Chr3	small_indel	891375
pang_135_raw	Chr3	small_sv	127555
pang_135_raw	Chr3	medium_sv	122799
pang_135_raw	Chr3	large_sv	28732
pang_135_raw	Chr4	SNP	952915
pang_135_raw	Chr4	small_indel	753621
pang_135_raw	Chr4	small_sv	110533
pang_135_raw	Chr4	medium_sv	108832
pang_135_raw	Chr4	large_sv	27321
pang_135_raw	Chr5	SNP	831805
pang_135_raw	Chr5	small_indel	642284
pang_135_raw	Chr5	small_sv	91774
pang_135_raw	Chr5	medium_sv	102304
pang_135_raw	Chr5	large_sv	29913
