stat,block,chrom,start,end,span_bp,n_sv,SNPs,Z,Z_pVal,fdr,bonferroni,dir,n_up,n_dn,n_genes,genes,gene_names,flower_loci
dp,5_918,Chr5,13034903,13357892,322989,857,857,13.233,0.0,0.0,True,up-in-warm,445,412,17,AT5G34828;AT5G34850;AT5G34869;AT5G34870;AT5G34881;AT5G34882;AT5G34883;AT5G34885;AT5G34887;AT5G34905;AT5G34908;AT5G34930;AT5G34940;AT5G35050;AT5G35066;AT5G35069;AT5G35080,AT5G34828;AT5G34850;AT5G34869;AT5G34870;AT5G34881;AT5G34882;AT5G34883;AT5G34885;AT5G34887;AT5G34905;AT5G34908;AT5G34930;AT5G34940;AT5G35050;AT5G35066;AT5G35069;AT5G35080,
dp,2_729,Chr2,6609945,6781985,172040,918,918,8.11,0.0,0.0,True,up-in-warm,448,470,30,AT2G15230;AT2G15240;AT2G15260;AT2G15270;AT2G15280;AT2G15290;AT2G15300;AT2G15310;AT2G15318;AT2G15320;AT2G15325;AT2G15327;AT2G15340;AT2G15345;AT2G15350;AT2G15360;AT2G15370;AT2G15390;AT2G15400;AT2G15420;AT2G15430;AT2G15440;AT2G15450;AT2G15460;AT2G15470;AT2G15480;AT2G15490;AT2G15500;AT2G15530;AT2G15535,AT2G15230;AT2G15240;AT2G15260;AT2G15270;AT2G15280;AT2G15290;AT2G15300;AT2G15310;AT2G15318;AT2G15320;AT2G15325;AT2G15327;AT2G15340;AT2G15345;AT2G15350;AT2G15360;AT2G15370;AT2G15390;AT2G15400;AT2G15420;AT2G15430;AT2G15440;AT2G15450;AT2G15460;AT2G15470;AT2G15480;AT2G15490;AT2G15500;AT2G15530;AT2G15535,
dp,5_775,Chr5,9102742,9295277,192535,740,740,4.644,1.869803645249135e-09,0.0,True,up-in-warm,373,367,41,AT5G26050;AT5G26060;AT5G26070;AT5G26080;AT5G26090;AT5G26100;AT5G26110;AT5G26114;AT5G26120;AT5G26130;AT5G26140;AT5G26150;AT5G26160;AT5G26170;AT5G26180;AT5G26190;AT5G26200;AT5G26210;AT5G26220;AT5G26230;AT5G26240;AT5G26250;AT5G26260;AT5G26262;AT5G26270;AT5G26280;AT5G26290;AT5G26300;AT5G26310;AT5G26320;AT5G26330;AT5G26340;AT5G26360;AT5G26570;AT5G26594;AT5G26667;AT5G26673;AT5G26692;AT5G26717;AT5G26740;AT5G26742,AT5G26050;AT5G26060;AT5G26070;AT5G26080;AT5G26090;AT5G26100;AT5G26110;AT5G26114;AT5G26120;AT5G26130;AT5G26140;AT5G26150;AT5G26160;AT5G26170;AT5G26180;AT5G26190;AT5G26200;AT5G26210;AT5G26220;AT5G26230;AT5G26240;AT5G26250;AT5G26260;AT5G26262;AT5G26270;AT5G26280;AT5G26290;AT5G26300;AT5G26310;AT5G26320;AT5G26330;AT5G26340;AT5G26360;AT5G26570;AT5G26594;AT5G26667;AT5G26673;AT5G26692;AT5G26717;AT5G26740;AT5G26742,
dp,5_602,Chr5,7473185,7709195,236010,555,555,12.168,2.548805243529628e-07,0.0005,True,up-in-warm,298,257,57,AT5G22500;AT5G22510;AT5G22520;AT5G22530;AT5G22540;AT5G22545;AT5G22550;AT5G22555;AT5G22560;AT5G22570;AT5G22580;AT5G22590;AT5G22600;AT5G22608;AT5G22610;AT5G22620;AT5G22630;AT5G22640;AT5G22650;AT5G22660;AT5G22670;AT5G22680;AT5G22690;AT5G22700;AT5G22720;AT5G22730;AT5G22740;AT5G22750;AT5G22760;AT5G22770;AT5G22780;AT5G22790;AT5G22791;AT5G22794;AT5G22800;AT5G22810;AT5G22820;AT5G22830;AT5G22840;AT5G22850;AT5G22860;AT5G22870;AT5G22875;AT5G22880;AT5G22890;AT5G22900;AT5G22910;AT5G22920;AT5G22930;AT5G22940;AT5G22950;AT5G22960;AT5G22970;AT5G22980;AT5G22990;AT5G23000;AT5G23010,AT5G22500;AT5G22510;AT5G22520;AT5G22530;AT5G22540;AT5G22545;AT5G22550;AT5G22555;AT5G22560;AT5G22570;AT5G22580;AT5G22590;AT5G22600;AT5G22608;AT5G22610;AT5G22620;AT5G22630;AT5G22640;AT5G22650;AT5G22660;AT5G22670;AT5G22680;AT5G22690;AT5G22700;AT5G22720;AT5G22730;AT5G22740;AT5G22750;AT5G22760;AT5G22770;AT5G22780;AT5G22790;AT5G22791;AT5G22794;AT5G22800;AT5G22810;AT5G22820;AT5G22830;AT5G22840;AT5G22850;AT5G22860;AT5G22870;AT5G22875;AT5G22880;AT5G22890;AT5G22900;AT5G22910;AT5G22920;AT5G22930;AT5G22940;AT5G22950;AT5G22960;AT5G22970;AT5G22980;AT5G22990;AT5G23000;AT5G23010,
dp,2_591,Chr2,2958845,3297840,338995,642,642,7.317,6.249331274132963e-06,0.0091,True,up-in-warm,316,326,37,AT2G07140;AT2G07170;AT2G07180;AT2G07190;AT2G07200;AT2G07215;AT2G07240;AT2G07280;AT2G07290;AT2G07310;AT2G07340;AT2G07360;AT2G07362;AT2G07363;AT2G07440;AT2G07505;AT2G07521;AT2G07560;AT2G07640;AT2G07669;AT2G07671;AT2G07672;AT2G07673;AT2G07674;AT2G07675;AT2G07676;AT2G07678;AT2G07681;AT2G07684;AT2G07749;AT2G07751;AT2G07768;AT2G07771;AT2G07773;AT2G07776;AT2G07777;AT2G07779,AT2G07140;AT2G07170;AT2G07180;AT2G07190;AT2G07200;AT2G07215;AT2G07240;AT2G07280;AT2G07290;AT2G07310;AT2G07340;AT2G07360;AT2G07362;AT2G07363;AT2G07440;AT2G07505;AT2G07521;AT2G07560;AT2G07640;AT2G07669;AT2G07671;AT2G07672;AT2G07673;AT2G07674;AT2G07675;AT2G07676;AT2G07678;AT2G07681;AT2G07684;AT2G07749;AT2G07751;AT2G07768;AT2G07771;AT2G07773;AT2G07776;AT2G07777;AT2G07779,
dp,5_891,Chr5,10535139,10782628,247489,611,611,8.554,8.259391422793527e-06,0.01,False,up-in-warm,296,315,18,AT5G28540;AT5G28550;AT5G28560;AT5G28590;AT5G28610;AT5G28615;AT5G28620;AT5G28630;AT5G28640;AT5G28642;AT5G28646;AT5G28650;AT5G28660;AT5G28680;AT5G28690;AT5G28720;AT5G28730;AT5G28740,AT5G28540;AT5G28550;AT5G28560;AT5G28590;AT5G28610;AT5G28615;AT5G28620;AT5G28630;AT5G28640;AT5G28642;AT5G28646;AT5G28650;AT5G28660;AT5G28680;AT5G28690;AT5G28720;AT5G28730;AT5G28740,
dp,4_2519,Chr4,12134906,12168568,33662,137,137,11.036,2.036285631168422e-05,0.0211,False,down-in-warm,53,84,10,AT4G23170;AT4G23180;AT4G23190;AT4G23200;AT4G23210;AT4G23220;AT4G23230;AT4G23240;AT4G23250;AT4G23260,AT4G23170;AT4G23180;AT4G23190;AT4G23200;AT4G23210;AT4G23220;AT4G23230;AT4G23240;AT4G23250;AT4G23260,
dp,2_1198,Chr2,10873006,10874577,1571,8,8,6.05,2.34363170307228e-05,0.0212,False,down-in-warm,1,7,0,,,
dp,2_195,Chr2,599907,604021,4114,72,72,8.755,2.671780303875604e-05,0.0215,False,down-in-warm,19,53,1,AT2G02280,AT2G02280,
dp,4_2781,Chr4,15466240,15469500,3260,22,22,6.474,4.904015544504592e-05,0.0356,False,up-in-warm,12,10,1,AT4G31980,AT4G31980,
