Assembly_ID,Accession_name,Accession_ID,Best_version_of_dataset,Best_for_Moi,Reason
100758,MAR2-3,159,yes,yes,
100997,MAR2-3,159,yes,no,
100705,Kar-1,763,yes,yes,
100787,Sus-1,765,yes,yes,
101023,Dja-1,766,yes,yes,
100709,Zal-1,768,yes,yes,
100993,Zal-1,768,yes,no,
100916,Neo-6,772,yes,yes,
101003,Set-1,5772,yes,?,Heterozygosity: Too many variants
100800,Ty-1,5784,yes,yes,
100742,UKID107,5811,yes,yes,
100954,T980,6150,yes,yes,
100959,TBÖ 01,6184,yes,yes,
100331,TRÄ 01,6244,yes,yes,
100836,TRÄ 01,6244,yes,no,
100792,An-1,6898,yes,yes,
100042,Cvi-0,6911,yes,yes,
100794,Cvi-0,6911,yes,no,
100822,Cvi-0,6911,yes,no,
100855,Cvi-0,6911,yes,no,
100300,Ei-2,6915,yes,yes,
100315,Kondara,6929,yes,no,
100677,Kondara,6929,yes,yes,
100759,Ler-1,6932,yes,yes,
100683,Ms-0,6938,yes,yes,
100699,Ms-0,6938,yes,no,
100764,Mt-0,6939,yes,yes,
100851,Mt-0,6939,yes,no,
100302,Nok-3,6945,yes,yes,
100988,Ra-0,6958,yes,yes,
100691,Sorbo,6963,yes,yes,
101018,Wei-0,6979,yes,yes,
100303,Aa-0,7000,yes,yes,
100304,Baa-1,7002,yes,yes,
100848,Baa-1,7002,yes,no,
100305,Bs-1,7003,yes,yes,
100306,Bl-1,7025,yes,yes,
100761,Can-0,7063,yes,yes,
100819,Can-0,7063,yes,no,
100645,Ct-1,6910,yes,yes,
100821,Ct-1,7067,yes,no,
100882,Ct-1,7067,yes,no,
100307,Com-1,7092,yes,yes,
100313,Est,7127,yes,yes,
100047,Gel-1,7143,yes,yes,
100778,Hau-0,7164,yes,yes,
100763,Kn-0,7186,yes,yes,
100799,Kn-0,7186,yes,no,
101040,Lm-2,7217,yes,yes,
100697,Mh-0,7255,yes,yes,
100766,Oy-0,7288,yes,yes,
100828,Oy-0,7288,yes,no,
101058,Oy-0,7288,yes,no,
100760,Pi-0,7298,yes,?,Heterozygosity: ~4Mb in 3 blocks
100563,Rhen-1,7316,yes,yes,
100707,Rubezhnoe-1,7323,yes,yes,
100309,Sten-0,7346,yes,yes,
101021,Sten-0,7346,yes,no,
100226,Stw-0,7347,yes,yes,
100310,Tscha-1,7372,yes,yes,
100312,Uk-1,7378,yes,yes,
100753,Wl-0,7411,yes,yes,
100673,Gy-0,8214,yes,yes,
101024,Algutsrum,8230,yes,yes,
101025,Brö1-6,8231,yes,yes,
100516,San-2,8247,yes,yes,
100755,Vimmerby,8249,yes,yes,
100950,Vimmerby,8249,yes,no,
101027,Ost-0,8351,yes,yes,
100685,Per-1,8354,yes,yes,
100692,St-0,8387,yes,yes,
100719,St-0,8387,yes,no,
100395,Kru-3,9416,yes,?,"Coverage: ~15x, low for an ONT assembly"
100805,Tur-4,9470,yes,yes,
100941,Tur-4,9470,yes,no,
100108,IP-Alo-0,9506,yes,yes,
100892,IP-Alm-0,9518,yes,?,"Coverage: ~11x, low for an ONT assembly"
100838,IP-Cum-1,9537,yes,yes,
100862,IP-Fun-0,9542,yes,?,"Coverage: ~14x, low for an ONT assembly"
100158,IP-Hum-2,9549,yes,yes,
100890,IP-Hum-2,9549,yes,no,
100130,IP-Mar-1,9555,yes,yes,
100320,IP-Moa-0,9557,yes,yes,
100896,IP-Moa-0,9557,yes,no,
100958,IP-Mon-5,9559,yes,yes,
100891,IP-Nog-17,9564,yes,?,"Coverage: ~9x, low for an ONT assembly"
100784,IP-Orb-10,9565,yes,yes,
100861,IP-Vdm-0,9594,yes,yes,
100902,IP-Vis-0,9600,yes,yes,
101054,Aitba-1,9606,yes,yes,
100703,Noveg-2,9637,yes,yes,
100751,Giffo-1,9653,yes,yes,
100208,Altai-5,9758,yes,yes,
100728,Anz-0,9759,yes,yes,
100853,Anz-0,9759,yes,no,
100278,Qar-8a,9764,yes,no,
100715,Qar-8a,9764,yes,yes,
100922,Qar-8a,9764,yes,no,
100335,Con-0,9837,yes,yes,
100053,IP-Per-0,9879,yes,yes,
100898,IP-Per-0,9879,yes,no,
100043,BRI-2,9910,yes,yes,
100727,Toufl-1,9940,yes,yes,
100852,Ped-0,9947,yes,?,"Coverage: ~10x, low for an ONT assembly"
100725,Dog-4,9992,yes,yes,
100282,TueWa1-2,10002,yes,yes,
100745,Kastel-1,10006,yes,yes,
100765,No-0,7275,yes,yes,
