block,SNPs,hits,Z,top_candidate_p,Z_pVal,chrom,mid_pos,n_up,n_dn,lead_pos,lead_ref,mean_beta,dir,fdr,bonferroni
5_775,740,55,11.855704110120842,7.542983439528534e-30,0.0,Chr5,9181108.0,332,408,9127753,1,-0.0032823533,down-in-warm,0.0,True
2_729,918,38,8.620684220808421,6.348205961694889e-13,0.0,Chr2,6685325.0,430,488,6662527,1,0.004828344,up-in-warm,0.0,True
5_918,857,38,4.127083461956966,7.964339151239324e-14,0.0,Chr5,13176529.0,399,458,13055350,1,0.01201946,up-in-warm,0.0,True
5_602,555,57,13.02790590713981,2.4493003985256443e-38,2.2439150537678643e-10,Chr5,7553389.0,268,287,7684526,268,0.0046991315,up-in-warm,4.068217992481138e-07,True
4_2781,22,7,8.37856418079775,1.4950000972233536e-09,1.1443010472511617e-07,Chr4,15468585.5,13,9,15466381,68,0.065914884,up-in-warm,0.0001659694238933085,True
2_653,513,36,12.085968902511093,2.6662863106764323e-19,3.3359860218684645e-07,Chr2,5731207.0,214,299,5758051,1,-0.012451567,down-in-warm,0.00040320951050983506,True
5_891,611,28,7.989229740359797,6.384905484695258e-11,1.072098666843324e-06,Chr5,10645429.0,289,322,10596853,1,0.0021829281,up-in-warm,0.0011106942188496836,True
5_2001,9,3,6.656013236444342,8.029476538112821e-05,7.841336196356963e-06,Chr5,17985699.0,8,1,17986410,444,0.11603275,up-in-warm,0.007108171261997587,False
2_591,642,39,5.790466177059463,1.2944725490789969e-18,8.86070415884177e-06,Chr2,3026435.0,300,342,3139251,128,0.0068313177,up-in-warm,0.007139758506657835,False
1_2265,9,6,6.49980477109222,8.185884400000042e-11,1.351813578076566e-05,Chr1,16874531.0,2,7,16874201,186,-0.046126656,down-in-warm,0.009803352068211256,False
3_1389,447,41,12.126655974735783,3.8784185873937705e-26,1.5614865852331405e-05,Chr3,11087581.0,138,309,11093912,666,-0.024912992,down-in-warm,0.010294455196464304,False
2_779,103,12,9.43076419241137,6.590185412938027e-10,7.873143470427113e-05,Chr2,7079554.0,43,60,7077399,1,-0.011248658,down-in-warm,0.047580030372947855,False
2_195,72,6,8.226948158116178,8.882696975305122e-05,0.0001327795365999,Chr2,602461.5,16,56,601609,461,-0.054687615,down-in-warm,0.07407055380172883,False
1_3507,5,2,5.432611122729571,0.0009801496,0.0002339756127119,Chr1,22592596.0,4,1,22592596,707,0.12001766,up-in-warm,0.1211993673847642,False
1_2134,571,12,7.318235061467534,0.0138517343140282,0.0002759416578125,Chr1,14232768.0,325,246,14243256,1,0.020816326,up-in-warm,0.1334085934970833,False
5_2002,6,2,5.318659848907953,0.001460447605,0.0003691196777256,Chr5,17986590.5,2,4,17987117,1,-0.0022497177,down-in-warm,0.1673034939291282,False
5_1086,27,5,6.096701024934038,6.718701953687921e-06,0.0004593865432731,Chr5,15302550.0,12,15,15302550,1,0.0027235078,up-in-warm,0.19596889481273655,False
4_2519,137,16,9.41298259548636,9.449062142791584e-13,0.0006532738044906,Chr4,12152602.0,40,97,12157435,1,-0.014588277,down-in-warm,0.26319675723143504,False
3_589,101,14,8.404291184555753,2.272249575890086e-12,0.0007460709622977,Chr3,6379685.0,65,36,6365763,584,0.06187504,up-in-warm,0.28476350624120633,False
1_1773,12,2,5.292531310159222,0.0061745377728247,0.0007884660636321,Chr1,11359406.5,12,0,11359394,1,0.12060078,up-in-warm,0.2858977946729994,False
5_970,397,44,10.844321790101072,2.199367104084839e-31,0.0008394231648632,Chr5,14696097.0,180,217,14757472,229,-0.0041666017,down-in-warm,0.2898807995994251,False
1_2697,7,2,5.01547023854419,0.00203104163494,0.0009549130804774,Chr1,19426042.0,7,0,19426042,5,0.20110348,up-in-warm,0.3147740754373684,False
2_1198,8,3,4.947477138017632,5.393332119790015e-05,0.0012698333155707,Chr2,10873481.0,1,7,10874577,5683,-0.06940377,down-in-warm,0.3820082836505802,False
4_132,17,2,5.277187096078025,0.0123089855299442,0.00137328846746,Chr4,1143262.0,12,5,1143262,1,0.06348149,up-in-warm,0.3820082836505802,False
1_1924,19,3,5.350277911479751,0.0008594328820314,0.0013920190077206,Chr1,11686009.0,3,16,11686009,2,-0.058701195,down-in-warm,0.3820082836505802,False
2_1131,22,3,5.439635097199831,0.0013356291937811,0.0014886935940353,Chr2,10326350.0,8,14,10326350,1,-0.0018449404,down-in-warm,0.3820082836505802,False
5_923,595,25,5.552972832990447,3.712876207408607e-09,0.0015024203738309,Chr5,13573327.0,285,310,13654960,1,0.008710595,up-in-warm,0.3820082836505802,False
3_2266,8,3,4.87372719465263,5.393332119790015e-05,0.0015337071410334,Chr3,16975314.0,3,5,16976100,91,-0.04299855,down-in-warm,0.3820082836505802,False
2_827,6,2,4.791270111031879,0.001460447605,0.0015384683820935,Chr2,7565687.0,1,5,7555089,61,-0.12196815,down-in-warm,0.3820082836505802,False
3_47,10,2,4.938470654148077,0.0042662002428314,0.0015966384558624,Chr3,873276.5,8,2,873619,1,0.08179466,up-in-warm,0.3820082836505802,False
1_3738,16,3,5.167963766702584,0.0005079424092904,0.0016329642571936,Chr1,23005065.0,1,15,23004802,263,-0.09168436,down-in-warm,0.3820082836505802,False
2_777,12,3,4.949719747072123,0.0002056160777666,0.0018938132550053,Chr2,7071685.0,4,8,7071423,1,-0.048643928,down-in-warm,0.4255986546513652,False
1_4566,118,10,8.396359486836594,3.650044083409208e-07,0.0019366734147125,Chr1,25596261.0,93,25,25577146,137,0.074039534,up-in-warm,0.4255986546513652,False
5_1720,7,2,4.695997418117683,0.00203104163494,0.0021634567171108,Chr5,17347022.0,2,5,17347022,327,-0.027516978,down-in-warm,0.4561176989239584,False
2_2000,10,1,4.808874630481611,0.0956179249911955,0.002201340245772,Chr2,18723512.0,8,2,18723512,1,0.06026768,up-in-warm,0.4561176989239584,False
4_2806,23,2,5.2837547574532975,0.0220106807623639,0.0023667042732755,Chr4,15955796.0,19,4,15957500,1,0.07415612,up-in-warm,0.4767594274942757,False
1_4136,10,2,4.750387975074772,0.0042662002428314,0.0025368803497084,Chr1,24105378.0,4,6,24105378,1,0.010441725,up-in-warm,0.49722854854284637,False
1_847,8,3,4.619206292867028,5.393332119790015e-05,0.0028736838859507,Chr1,7436926.0,6,2,7436777,1,0.023701493,up-in-warm,0.5028588662958778,False
1_660,14,3,4.8500426925705264,0.0003351416785493,0.0029074172566513,Chr1,5520735.0,8,6,5520736,7319,0.047924574,up-in-warm,0.5028588662958778,False
1_5062,24,4,5.226298995367822,9.053764174621836e-05,0.0029477603531223,Chr1,28707865.5,11,13,28731355,74,0.044308156,up-in-warm,0.5028588662958778,False
5_850,94,4,7.522982107360072,0.0149704724621323,0.0029995848787833,Chr5,9978000.0,35,59,9979078,170,-0.022032661,down-in-warm,0.5028588662958778,False
2_1001,9,2,4.623983592815535,0.0034357300178462,0.0031219981671243,Chr2,9969156.0,7,2,9969156,1,0.12542623,up-in-warm,0.5028588662958778,False
4_2532,20,2,5.049802851193075,0.0168593376356518,0.003123692466313,Chr4,12214470.0,9,11,12214470,1,0.014746088,up-in-warm,0.5028588662958778,False
4_2759,7,2,4.543454238847202,0.00203104163494,0.0031320801329699,Chr4,15381104.0,5,2,15381104,1,0.039483488,up-in-warm,0.5028588662958778,False
2_1687,38,1,5.710802829566069,0.317445404989613,0.0031360447306162,Chr2,16348393.0,29,9,16362249,1,0.09071527,up-in-warm,0.5028588662958778,False
1_2093,8,2,4.57542424553876,0.0026900777395207,0.0031896728970781,Chr1,13049628.0,4,4,13049628,111,-0.039355278,down-in-warm,0.5028588662958778,False
2_1925,8,2,4.560822522169062,0.0026900777395207,0.0033018117422732,Chr2,17987318.0,7,1,17987318,1,0.13483647,up-in-warm,0.5032193793228144,False
4_1556,3,3,4.357447714230011,1.0000000000000027e-06,0.0033349145373865,Chr4,9187038.0,2,1,9187038,1648,0.03945876,up-in-warm,0.5032193793228144,False
2_973,373,8,10.198786257382588,0.0358731118171802,0.0034463107695095,Chr2,9776982.0,143,230,9860991,1,-0.011934876,down-in-warm,0.5032193793228144,False
3_1328,9,3,4.571130552487167,8.029476538112821e-05,0.0035355146528449,Chr3,10713087.0,2,7,10713087,1,-0.02371059,down-in-warm,0.5032193793228144,False
2_296,7,3,4.491747649555915,3.396253015000008e-05,0.0035399643768236,Chr2,835185.0,5,2,835013,1,0.06051613,up-in-warm,0.5032193793228144,False
5_557,7,2,4.476367618524865,0.00203104163494,0.0036701709415495,Chr5,7351842.0,4,3,7352033,732,-0.016238904,down-in-warm,0.5032193793228144,False
4_955,10,0,4.586677062934267,1.0,0.0037356216417494,Chr4,7863626.0,10,0,7864272,1,0.22566426,up-in-warm,0.5032193793228144,False
4_2797,13,2,4.70050378290506,0.0072489436779352,0.0037601564774332,Chr4,15548627.0,12,1,15548319,17225,0.10814149,up-in-warm,0.5032193793228144,False
1_214,3,2,4.300798975696868,0.000298,0.0038164735056198,Chr1,1598199.0,0,3,1598199,331,-0.13792399,down-in-warm,0.5032193793228144,False
4_2804,7,2,4.443469411380917,0.00203104163494,0.0039632100504857,Chr4,15939220.0,5,2,15939220,1,0.060112875,up-in-warm,0.5132357015378981,False
1_1219,5,3,4.354956423988516,9.850600000000027e-06,0.0040516973267801,Chr1,8884787.0,4,1,8884940,90,0.06545492,up-in-warm,0.5154896318212155,False
1_1037,23,4,4.9953082932125055,7.60525098813713e-05,0.0045413594749802,Chr1,7852153.0,8,15,7852153,1,-0.027861688,down-in-warm,0.5546561063219707,False
1_4131,6,2,4.334001633749067,0.001460447605,0.0046597955192384,Chr1,24093289.5,3,3,24093239,105,0.022887768,up-in-warm,0.5546561063219707,False
1_5114,5,2,4.2874435366099775,0.0009801496,0.0047373317495889,Chr1,29133516.0,5,0,29132970,408,0.22627649,up-in-warm,0.5546561063219707,False
2_939,15,1,4.673386479575797,0.1399416453587116,0.0047558954375824,Chr2,9179316.0,10,5,9179316,1,5.84205e-05,up-in-warm,0.5546561063219707,False
4_824,30,2,5.2198389649599175,0.0361479983122407,0.0048646632999497,Chr4,7549137.0,17,13,7545540,4,0.03568334,up-in-warm,0.5546561063219707,False
4_346,444,26,9.03283017199758,1.4157547600159518e-12,0.0048732810179195,Chr4,3503163.0,206,238,3531131,1,0.014125783,up-in-warm,0.5546561063219707,False
1_2004,8,1,4.382669450768786,0.0772553055720799,0.0049848618655539,Chr1,12286548.0,3,5,12286548,1,-0.017362662,down-in-warm,0.5546561063219707,False
2_1268,70,7,6.54821539676742,6.908141556812072e-06,0.0049869909979087,Chr2,11595646.5,45,25,11625991,66,0.06561784,up-in-warm,0.5546561063219707,False
3_2855,18,3,4.7600475188448845,0.0007291598430539,0.0050478906532336,Chr3,18862026.0,13,5,18862026,1,0.060440898,up-in-warm,0.5546561063219707,False
3_2421,5,2,4.243059804699537,0.0009801496,0.0052426979589708,Chr3,17261189.0,1,4,17261905,67,-0.09854753,down-in-warm,0.5644841489259819,False
5_3057,9,3,4.394881746327146,8.029476538112821e-05,0.0052930118763054,Chr5,26276700.0,8,1,26276700,73,0.098875776,up-in-warm,0.5644841489259819,False
3_441,8,3,4.346432265263084,5.393332119790015e-05,0.0054087591417825,Chr3,3538017.0,4,4,3537980,1134,-0.0044531296,down-in-warm,0.5684684245827056,False
1_694,7,2,4.298641064871136,0.00203104163494,0.0055177301928794,Chr1,5926720.0,6,1,5927112,103,0.16302739,up-in-warm,0.5716368479823059,False
1_4700,19,2,4.747160381973305,0.0152737614888966,0.0056327728465223,Chr1,26280986.0,12,7,26282898,760,0.041016303,up-in-warm,0.572025668221539,False
3_554,58,5,6.092593228556239,0.0002949113098096,0.005781444435238,Chr3,5888134.0,34,24,5900108,736,0.03611447,up-in-warm,0.572025668221539,False
2_1926,10,2,4.391833797743254,0.0042662002428314,0.0058073159311035,Chr2,17992729.0,10,0,17995374,1,0.14959565,up-in-warm,0.572025668221539,False
5_1511,26,3,4.988692909493693,0.0021887611748319,0.0058369966145055,Chr5,16621236.0,14,12,16621236,1,0.016096089,up-in-warm,0.572025668221539,False
5_510,27,3,5.009229820514765,0.0024441065705942,0.0060338755533381,Chr5,6156738.0,15,12,6156738,124,0.024198035,up-in-warm,0.575985742904458,False
1_5079,10,2,4.374304803671408,0.0042662002428314,0.0060362543382155,Chr1,28913513.5,4,6,28919546,1,0.0202423,up-in-warm,0.575985742904458,False
5_1692,55,4,5.955953429072912,0.002272285419051,0.0062404901845011,Chr5,17326942.0,18,37,17323465,1,-0.026658094,down-in-warm,0.5877407119221036,False
1_844,4,2,4.109301007290767,0.00059203,0.0064843595380161,Chr1,7414464.5,2,2,7416164,1,0.0066899024,up-in-warm,0.6014339500820307,False
2_914,10,2,4.336896838087545,0.0042662002428314,0.0065517487667513,Chr2,8473511.0,7,3,8473511,1,0.048727125,up-in-warm,0.6014339500820307,False
5_703,2,1,4.013337932088857,0.0199,0.0067426324337567,Chr5,8279680.5,1,1,8280719,1003,0.06251463,up-in-warm,0.6046565378128631,False
3_2768,6,1,4.168811923792102,0.058519850599,0.006753609978329,Chr3,18526006.0,5,1,18526006,1,0.078384586,up-in-warm,0.6046565378128631,False
5_2346,19,4,4.656110158581209,3.437030184053091e-05,0.0068416832504841,Chr5,20263428.0,18,1,20262863,1,0.09531629,up-in-warm,0.6050717918598865,False
1_4391,4,2,4.066241643414463,0.00059203,0.0071323667915967,Chr1,24878554.0,1,3,24878554,1,-0.021733228,down-in-warm,0.6231798068995092,False
1_5066,26,3,4.859987608734322,0.0021887611748319,0.0076244969364713,Chr1,28753340.0,20,6,28751872,269,0.07595299,up-in-warm,0.6580572595074483,False
1_1286,10,2,4.261338045563775,0.0042662002428314,0.0077130263455782,Chr1,9032024.5,6,4,9031837,97,0.08771049,up-in-warm,0.6580572595074483,False
2_959,9,0,4.208327185349263,1.0,0.0079623774512977,Chr2,9519134.0,9,0,9519134,1,0.15940398,up-in-warm,0.6714321078698945,False
1_1942,55,5,5.80558151118246,0.0002295160111978,0.0083144104487683,Chr1,11911402.0,25,30,11924503,87,0.0036942563,up-in-warm,0.6930586732697438,False
1_802,24,4,4.732201599654011,9.053764174621836e-05,0.0085377311624409,Chr1,7173715.0,16,8,7169789,1051,0.03465334,up-in-warm,0.6941324499814296,False
5_624,9,2,4.174936504076065,0.0034357300178462,0.0085487618520617,Chr5,7980478.0,7,2,7980414,1,0.03621854,up-in-warm,0.6941324499814296,False
4_761,63,6,6.034863685077082,4.170364050099274e-05,0.0086950633638922,Chr4,7141113.0,21,42,7141595,1,-0.015313827,down-in-warm,0.6941324499814296,False
3_868,9,2,4.1660995135395655,0.0034357300178462,0.0087101562256357,Chr3,8501673.0,8,1,8501673,1,0.046271298,up-in-warm,0.6941324499814296,False
5_2701,17,3,4.436208539303613,0.0006121919068227,0.0092665799610678,Chr5,22868875.0,11,6,22857716,488,0.024292504,up-in-warm,0.7056252807874264,False
1_4767,10,1,4.1719595158550815,0.0956179249911955,0.0093175005050543,Chr1,26399589.0,8,2,26399868,78,0.07953454,up-in-warm,0.7056252807874264,False
1_1800,5,2,3.972958775239396,0.0009801496,0.0094836824971213,Chr1,11388259.0,5,0,11388259,1,0.109832086,up-in-warm,0.7056252807874264,False
5_3107,74,8,6.318088345672831,8.379079855382095e-07,0.0095296078200791,Chr5,26758650.0,37,37,26758650,1,0.008531597,up-in-warm,0.7056252807874264,False
4_865,6,1,4.007356852243465,0.058519850599,0.0095633391978969,Chr4,7639842.0,4,2,7639371,1077,0.029325983,up-in-warm,0.7056252807874264,False
5_3104,43,5,5.333033316646378,7.01407919082506e-05,0.009629625136582,Chr5,26730318.0,19,24,26740045,1,-0.007204703,down-in-warm,0.7056252807874264,False
3_1558,45,9,5.392585790089883,6.403194570664912e-10,0.0097633774919383,Chr3,14338335.0,29,16,14335806,1,0.043990575,up-in-warm,0.7056252807874264,False
2_262,25,4,4.695578637812109,0.000106926533799,0.0098763959268253,Chr2,707444.0,9,16,706913,326,-0.022877712,down-in-warm,0.7056252807874264,False
3_1194,165,21,8.452522810027126,4.816370747368504e-17,0.0100233214630898,Chr3,10245155.0,57,108,10222518,1245,-0.015518372,down-in-warm,0.7056252807874264,False
3_1224,3,1,3.867197181623452,0.029701,0.0100786935402178,Chr3,10357813.0,2,1,10357814,428,0.07740167,up-in-warm,0.7056252807874264,False
5_2207,1,1,3.788767529215489,0.01,0.0101001328722216,Chr5,19205686.0,1,0,19205686,103,0.20387381,up-in-warm,0.7056252807874264,False
4_1634,3,2,3.866008917735893,0.000298,0.0101040547458488,Chr4,9368717.0,2,1,9368683,677,0.029904196,up-in-warm,0.7056252807874264,False
3_630,48,5,5.469567464812173,0.0001197060879139,0.0101782236429655,Chr3,7009454.0,29,19,7026178,52,0.043130055,up-in-warm,0.7056252807874264,False
4_495,74,7,6.278511644995979,1.001550470442962e-05,0.0102165822507832,Chr4,5791880.0,29,45,5791851,1,-0.027727004,down-in-warm,0.7056252807874264,False
3_358,5,2,3.928752817951501,0.0009801496,0.0104088526325465,Chr3,3358191.0,3,2,3358169,1,0.046442755,up-in-warm,0.7086650084657481,False
1_2732,52,3,5.585306328274342,0.0153526257336591,0.0104560336329061,Chr1,19594049.0,20,32,19594049,1,-0.015528171,down-in-warm,0.7086650084657481,False
5_686,9,2,4.057797850475456,0.0034357300178462,0.0109159047688468,Chr5,8161949.0,7,2,8161949,1,0.1198351,up-in-warm,0.7329827905896017,False
1_4143,18,1,4.367599890202271,0.1654862385499125,0.0114600973531727,Chr1,24111660.0,12,6,24111660,1,0.044867232,up-in-warm,0.76246445876338,False
5_2350,10,2,4.052822281982229,0.0042662002428314,0.0119057053605723,Chr5,20290115.5,5,5,20289828,1,0.000806389,up-in-warm,0.7687968053430351,False
1_5098,4,1,3.823597545648392,0.03940399,0.0119613659996692,Chr1,29011840.0,3,1,29011840,1,0.089923784,up-in-warm,0.7687968053430351,False
3_2652,4,2,3.8213233843288,0.00059203,0.0120175749521365,Chr3,17749570.0,4,0,17749957,1,0.18522589,up-in-warm,0.7687968053430351,False
4_2431,115,6,7.268478820620981,0.001111718694226,0.0122624139937621,Chr4,11755141.0,46,69,11764293,620,-0.005749147,down-in-warm,0.7687968053430351,False
3_3111,7,1,3.92320649898128,0.06793465209301,0.012318253247922,Chr3,20629769.0,0,7,20629769,271,-0.08658389,down-in-warm,0.7687968053430351,False
4_548,24,4,4.546563268186087,9.053764174621836e-05,0.0123313661851738,Chr4,6140148.5,13,11,6142498,1,0.020585017,up-in-warm,0.7687968053430351,False
3_1660,5,2,3.8450915706614106,0.0009801496,0.0123766891598436,Chr3,15217482.0,4,1,15217482,742,0.0693178,up-in-warm,0.7687968053430351,False
1_232,4,1,3.805958730286436,0.03940399,0.0124033682053413,Chr1,1965239.0,3,1,1963218,1,0.0209134,up-in-warm,0.7687968053430351,False
5_2872,11,3,4.06462243862996,0.000155372629155,0.0125345843097338,Chr5,23910621.0,8,3,23909044,1,0.046019103,up-in-warm,0.7702117776348247,False
5_1657,13,1,4.134705851716926,0.1224789770010321,0.0126386102507645,Chr5,17202806.0,12,1,17202808,23,0.08883326,up-in-warm,0.7702117776348247,False
4_2752,11,2,4.055183036017386,0.005179717490315,0.0127737704736581,Chr4,15243239.0,5,6,15243312,1,-0.02477643,down-in-warm,0.7719615289580712,False
1_4534,12,1,4.08258559399527,0.1136151282838708,0.0130241462946048,Chr1,25445702.0,8,4,25445702,1,0.020071516,up-in-warm,0.7778184958443116,False
2_887,2,1,3.7010510803521455,0.0199,0.0131487735297944,Chr2,8128292.5,2,0,8122054,1082,0.2180768,up-in-warm,0.7778184958443116,False
2_938,7,0,3.889354532252717,1.0,0.0131924538043092,Chr2,9171839.0,7,0,9171839,1,0.06944318,up-in-warm,0.7778184958443116,False
3_626,50,3,5.384060032841349,0.0138172708306004,0.0133932094702734,Chr3,6820248.5,27,23,6884060,1,0.039192177,up-in-warm,0.7832867345034088,False
4_2584,34,3,4.834587109466637,0.0047469947970585,0.0138417273256419,Chr4,12885448.0,25,9,12884296,1,0.12387624,up-in-warm,0.8030416525244405,False
