coverage	method	var_type	n	MAE	RMSE	R2	slope	intercept
10	cactus_em	all	397790	0.005463	0.008413	0.998206	1.001	0.0017
10	freqk	all	397790	0.066729	0.120642	0.710147	0.974	0.0052
10	cactus_em	SNP	345202	0.005383	0.008329	0.998242	1.001	0.0015
10	freqk	SNP	345202	0.066153	0.119343	0.717444	0.979	0.0045
10	cactus_em	INS	17563	0.005740	0.008838	0.998382	1.001	0.0019
10	freqk	INS	17563	0.076832	0.135274	0.702563	0.967	0.0166
10	cactus_em	DEL	28323	0.006020	0.008825	0.997549	0.998	0.0031
10	freqk	DEL	28323	0.063713	0.120332	0.620759	0.910	0.0065
30	cactus_em	all	400387	0.005495	0.008419	0.998207	1.001	0.0017
30	freqk	all	400387	0.044717	0.086400	0.826184	0.969	0.0062
30	cactus_em	SNP	347432	0.005417	0.008340	0.998239	1.001	0.0015
30	freqk	SNP	347432	0.044056	0.084458	0.834720	0.975	0.0055
30	cactus_em	INS	17672	0.005769	0.008837	0.998382	1.001	0.0019
30	freqk	INS	17672	0.053060	0.101863	0.804614	0.956	0.0174
30	cactus_em	DEL	28530	0.006019	0.008763	0.997611	0.998	0.0031
30	freqk	DEL	28530	0.044068	0.090121	0.745012	0.893	0.0075
