replicate	comparator	method	n	r2	mae	slope	out_pct
1	recipe	cactus_em-v3qc	790956	0.780337111700701	0.04769597853730239	1.0847287059423911	13.874349521338736
1	recipe	cactus_em-v3qc-filt2	790956	0.7781864883758746	0.04704430310477596	1.0861086166976293	13.707210009153481
1	hapFIRE	cactus_em-v3qc	426551	0.9695307688370055	0.02126302063561444	0.9564196018236177	1.5313526401297852
1	hapFIRE	cactus_em-v3qc-filt2	426551	0.9704565014117383	0.020594510610063066	0.9581289868892299	1.4422659892955356
2	recipe	cactus_em-v3qc	790956	0.7765601418677536	0.04802397208123171	1.0839641000312081	13.87472880918787
2	recipe	cactus_em-v3qc-filt2	790956	0.7749704456195626	0.047221953574225185	1.0852533488468665	13.751080970370033
2	hapFIRE	cactus_em-v3qc	426551	0.9696636666707653	0.021094788105895317	0.9587654160414467	1.4289029916703981
2	hapFIRE	cactus_em-v3qc-filt2	426551	0.9707882646763802	0.020272819969697993	0.9600644274561555	1.3578681095578253
3	recipe	cactus_em-v3qc	790956	0.7753201045751809	0.0485430905293267	1.0864803573920951	13.946793500523416
3	recipe	cactus_em-v3qc-filt2	790956	0.7741802073887007	0.0475867643553777	1.0879618131775735	13.735909456404654
3	hapFIRE	cactus_em-v3qc	426551	0.9690552783674513	0.02165715163736175	0.9574330153936708	1.5660495462441772
3	hapFIRE	cactus_em-v3qc-filt2	426551	0.9702991205970364	0.020755506654731283	0.9587111761410009	1.4846993677192177
4	recipe	cactus_em-v3qc	790956	0.776676465414521	0.04779849821720298	1.0816115462548341	13.872073794243928
4	recipe	cactus_em-v3qc-filt2	790956	0.7757769913810304	0.04704657943166075	1.0820065682725661	13.64399536763107
4	hapFIRE	cactus_em-v3qc	426551	0.9693664266230173	0.02129587452737584	0.9600591003317146	1.3813119650405226
4	hapFIRE	cactus_em-v3qc-filt2	426551	0.9705833539879385	0.020389609594280756	0.9605432899593778	1.3177791166824133
5	recipe	cactus_em-v3qc	790956	0.7768197704173762	0.04865277765329001	1.0804863856250326	14.082325691947467
5	recipe	cactus_em-v3qc-filt2	790956	0.7750783378595401	0.04754301951652325	1.0818945515052731	13.853741548202429
5	hapFIRE	cactus_em-v3qc	426551	0.9697277242868335	0.021074463965252675	0.9597749717593715	1.3318454299720315
5	hapFIRE	cactus_em-v3qc-filt2	426551	0.971535252536176	0.019839141764475304	0.9615918517118274	1.1864935259793086
6	recipe	cactus_em-v3qc	790956	0.7753291690719144	0.04917381818558083	1.0821196530220063	14.219122176201962
6	recipe	cactus_em-v3qc-filt2	790956	0.7752444868975685	0.04764637920045649	1.0832142108656624	13.916324043309617
6	hapFIRE	cactus_em-v3qc	426551	0.9695969400129654	0.021230998592575392	0.9613790928181377	1.3304387986430697
6	hapFIRE	cactus_em-v3qc-filt2	426551	0.97156528723496	0.01991297366878087	0.9618572027973725	1.1857902103148275
7	recipe	cactus_em-v3qc	790956	0.7769069797313194	0.04850633008193127	1.0821116367986352	14.06247629450943
7	recipe	cactus_em-v3qc-filt2	790956	0.775884998800918	0.047513177156222074	1.083129278125004	13.793308350907004
7	hapFIRE	cactus_em-v3qc	426551	0.9691481794622098	0.021454507562008795	0.9589619741805054	1.4439070591793244
7	hapFIRE	cactus_em-v3qc-filt2	426551	0.9707250246912589	0.020390207020968516	0.9600786500973166	1.3386441480620137
8	recipe	cactus_em-v3qc	790956	0.7778080193917306	0.04845445061987951	1.0799972505387292	14.10811726568861
8	recipe	cactus_em-v3qc-filt2	790956	0.7769880588082895	0.04719686092597706	1.0812884000784706	13.814674899741577
8	hapFIRE	cactus_em-v3qc	426551	0.9689876318954813	0.02143792221815194	0.958588333784306	1.44812695316621
8	hapFIRE	cactus_em-v3qc-filt2	426551	0.970821251970231	0.02023250916621623	0.9596656391706281	1.326218904656184
