cat	vtype	n_records	pg_present	n_pg_carrier	mean_ac_pg	frac_pg_carrier	frac_pg_present
V1a	DEL<50	85111	61951	13940	0.8233248346277214	0.16378611460328277	0.7278847622516479
V1a	DEL>=50	91	68	26	18.53846153846154	0.2857142857142857	0.7472527472527473
V1a	INS<50	59774	42510	10010	0.9511158697761568	0.1674641148325359	0.7111787733797303
V1a	INS>=50	4466	3108	699	0.9975369458128078	0.15651589789520823	0.6959247648902821
V1a	MNP/other	26959	18257	4304	1.7552950777105976	0.15964983864386662	0.6772135464965318
V1a	SNP	1176134	802396	196145	1.0324724903794975	0.16677096317256368	0.6822317865141216
V1b	DEL<50	210765	137136	40002	0.8681802006974593	0.18979432068891894	0.650658316134083
V1b	DEL>=50	50607	35100	11646	1.1287964115636178	0.23012626711719722	0.6935799395340565
V1b	INS<50	206862	135662	42999	0.9403757094101381	0.20786321315659714	0.6558091868008624
V1b	INS>=50	108041	73568	23280	0.9776658860987958	0.21547375533362334	0.6809266852398627
V1b	MNP/other	616574	344380	94868	0.7844119278464547	0.15386312105278524	0.5585379857081226
V1b	SNP	87002	47767	12280	0.7455345854118296	0.1411461805475736	0.5490333555550447
cactus_only	DEL<50	572065	376781	129988	1.3612858678646658	0.22722592712366602	0.6586331972765332
cactus_only	DEL>=50	76946	52923	23402	1.9276375640059262	0.3041353676604372	0.6877940373768617
cactus_only	INS<50	393105	255671	115444	1.8017170984851376	0.29367217410106716	0.6503885730275626
cactus_only	INS>=50	167829	113356	48614	1.6650042602887463	0.28966388407247856	0.6754255819911934
cactus_only	MNP/other	925848	507754	218683	1.6251468923624612	0.23619751838314712	0.5484204750671816
cactus_only	SNP	1712460	1103628	459296	2.09512338974341	0.2682083085152354	0.6444693598682597
empty	DEL<50	3290	0	0	0.0	0.0	0.0
empty	DEL>=50	172	0	0	0.0	0.0	0.0
empty	INS<50	1460	0	0	0.0	0.0	0.0
empty	INS>=50	285	0	0	0.0	0.0	0.0
empty	MNP/other	4611	0	0	0.0	0.0	0.0
empty	SNP	5049	0	0	0.0	0.0	0.0
shared	DEL<50	586283	401629	349969	28.02054468575756	0.5969284458188281	0.6850428888437836
shared	DEL>=50	36169	24322	20163	20.738615941828638	0.5574663385772346	0.6724543117033924
shared	INS<50	548037	379230	335875	30.384432073016967	0.6128692040865854	0.6919788262471329
shared	INS>=50	47512	31155	25093	11.404613571308301	0.528140259302913	0.6557290789695235
shared	MNP/other	1351125	776321	666802	25.44928559533722	0.4935161439541123	0.5745737811083357
shared	SNP	2862369	1947236	1700752	35.266445730791524	0.5941763623068863	0.6802882507461477
