block,stat,MAF
1_0,0.27960497,0.00555875
1_0,0.4816318,0.02243625
1_0,0.80160195,0.08747125
1_0,0.086804554,0.00696875
1_0,0.12648553,0.00146875
1_0,0.057948682,0.00401
1_0,0.21354823,0.00686
1_0,0.5038469,0.0043125
1_0,0.14475746,0.0055775
1_0,0.13831335,0.01109375
1_0,0.21510932,0.0109825
1_0,0.98022383,0.00490125
1_0,0.44483706,0.01173
1_0,0.6885441,0.0051075
1_0,0.08935679,0.00534875
1_0,0.92908174,0.0026175
1_0,0.025303608,0.00171625
1_0,0.1446305,0.00551375
1_0,0.5039057,0.00426625
1_0,0.44109166,0.01159625
1_0,0.98677814,0.00484875
1_0,0.09123525,0.00529
1_0,0.74439216,0.0069275
1_0,0.20030287,0.0039275
1_0,0.6880279,0.00505375
1_0,0.45570928,0.0037925
1_0,0.14344987,0.01075125
1_0,0.12540987,0.0075925
1_0,0.060476597,0.00358625
1_0,0.11738774,0.0071825
1_0,0.0007924747,0.00516625
1_0,0.120125085,0.00145
1_0,0.069496945,0.0360875
1_0,0.0028323194,0.01471125
1_0,0.57837987,0.02007
1_0,0.13692357,0.04122375
1_0,0.71852344,0.0092375
1_0,0.01768873,0.00200125
1_0,0.040627375,0.2096825
1_0,0.8062852,0.00598
1_0,0.025815668,0.00170875
1_0,0.70048803,0.00575875
1_0,0.08985339,0.0372
1_0,0.6663209,0.15691376
1_0,0.16457817,0.00529
1_0,0.20290218,0.01156
1_0,0.108453676,0.0014775
1_4,0.08432138,0.00531125
1_4,0.09165905,0.00630125
1_4,0.29369006,0.005785
1_4,0.01268653,0.00829875
1_4,0.11113181,0.001445
1_4,0.1488026,0.002795
1_7,0.05298354,0.00467625
1_8,0.026161665,0.15887874
1_8,0.70348823,0.04271125
1_8,0.31008828,0.04664
1_8,0.05394939,0.0046075
1_8,0.42889273,0.00944625
1_8,0.97132605,0.0272
1_8,0.8365063,0.005175
1_8,0.6457425,0.00201625
1_8,0.42889273,0.00944625
1_11,0.9243966,0.02439
1_11,0.053216297,0.00405375
1_11,0.6765733,0.0376
1_11,0.28126815,0.00901
1_11,0.706461,0.0038975
1_11,0.13530466,0.00591875
1_11,0.6281207,0.0049075
1_11,0.006406543,0.002165
1_11,0.5242043,0.0062775
1_11,0.017868768,0.00156375
1_11,0.16242395,0.00470125
1_11,0.060663402,0.00857875
1_11,0.00040334708,0.00570625
1_11,0.50044894,0.0089675
1_11,0.075896606,0.0068175
1_11,0.5427922,0.00190875
1_11,0.10490257,0.003035
1_11,0.56706005,0.005455
1_11,0.7147406,0.004085
1_11,0.13137086,0.01674375
1_11,0.03401975,0.07682375
1_11,0.53072065,0.01247125
1_11,0.0038350609,0.01223875
1_11,0.5634254,0.0192225
1_11,0.69837683,0.0046625
1_11,0.81000257,0.0028225
1_11,0.8437611,0.01186
1_11,0.1863274,0.00825375
1_11,0.11158686,0.01313375
1_11,0.18396133,0.003915
1_11,0.9464811,0.00622625
1_11,0.072391324,0.01272875
1_11,0.035273377,0.00650625
1_11,0.92661977,0.031165
1_11,0.05393258,0.01265625
1_11,0.05214028,0.0040725
1_11,0.9991722,0.03644
1_11,0.012647739,0.27482125
1_11,0.7191506,0.0037375
1_11,0.9757867,0.02999875
1_11,0.077361524,0.0092325
1_11,0.2923502,0.003375
