chrom,pos,size,vclass,tier,region,gene,symbol,protein_name,themes,best_axis,best_nlp,n_axes,MAF,snp_cosig_2kb,block_gene_mismatch
Chr5,3541060,1,smallindel,2_UTR,3'UTR,AT5G11110,SPS2,Probable sucrose-phosphate synthase 2 (EC 2.4.1.14) (Protein KAONASHI 2) (Sucrose-phosphate synthase 2F) (AtSPS2F) (Sucrose-phosphate synthase 5.2) (AtSPS5.2) (UDP-glucose-fructose-phosphate glucosyltransferase),circadian_light,bio15,7.444246730573994,1,0.08697340705178,False,False
Chr4,18053093,2,smallindel,3_promoter,promoter,AT4G38620,MYB4,Transcription repressor MYB4 (Myb-related protein 4) (AtMYB4),circadian_light,bio15,8.625781410856563,1,0.0867782397703691,False,False
Chr1,30202380,6,smallindel,3_promoter,promoter,AT1G80340,GA3OX2,Gibberellin 3-beta-dioxygenase 2 (EC 1.14.11.15) (GA 3-oxidase 2) (AtGA3ox2) (Gibberellin 3 beta-hydroxylase 2) (Protein GA4 homolog),circadian_light,bio15,7.949821855154691,1,0.06485454602675,False,False
Chr3,22372969,1,smallindel,3_promoter,promoter,AT3G60530,GATA4,GATA transcription factor 4 (AtGATA-4),circadian_light,bio10,7.758938607747778,1,0.1721739335493608,True,False
Chr3,6882385,1,smallindel,3_promoter,promoter,AT3G19820,DIM,Delta(24)-sterol reductase (EC 1.3.1.72) (Cell elongation protein DIMINUTO) (Cell elongation protein Dwarf1) (Protein CABBAGE1) (Protein ENHANCED VERY-LOW-FLUENCE RESPONSE 1),circadian_light,pc1,7.717870452900874,1,0.0861365632577376,True,False
Chr5,18697015,428,sv,3_promoter,promoter,AT5G46110,TPT,"Triose phosphate/phosphate translocator TPT, chloroplastic (Protein ACCLIMATION OF PHOTOSYNTHESIS TO ENVIRONMENT 2)",circadian_light,bio1,7.502321958834127,2,0.0819252891974015,False,False
Chr5,2623325,3,smallindel,3_promoter,promoter,AT5G08150,SOB5,Protein SUPPRESSOR OF PHYTOCHROME B 5 (AtSOB5),circadian_light,bio15,7.313259132348231,1,0.0644243359565734,False,False
Chr2,11523156,105,sv,3_promoter,promoter,AT2G26990,CSN2,COP9 signalosome complex subunit 2 (Signalosome subunit 2) (Protein FUSCA 12),circadian_light,bio15,6.093059771299998,1,0.0664868734099648,True,False
Chr5,418936,1,smallindel,3_promoter,promoter,AT5G02120,OHP1,"Light-harvesting complex-like protein OHP1, chloroplastic (High-light-induced protein) (AtHLIP) (One helix protein) (One helix protein 1) (Protein LIGHT-HARVESTING LIKE 2) (Protein PIGMENT DEFECTIVE 335)","circadian_light,climate_temp,flowering",bio15,7.826053144934984,1,0.3596710508519953,False,True
Chr1,29952635,8,smallindel,2_UTR,5'UTR,AT1G79600,ABC1K3,"Protein ACTIVITY OF BC1 COMPLEX KINASE 3, chloroplastic (ABC1-LIKE KINASE 3) (EC 2.7.-.-) (EC 2.7.11.1) (Protein REPRESSOR OF BDR1)","circadian_light,climate_temp,stress",bio15,7.632594898918333,1,0.0584455836902965,False,False
Chr1,28793212,136,sv,3_promoter,promoter,AT1G76710,ASHH1,Histone-lysine N-methyltransferase ASHH1 (EC 2.1.1.354) (ASH1 homolog 1) (Protein SET DOMAIN GROUP 26),"circadian_light,flowering",bio15,6.260678135173247,1,0.0508649511770768,True,False
Chr1,19161504,1,smallindel,2_UTR,5'UTR,AT1G51680,4CL1,4-coumarate--CoA ligase 1 (4CL 1) (EC 6.2.1.12) ((E)-ferulate--CoA ligase) (EC 6.2.1.34) (4-coumarate--CoA ligase isoform 1) (At4CL1) (4-coumaroyl-CoA synthase 1),"circadian_light,stress",bio15,7.994601000161407,1,0.096623420715332,False,False
Chr3,6812539,3,smallindel,1_CDS,CDS,AT3G19610,CORD6,Protein CORTICAL MICROTUBULE DISORDERING 6 (AtCORD6),climate_temp,bio15,10.99753919378512,1,0.0687237869609486,False,False
Chr4,7319259,4566,sv,1_CDS,CDS,AT4G12330,CYP706A7,"Flavonoid 3, 5-hydroxylase like protein",climate_temp,bio10,7.930239190113226,2,0.0554990605874495,False,False
Chr4,7414767,15,smallindel,1_CDS,CDS,AT4G12500,AT4G12500,pEARLI1-like lipid transfer protein 3,climate_temp,bio15,7.529246296652231,1,0.3294431079517711,False,False
Chr2,11523547,2779,sv,1_CDS,CDS,AT2G27000,CYP705A8,Putative cytochrome P450,climate_temp,bio3,6.638964968388243,1,0.2901591170917857,True,False
Chr5,5839507,2,smallindel,2_UTR,3'UTR,AT5G17710,EMB1241,Co-chaperone GrpE family protein,climate_temp,bio15,11.93269005682059,7,0.0841364427046342,False,False
Chr1,4305681,1,smallindel,2_UTR,5'UTR,AT1G12640,LPCAT1,Lysophospholipid acyltransferase 1 (AtLPLAT1) (EC 2.3.1.-) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.n7) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (Lysophosphatidylcholine acyltransferase 1) (LPCAT1) (Lysophosphatidylethanolamine acyltransferase) (LPEAT) (Lysophosphatidylglycerol acyltransferase) (LPGAT) (Lysophosphatidylserine acyltransferase) (LPSAT),climate_temp,bio8,8.354338733162301,1,0.2328228733756325,False,False
Chr1,3369042,3,smallindel,2_UTR,5'UTR,AT1G10280,AT1G10280,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein",climate_temp,bio3,7.876517302605988,2,0.3241608793085272,True,False
Chr3,5358540,1,smallindel,2_UTR,5'UTR,AT3G15840,PIFI,"Protein POST-ILLUMINATION CHLOROPHYLL FLUORESCENCE INCREASE, chloroplastic",climate_temp,bio10,7.676788463172187,1,0.2057169133966619,False,False
Chr5,22929643,2,smallindel,2_UTR,5'UTR,AT5G56640,MIOX5,Inositol oxygenase 5 (EC 1.13.99.1) (Myo-inositol oxygenase 5) (AtMIOX5) (MI oxygenase 5),climate_temp,bio15,7.493805202460145,1,0.0536719452251087,False,False
Chr3,10366535,1,smallindel,2_UTR,3'UTR,AT3G27925,DEGP1,"Protease Do-like 1, chloroplastic (EC 3.4.21.-) (Protein DEGRADATION OF PERIPLASMIC PROTEINS 1) (DEGP PROTEASE 1)",climate_temp,bio17,7.455083903656916,1,0.2132790955630215,False,False
Chr3,2019662,1,smallindel,2_UTR,3'UTR,AT3G06510,SFR2,"Galactolipid galactosyltransferase SFR2, chloroplastic (EC 2.4.1.184) (Galactolipid:galactolipid galactosyltransferase) (GGGT) (Protein SENSITIVE TO FREEZING 2) (AtSFR2)",climate_temp,bio15,7.452257461381255,1,0.130303372036327,True,False
Chr4,6321638,351,sv,2_UTR,5'UTR,AT4G10130,AT4G10130,DNAJ heat shock N-terminal domain-containing protein,climate_temp,bio6,6.93825148795888,1,0.0725438649004155,False,False
Chr5,22680305,4,smallindel,3_promoter,promoter,AT5G56000,HSP90-4,Heat shock protein 90-4 (AtHSP90.4) (AtHsp90-4) (Heat shock protein 81-4) (Hsp81-4),climate_temp,bio15,9.852706198453127,1,0.054123277013952,False,False
