chrom,pos,ref_len,alt_len,sv_size,p0,beta,z_emp,p_perm
Chr1,29472366,1,207,206,0.3362025,0.23997226,4.022731,4.829465e-07
Chr2,1364859,457,1,456,0.0954525,0.3085222,3.8343792,2.8195977e-06
Chr4,7006090,340,45,295,0.25023124,0.285258,3.818106,3.2823011e-06
Chr5,13816917,201,1,200,0.18574876,0.27220136,3.806458,3.614869e-06
Chr4,7006453,1,304,303,0.16450125,0.30594543,3.7666624,5.2574655e-06
Chr5,24045494,444,304,140,0.049045,0.2878993,3.756917,5.6247363e-06
Chr4,10103520,94,1,93,0.3126575,0.20647454,3.703095,8.276604e-06
Chr3,12828686,2,98,96,0.019125,-0.16478081,-3.6890569,9.080551e-06
Chr3,12828628,1,215,214,0.019125,-0.16478081,-3.6890569,9.080551e-06
Chr5,24041795,1,5207,5206,0.026495,0.29764152,3.644614,1.257396e-05
Chr3,10384456,1,452,451,0.027905,0.30757737,3.6382937,1.3201501e-05
Chr5,24045962,1,473,472,0.0277725,0.30277938,3.6380987,1.3227528e-05
Chr1,28473580,1,156,155,0.0220675,0.3051132,3.636872,1.3337421e-05
Chr5,17986410,444,1,443,0.04288125,0.25686023,3.635153,1.3484907e-05
Chr5,17987117,1,118,117,0.04288125,0.25686023,3.635153,1.3484907e-05
Chr2,13672170,1,65,64,0.2910825,-0.16239107,-3.622332,1.4653233e-05
Chr5,17985699,578,1,577,0.04546625,0.25184694,3.614095,1.553526e-05
Chr3,16939222,1,346,345,0.0220275,-0.19671682,-3.60909,1.6096288e-05
Chr1,22604484,142,3,139,0.18553124,0.2607427,3.6088219,1.6102073e-05
Chr5,10258681,1,553,552,0.031665,0.12800945,3.6061575,1.6397045e-05
Chr1,22809455,24,1147,1123,0.0284875,0.22457421,3.5885854,1.8609346e-05
Chr4,12157435,1,106,105,0.2011075,-0.20330125,-3.571176,2.1492566e-05
Chr3,10222518,1245,562,683,0.07573125,-0.23623447,-3.564341,2.247581e-05
Chr1,6173303,185,1,184,0.34039125,-0.14562131,-3.5592766,2.3302891e-05
Chr4,11390414,529,8365,7836,0.01582375,0.2441926,3.5409572,2.6544705e-05
Chr4,11364139,19,438,419,0.01582375,0.2441926,3.5409572,2.6544705e-05
Chr4,6020217,104,1,103,0.893995,0.27842885,3.5342655,2.775641e-05
Chr4,6021052,138,1,137,0.893995,0.27842885,3.5342655,2.775641e-05
Chr4,6020730,129,1,128,0.893995,0.27842885,3.5342655,2.775641e-05
Chr4,8279304,1,597,596,0.0272225,-0.16065657,-3.526694,2.9187899e-05
Chr5,15302550,1,100,99,0.1280175,0.2789044,3.5097601,3.2478874e-05
Chr5,8311961,3989,1739,2250,0.0482475,-0.24820985,-3.508662,3.26842e-05
Chr5,8280719,1003,1,1002,0.3816075,0.19351454,3.507647,3.288085e-05
Chr1,12892285,57,1,56,0.196715,0.27991632,3.498018,3.486469e-05
Chr1,25120306,660,1949,1289,0.00662875,-0.16303307,-3.4956856,3.5260877e-05
Chr1,4573343,2691,1,2690,0.0990775,-0.2886745,-3.4913437,3.6128447e-05
Chr5,14648592,886,1220,334,0.08376125,-0.1982435,-3.4747624,4.0151073e-05
Chr4,7169797,300,1,299,0.5180625,-0.14447832,-3.4595213,4.4410834e-05
Chr3,14289361,1,122,121,0.01337125,-0.13638422,-3.4589183,4.4566998e-05
Chr1,19763050,1,1666,1665,0.010865,0.1479415,3.4535038,4.6010053e-05
Chr4,11638552,1,200,199,0.03228625,0.21411778,3.4495156,4.717838e-05
Chr5,26563453,1,263,262,0.05100375,-0.2601669,-3.448811,4.7386595e-05
Chr2,2145169,1,84,83,0.08035875,0.3282681,3.442686,4.9159327e-05
Chr5,17577140,272,1,271,0.02306625,0.27190647,3.4425867,4.9196922e-05
Chr1,22592596,707,1,706,0.23553374,0.19514619,3.4358563,5.1296436e-05
Chr5,7196416,1,57,56,0.012175,-0.11473842,-3.4358351,5.129933e-05
Chr1,5520736,7319,338,6981,0.04119125,0.28954604,3.4325225,5.225944e-05
Chr5,19200388,52,105,53,0.0290625,-0.16365916,-3.4321163,5.2363546e-05
Chr1,25445702,1,290,289,0.6358625,-0.28484818,-3.4315927,5.2565978e-05
Chr1,22795804,2,1909,1907,0.02511875,0.1443492,3.428337,5.3566575e-05
Chr3,6367728,108,1,107,0.09159,0.26093885,3.4269655,5.4052412e-05
Chr3,6365763,584,1,583,0.09159,0.26093885,3.4269655,5.4052412e-05
Chr3,6366744,67,1,66,0.09159,0.26093885,3.4269655,5.4052412e-05
Chr3,6366898,233,6,227,0.09159,0.26093885,3.4269655,5.4052412e-05
Chr5,19412077,47015,22248,24767,0.01281625,0.17904815,3.423193,5.543474e-05
Chr4,7639371,1077,1,1076,0.49518126,-0.12727247,-3.4198027,5.66609e-05
Chr4,18323333,1,434,433,0.023835,0.24334009,3.4156766,5.8190715e-05
Chr2,4978566,1,69,68,0.4952625,0.17265475,3.4149256,5.8453876e-05
Chr3,18600177,1,695,694,0.0285575,0.12836827,3.4082003,6.10508e-05
Chr1,8205583,34,245,211,0.036685,0.2856443,3.4074059,6.132264e-05
Chr5,16503236,1,823,822,0.011815,0.20849302,3.4068394,6.157134e-05
Chr1,29319244,1466,1,1465,0.511865,0.18971281,3.4060884,6.191837e-05
Chr3,21436063,1,265,264,0.014695,0.14120945,3.4010015,6.406415e-05
Chr4,15467237,81,1,80,0.130675,0.31443712,3.3986645,6.494329e-05
Chr4,15466381,68,1,67,0.130675,0.31443712,3.3986645,6.494329e-05
Chr4,11764293,620,4,616,0.5774037,-0.21208175,-3.3962977,6.5894725e-05
Chr3,19605626,1,576,575,0.0344825,0.24145447,3.3954573,6.62244e-05
Chr4,11765073,226,1,225,0.592755,-0.21562725,-3.3903625,6.8309455e-05
Chr5,10220494,1,59,58,0.3333575,0.22881578,3.3892775,6.869986e-05
Chr4,15467671,63,1,62,0.13163374,0.31887692,3.3892136,6.873167e-05
Chr2,5647666,674,1,673,0.37203124,0.18732788,3.3842578,7.0628754e-05
Chr4,12214470,1,53,52,0.28773,0.25307074,3.3825626,7.142403e-05
Chr5,17556884,1,110,109,0.02099125,0.27198756,3.3765595,7.43593e-05
Chr5,21923703,1,85,84,0.15420625,0.17656733,3.3752828,7.491165e-05
Chr2,15316665,1,138,137,0.381395,0.15440735,3.3747518,7.509095e-05
Chr5,19205686,103,3,100,0.01722625,0.20387381,3.3734174,7.569825e-05
Chr1,6966050,1,165,164,0.07839,-0.23446473,-3.369358,7.751147e-05
