block,chrom,mid_pos,SNPs,Z,Z_pVal,top_candidate_p,dir,n_up,n_dn,gene,gene_name,flower_locus
5_918,Chr5,13181678.0,789,8.216774982587767,0.0,6.192552238133971e-155,up-in-warm,410,379,,,
2_729,Chr2,6685325.0,865,8.394629454816219,0.0,8.385795001339275e-79,down-in-warm,448,417,AT2G15260,AT2G15260,
5_775,Chr5,9181108.0,692,8.597026715697014,0.0,1.1934586908080043e-75,up-in-warm,388,304,,,
5_891,Chr5,10645208.0,585,11.157732925904348,7.042255667499831e-12,1.329356164732835e-94,up-in-warm,291,294,,,
1_2134,Chr1,14232768.0,537,9.686664009700712,5.608898851039434e-06,8.194736943494921e-132,up-in-warm,283,254,AT1G37010,AT1G37010,
3_1389,Chr3,11087581.0,431,13.282536888258974,8.111597603832621e-06,6.130222776670863e-53,down-in-warm,204,227,,,
5_1096,Chr5,15320037.0,8,7.489132973829868,1.3103978158790495e-05,5.461196500000024e-09,down-in-warm,1,7,AT5G38320,AT5G38320,
3_1882,Chr3,16296198.0,479,11.285280353984469,2.7734334682283368e-05,6.637377295836992e-93,down-in-warm,247,232,AT3G44750,AT3G44750,
5_742,Chr5,8730160.0,15,7.363131026143886,5.250655711508401e-05,0.0004158027018755,down-in-warm,6,9,,,
5_602,Chr5,7541169.0,513,9.696065700763754,5.86431060486392e-05,3.2092034904433504e-61,down-in-warm,277,236,AT5G22550,AT5G22550,
1_100,Chr1,550228.0,42,8.549458717107333,6.253756282681433e-05,3.2184137998363965e-13,up-in-warm,23,19,AT1G02580,AT1G02580,
5_923,Chr5,13573327.0,558,7.47530252763328,0.000111014217663,4.593760114554039e-62,down-in-warm,284,274,,,
1_417,Chr1,3500882.0,61,8.701414037871167,0.0002797539853368,1.9893315514481522e-23,up-in-warm,37,24,AT1G10560,AT1G10560,
4_955,Chr4,7863626.0,10,6.359623482227814,0.0003885822156635,2.001276156940847e-06,up-in-warm,10,0,AT4G13520,AT4G13520,
2_591,Chr2,3020890.0,590,5.357631938136895,0.0003922875138534,1.0696057086897193e-83,up-in-warm,351,239,AT2G07560,AT2G07560,
1_4385,Chr1,24872402.0,14,6.430425926505011,0.0005155932066238,9.238553999224518e-06,up-in-warm,5,9,AT1G66690,AT1G66690,
3_358,Chr3,3358191.0,5,5.865415110263299,0.0007293082007724,9.850600000000027e-06,up-in-warm,3,2,AT3G10750,AT3G10750,
3_1194,Chr3,10245155.0,158,11.097162852880007,0.000794477908199,1.3639397230261164e-54,down-in-warm,71,87,AT3G27710,AT3G27710,
3_346,Chr3,3318458.0,4,5.663538737627115,0.0010529718290318,3.97000000000001e-06,down-in-warm,0,4,AT3G10600,AT3G10600,
5_1074,Chr5,15282240.5,4,5.493361273695893,0.0015580424797765,0.00059203,up-in-warm,2,2,AT5G38250,AT5G38250,
5_736,Chr5,8713312.0,12,5.845726465083832,0.0016019163344029,7.469708281709199e-08,down-in-warm,6,6,,,
4_2826,Chr4,16629159.0,19,6.151513618989766,0.0016183707825075,8.439591779845457e-14,up-in-warm,15,4,AT4G34770,AT4G34770,
1_3836,Chr1,23277432.0,24,6.269721449278972,0.0019901012002708,3.626850557136325e-06,down-in-warm,9,15,AT1G62863,AT1G62863,
5_1965,Chr5,17868461.0,15,5.870375141549824,0.0020277219898726,2.762180740947366e-07,down-in-warm,7,8,AT5G44350,AT5G44350,
3_1930,Chr3,16401736.0,22,6.103941741776199,0.0023495859845995,6.502481877192564e-08,down-in-warm,10,12,AT3G44930,AT3G44930,
1_4301,Chr1,24558703.0,4,5.28670004999382,0.0024636204778765,3.97000000000001e-06,down-in-warm,1,3,AT1G65960,AT1G65960,
1_2892,Chr1,21185432.0,38,6.726177751898834,0.0025466939042012,3.661674995075782e-12,down-in-warm,22,16,AT1G56540,AT1G56540,
3_1351,Chr3,10762557.0,61,7.580220620285866,0.0026668586203559,4.1982123927540315e-14,down-in-warm,35,26,AT3G28700,AT3G28700,
1_3910,Chr1,23486228.0,28,6.2828227441291045,0.0027294079641201,2.6003167883468493e-10,down-in-warm,16,12,AT1G63300,AT1G63300,
