model,cls,axis,n_blocks,chrom,pos,SNPs,z,z_nominal,z_honest_perm,z_honest_emp,clears_perm,clears_emp
binomial,snp,bio11,56846,Chr4,11894713.409090908,22,5.776652575411085,4.779291636472057,6.477023275768772,5.703094313481042,False,True
binomial,snp,bio6,56846,Chr4,11894713.409090908,22,6.188690185269169,4.779291636472057,6.477023275768772,6.024897081757059,False,True
binomial,snp,bio9,56846,Chr4,11894713.409090908,22,6.09359971625164,4.779291636472057,6.477023275768772,5.9616366770386255,False,True
binomial,sv,bio1,4520,Chr3,8933107.57142857,7,5.79242473077227,4.242301762633215,5.240899410710076,8.928326002709499,True,False
binomial,sv,bio5,4520,Chr3,8933107.57142857,7,6.079943716068373,4.242301762633215,5.240899410710076,7.67695022840701,True,False
kendall,nonsnp,bio16,41908,Chr1,19574457.884615384,52,6.7789159676001045,4.71762147723684,6.624461829627677,7.699796491261157,True,False
kendall,nonsnp,bio2,41908,Chr5,23193160.818181816,11,6.999642232067162,4.71762147723684,6.624461829627677,7.953628564373891,True,False
kendall,smallindel,bio16,41731,Chr1,19574457.884615384,52,6.660183623784552,4.716760060233092,6.465106948736625,7.741148022674573,True,False
kendall,smallindel,bio2,41731,Chr5,23193160.818181816,11,7.030246880928605,4.716760060233092,6.465106948736625,8.015018682739997,True,False
kendall,snp,bio11,56846,Chr4,12156277.53611557,623,6.990941168977382,4.779291636472057,6.477023275768772,6.784305318336838,True,True
kendall,snp,bio1,56846,Chr4,12156277.53611557,623,6.267707577784102,4.779291636472057,6.477023275768772,6.091113971453248,False,True
kendall,snp,bio2,56846,Chr1,26461344.55,20,7.097260826489056,4.779291636472057,6.477023275768772,7.98206784820624,True,False
kendall,snp,bio2,56846,Chr5,23192941.307692308,26,6.9121665209891745,4.779291636472057,6.477023275768772,7.98206784820624,True,False
kendall,sv,bio13,4520,Chr1,16152781.666666666,3,5.509125466482983,4.242301762633215,5.240899410710076,8.794971745216845,True,False
lfmm,nonsnp,bio17,41908,Chr1,25772742.285714287,7,6.811379694393975,4.71762147723684,6.624461829627677,7.7724690426873835,True,False
lfmm,smallindel,bio17,41731,Chr1,25772742.285714287,7,6.87711265654299,4.716760060233092,6.465106948736625,7.843403445160391,True,False
lfmm,snp,bio10,56846,Chr5,7658450.017241379,58,6.82707030521726,4.779291636472057,6.477023275768772,8.169575732629454,True,False
lfmm,snp,bio11,56846,Chr4,12156277.53611557,623,6.775280498787643,4.779291636472057,6.477023275768772,6.915964772344767,True,False
lfmm,snp,bio17,56846,Chr1,25773102.0,15,6.600543003700107,4.779291636472057,6.477023275768772,6.986681585961293,True,False
