block,stat,MAF
1_0,0.03678887,0.0069925
1_0,0.016791841,0.01301
1_0,0.34628692,0.07780625
1_0,0.61681634,0.00383
1_0,0.05448779,0.00058625
1_0,0.20261203,0.00649375
1_0,0.028279163,0.00604625
1_0,5.598998e-05,0.00527375
1_0,0.535795,0.00092
1_0,0.1602805,0.00979875
1_0,0.0062884204,0.01764
1_0,0.9312868,0.010405
1_0,0.4366969,0.0077875
1_0,0.15488763,0.00499125
1_0,9.125086e-05,0.0065175
1_0,0.0400481,0.00203375
1_0,0.036379337,0.00178875
1_0,0.5348185,0.00091
1_0,5.3578144e-05,0.0052125
1_0,0.4391622,0.00769125
1_0,0.92435235,0.01028375
1_0,9.158343e-05,0.00644125
1_0,0.1014587,0.0081725
1_0,0.00016618565,0.00925125
1_0,0.1788304,0.0
1_0,0.29186076,0.002395
1_0,0.0015815948,0.01239625
1_0,0.10650208,0.0088925
1_0,0.11268233,0.003045
1_0,0.30880576,0.0072875
1_0,0.04706254,0.0020275
1_0,0.055575352,0.00057875
1_0,0.7238485,0.05027875
1_0,0.0070218253,0.01147125
1_0,0.9335953,0.02424625
1_0,0.25158063,0.04438625
1_0,0.07084815,0.0063225
1_0,0.005891039,0.00400125
1_0,0.047200702,0.2090325
1_0,0.556383,0.0099275
1_0,0.033003718,0.00177375
1_0,0.00046648583,0.0008475
1_0,0.0019686865,0.02167875
1_0,0.011944175,0.170545
1_0,0.0008514318,0.0041375
1_0,0.048079807,0.003625
1_0,0.055991855,0.0005875
1_4,0.1190166,0.00368875
1_4,0.62916064,0.00344
1_4,0.002362557,0.00771625
1_4,0.033232644,0.0
1_4,0.056979835,0.0005725
1_4,0.9842206,0.0009025
1_7,0.0308203,0.0005375
1_8,0.029137619,0.12449875
1_8,0.5576986,0.04590125
1_8,0.90608054,0.0415125
1_8,0.031477515,0.00053625
1_8,0.40528166,0.01465875
1_8,0.5324712,0.0395375
1_8,0.5101365,0.0031125
1_8,0.14531176,0.00245125
1_8,0.40528166,0.01465875
1_11,0.9306675,0.04216125
1_11,0.032211486,0.000475
1_11,0.5442761,0.04052
1_11,0.07510097,0.0086175
1_11,0.9833133,0.00695875
1_11,0.33040237,0.0009725
1_11,0.56628823,0.0029575
1_11,0.0067670695,0.0043375
1_11,0.0024622376,0.008375
1_11,0.033886556,0.0006225
1_11,0.103514396,0.00396875
1_11,0.10994539,0.0
1_11,0.0032111113,0.005525
1_11,0.40687323,0.00664625
1_11,0.079096735,0.013945
1_11,0.16814631,0.00232625
1_11,0.8292257,0.00098
1_11,0.14071067,0.00530875
1_11,0.23304586,0.002575
1_11,0.0012417942,0.01594875
1_11,0.00044975043,0.0836875
1_11,0.42313132,0.008255
1_11,0.00082289166,0.010185
1_11,0.11367059,0.027875
1_11,0.00015880553,0.00568375
1_11,0.02621097,0.00218625
1_11,0.007052572,0.01046875
1_11,0.0018625482,0.0
1_11,0.11298087,0.0177775
1_11,0.07824045,0.0138725
1_11,0.00040540032,0.00091875
1_11,0.06295704,0.010715
1_11,0.006819728,0.0066525
1_11,0.93355775,0.0447975
1_11,0.011638536,0.00751875
1_11,0.032201834,0.000475
1_11,0.89357066,0.0512375
1_11,0.00080665655,0.292285
