blockdef,model,cls,maxN,support_to,n_past_support,target,empirical_tail,deg2_clamp,deg5_clamp,deg7_clamp,deg10_clamp,deg15_clamp,deg20_clamp,deg2,deg7,isotonic_auto,const,interp,neg_deg2_clamp,neg_deg5_clamp,neg_deg7_clamp,neg_deg10_clamp,neg_deg15_clamp,neg_deg20_clamp,neg_deg2,neg_deg7,isotonic,neg_isotonic
clq0.9 tile,kendall,snp,20365,3171,10,mean,-10.525303104416587,-8.54432477540569,-6.217240079785312,-5.621853599717911,-5.467015304935953,-5.470667450838317,-5.470837390432907,-289.2540924066201,-915735808.8878479,-5.470832842298462,-0.17562227976785014,-5.470832842298462,,,,,,,,,,
clq0.9 tile,kendall,snp,20365,3171,10,sd,,-25.677790505594253,16.52598593570913,12.134113149633237,11.62073799168188,11.67318399555878,11.673226640474358,-3844.576673362154,2142615857.8152394,,,,18.0,0.0,0.0,0.0,3.0,0.0,18.0,0.0,11.992031431741474,0.0
clq0.9 tile,kendall,sv,318,62,8,mean,-2.2423382408205406,-0.5582961991820168,-0.3461507392539836,-0.7132567843087668,-0.6768085146479115,-0.6717344309702191,-0.6717445834029888,-13.947492329175901,20786804.13331386,-0.6717339712305036,-0.09188801634938887,-0.6717339712305036,,,,,,,,,,
clq0.9 tile,kendall,sv,318,62,8,sd,,1.9338668682657896,1.8791936090426051,2.0237654907682856,1.9885336468385328,1.9853209120228459,1.9853114221836456,-13.293575011405185,4379926.5533562,,,,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,1.9853115337464868,0.0
clq0.9 tile,kendall,smallindel,3309,719,14,mean,-5.784784907282549,0.2865211064846342,-2.2749165913510216,-0.6560141447987151,-1.035278122107215,-1.0754882186431427,-1.0765310969803026,16.286314334448903,19344503.370089993,-1.0763021924538512,-0.13713326255192793,-1.0763021924538512,,,,,,,,,,
clq0.9 tile,kendall,smallindel,3309,719,14,sd,,-2.944140295661046,9.005445281012216,8.101981396230258,7.6058381412162595,7.704545712365516,7.702780126583997,-613.0298509590903,80792041.37153928,,,,15.0,0.0,0.0,0.0,1.0,1.0,15.0,0.0,7.702789621285964,0.0
clq0.9 tile,kendall,nonsnp,3613,773,14,mean,-5.828780905998562,0.001855772843733311,-2.5759542849458263,-1.1264881831141391,-1.4087169132885107,-1.4503514562678264,-1.4515588574595808,10.079080553902465,11052251.615173278,-1.4513894616452836,-0.14328277007934956,-1.4513894616452836,,,,,,,,,,
clq0.9 tile,kendall,nonsnp,3613,773,14,sd,,-4.005463437064063,8.956599703448004,7.9853858494706405,7.517006383142459,7.604051280686843,7.60301245850423,-675.771505771591,89523824.62868765,,,,15.0,0.0,0.0,0.0,1.0,1.0,15.0,0.0,7.602995588963058,0.0
clq0.9 tile,lfmm,snp,20365,3171,10,mean,3.8249782308300646,2.5951716789879207,2.0860573406069434,1.8056643743790013,1.7757645119548437,1.7723515102102396,1.7725963067287618,28.26833195247529,-47187627.1668824,1.9076425046484367,-0.008417717864553012,1.772556883151097,,,,,,,,,,
clq0.9 tile,lfmm,snp,20365,3171,10,sd,,-19.963958263032207,19.19580146437257,13.59905205222428,13.150576047757426,13.227377684403088,13.227378309338679,-3651.5321432219707,2275747355.051387,,,,14.0,0.0,0.0,0.0,3.0,0.0,14.0,0.0,14.47730661171985,0.0
clq0.9 tile,lfmm,sv,318,62,8,mean,0.5201982238366014,0.5501821611377337,0.2699807153420858,0.06382575212148077,0.08334172184848077,0.0813011075772504,0.08129786992223334,-2.796385775408271,5937741.031422496,0.39626275243754533,-0.023813868927998014,0.08129709269249266,,,,,,,,,,
clq0.9 tile,lfmm,sv,318,62,8,sd,,2.5841677332041195,1.941262459308619,1.9316062304275925,1.9721448154305123,1.9749719251551578,1.9749428203054182,-4.402950549835,-32453981.84213519,,,,0.0,0.0,0.0,0.0,3.0,6.0,2.0,7.0,2.1682648052193683,0.0
clq0.9 tile,lfmm,smallindel,3309,719,14,mean,-0.2973139567566764,-1.4884006205370375,0.11920243555935088,0.5014491070890913,0.22937681820898456,0.2019525771998995,0.20076002492383133,-64.30581083485681,67918569.23331513,0.5179874999213494,0.0025054870866265955,0.2010916707499,,,,,,,,,,
clq0.9 tile,lfmm,smallindel,3309,719,14,sd,,-0.03430863078762347,10.276438313985624,9.933286533452769,8.993354381490892,9.08884300824079,9.08384944814781,-535.7294935442584,110796340.57157159,,,,14.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,9.105735317164813,0.0
clq0.9 tile,lfmm,nonsnp,3613,773,14,mean,-0.1686150445832006,-0.9056412965626418,-0.20733893052831442,0.9529422079008588,0.44725205229560705,0.41600659188988487,0.41457998816927777,-50.903019004249636,86113060.07017434,0.7420881437926471,0.00013443660798350294,0.4147701981567878,,,,,,,,,,
clq0.9 tile,lfmm,nonsnp,3613,773,14,sd,,-0.7609439970406557,10.370881049060742,10.078779700270069,9.089659414950102,9.161478809820775,9.157671099653921,-590.8086245070645,139575713.8685144,,,,14.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,9.166525002293962,0.0
clq0.9 tile,binomial,snp,20365,3171,10,mean,0.9806988278236952,8.242961270326182,2.3351947074976627,2.957084877495232,3.100749453764098,3.119644151210255,3.1195789580064073,304.0869247153106,-900327573.9142488,-0.18799663208657458,-0.17091702096437394,3.1195805371911938,,,,,,,,,,
clq0.9 tile,binomial,snp,20365,3171,10,sd,,-25.654398716759474,16.9831144936846,13.136253988415211,12.619502886179076,12.686528806987294,12.686409477824034,-3856.9018827047985,2243267114.2802677,,,,18.0,0.0,0.0,0.0,3.0,0.0,18.0,0.0,12.686410878062297,0.0
clq0.9 tile,binomial,sv,318,62,8,mean,0.798713812057556,0.8100765686525009,0.39054958071351337,0.12035048885181161,0.15277956410503013,0.1610081745653277,0.16100270032281397,0.8213335420805452,-9176255.31325911,0.531145281996223,-0.07383472526322847,0.1610050178381335,,,,,,,,,,
