A	B	nA	nB	nU	nI	jaccard
100282	100300	28705314	29309918	34892743	23122489	0.662673
100282	100302	28705314	29263231	34891869	23076676	0.661377
100282	100303	28705314	29494967	35019536	23180745	0.661938
100282	100304	28705314	29177429	34708857	23173886	0.667665
100282	100305	28705314	29510715	35046662	23169367	0.661101
100282	100306	28705314	29374442	35200445	22879311	0.649972
100282	100307	28705314	29123214	33943111	23885417	0.703690
100282	100309	28705314	29070457	34445092	23330679	0.677330
100282	100310	28705314	28959338	34375822	23288830	0.677477
100282	100312	28705314	29206923	34663109	23249128	0.670717
100282	100313	28705314	29053741	34770238	22988817	0.661164
100282	100320	28705314	29474561	35784715	22395160	0.625830
100282	100331	28705314	29108113	34963975	22849452	0.653514
100282	100335	28705314	28741437	36185337	21261414	0.587570
100282	100395	28705314	29063278	34585732	23182860	0.670301
100282	100516	28705314	28638475	34229061	23114728	0.675295
100282	100563	28705314	28620567	34219843	23106038	0.675223
100282	100645	28705314	29331544	34775597	23261261	0.668896
100282	100673	28705314	29085373	33787236	24003451	0.710430
100282	100677	28705314	29090209	35124612	22670911	0.645442
100282	100683	28705314	29177370	35432125	22450559	0.633622
100282	100685	28705314	29318604	35736034	22287884	0.623681
100282	100691	28705314	29198603	35469454	22434463	0.632501
100282	100692	28705314	28736303	34354956	23086661	0.672004
100282	100697	28705314	29669826	35273013	23102127	0.654952
100282	100703	28705314	29016953	35452267	22270000	0.628169
100282	100705	28705314	29111523	35416361	22400476	0.632489
100282	100707	28705314	29018556	35137784	22586086	0.642786
100282	100709	28705314	28690459	35083116	22312657	0.635994
100282	100715	28705314	29418378	36803500	21320192	0.579298
100282	100725	28705314	29406610	35381643	22730281	0.642431
100282	100727	28705314	29128483	36059747	21774050	0.603833
100282	100728	28705314	29175098	34759820	23120592	0.665153
100282	100742	28705314	29702590	35212289	23195615	0.658736
100282	100745	28705314	29019748	35074040	22651022	0.645806
100282	100751	28705314	29168633	34745625	23128322	0.665647
100282	100753	28705314	29142866	34537374	23310806	0.674944
100282	100755	28705314	29081003	34773544	23012773	0.661790
100282	100758	28705314	29124879	34522651	23307542	0.675138
100282	100759	28705314	29090454	34682859	23112909	0.666407
100282	100760	28705314	29410487	34963259	23152542	0.662196
100282	100761	28705314	28951231	35286616	22369929	0.633949
100282	100763	28705314	29283716	35062208	22926822	0.653890
100282	100764	28705314	29277283	35059261	22923336	0.653845
100282	100765	28705314	29113385	34661709	23156990	0.668086
100282	100766	28705314	29400535	35137912	22967937	0.653651
100282	100778	28705314	29171201	36951998	20924517	0.566262
100282	100784	28705314	29266264	34820856	23150722	0.664852
100282	100787	28705314	29031144	35481427	22255031	0.627230
100282	100792	28705314	29368745	34684644	23389415	0.674345
100282	100800	28705314	28702931	34590259	22817986	0.659665
100282	100805	28705314	29195372	35209142	22691544	0.644479
100282	100838	28705314	28848865	34899643	22654536	0.649134
100282	100852	28705314	28883223	35671224	21917313	0.614426
100282	100861	28705314	29116771	35363835	22458250	0.635063
100282	100862	28705314	28928693	36317330	21316677	0.586956
100282	100891	28705314	29266191	35465977	22505528	0.634567
100282	100892	28705314	28960124	35785285	21880153	0.611429
100282	100902	28705314	29028667	36634814	21099167	0.575932
100282	100916	28705314	29209349	35566287	22348376	0.628358
100282	100954	28705314	28683732	34194172	23194874	0.678328
100282	100958	28705314	28731221	34398661	23037874	0.669732
100282	100959	28705314	28963241	34767624	22900931	0.658686
100282	100988	28705314	28508645	33811176	23402783	0.692161
100282	101003	28705314	29035155	34636252	23104217	0.667053
100282	101018	28705314	28868194	34222035	23351473	0.682352
100282	101023	28705314	28812651	35295610	22222355	0.629607
100282	101024	28705314	28597387	34613881	22688820	0.655483
100282	101025	28705314	28852980	34874753	22683541	0.650429
100282	101027	28705314	28653956	34514382	22844888	0.661895
100282	101040	28705314	29028325	34136901	23596738	0.691238
100282	101054	28705314	29104255	36279508	21530061	0.593450
100300	100302	29309918	29263231	33880244	24692905	0.728829
100300	100303	29309918	29494967	34517014	24287871	0.703649
100300	100304	29309918	29177429	34906241	23581106	0.675556
100300	100305	29309918	29510715	34140661	24679972	0.722891
100300	100306	29309918	29374442	34829794	23854566	0.684890
100300	100307	29309918	29123214	35224753	23208379	0.658866
100300	100309	29309918	29070457	35105357	23275018	0.663005
100300	100310	29309918	28959338	35000562	23268694	0.664809
100300	100312	29309918	29206923	34236925	24279916	0.709173
100300	100313	29309918	29053741	35269583	23094076	0.654787
100300	100320	29309918	29474561	36106526	22677953	0.628085
100300	100331	29309918	29108113	35655947	22762084	0.638381
100300	100335	29309918	28741437	37057203	20994152	0.566534
100300	100395	29309918	29063278	35434306	22938890	0.647364
100300	100516	29309918	28638475	35040715	22907678	0.653745
100300	100563	29309918	28620567	33823559	24106926	0.712726
100300	100645	29309918	29331544	35458041	23183421	0.653827
100300	100673	29309918	29085373	35045283	23350008	0.666281
100300	100677	29309918	29090209	35652579	22747548	0.638034
100300	100683	29309918	29177370	35465554	23021734	0.649129
100300	100685	29309918	29318604	35677041	22951481	0.643312
100300	100691	29309918	29198603	35493610	23014911	0.648424
