panel	class	maf_bin	n	median	pct_ge_08	pct_ge_05	pct_lt_02
within	small_sv	medium AC=12-46	6609	0.739341	41.685580269329705	76.77409592979271	3.2682705401724923
within	small_sv	common AC≥47	3117	0.75775	42.89380814886108	78.79371190247032	1.6041065126724416
within	small_sv	ALL	9726	0.7477495000000001	42.07279457125232	77.42134484885874	2.734937281513469
within	small_sv	AC≥12 (headline MAF ≥ 5%)	9726	0.7477495000000001	42.07279457125232	77.42134484885874	2.734937281513469
within	medium_sv	medium AC=12-46	3809	0.752893	43.213441848254135	78.99711210291414	2.8353898661065897
within	medium_sv	common AC≥47	845	0.744403	41.77514792899408	76.68639053254438	2.8402366863905324
within	medium_sv	ALL	4654	0.7508619999999999	42.952299097550494	78.57756768371293	2.8362698753760207
within	medium_sv	AC≥12 (headline MAF ≥ 5%)	4654	0.7508619999999999	42.952299097550494	78.57756768371293	2.8362698753760207
within	large_sv	medium AC=12-46	589	0.763441	41.25636672325976	81.15449915110356	1.5280135823429541
within	large_sv	common AC≥47	92	0.6804535	30.434782608695656	72.82608695652173	2.1739130434782608
within	large_sv	ALL	681	0.750806	39.794419970631424	80.02936857562408	1.6152716593245229
within	large_sv	AC≥12 (headline MAF ≥ 5%)	681	0.750806	39.794419970631424	80.02936857562408	1.6152716593245229
cross	small_sv	medium AC=12-46	6609	0.739341	41.685580269329705	76.77409592979271	3.2682705401724923
cross	small_sv	common AC≥47	3117	0.758031	42.89380814886108	78.82579403272378	1.6041065126724416
cross	small_sv	ALL	9726	0.7479855	42.07279457125232	77.43162656796217	2.734937281513469
cross	small_sv	AC≥12 (headline MAF ≥ 5%)	9726	0.7479855	42.07279457125232	77.43162656796217	2.734937281513469
cross	medium_sv	medium AC=12-46	3809	0.752893	43.213441848254135	78.99711210291414	2.8353898661065897
cross	medium_sv	common AC≥47	845	0.745485	41.77514792899408	76.68639053254438	2.8402366863905324
cross	medium_sv	ALL	4654	0.751469	42.952299097550494	78.57756768371293	2.8362698753760207
cross	medium_sv	AC≥12 (headline MAF ≥ 5%)	4654	0.751469	42.952299097550494	78.57756768371293	2.8362698753760207
cross	large_sv	medium AC=12-46	589	0.763441	41.25636672325976	81.15449915110356	1.5280135823429541
cross	large_sv	common AC≥47	92	0.6804535	29.347826086956523	72.82608695652173	2.1739130434782608
cross	large_sv	ALL	681	0.750806	39.647577092511014	80.02936857562408	1.6152716593245229
cross	large_sv	AC≥12 (headline MAF ≥ 5%)	681	0.750806	39.647577092511014	80.02936857562408	1.6152716593245229
