founder	count	weight
6911	1	0.02
9910	0	0.0
7143	0	0.0
9879	1	0.02
9506	0	0.0
9555	1	0.02
9549	1	0.02
9758	1	0.02
7347	1	0.02
10002	0	0.0
6915	1	0.02
6945	1	0.02
7000	1	0.02
7002	0	0.0
7003	1	0.02
7025	1	0.02
7092	0	0.0
7346	0	0.0
7372	1	0.02
7378	0	0.0
7127	0	0.0
9557	0	0.0
6244	0	0.0
9837	1	0.02
9416	1	0.02
8247	0	0.0
7316	1	0.02
6910	0	0.0
8214	1	0.02
6929	1	0.02
6938	1	0.02
8354	0	0.0
6963	0	0.0
8387	1	0.02
7255	1	0.02
9637	1	0.02
763	1	0.02
7323	1	0.02
768	1	0.02
9764	0	0.0
9992	0	0.0
9940	1	0.02
9759	1	0.02
5811	0	0.0
10006	1	0.02
9653	0	0.0
7411	0	0.0
8249	1	0.02
159	1	0.02
6932	1	0.02
7298	1	0.02
7063	1	0.02
7186	0	0.0
6939	1	0.02
7275	1	0.02
7288	1	0.02
7164	1	0.02
9565	0	0.0
765	1	0.02
6898	1	0.02
5784	1	0.02
9470	1	0.02
9537	1	0.02
9594	1	0.02
9542	1	0.02
9564	1	0.02
9518	1	0.02
9600	0	0.0
772	1	0.02
6150	0	0.0
9559	0	0.0
6184	1	0.02
6958	0	0.0
6979	0	0.0
766	1	0.02
8230	0	0.0
8231	0	0.0
8351	1	0.02
7217	1	0.02
9606	0	0.0
