founder	panel	cactus_em	cactus_em_filt2	hapFIRE	abs_diff_cem_vs_hf
9769	PG	0.017767	0.019039	0.012331	0.005436
9933	PG	0.017540	0.015895	0.010390	0.007150
9653	cactus	0.016801	0.011820	0.009025	0.007776
9634	PG	0.016588	0.019507	0.004971	0.011617
9507	PG	0.016123	0.018105	0.003373	0.012750
8249	cactus	0.015223	0.013474	0.010209	0.005014
9557	cactus	0.014350	0.012769	0.006230	0.008120
9758	cactus	0.013966	0.010226	0.006892	0.007074
6911	cactus	0.013661	0.002347	0.004329	0.009332
7186	cactus	0.013312	0.010271	0.008514	0.004798
9965	PG	0.012786	0.014578	0.012591	0.000195
9784	PG	0.012401	0.014195	0.009067	0.003334
6961	PG	0.012161	0.009779	0.003467	0.008694
9879	cactus	0.011943	0.003894	0.004334	0.007609
9944	PG	0.011834	0.014312	0.009217	0.002617
765	cactus	0.011739	0.008290	0.004009	0.007730
10002	cactus	0.011451	0.011301	0.006943	0.004508
9470	cactus	0.010903	0.008664	0.005038	0.005865
9966	PG	0.010394	0.012014	0.007116	0.003278
9625	PG	0.010220	0.010439	0.008666	0.001554
6184	cactus	0.010075	0.010583	0.004632	0.005443
772	cactus	0.009838	0.010488	0.006149	0.003689
10011	PG	0.009665	0.009172	0.007318	0.002347
9584	PG	0.009620	0.011831	0.007669	0.001951
7209	PG	0.009397	0.009641	0.005536	0.003861
6938	cactus	0.009341	0.007281	0.005317	0.004024
6958	cactus	0.009139	0.007344	0.005909	0.003230
6932	cactus	0.009093	0.011704	0.008480	0.000613
10014	PG	0.008997	0.009964	0.004317	0.004680
9559	cactus	0.008934	0.006022	0.005165	0.003769
5165	PG	0.008816	0.010772	0.006075	0.002741
7003	cactus	0.008645	0.005380	0.003620	0.005025
9629	PG	0.008604	0.011872	0.007314	0.001290
5811	cactus	0.008527	0.004121	0.003145	0.005382
9565	cactus	0.008523	0.005874	0.004698	0.003825
9323	PG	0.008439	0.010496	0.008321	0.000118
9857	PG	0.008429	0.009839	0.007527	0.000902
9775	PG	0.008424	0.010532	0.005132	0.003292
9749	PG	0.008276	0.003849	0.008255	0.000021
7126	PG	0.008262	0.004571	0.005329	0.002933
7002	cactus	0.008038	0.007142	0.005695	0.002343
9992	cactus	0.008016	0.006400	0.002051	0.005965
7143	cactus	0.007836	0.008319	0.004785	0.003051
9782	PG	0.007727	0.008838	0.006386	0.001341
9637	cactus	0.007321	0.004610	0.004091	0.003230
7025	cactus	0.007182	0.004921	0.004400	0.002782
6244	cactus	0.007104	0.006753	0.005027	0.002077
10006	cactus	0.007062	0.001073	0.003456	0.003606
8351	cactus	0.007058	0.006635	0.004164	0.002894
9481	PG	0.007031	0.009261	0.007513	0.000482
7323	cactus	0.006916	0.004084	0.005016	0.001900
7106	PG	0.006752	0.007662	0.007076	0.000324
7000	cactus	0.006664	0.006518	0.004310	0.002354
5768	PG	0.006599	0.008048	0.005846	0.000753
763	cactus	0.006550	0.007534	0.005289	0.001261
8214	cactus	0.006459	0.006182	0.004264	0.002195
9596	PG	0.006284	0.007499	0.006157	0.000127
7273	PG	0.006266	0.004397	0.004356	0.001910
6963	cactus	0.006146	0.004363	0.004391	0.001755
9764	cactus	0.005971	0.004728	0.001811	0.004160
9564	cactus	0.005942	0.005706	0.002848	0.003094
7217	cactus	0.005846	0.005056	0.003365	0.002481
9814	PG	0.005790	0.006668	0.004763	0.001027
9537	cactus	0.005770	0.005200	0.003687	0.002083
6945	cactus	0.005766	0.004761	0.003595	0.002171
7411	cactus	0.005707	0.005580	0.005225	0.000482
9506	cactus	0.005703	0.003849	0.003529	0.002174
8230	cactus	0.005702	0.003525	0.004375	0.001327
7008	PG	0.005313	0.007002	0.004920	0.000393
8354	cactus	0.005267	0.004493	0.003508	0.001759
7288	cactus	0.005209	0.003975	0.003350	0.001859
7164	cactus	0.005199	0.000740	0.002083	0.003116
5772	cactus	0.005099	0.001378	0.005003	0.000096
9591	PG	0.005024	0.006031	0.005580	0.000556
9978	PG	0.005019	0.002596	0.002246	0.002773
9598	PG	0.004838	0.007661	0.004716	0.000122
9779	PG	0.004836	0.005628	0.005654	0.000818
7316	cactus	0.004802	0.003933	0.003227	0.001575
7028	PG	0.004796	0.005964	0.004070	0.000726
6979	cactus	0.004692	0.003710	0.003930	0.000762
7255	cactus	0.004625	0.004569	0.005234	0.000609
9539	PG	0.004588	0.006567	0.008529	0.003941
9523	PG	0.004513	0.006135	0.006018	0.001505
7092	cactus	0.004479	0.003525	0.003557	0.000922
7067	PG	0.004438	0.005678	0.002978	0.001460
159	cactus	0.004272	0.003664	0.003859	0.000413
9427	PG	0.004250	0.006422	0.006004	0.001754
7127	cactus	0.004197	0.003771	0.004246	0.000049
9522	PG	0.004191	0.004942	0.003679	0.000512
9542	cactus	0.004168	0.001965	0.002101	0.002067
5784	cactus	0.004076	0.001886	0.003236	0.000840
265	PG	0.004065	0.002231	0.002875	0.001190
9594	cactus	0.003957	0.002600	0.002129	0.001828
9555	cactus	0.003902	0.002043	0.002308	0.001594
7298	cactus	0.003850	0.003678	0.003153	0.000697
9612	PG	0.003822	0.005483	0.005236	0.001414
766	cactus	0.003802	0.003375	0.004413	0.000611
9606	cactus	0.003730	0.001452	0.003165	0.000565
9813	PG	0.003721	0.004676	0.005405	0.001684
9947	cactus	0.003696	0.001803	0.002684	0.001012
6013	PG	0.003622	0.005142	0.005070	0.001448
7071	PG	0.003608	0.002408	0.003800	0.000192
6987	PG	0.003543	0.004276	0.004769	0.001226
9600	cactus	0.003537	0.000812	0.002159	0.001378
9940	cactus	0.003501	0.003999	0.001623	0.001878
9985	PG	0.003486	0.005090	0.011257	0.007771
7282	PG	0.003435	0.004424	0.006380	0.002945
6940	PG	0.003428	0.004926	0.003965	0.000537
9774	PG	0.003405	0.004127	0.005892	0.002487
768	cactus	0.003334	0.006259	0.005378	0.002044
8312	PG	0.003320	0.004261	0.004372	0.001052
9527	PG	0.003293	0.004871	0.004869	0.001576
9925	PG	0.003282	0.004529	0.003573	0.000291
7521	PG	0.003276	0.004174	0.003849	0.000573
9521	PG	0.003243	0.004288	0.004242	0.000999
7062	PG	0.003225	0.004001	0.004127	0.000902
9759	cactus	0.003211	0.001585	0.002572	0.000639
9941	PG	0.003127	0.003333	0.003135	0.000008
9643	PG	0.003089	0.004200	0.004432	0.001343
9726	PG	0.003043	0.003949	0.004466	0.001423
9803	PG	0.003038	0.003863	0.004221	0.001183
6939	cactus	0.003031	0.002992	0.002887	0.000144
6180	PG	0.003027	0.003809	0.017023	0.013996
9587	PG	0.002959	0.002968	0.004391	0.001432
7378	cactus	0.002854	0.002759	0.003326	0.000472
9510	PG	0.002779	0.004638	0.002800	0.000021
9549	cactus	0.002774	0.003065	0.001687	0.001087
8231	cactus	0.002630	0.002065	0.002536	0.000094
7346	cactus	0.002572	0.002133	0.002845	0.000273
6074	PG	0.002475	0.003910	0.003797	0.001322
8376	PG	0.002436	0.003484	0.004588	0.002152
7268	PG	0.002410	0.003197	0.003544	0.001134
9920	PG	0.002403	0.002877	0.002801	0.000398
8387	cactus	0.002401	0.003374	0.002368	0.000033
9766	PG	0.002368	0.003740	0.005803	0.003435
7347	cactus	0.002349	0.002028	0.003455	0.001106
9910	cactus	0.002304	0.002701	0.002657	0.000353
9640	PG	0.002270	0.003008	0.004721	0.002451
9619	PG	0.002256	0.003225	0.004897	0.002641
9697	PG	0.002249	0.002924	0.003385	0.001136
7296	PG	0.002197	0.003755	0.004323	0.002126
7372	cactus	0.002165	0.001533	0.002951	0.000786
9699	PG	0.002147	0.002146	0.006802	0.004655
9737	PG	0.002147	0.003803	0.003827	0.001680
9548	PG	0.002065	0.003657	0.004022	0.001957
6177	PG	0.001993	0.002713	0.003934	0.001941
9534	PG	0.001982	0.002828	0.003272	0.001290
6898	cactus	0.001969	0.001940	0.003124	0.001155
7036	PG	0.001882	0.002633	0.003131	0.001249
7384	PG	0.001877	0.002984	0.002770	0.000893
9716	PG	0.001858	0.003647	0.002155	0.000297
9698	PG	0.001833	0.003113	0.005494	0.003661
7244	PG	0.001829	0.002710	0.003757	0.001928
9544	PG	0.001778	0.002777	0.003675	0.001897
7013	PG	0.001768	0.002534	0.002759	0.000991
9743	PG	0.001753	0.002429	0.004501	0.002748
10013	PG	0.001711	0.002752	0.006124	0.004413
8247	cactus	0.001708	0.000833	0.002491	0.000783
6915	cactus	0.001699	0.002085	0.002337	0.000638
6073	PG	0.001660	0.003008	0.004012	0.002352
9518	cactus	0.001603	0.001479	0.001949	0.000346
7276	PG	0.001565	0.001687	0.004227	0.002662
9547	PG	0.001550	0.002420	0.002894	0.001344
9595	PG	0.001549	0.002460	0.003960	0.002411
9057	PG	0.001545	0.001819	0.003745	0.002200
7031	PG	0.001544	0.001397	0.003478	0.001934
7404	PG	0.001537	0.002309	0.003143	0.001606
6025	PG	0.001513	0.002184	0.003852	0.002339
6108	PG	0.001481	0.001471	0.004391	0.002910
7063	cactus	0.001454	0.000425	0.001992	0.000538
9713	PG	0.001444	0.001985	0.006424	0.004980
9416	cactus	0.001438	0.001458	0.002170	0.000732
9837	cactus	0.001400	0.000541	0.001785	0.000385
9632	PG	0.001391	0.002554	0.003524	0.002133
9579	PG	0.001315	0.003047	0.003383	0.002068
9723	PG	0.001313	0.002015	0.003329	0.002016
9921	PG	0.001310	0.001948	0.002601	0.001291
9535	PG	0.001290	0.001714	0.003727	0.002437
9526	PG	0.001243	0.001068	0.003399	0.002156
9736	PG	0.001241	0.000703	0.005851	0.004610
7218	PG	0.001213	0.001857	0.003827	0.002614
9820	PG	0.001213	0.002827	0.003187	0.001974
9781	PG	0.001191	0.002002	0.003868	0.002677
9659	PG	0.001191	0.001683	0.003260	0.002069
6929	cactus	0.001167	0.002145	0.004302	0.003135
9528	PG	0.001131	0.002257	0.002444	0.001313
8240	PG	0.001127	0.002079	0.003641	0.002514
7103	PG	0.001088	0.001592	0.002584	0.001496
6195	PG	0.001085	0.001789	0.003132	0.002047
7165	PG	0.001082	0.001884	0.003370	0.002288
9804	PG	0.001068	0.001348	0.003324	0.002256
6209	PG	0.001065	0.001993	0.003240	0.002175
6243	PG	0.001021	0.001513	0.003409	0.002388
7125	PG	0.000998	0.001425	0.002490	0.001492
7394	PG	0.000992	0.001836	0.004522	0.003530
9529	PG	0.000959	0.001604	0.003472	0.002513
9739	PG	0.000948	0.001137	0.002692	0.001744
6040	PG	0.000912	0.002223	0.002919	0.002007
9761	PG	0.000901	0.001283	0.004442	0.003541
6216	PG	0.000899	0.001136	0.002453	0.001554
9562	PG	0.000817	0.000991	0.002750	0.001933
9741	PG	0.000817	0.001192	0.003168	0.002351
9394	PG	0.000815	0.000763	0.002517	0.001702
9748	PG	0.000807	0.001324	0.003560	0.002753
8311	PG	0.000802	0.001257	0.003785	0.002983
9649	PG	0.000761	0.001086	0.004467	0.003706
7203	PG	0.000738	0.000964	0.003156	0.002418
9524	PG	0.000732	0.002097	0.002615	0.001883
9577	PG	0.000721	0.001661	0.002224	0.001503
5151	PG	0.000685	0.001348	0.003146	0.002461
9560	PG	0.000680	0.000827	0.002767	0.002087
8357	PG	0.000579	0.000851	0.003112	0.002533
9602	PG	0.000578	0.001136	0.003215	0.002637
6188	PG	0.000566	0.000793	0.003909	0.003343
9512	PG	0.000556	0.000745	0.003886	0.003330
7287	PG	0.000539	0.000989	0.003596	0.003057
9574	PG	0.000526	0.000936	0.002131	0.001605
9517	PG	0.000487	0.000719	0.002651	0.002164
7077	PG	0.000472	0.000212	0.002742	0.002270
7333	PG	0.000463	0.000695	0.004418	0.003955
9371	PG	0.000416	0.000564	0.002363	0.001947
9977	PG	0.000409	0.000000	0.001952	0.001543
7353	PG	0.000346	0.000714	0.002649	0.002303
9719	PG	0.000309	0.000079	0.003669	0.003360
9058	PG	0.000269	0.000492	0.003050	0.002781
9586	PG	0.000232	0.000635	0.002693	0.002461
9657	PG	0.000124	0.000454	0.003292	0.003168
6150	cactus	0.000097	0.001142	0.002833	0.002736
9597	PG	0.000084	0.000296	0.002438	0.002354
100002	PG	0.000075	0.000136	0.001339	0.001264
100001	PG	0.000051	0.000169	0.001198	0.001147
