ind_id	clone_dir	visor_pct
s_ind001	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind001	51.0
s_ind002	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind002	1.0
s_ind003	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind003	1.0
s_ind004	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind004	1.0
s_ind005	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind005	1.0
s_ind006	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind006	1.0
s_ind007	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind007	1.0
s_ind008	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind008	1.0
s_ind009	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind009	1.0
s_ind010	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind010	1.0
s_ind011	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind011	1.0
s_ind012	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind012	1.0
s_ind013	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind013	1.0
s_ind014	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind014	1.0
s_ind015	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind015	1.0
s_ind016	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind016	1.0
s_ind017	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind017	1.0
