source_type	ecotype_id	run_accession	sample_alias	study_accession	fastq_ftp	fastq_md5	base_count	read_count	library_strategy	library_layout	instrument_model
ENA	265	SRR1945439	265	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1945439/SRR1945439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/009/SRR1945439/SRR1945439_2.fastq.gz	cda953e0e03b6a8605b1e86d5376e39b;98e62f2362fb595cb7e4c252179a2163	5511389600	27556948	WGS	PAIRED	Illumina HiSeq 2000
ENA	5151	SRR1945555	5151	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945555/SRR1945555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/005/SRR1945555/SRR1945555_2.fastq.gz	4f2da5f869a35d419d32d3b40fa6dfe5;14fa9c19100aeff6abb632095eb11fde	2600194600	13000973	WGS	PAIRED	Illumina HiSeq 2000
ENA	5165	SRR1945556	5165	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945556/SRR1945556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1945556/SRR1945556_2.fastq.gz	36af4bb9a07ca7a2791e930117cefdcc;0c2603dddb2eb239d2fce3a706da3c13	2661971200	13309856	WGS	PAIRED	Illumina HiSeq 2000
ENA	5768	SRR1945577	5768	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945577/SRR1945577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945577/SRR1945577_2.fastq.gz	b35f47b5a9b5b1fbac4a2a42d085f1bf;3613d7da89a58bf94bd707bc2abc3f2c	5257880000	26289400	WGS	PAIRED	Illumina HiSeq 2000
ENA	6013	SRR1945608	6013	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945608/SRR1945608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/008/SRR1945608/SRR1945608_2.fastq.gz	7192b465d1452993e223dba1869aa4ef;94c836c260c3c6263363701435e84cbe	5024561704	33056327	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	6025	SRR1945617	6025	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945617/SRR1945617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945617/SRR1945617_2.fastq.gz	98fb384c88d37f0fa067e9907c4c2daf;7931a1659e82d33bb6cfead18844ef30	3926683184	25833442	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	6040	SRR1945624	6040	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945624/SRR1945624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945624/SRR1945624_2.fastq.gz	2202965a3d200164b6d3ef3850716edc;bc9991d845cec49d9bfcf16568b127c9	3086535712	20306156	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	6073	SRR1945633	6073	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945633/SRR1945633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/003/SRR1945633/SRR1945633_2.fastq.gz	6524b0e83da9c8f66ef584be84c5ce52;b4c70a7c280b83e99b46f55ea3568c9d	6281314728	41324439	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	6074	SRR1945634	6074	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945634/SRR1945634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/004/SRR1945634/SRR1945634_2.fastq.gz	26e3c0e5604eda0c683ca302f4124818;10d42915e1d9607ab5c8c7501fdef73a	3398463120	22358310	WGS	PAIRED	Illumina Genome Analyzer IIx
ENA	6108	SRR1945657	6108	PRJNA273563	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945657/SRR1945657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/007/SRR1945657/SRR1945657_2.fastq.gz	2572f84c6fa290b478470f7071dacb3c;bd94ee3fe2f0454a903b14707bec06ee	4762840200	31334475	WGS	PAIRED	Illumina Genome Analyzer IIx
