block,chrom,mid_pos,SNPs,Z,Z_pVal,top_candidate_p,dir,n_up,n_dn,gene,gene_name,flower_locus
1_211,Chr1,1588433.0,21,6.878102814623905,1.858946594501809e-05,1.812040057302804e-11,up-in-warm,17,4,AT1G05420,AT1G05420,
1_4566,Chr1,25596261.0,111,7.273523755182305,6.880649714302578e-05,2.1655826572057722e-29,up-in-warm,74,37,AT1G68320,AT1G68320,
5_1526,Chr5,16643778.0,10,5.954729724765112,0.000140006006345,2.001276156940847e-06,up-in-warm,9,1,AT5G41610,AT5G41610,
4_866,Chr4,7641047.0,9,5.821018831441999,0.0001883883365809,1.2185368570000051e-08,up-in-warm,8,1,AT4G13110,AT4G13110,
3_3018,Chr3,19740321.0,3,5.681491019843564,0.000235446280531,1.0000000000000027e-06,up-in-warm,3,0,AT3G53240,AT3G53240,
4_2781,Chr4,15468585.5,22,5.590092882068736,0.0003894830908059,6.332951307430326e-05,up-in-warm,14,8,AT4G31980,AT4G31980,
1_1219,Chr1,8884787.0,5,5.473703516063147,0.000392565560753,4.9600000000000186e-08,up-in-warm,5,0,AT1G25340,AT1G25340,
5_1137,Chr5,15377767.5,2,5.371775539168014,0.0004737144753804,0.0001,up-in-warm,2,0,AT5G38410,AT5G38410,
3_2640,Chr3,17712962.0,2,5.219677256840527,0.0006645677583018,0.0001,up-in-warm,2,0,AT3G47980,AT3G47980,
1_1966,Chr1,11982281.0,143,6.072560726498772,0.0008738818386875,2.296016906559474e-11,up-in-warm,80,63,AT1G33050,AT1G33050,
2_296,Chr2,835076.0,5,4.960773312519894,0.0011923441795245,9.850600000000027e-06,up-in-warm,4,1,,,
1_1800,Chr1,11388259.0,4,4.926366774408574,0.001268676363763,1.0000000000000037e-08,up-in-warm,4,0,,,
2_1090,Chr2,10273950.0,9,4.908955958670615,0.0013746829407084,0.0034357300178462,up-in-warm,7,2,AT2G24170,AT2G24170,
3_2652,Chr3,17749570.0,4,4.882037281474815,0.001390059024386,0.00059203,up-in-warm,4,0,AT3G48060,AT3G48060,
4_1830,Chr4,9770082.0,5,4.838966515487113,0.0015306239347124,0.0009801496,up-in-warm,5,0,AT4G17510,AT4G17510,
1_1932,Chr1,11802530.0,195,6.076372095259611,0.0016915988740647,1.8534540858058413e-22,up-in-warm,115,80,AT1G32570,AT1G32570,
5_597,Chr5,7430793.0,7,4.771402281503023,0.0017809720532591,0.00203104163494,up-in-warm,5,2,AT5G22410,AT5G22410,
1_3727,Chr1,22987313.0,32,4.874744647880124,0.0017885185318625,8.491875520731233e-10,up-in-warm,26,6,AT1G62210,AT1G62210,
5_573,Chr5,7386458.5,2,4.745436822337913,0.0018068617427751,0.0001,up-in-warm,2,0,AT5G22310,AT5G22310,
5_3041,Chr5,26251946.0,2,4.742913026065615,0.0018160997409509,0.0001,up-in-warm,2,0,AT5G65670,AT5G65670,
5_1060,Chr5,15254188.0,2,4.718751206223145,0.0019067392635988,0.0001,up-in-warm,2,0,,,
1_923,Chr1,7670864.0,2,4.711396362733945,0.001935134913152,0.0001,up-in-warm,2,0,AT1G21850,AT1G21850,
5_2560,Chr5,22192366.0,2,4.632882750927688,0.0022631021711343,0.0001,up-in-warm,2,0,AT5G54630,AT5G54630,
5_2126,Chr5,18495848.0,157,5.502237332167935,0.0023032312488823,2.2144113156535527e-26,up-in-warm,100,57,AT5G45610,AT5G45610,
1_2697,Chr1,19426042.0,7,4.614638238293144,0.0024210109670876,0.00203104163494,up-in-warm,7,0,AT1G52160,AT1G52160,
4_2405,Chr4,11643460.0,122,5.195017015043632,0.0024447713667768,1.578949162654893e-22,up-in-warm,80,42,AT4G21926,AT4G21926,
1_1773,Chr1,11359394.0,10,4.596747984775823,0.0025528490103653,2.0289394126000107e-10,up-in-warm,10,0,AT1G31730,AT1G31730,
1_749,Chr1,6986313.0,5,4.573418472323494,0.002589730251805,0.0009801496,up-in-warm,5,0,AT1G20135,AT1G20135,
2_547,Chr2,2293078.5,12,4.5811602837726495,0.0026616980079677,0.0002056160777666,up-in-warm,8,4,,,
1_4439,Chr1,24977678.0,3,4.545857957619189,0.0027000844308351,1.0000000000000027e-06,up-in-warm,3,0,AT1G66950,AT1G66950,
5_1037,Chr5,15056198.0,147,5.299280298277866,0.0027178007401482,4.004038299518141e-09,up-in-warm,103,44,AT5G37860,AT5G37860,
1_4598,Chr1,25882200.0,17,4.583014467316943,0.0027352917246241,2.1444754139828896e-05,up-in-warm,14,3,AT1G68840,AT1G68840,
3_207,Chr3,1999116.0,14,4.570083475206272,0.0027505980153214,9.238553999224518e-06,up-in-warm,9,5,,,
4_1770,Chr4,9668905.0,6,4.533492577324236,0.0028124148294478,0.001460447605,up-in-warm,6,0,AT4G17240,AT4G17240,
2_968,Chr2,9540355.5,8,4.503444638221679,0.003010445119425,5.393332119790015e-05,up-in-warm,5,3,AT2G22470,AT2G22470,
4_2510,Chr4,12099461.0,3,4.431459882537598,0.0033626389807089,1.0000000000000027e-06,up-in-warm,3,0,AT4G23080,AT4G23080,
1_704,Chr1,6182965.0,3,4.39406284105124,0.0036089917020232,0.029701,up-in-warm,3,0,AT1G17960,AT1G17960,
1_2452,Chr1,17916329.0,2,4.377689188010564,0.0037058966503156,0.0001,up-in-warm,2,0,AT1G48470,AT1G48470,
1_5114,Chr1,29133516.0,5,4.335921217493444,0.0040567265099585,0.0009801496,up-in-warm,5,0,AT1G77520,AT1G77520,
4_2797,Chr4,15548627.0,13,4.345448735661875,0.0041235099226254,1.6157030184004072e-09,up-in-warm,11,2,AT4G32190,AT4G32190,
1_277,Chr1,2695944.0,2,4.305548794565201,0.0042419011079332,0.0001,up-in-warm,2,0,AT1G08510,AT1G08510,
3_340,Chr3,3290191.0,39,4.396675346676052,0.0042867555624631,2.457859950345624e-06,up-in-warm,27,12,AT3G10500,AT3G10500,
1_1760,Chr1,11347056.0,2,4.25243534963114,0.0046797861337577,0.0001,up-in-warm,2,0,AT1G31690,AT1G31690,
3_1351,Chr3,10762557.0,61,4.418502882545404,0.0046852237293861,1.0849606991729784e-08,up-in-warm,32,29,AT3G28700,AT3G28700,
4_955,Chr4,7863626.0,10,4.232517723365799,0.00498439209833,1.0,up-in-warm,10,0,AT4G13520,AT4G13520,
5_534,Chr5,6612191.0,6,4.215271189081627,0.0050723783612738,1.476100000000005e-07,up-in-warm,5,1,AT5G19590,AT5G19590,
1_5066,Chr1,28753340.0,24,4.249806297849087,0.0050989048832007,3.626850557136325e-06,up-in-warm,16,8,AT1G76600,AT1G76600,
4_153,Chr4,1256911.0,253,5.710255779716364,0.0051753629039582,1.1898978397197097e-21,up-in-warm,158,95,AT4G02840,AT4G02840,
3_1126,Chr3,9866871.0,3,4.198998385381031,0.0051757213351554,0.000298,up-in-warm,3,0,AT3G26810,AT3G26810,
1_4411,Chr1,24922284.0,23,4.235359351048516,0.0052039420540774,0.0220106807623639,up-in-warm,16,7,,,
2_1325,Chr2,12343979.0,2,4.184589822593975,0.0052975491218942,0.0001,up-in-warm,2,0,AT2G28780,AT2G28780,
1_1911,Chr1,11577982.0,5,4.187345678971485,0.0053168742620421,9.850600000000027e-06,down-in-warm,4,1,AT1G32170,AT1G32170,
4_225,Chr4,2119044.0,1,4.162235951715531,0.0055020367948052,0.01,up-in-warm,1,0,AT4G04330,AT4G04330,
1_1889,Chr1,11558618.0,12,4.141023965349457,0.0058880811879015,8.775072628580664e-10,up-in-warm,10,2,AT1G32130,AT1G32130,
1_4673,Chr1,26155819.0,22,4.153779559864355,0.0059457766575606,2.2848314242291675e-06,up-in-warm,12,10,,,
4_2941,Chr4,17411823.0,4,4.097296783583432,0.0062259573940806,0.00059203,up-in-warm,4,0,,,
5_972,Chr5,14771078.0,14,4.071839629290836,0.0066640932581756,1.0,up-in-warm,10,4,AT5G37300,AT5G37300,
1_1954,Chr1,11952779.0,1,4.054241057016575,0.0066787491123377,0.01,up-in-warm,1,0,AT1G32970,AT1G32970,
1_3879,Chr1,23447131.5,2,4.055059680893503,0.0066813004277883,0.0001,up-in-warm,2,0,AT1G63210,AT1G63210,
3_330,Chr3,2987368.5,8,4.0593117094479005,0.0067127699041832,0.0026900777395207,up-in-warm,6,2,AT3G09730,AT3G09730,
5_2346,Chr5,20263428.0,19,4.067686892219654,0.0067993260302025,4.5348315067146266e-10,up-in-warm,16,3,AT5G49850,AT5G49850,
3_630,Chr3,7011193.0,47,4.127484239160725,0.006803515265347,7.554243968214486e-06,up-in-warm,31,16,AT3G20070,AT3G20070,
1_1958,Chr1,11955276.0,1,4.039321095682834,0.006857692209776,0.01,up-in-warm,1,0,AT1G32975,AT1G32975,
2_1268,Chr2,11595646.5,70,4.186854622497365,0.0069162323365793,7.582224273126672e-05,up-in-warm,45,25,AT2G27200,AT2G27200,
1_675,Chr1,5831545.0,4,4.037453497054835,0.0069168422251503,0.03940399,up-in-warm,3,1,AT1G17050,AT1G17050,
4_2344,Chr4,11149667.0,2,4.025170139597311,0.0070427407101706,0.0199,up-in-warm,2,0,AT4G20820,AT4G20820,
5_3090,Chr5,26507082.5,2,4.0244624067738455,0.0070515041981034,0.0199,up-in-warm,2,0,AT5G66350,AT5G66350,
3_589,Chr3,6379685.0,91,4.244416371150425,0.0071388750803055,1.2140656797940377e-33,up-in-warm,52,39,AT3G18520,AT3G18520,
4_2455,Chr4,11908401.0,2,4.010092277994962,0.0072315354425108,0.0001,up-in-warm,2,0,AT4G22620,AT4G22620,
5_1098,Chr5,15321989.0,1,4.000262528695498,0.0073463445888256,0.01,up-in-warm,1,0,AT5G38340,AT5G38340,
5_122,Chr5,804658.0,3,3.990761516151702,0.0074908687751401,0.000298,up-in-warm,3,0,AT5G03320,AT5G03320,
5_524,Chr5,6469016.0,2,3.954935423977521,0.0079607375908516,0.0001,up-in-warm,2,0,AT5G19230,AT5G19230,
4_63,Chr4,461069.0,1,3.9448121615880183,0.0080927189489306,0.01,up-in-warm,1,0,AT4G01060,AT4G01060,
5_2915,Chr5,24056170.0,1,3.940407182425232,0.0081547733469827,0.01,up-in-warm,1,0,AT5G59700,AT5G59700,
5_2302,Chr5,20181951.0,1,3.940407182425232,0.0081547733469827,0.01,up-in-warm,1,0,AT5G49680,AT5G49680,
5_442,Chr5,4870134.0,1,3.933806792996462,0.0082485377924308,0.01,up-in-warm,1,0,AT5G15030,AT5G15030,
3_376,Chr3,3388891.0,2,3.9332056772765096,0.0082653106232941,0.0001,up-in-warm,2,0,AT3G10820,AT3G10820,
1_417,Chr1,3500882.0,61,4.010464233717239,0.0085406569752158,3.4665967600851515e-05,up-in-warm,35,26,AT1G10560,AT1G10560,
5_2474,Chr5,21796963.0,1,3.8940993409926343,0.0088328532320909,0.01,up-in-warm,1,0,AT5G53660,AT5G53660,
