block,chrom,span,n_sv,lead_pos,lead_size,lead_p0,dir,n_up,n_dn,Z_pVal,fdr,n_genes,genes
1_4566,Chr1,"25,533,230-25,653,432",118,25609170,1814,0.005,up-in-warm,65,46,3.3288154556387894e-05,0.194,31,AT1G68130;AT1G68140;AT1G68150;AT1G68160;AT1G68170;AT1G68180 …
4_955,Chr4,"7,863,539-7,864,272",10,7863539,146,0.003,up-in-warm,10,0,5.349669643006649e-05,0.194,0,
1_2192,Chr1,"16,539,135-16,588,420",154,16565746,66,0.005,down-in-warm,85,63,0.0005213751318248,0.893,5,AT1G43770;AT1G43780;AT1G43790;AT1G43800;AT1G43810
1_4289,Chr1,"24,531,907-24,534,701",11,24533330,1094,0.005,up-in-warm,9,1,0.0007530676354059,0.893,0,
5_2346,Chr5,"20,262,625-20,264,039",19,20263706,622,0.026,up-in-warm,14,5,0.001047996118496,0.893,0,
2_1218,Chr2,"10,938,637-10,989,330",38,10945509,169,0.001,up-in-warm,22,14,0.0012002426515941,0.893,10,AT2G25690;AT2G25697;AT2G25700;AT2G25710;AT2G25720;AT2G25730 …
1_2697,Chr1,"19,426,042-19,426,301",7,19426301,99,0.037,up-in-warm,7,0,0.0014536775701757,0.893,0,
4_3052,Chr4,"18,393,117-18,435,004",39,18434327,153,0.002,down-in-warm,20,16,0.0015819546682492,0.893,14,AT4G39610;AT4G39620;AT4G39630;AT4G39640;AT4G39650;AT4G39660 …
4_1770,Chr4,"9,668,684-9,668,905",6,9668795,63,0.444,up-in-warm,5,1,0.0016412519280198,0.893,0,
2_1926,Chr2,"17,992,080-17,995,374",10,17992542,611,0.013,up-in-warm,9,1,0.0017631644795088,0.893,0,
4_1785,Chr4,"9,727,143-9,727,208",2,9727143,862,0.0,up-in-warm,2,0,0.0018406544908506,0.893,0,
2_1268,Chr2,"11,572,409-11,661,191",70,11594882,738,0.002,up-in-warm,44,26,0.0018444958467658,0.893,18,AT2G27100;AT2G27110;AT2G27120;AT2G27130;AT2G27140;AT2G27145 …
4_2181,Chr4,"10,691,850-10,724,409",105,10711987,759,0.0,up-in-warm,67,32,0.002062916895151,0.893,6,AT4G19650;AT4G19660;AT4G19670;AT4G19680;AT4G19690;AT4G19700
4_2781,Chr4,"15,466,240-15,469,500",22,15466240,750,0.018,up-in-warm,14,8,0.0022353780704627,0.893,1,AT4G31980
1_417,Chr1,"3,465,895-3,548,450",61,3484064,2067,0.005,up-in-warm,37,24,0.0024715065370286,0.893,23,AT1G10520;AT1G10522;AT1G10530;AT1G10540;AT1G10550;AT1G10560 …
5_1139,Chr5,"15,382,471-15,382,495",2,15382471,544,0.003,up-in-warm,2,0,0.0025517775592841,0.893,0,
5_1140,Chr5,"15,382,967-15,383,209",2,15382967,433,0.003,up-in-warm,2,0,0.0025517775592841,0.893,0,
2_1459,Chr2,"13,899,997-13,990,952",128,13959049,1539,0.121,up-in-warm,75,46,0.0027916408914436,0.893,24,AT2G32780;AT2G32785;AT2G32788;AT2G32790;AT2G32800;AT2G32810 …
1_2625,Chr1,"19,045,447-19,047,844",7,19045447,2136,0.011,up-in-warm,5,2,0.0033211234058068,0.893,1,AT1G51370
2_865,Chr2,"7,961,975-7,962,341",3,7961975,166,0.002,up-in-warm,3,0,0.0033619295827529,0.893,0,
4_132,Chr4,"1,140,874-1,147,546",17,1143262,333,0.092,up-in-warm,12,4,0.0033720724691724,0.893,1,AT4G02600
1_2451,Chr1,"17,895,479-17,911,083",11,17906897,54,0.014,down-in-warm,6,5,0.0043344082832941,0.893,4,AT1G48420;AT1G48430;AT1G48440;AT1G48450
3_1541,Chr3,"13,281,351-13,327,437",17,13285995,391,0.017,up-in-warm,12,5,0.0046293022545987,0.893,0,
3_340,Chr3,"3,256,364-3,311,423",42,3308642,921,0.007,up-in-warm,32,7,0.0048062150696555,0.893,18,AT3G10460;AT3G10470;AT3G10480;AT3G10490;AT3G10500;AT3G10510 …
4_2412,Chr4,"11,690,290-11,697,505",13,11695741,328,0.065,up-in-warm,10,2,0.0052236027304639,0.893,1,AT4G22070
