gene	11532004	11534333	+	ID=AT2G27030;Note=protein_coding_gene;Name=AT2G27030
mRNA	11532004	11533276	+	ID=AT2G27030.1;Parent=AT2G27030;Name=AT2G27030.1;Index=1
exon	11532004	11532144	+	Parent=AT2G27030.1
five_prime_UTR	11532004	11532068	+	Parent=AT2G27030.1
CDS	11532069	11532144	+	Parent=AT2G27030.1,AT2G27030.1-Protein;
exon	11532687	11533276	+	Parent=AT2G27030.1
CDS	11532687	11533060	+	Parent=AT2G27030.1,AT2G27030.1-Protein;
three_prime_UTR	11533061	11533276	+	Parent=AT2G27030.1
mRNA	11532007	11534272	+	ID=AT2G27030.2;Parent=AT2G27030;Name=AT2G27030.2;Index=1
exon	11532007	11534272	+	Parent=AT2G27030.2
five_prime_UTR	11532007	11532718	+	Parent=AT2G27030.2
CDS	11532719	11533060	+	Parent=AT2G27030.2,AT2G27030.2-Protein;
three_prime_UTR	11533061	11534272	+	Parent=AT2G27030.2
mRNA	11532004	11534333	+	ID=AT2G27030.3;Parent=AT2G27030;Name=AT2G27030.3;Index=1
exon	11532004	11532144	+	Parent=AT2G27030.3
five_prime_UTR	11532004	11532068	+	Parent=AT2G27030.3
CDS	11532069	11532144	+	Parent=AT2G27030.3,AT2G27030.3-Protein;
exon	11532687	11533056	+	Parent=AT2G27030.3
CDS	11532687	11533056	+	Parent=AT2G27030.3,AT2G27030.3-Protein;
exon	11534077	11534333	+	Parent=AT2G27030.3
CDS	11534077	11534176	+	Parent=AT2G27030.3,AT2G27030.3-Protein;
three_prime_UTR	11534177	11534333	+	Parent=AT2G27030.3
