block,chrom,mid_pos,SNPs,Z,Z_pVal,top_candidate_p,dir,n_up,n_dn,gene,gene_name,flower_locus
1_4566,Chr1,25596261.0,111,10.281030815604772,2.0285156918653517e-06,1.8919300117648224e-32,up-in-warm,90,21,AT1G68370,AT1G68370,
4_2781,Chr4,15468585.5,22,7.500117652579743,3.311980702269679e-05,2.2848314242291675e-06,up-in-warm,16,6,AT4G31980,AT4G31980,
1_1773,Chr1,11359394.0,10,7.085638589276171,5.425661082014699e-05,2.0289394126000107e-10,up-in-warm,10,0,AT1G31730,AT1G31730,
1_3727,Chr1,22987313.0,32,7.070970864728867,0.0001273046448478,7.248364728301593e-07,up-in-warm,28,4,AT1G62210,AT1G62210,
1_1219,Chr1,8884787.0,5,6.418456761037089,0.0002122375880185,9.850600000000027e-06,up-in-warm,4,1,AT1G25340,AT1G25340,
3_3018,Chr3,19740321.0,3,6.375870785150416,0.0002178236117925,1.0000000000000027e-06,up-in-warm,3,0,AT3G53240,AT3G53240,
5_2346,Chr5,20263428.0,19,6.620267256500759,0.0002183930638557,7.021510410113566e-18,up-in-warm,17,2,AT5G49850,AT5G49850,
5_2001,Chr5,17985873.0,7,6.226624241323466,0.0003465629122086,3.396253015000008e-05,up-in-warm,6,1,AT5G44585,AT5G44585,
4_1830,Chr4,9770082.0,5,6.179852122925778,0.0003597496988039,9.850600000000027e-06,up-in-warm,5,0,AT4G17510,AT4G17510,
1_211,Chr1,1588433.0,21,6.391185069815357,0.0003765336613947,1.0282980316608016e-09,up-in-warm,19,2,AT1G05410,AT1G05410,
1_1966,Chr1,11982281.0,143,7.899383376343029,0.0004258977380636,2.171703986944717e-30,up-in-warm,94,49,AT1G33070,AT1G33070,
4_955,Chr4,7863626.0,10,6.15041842144506,0.000447571961583,2.001276156940847e-06,up-in-warm,10,0,AT4G13520,AT4G13520,
4_866,Chr4,7641047.0,9,6.05019120585068,0.0005358839384609,8.185884400000042e-11,up-in-warm,9,0,AT4G13110,AT4G13110,
1_1267,Chr1,8979822.0,7,6.005023742366487,0.0005552421461662,3.416698000000012e-07,up-in-warm,7,0,AT1G25550,AT1G25550,
1_749,Chr1,6986313.0,5,5.8437851352317125,0.0007324302617962,9.850600000000027e-06,up-in-warm,5,0,AT1G20135,AT1G20135,
1_2697,Chr1,19426042.0,7,5.8571693651652765,0.0007536224032288,2.0651500000000087e-09,up-in-warm,7,0,AT1G52160,AT1G52160,
3_2652,Chr3,17749570.0,4,5.781250876429972,0.0008098683190963,0.00059203,up-in-warm,4,0,AT3G48060,AT3G48060,
4_2797,Chr4,15548627.0,13,5.825210825052072,0.0009436926515151,1.2037294519127428e-07,up-in-warm,12,1,AT4G32190,AT4G32190,
1_5066,Chr1,28753340.0,24,5.937131066491359,0.0010019531070604,1.7259790711798775e-14,up-in-warm,19,5,AT1G76600,AT1G76600,
2_1268,Chr2,11595646.5,70,6.440638530051265,0.0011234860198702,1.143775463314196e-14,up-in-warm,48,22,AT2G27200,AT2G27200,
3_2640,Chr3,17712962.0,2,5.555018231344296,0.0012130877000301,0.0001,up-in-warm,2,0,AT3G47980,AT3G47980,
5_1657,Chr5,17202806.0,13,5.66085519335916,0.0012985810763195,6.652021264699332e-06,up-in-warm,11,2,AT5G42905,AT5G42905,
1_4540,Chr1,25453120.0,4,5.545670648794513,0.0013004897197942,3.97000000000001e-06,up-in-warm,4,0,AT1G67875,AT1G67875,
3_1100,Chr3,9594269.0,19,5.701903561184673,0.0013853762187087,2.4262383546679593e-08,up-in-warm,16,3,AT3G26210,AT3G26210,
1_1800,Chr1,11388259.0,4,5.502796825774281,0.0014147411032622,3.97000000000001e-06,up-in-warm,4,0,,,
5_534,Chr5,6612191.0,6,5.481154952173532,0.0015492957707976,5.950000000000025e-10,up-in-warm,6,0,AT5G19590,AT5G19590,
3_175,Chr3,1849045.5,6,5.4784688374540185,0.0015573423790138,0.001460447605,up-in-warm,6,0,AT3G06120,AT3G06120,
3_569,Chr3,5994009.0,7,5.410882746497474,0.0018144241440021,3.416698000000012e-07,up-in-warm,6,1,AT3G17510,AT3G17510,
5_1137,Chr5,15377767.5,2,5.33968645101309,0.0018498666434588,0.0001,up-in-warm,2,0,AT5G38410,AT5G38410,
5_3057,Chr5,26276700.0,8,5.364611463498567,0.0020252385123894,5.461196500000024e-09,up-in-warm,7,1,AT5G65685,AT5G65685,
1_5114,Chr1,29133516.0,5,5.321190514141155,0.0020536607022292,9.850600000000027e-06,up-in-warm,5,0,AT1G77520,AT1G77520,
3_340,Chr3,3290191.0,39,5.646765622260364,0.002328823310408,1.6163335474669602e-10,up-in-warm,33,6,AT3G10500,AT3G10500,
1_4598,Chr1,25882200.0,17,5.357727785478564,0.0024880240623382,1.1258833835444952e-08,up-in-warm,14,3,AT1G68840,AT1G68840,
2_1913,Chr2,17741766.0,13,5.263694516546262,0.0027118710615092,0.0002653052947172,up-in-warm,13,0,,,
1_1932,Chr1,11802530.0,195,7.082213193132977,0.0028099033984807,8.986414553105463e-18,up-in-warm,133,62,AT1G32570,AT1G32570,
4_132,Chr4,1143262.0,16,5.25651704384954,0.0029178563435793,1.653063641103466e-05,up-in-warm,12,4,AT4G02600,AT4G02600,
5_2925,Chr5,24422668.0,12,5.205650027529305,0.002947885150572,8.775072628580664e-10,up-in-warm,10,2,AT5G60720,AT5G60720,
3_630,Chr3,7011193.0,47,5.581822989345047,0.0029991693979448,9.670333021826483e-10,up-in-warm,36,11,AT3G20070,AT3G20070,
