cls,level,regime,rep,blocks,support_to,p0,nan,bonf,fdr,bonf_past_support,n_past_support
snp,site,upstream_nocap,0,56846,3170.58,0,17,23,143,0,10
snp,site,oldprod_cap,0,56846,1876.84,0,0,6,44,0,32
snp,site,proposed_nocap,0,56846,3170.58,0,0,6,44,0,10
snp,site,proposed_cap,0,56846,1876.84,0,0,6,44,0,32
snp,site,upstream_nocap,1,56846,3170.58,0,18,31,142,0,10
snp,site,oldprod_cap,1,56846,1876.84,0,0,3,37,0,32
snp,site,proposed_nocap,1,56846,3170.58,0,0,5,54,0,10
snp,site,proposed_cap,1,56846,1876.84,0,0,5,44,0,32
snp,site,upstream_nocap,2,56846,3170.58,1,17,40,184,0,10
snp,site,oldprod_cap,2,56846,1876.84,0,0,6,68,0,32
snp,site,proposed_nocap,2,56846,3170.58,0,0,11,78,0,10
snp,site,proposed_cap,2,56846,1876.84,0,0,11,78,0,32
snp,site,upstream_nocap,3,56846,3170.58,0,16,30,155,0,10
snp,site,oldprod_cap,3,56846,1876.84,0,0,7,43,0,32
snp,site,proposed_nocap,3,56846,3170.58,0,0,7,49,0,10
snp,site,proposed_cap,3,56846,1876.84,0,0,7,49,0,32
snp,site,upstream_nocap,4,56846,3170.58,0,16,29,129,0,10
snp,site,oldprod_cap,4,56846,1876.84,0,0,11,32,0,32
snp,site,proposed_nocap,4,56846,3170.58,0,0,7,35,0,10
snp,site,proposed_cap,4,56846,1876.84,0,0,7,35,0,32
snp,site,upstream_nocap,5,56846,3170.58,1,16,19,141,0,10
snp,site,oldprod_cap,5,56846,1876.84,0,0,5,31,0,32
snp,site,proposed_nocap,5,56846,3170.58,0,0,5,35,0,10
snp,site,proposed_cap,5,56846,1876.84,0,0,5,35,0,32
snp,site,upstream_nocap,6,56846,3170.58,0,19,42,195,0,10
snp,site,oldprod_cap,6,56846,1876.84,0,0,12,57,0,32
snp,site,proposed_nocap,6,56846,3170.58,0,0,12,56,0,10
snp,site,proposed_cap,6,56846,1876.84,0,0,12,56,0,32
snp,site,upstream_nocap,7,56846,3170.58,0,17,30,186,0,10
snp,site,oldprod_cap,7,56846,1876.84,0,0,11,54,0,32
snp,site,proposed_nocap,7,56846,3170.58,0,0,9,58,0,10
snp,site,proposed_cap,7,56846,1876.84,0,0,9,58,0,32
snp,site,upstream_nocap,8,56846,3170.58,1,16,38,222,0,10
snp,site,oldprod_cap,8,56846,1876.84,0,0,12,105,0,32
snp,site,proposed_nocap,8,56846,3170.58,0,0,10,102,0,10
snp,site,proposed_cap,8,56846,1876.84,0,0,10,102,0,32
snp,site,upstream_nocap,9,56846,3170.58,0,14,27,165,0,10
snp,site,oldprod_cap,9,56846,1876.84,0,0,9,67,0,32
snp,site,proposed_nocap,9,56846,3170.58,0,0,8,50,0,10
snp,site,proposed_cap,9,56846,1876.84,0,0,8,50,0,32
snp,site,upstream_nocap,10,56846,3170.58,0,17,20,155,0,10
snp,site,oldprod_cap,10,56846,1876.84,0,0,5,39,0,32
snp,site,proposed_nocap,10,56846,3170.58,0,0,8,41,0,10
snp,site,proposed_cap,10,56846,1876.84,0,0,8,41,0,32
snp,site,upstream_nocap,11,56846,3170.58,0,20,19,177,0,10
snp,site,oldprod_cap,11,56846,1876.84,0,0,5,47,0,32
snp,site,proposed_nocap,11,56846,3170.58,0,0,4,44,0,10
snp,site,proposed_cap,11,56846,1876.84,0,0,4,44,0,32
snp,site,upstream_nocap,12,56846,3170.58,0,16,22,160,0,10
snp,site,oldprod_cap,12,56846,1876.84,0,0,8,23,0,32
snp,site,proposed_nocap,12,56846,3170.58,0,0,7,22,0,10
snp,site,proposed_cap,12,56846,1876.84,0,0,7,22,0,32
snp,site,upstream_nocap,13,56846,3170.58,0,18,28,158,0,10
snp,site,oldprod_cap,13,56846,1876.84,0,0,8,51,0,32
snp,site,proposed_nocap,13,56846,3170.58,0,0,8,46,0,10
snp,site,proposed_cap,13,56846,1876.84,0,0,8,46,0,32
snp,site,upstream_nocap,14,56846,3170.58,0,16,26,102,0,10
snp,site,oldprod_cap,14,56846,1876.84,0,0,8,40,0,32
snp,site,proposed_nocap,14,56846,3170.58,0,0,7,37,0,10
snp,site,proposed_cap,14,56846,1876.84,0,0,7,37,0,32
snp,site,upstream_nocap,15,56846,3170.58,1,17,25,162,0,10
snp,site,oldprod_cap,15,56846,1876.84,0,0,3,33,0,32
snp,site,proposed_nocap,15,56846,3170.58,0,0,5,39,0,10
snp,site,proposed_cap,15,56846,1876.84,0,0,5,39,0,32
snp,site,upstream_nocap,16,56846,3170.58,1,17,38,197,0,10
snp,site,oldprod_cap,16,56846,1876.84,0,0,14,73,0,32
snp,site,proposed_nocap,16,56846,3170.58,0,0,15,108,0,10
snp,site,proposed_cap,16,56846,1876.84,0,0,15,108,0,32
snp,site,upstream_nocap,17,56846,3170.58,0,17,31,186,0,10
snp,site,oldprod_cap,17,56846,1876.84,0,0,6,68,0,32
snp,site,proposed_nocap,17,56846,3170.58,0,0,7,68,0,10
snp,site,proposed_cap,17,56846,1876.84,0,0,7,68,0,32
snp,site,upstream_nocap,18,56846,3170.58,0,18,24,173,0,10
snp,site,oldprod_cap,18,56846,1876.84,0,0,6,83,0,32
snp,site,proposed_nocap,18,56846,3170.58,0,0,8,64,0,10
snp,site,proposed_cap,18,56846,1876.84,0,0,8,64,0,32
snp,site,upstream_nocap,19,56846,3170.58,0,15,20,164,0,10
snp,site,oldprod_cap,19,56846,1876.84,0,0,13,73,0,32
snp,site,proposed_nocap,19,56846,3170.58,0,0,14,50,0,10
snp,site,proposed_cap,19,56846,1876.84,0,0,14,50,0,32
sv,site,upstream_nocap,0,4520,61.7,0,2,2,2,2,8
sv,site,oldprod_cap,0,4520,61.7,0,0,0,0,0,8
sv,site,proposed_nocap,0,4520,61.7,0,0,0,0,0,8
sv,site,proposed_cap,0,4520,61.7,0,0,0,0,0,8
sv,site,upstream_nocap,1,4520,61.7,0,4,0,0,0,8
sv,site,oldprod_cap,1,4520,61.7,0,0,0,0,0,8
sv,site,proposed_nocap,1,4520,61.7,0,0,0,0,0,8
sv,site,proposed_cap,1,4520,61.7,0,0,0,0,0,8
sv,site,upstream_nocap,2,4520,61.7,0,6,3,4,0,8
sv,site,oldprod_cap,2,4520,61.7,0,0,2,3,0,8
sv,site,proposed_nocap,2,4520,61.7,0,0,2,4,0,8
sv,site,proposed_cap,2,4520,61.7,0,0,2,4,0,8
sv,site,upstream_nocap,3,4520,61.7,0,4,1,1,1,8
sv,site,oldprod_cap,3,4520,61.7,0,0,0,0,0,8
sv,site,proposed_nocap,3,4520,61.7,0,0,0,0,0,8
sv,site,proposed_cap,3,4520,61.7,0,0,0,0,0,8
sv,site,upstream_nocap,4,4520,61.7,0,5,0,3,0,8
sv,site,oldprod_cap,4,4520,61.7,0,0,2,2,0,8
sv,site,proposed_nocap,4,4520,61.7,0,0,1,2,0,8
sv,site,proposed_cap,4,4520,61.7,0,0,1,2,0,8
sv,site,upstream_nocap,5,4520,61.7,0,0,3,4,0,8
sv,site,oldprod_cap,5,4520,61.7,0,0,1,3,0,8
sv,site,proposed_nocap,5,4520,61.7,0,0,1,3,0,8
sv,site,proposed_cap,5,4520,61.7,0,0,1,3,0,8
sv,site,upstream_nocap,6,4520,61.7,0,0,1,1,0,8
sv,site,oldprod_cap,6,4520,61.7,0,0,0,0,0,8
sv,site,proposed_nocap,6,4520,61.7,0,0,0,0,0,8
sv,site,proposed_cap,6,4520,61.7,0,0,0,0,0,8
sv,site,upstream_nocap,7,4520,61.7,0,4,0,0,0,8
sv,site,oldprod_cap,7,4520,61.7,0,0,0,0,0,8
sv,site,proposed_nocap,7,4520,61.7,0,0,0,0,0,8
sv,site,proposed_cap,7,4520,61.7,0,0,0,0,0,8
sv,site,upstream_nocap,8,4520,61.7,0,0,0,0,0,8
sv,site,oldprod_cap,8,4520,61.7,0,0,0,0,0,8
sv,site,proposed_nocap,8,4520,61.7,0,0,0,2,0,8
sv,site,proposed_cap,8,4520,61.7,0,0,0,2,0,8
sv,site,upstream_nocap,9,4520,61.7,0,3,0,0,0,8
sv,site,oldprod_cap,9,4520,61.7,0,0,0,0,0,8
sv,site,proposed_nocap,9,4520,61.7,0,0,0,0,0,8
sv,site,proposed_cap,9,4520,61.7,0,0,0,0,0,8
sv,site,upstream_nocap,10,4520,61.7,1,2,4,5,2,8
sv,site,oldprod_cap,10,4520,61.7,0,0,1,2,0,8
sv,site,proposed_nocap,10,4520,61.7,0,0,1,1,0,8
sv,site,proposed_cap,10,4520,61.7,0,0,1,1,0,8
sv,site,upstream_nocap,11,4520,61.7,0,4,0,0,0,8
sv,site,oldprod_cap,11,4520,61.7,0,0,0,0,0,8
sv,site,proposed_nocap,11,4520,61.7,0,0,0,0,0,8
sv,site,proposed_cap,11,4520,61.7,0,0,0,0,0,8
sv,site,upstream_nocap,12,4520,61.7,1,3,2,3,1,8
sv,site,oldprod_cap,12,4520,61.7,0,0,1,1,0,8
sv,site,proposed_nocap,12,4520,61.7,0,0,1,1,0,8
sv,site,proposed_cap,12,4520,61.7,0,0,1,1,0,8
sv,site,upstream_nocap,13,4520,61.7,0,4,4,5,1,8
sv,site,oldprod_cap,13,4520,61.7,0,0,3,4,0,8
sv,site,proposed_nocap,13,4520,61.7,0,0,3,3,0,8
sv,site,proposed_cap,13,4520,61.7,0,0,3,3,0,8
sv,site,upstream_nocap,14,4520,61.7,0,4,0,0,0,8
sv,site,oldprod_cap,14,4520,61.7,0,0,0,0,0,8
sv,site,proposed_nocap,14,4520,61.7,0,0,0,0,0,8
sv,site,proposed_cap,14,4520,61.7,0,0,0,0,0,8
sv,site,upstream_nocap,15,4520,61.7,0,6,0,0,0,8
sv,site,oldprod_cap,15,4520,61.7,0,0,0,0,0,8
sv,site,proposed_nocap,15,4520,61.7,0,0,0,0,0,8
sv,site,proposed_cap,15,4520,61.7,0,0,0,0,0,8
sv,site,upstream_nocap,16,4520,61.7,0,0,1,1,0,8
sv,site,oldprod_cap,16,4520,61.7,0,0,0,0,0,8
sv,site,proposed_nocap,16,4520,61.7,0,0,0,0,0,8
sv,site,proposed_cap,16,4520,61.7,0,0,0,0,0,8
sv,site,upstream_nocap,17,4520,61.7,0,2,0,0,0,8
sv,site,oldprod_cap,17,4520,61.7,0,0,0,0,0,8
sv,site,proposed_nocap,17,4520,61.7,0,0,0,0,0,8
sv,site,proposed_cap,17,4520,61.7,0,0,0,0,0,8
sv,site,upstream_nocap,18,4520,61.7,0,0,0,0,0,8
sv,site,oldprod_cap,18,4520,61.7,0,0,0,0,0,8
sv,site,proposed_nocap,18,4520,61.7,0,0,0,0,0,8
sv,site,proposed_cap,18,4520,61.7,0,0,0,0,0,8
sv,site,upstream_nocap,19,4520,61.7,0,5,0,0,0,8
sv,site,oldprod_cap,19,4520,61.7,0,0,1,1,0,8
sv,site,proposed_nocap,19,4520,61.7,0,0,1,1,0,8
sv,site,proposed_cap,19,4520,61.7,0,0,1,1,0,8
smallindel,site,upstream_nocap,0,41731,719.06,0,17,12,93,0,14
smallindel,site,oldprod_cap,0,41731,545.2,0,0,7,53,0,23
smallindel,site,proposed_nocap,0,41731,719.06,0,0,8,45,0,14
smallindel,site,proposed_cap,0,41731,545.2,0,0,8,45,0,23
smallindel,site,upstream_nocap,1,41731,719.06,0,17,13,75,0,14
smallindel,site,oldprod_cap,1,41731,545.2,0,0,8,49,0,23
smallindel,site,proposed_nocap,1,41731,719.06,0,0,6,54,0,14
smallindel,site,proposed_cap,1,41731,545.2,0,0,6,51,0,23
smallindel,site,upstream_nocap,2,41731,719.06,0,15,16,82,0,14
smallindel,site,oldprod_cap,2,41731,545.2,0,0,10,36,0,23
smallindel,site,proposed_nocap,2,41731,719.06,0,0,10,55,0,14
smallindel,site,proposed_cap,2,41731,545.2,0,0,10,55,0,23
smallindel,site,upstream_nocap,3,41731,719.06,1,15,13,57,0,14
smallindel,site,oldprod_cap,3,41731,545.2,0,0,9,25,0,23
smallindel,site,proposed_nocap,3,41731,719.06,0,0,9,41,0,14
smallindel,site,proposed_cap,3,41731,545.2,0,0,9,41,0,23
smallindel,site,upstream_nocap,4,41731,719.06,0,15,10,69,0,14
smallindel,site,oldprod_cap,4,41731,545.2,0,0,6,58,0,23
smallindel,site,proposed_nocap,4,41731,719.06,0,0,7,49,0,14
smallindel,site,proposed_cap,4,41731,545.2,0,0,7,49,0,23
smallindel,site,upstream_nocap,5,41731,719.06,0,15,10,46,0,14
smallindel,site,oldprod_cap,5,41731,545.2,0,0,8,36,0,23
smallindel,site,proposed_nocap,5,41731,719.06,0,0,5,34,0,14
smallindel,site,proposed_cap,5,41731,545.2,0,0,5,34,0,23
smallindel,site,upstream_nocap,6,41731,719.06,0,17,18,100,0,14
smallindel,site,oldprod_cap,6,41731,545.2,0,0,10,66,0,23
smallindel,site,proposed_nocap,6,41731,719.06,0,0,11,64,0,14
smallindel,site,proposed_cap,6,41731,545.2,0,0,11,64,0,23
smallindel,site,upstream_nocap,7,41731,719.06,0,17,14,94,0,14
smallindel,site,oldprod_cap,7,41731,545.2,0,0,9,66,0,23
smallindel,site,proposed_nocap,7,41731,719.06,0,0,10,58,0,14
smallindel,site,proposed_cap,7,41731,545.2,0,0,10,58,0,23
smallindel,site,upstream_nocap,8,41731,719.06,0,15,19,105,0,14
smallindel,site,oldprod_cap,8,41731,545.2,0,0,12,69,0,23
smallindel,site,proposed_nocap,8,41731,719.06,0,0,12,61,0,14
smallindel,site,proposed_cap,8,41731,545.2,0,0,12,61,0,23
smallindel,site,upstream_nocap,9,41731,719.06,0,15,11,81,0,14
smallindel,site,oldprod_cap,9,41731,545.2,0,0,7,39,0,23
smallindel,site,proposed_nocap,9,41731,719.06,0,0,6,38,0,14
smallindel,site,proposed_cap,9,41731,545.2,0,0,6,38,0,23
smallindel,site,upstream_nocap,10,41731,719.06,0,17,12,64,0,14
smallindel,site,oldprod_cap,10,41731,545.2,0,0,4,38,0,23
smallindel,site,proposed_nocap,10,41731,719.06,0,0,4,46,0,14
smallindel,site,proposed_cap,10,41731,545.2,0,0,4,46,0,23
smallindel,site,upstream_nocap,11,41731,719.06,0,18,10,75,0,14
smallindel,site,oldprod_cap,11,41731,545.2,0,0,7,59,0,23
smallindel,site,proposed_nocap,11,41731,719.06,0,0,3,41,0,14
smallindel,site,proposed_cap,11,41731,545.2,0,0,3,41,0,23
smallindel,site,upstream_nocap,12,41731,719.06,0,17,6,48,0,14
smallindel,site,oldprod_cap,12,41731,545.2,0,0,7,44,0,23
smallindel,site,proposed_nocap,12,41731,719.06,0,0,5,26,0,14
smallindel,site,proposed_cap,12,41731,545.2,0,0,5,26,0,23
smallindel,site,upstream_nocap,13,41731,719.06,1,15,15,68,0,14
smallindel,site,oldprod_cap,13,41731,545.2,0,0,13,40,0,23
smallindel,site,proposed_nocap,13,41731,719.06,0,0,11,34,0,14
smallindel,site,proposed_cap,13,41731,545.2,0,0,11,34,0,23
smallindel,site,upstream_nocap,14,41731,719.06,0,15,17,49,0,14
smallindel,site,oldprod_cap,14,41731,545.2,0,0,8,40,0,23
smallindel,site,proposed_nocap,14,41731,719.06,0,0,8,41,0,14
smallindel,site,proposed_cap,14,41731,545.2,0,0,8,41,0,23
smallindel,site,upstream_nocap,15,41731,719.06,1,18,16,68,0,14
smallindel,site,oldprod_cap,15,41731,545.2,0,0,11,51,0,23
smallindel,site,proposed_nocap,15,41731,719.06,0,0,10,48,0,14
smallindel,site,proposed_cap,15,41731,545.2,0,0,10,48,0,23
smallindel,site,upstream_nocap,16,41731,719.06,0,15,14,102,0,14
smallindel,site,oldprod_cap,16,41731,545.2,0,0,12,89,0,23
smallindel,site,proposed_nocap,16,41731,719.06,0,0,12,84,0,14
smallindel,site,proposed_cap,16,41731,545.2,0,0,12,84,0,23
smallindel,site,upstream_nocap,17,41731,719.06,0,15,15,70,0,14
smallindel,site,oldprod_cap,17,41731,545.2,0,0,11,48,0,23
smallindel,site,proposed_nocap,17,41731,719.06,0,0,8,34,0,14
smallindel,site,proposed_cap,17,41731,545.2,0,0,8,34,0,23
smallindel,site,upstream_nocap,18,41731,719.06,1,15,12,73,0,14
smallindel,site,oldprod_cap,18,41731,545.2,0,0,7,56,0,23
smallindel,site,proposed_nocap,18,41731,719.06,0,0,7,36,0,14
smallindel,site,proposed_cap,18,41731,545.2,0,0,7,36,0,23
smallindel,site,upstream_nocap,19,41731,719.06,0,14,19,96,0,14
